titulo,subtitulo,texto,data,url,portal
Da Redação,Navegação principal,"


15 de maio de 2026

|
Por Duda Sousa

 


18 de maio de 2026

|
Por Natalia Viana

 


2 de março de 2026

|
Por Ludmila Pizarro

 Bastidores e debates sobre jornalismo. 

23 de abril de 2026

|
por Redação
 
14 de abril de 2026
|
Por Redação
 
14 de abril de 2026
|
Por Redação
 
7 de abril de 2026
|
Por Redação
 
1 de abril de 2026
|
Por Redação
 
26 de março de 2026
|
Por Redação
 
12 de março de 2026
|
Por Letícia Gouveia, Lorena Morgana, Thayná Diaz, Vanice Christine
 
23 de fevereiro de 2026
|
Por Redação
 
2 de fevereiro de 2026
|
Por Redação
 
2 de fevereiro de 2026
|
Por Redação
 
22 de dezembro de 2025
|
Por Redação
 
8 de dezembro de 2025
|
Por Redação
 
2 de dezembro de 2025
|
Por Redação
 
26 de novembro de 2025
|
Por Redação
 
16 de outubro de 2025
|
Por Redação
 
16 de outubro de 2025
|
Por Redação
 
1 de outubro de 2025
|
Por Redação
 
9 de setembro de 2025
|
Por Redação
 
6 de agosto de 2025
|
Por Ester Nascimento
 
11 de julho de 2025
|
Por Redação
 
9 de julho de 2025
|
Por Laura Scofield, Letícia Gouveia
 
2 de julho de 2025
|
Por Redação
 
18 de junho de 2025
|
Por Letícia Gouveia
 Receba conteúdos exclusivos da Pública de graça no seu email. Site desenvolvido por Você pode republicar as matérias da Pública de graça no seu site – só precisa seguir algumas regras. Clique aqui e saiba como. Dê valor ao jornalismo da Pública.Doe agora! ",,https://apublica.org/tipo/da-redacao/,agenciapublica
"A rede de Vorcaro: sicário, bicheiro, hackers e até agentes da PF","Como o dono do Banco Master criou uma espécie de estado paralelo para proteger seus interesses, segundo a Polícia Federal","A Operação Compliance Zero, em andamento pela Polícia Federal (PF), vem revelando detalhes de uma organização criminosa criada para atender aos interesses do ex-banqueiro Daniel Vorcaro, atualmente preso.

As investigações já revelaram que o ex-dono do Master mantinha uma rede de proteção e intimidação composta por ao menos dois núcleos principais, conhecidos como “A Turma” e “Os Meninos”. Vorcaro e os membros da rede se comunicavam por meio de grupos no WhatsApp.

Na sexta fase da operação, realizada na semana passada, mais informações vieram à tona, revelando a suposta participação de policiais federais da ativa e aposentados, bem como de operadores do jogo do bicho e de hackers.

Pai de Daniel, Henrique Vorcaro, era o operador financeiro do esquema

O núcleo central dessa estrutura conta com a participação direta da família Vorcaro. Sobretudo, de Henrique Moura Vorcaro, o pai de Daniel, identificado na investigação como o principal operador financeiro da rede.

Na semana passada, o pai de Vorcaro foi preso preventivamente em Minas Gerais. Ele seria o responsável por financiar atividades ilícitas, cuidando do fluxo de caixa.

Para executar o trabalho sujo, Daniel Vorcaro contava com os serviços de Luiz Phillipi Machado de Moraes Mourão, conhecido pelo codinome “Sicário”.

Mourão, segundo a PF, recebia mensalmente cerca de R$ 1 milhão para chefiar a milícia privada do banqueiro, como a Agência Pública já reportou. Preso na terceira fase da operação, em março de 2026, ele tentou o suicídio nas dependências da PF e faleceu dias depois.

Luiz Phillipi Machado de Moraes Mourão, o Sicário, liderava a “Turma” de Daniel Vorcaro

“A turma” de Daniel Vorcaro

A estrutura operacional a serviço de Vorcaro dividia-se em dois braços complementares. O núcleo denominado “A Turma” era designado para atuar em possíveis ameaças presenciais, coerções e levantamentos clandestinos. Este grupo contava com a expertise de agentes de segurança pública, incluindo Marilson Roseno da Silva e ",,https://apublica.org/nota/quem-e-quem-na-rede-de-daniel-vorcaro-sicario-bicheiro-hackers-e-ate-agentes-da-pf/,agenciapublica
Ensaio,Navegação principal,"


15 de maio de 2026

|
Por Duda Sousa

 


18 de maio de 2026

|
Por Natalia Viana

 


2 de março de 2026

|
Por Ludmila Pizarro

 

2 de maio de 2025

|
por José Cícero
 
19 de outubro de 2024
|
Por Nilmar Lage
 
7 de junho de 2024
|
Por Yan Boechat
 
14 de fevereiro de 2024
|
Por José Cícero
 
29 de janeiro de 2024
|
Por João Canizares
 
27 de julho de 2023
|
Por José Cícero
 
30 de junho de 2023
|
Por José Cícero
 
5 de maio de 2023
|
Por Anna Beatriz Anjos
 
1 de julho de 2022
|
Por João Paulo Guimarães
 
10 de junho de 2022
|
Por João Paulo Guimarães
 
8 de abril de 2022
|
Por Laura Scofield, Andressa Anholete
 
21 de abril de 2021
|
Por João Paulo Guimarães
 
2 de setembro de 2020
|
Por Julia Dolce
 
18 de outubro de 2019
|
Por Marcela Bonfim
 
30 de agosto de 2019
|
Por Hannah de Vasconcellos, Mirna Wabi-Sabi, Fabio Teixeira
 
23 de agosto de 2019
|
Por Carla Regina
 
25 de julho de 2019
|
Por Nilmar Lage
 
12 de julho de 2018
|
Por Fabrício Mota
 
10 de maio de 2018
|
Por Anderson Barbosa
 
26 de abril de 2018
|
Por Ana Mendes, Pablo Albarenga
 
8 de março de 2018
|
Por José Cícero
 
8 de fevereiro de 2018
|
Por Nilmar Lage
 
13 de janeiro de 2018
|
Por André Mantelli
 Receba conteúdos exclusivos da Pública de graça no seu email. Site desenvolvido por Você pode republicar as matérias da Pública de graça no seu site – só precisa seguir algumas regras. Clique aqui e saiba como. Dê valor ao jornalismo da Pública.Doe agora! ",,https://apublica.org/ensaio/,agenciapublica
Assine nossas newsletters,"Inscreva-se aqui para receber as newsletters da Pública, além de novidades e reportagens direto no seu e-mail!","Newsletter da Pública – Por Marina Amaral: Nesta newsletter, você recebe um texto exclusivo de nossa diretora-executiva Marina Amaral, tem acesso em primeira mão ao novo episódio do podcast Pauta Pública e fica por dentro de tudo o que publicamos na semana, além de receber dicas culturais de nossa equipe. Sempre às sextas-feiras, 8h. Veja um exemplo.",,https://apublica.org/assine-nossas-newsletters/,agenciapublica
Español Archives,,"Utilizamos cookies para garantir que lhe proporcionamos a melhor experiência no nosso site e coletamos alguns dados para garantir que você tenha acesso a nosso conteúdo e programas da melhor forma possível. Para utilizar nosso site, você deve aceitar nossa política de privacidade",,https://apublica.org/category/espanol/,agenciapublica
Dark Horse: uma doação de 61 milhões de reais para eleger um Bolsonaro,"Com lançamento previsto para auge da campanha, filme 'Dark Horse' é peça chave na estratégia eleitoral de 2026","Quer receber os textos desta coluna em primeira mão no seu e-mail? Assine a Newsletter da Pública, enviada sempre às sextas-feiras, 8h. Para receber as próximas edições, inscreva-se aqui.

“Imagina a gente dando calote num Jim Caviezel, num Cyrus, os caras, pô, renomadíssimos lá no cinema americano, mundial. Pô, ia ser muito ruim. Todo efeito positivo que a gente tem certeza que vai vir com esse filme pode ter o efeito elevado a menos um aí, cara”, diz Flávio Bolsonaro ao pedir dinheiro a Daniel Vorcaro em 16 de novembro de 2025 no áudio vazado pelo Intercept Brasil.

“Só te agradecer, meu irmão. Vamos mexer com o coração de muita gente e vai ser muito importante para o nosso país, tá?”, é a mensagem do deputado Mário Frias, produtor executivo de Dark Horse, enviada em dezembro de 2024, ao banqueiro que teria financiado mais de 90% do filme, segundo Karina Ferreira Gomes, da GoUp.

Em outra comunicação com Vorcaro, dez dias antes do áudio, Flávio Bolsonaro enviou um vídeo de visualização única com a mensagem: “Tá perdendo, irmão! Tudo isso só está sendo possível por causa de vc!”. Ao que o financiador do filme responde: “Que demais! Ficou perfeito!”.

Não sabemos que cena do filme o filho de Bolsonaro mandou a Vorcaro; mas o trailer, tornado público pelo pré-candidato à presidência na terça-feira, talvez com a intenção de comprovar a destinação dos recursos para a produção, deixa claro o objetivo da obra: reavivar o “Mito”, beneficiando seu filho nas eleições, lustrando sua aura de perseguido pelo “sistema” representado por seus adversários políticos. Seriam eles os autores da famosa facada, que ajudou Jair a se eleger, retratada como uma conspiração tramada por mandantes políticos ao som alusivo de tambores, apesar das investigações da PF terem concluído que o atentado – real – foi um gesto solitário de um homem desequilibrado.

“Perfeito”, como diria Vorcaro, “para mexer com o coração de muita gente”, nas palavras de Frias e trazer “o efeito positivo”, desejado po",2026-05-22 20:00:00+00:00,https://apublica.org/2026/05/dark-horse-uma-doacao-de-61-milhoes-de-reais-para-eleger-um-bolsonaro/,agenciapublica
Arquivo de Violência,Acompanhe a cobertura da Agência Pública sobre violência,"“Nós por nós”: o combate à violência no Alemão via arte, educação e renda por David Amen

| Por Andrea DiP, Sofia Amaral, Ricardo Terto, Stela Diogo, Rafaela de Oliveira

Cofundador do Instituto Raízes em Movimento fala sobre luta por dignidade e o trabalho com a juventude na favela do RJ",,https://apublica.org/editorial/violencia/,agenciapublica
"Marina Amaral, Autor em Agência Pública","Marina Amaral é jornalista, co-fundadora, diretora executiva e editora da Agência Pública","Marina Amaral é jornalista desde 1984 com passagens pelas redações da Folha de S. Paulo, revista Globo Rural, TV Record e TV Cultura. A partir de 1997, passou a atuar no jornalismo independente, participando da fundação da Revista Caros Amigos, da qual foi repórter especial e editora executiva até 2007. Nesse período conquistou um Prêmio Herzog pelo conjunto de reportagens publicadas em Caros Amigos (1998) e uma menção honrosa em conjunto com o jornalista João de Barros (2004). Entre 2008 e 2009, coordenou uma equipe de 13 jornalistas em levantamento inédito sobre Direitos Humanos no Brasil, a pedido da Secretaria Nacional de Direitos humanos e atuou como repórter no livro ""Jornal Movimento, uma reportagem"". Desde 2011 é diretora e co-fundadora da Agência Pública.",,https://apublica.org/autor/marina-amaral/,agenciapublica
Arquivo de Tecnologia,Acompanhe a cobertura da Agência Pública sobre tecnologia,"Fé e IA: como as tecnologias estão transformando as experiências religiosas

| Por Andrea DiP, Sofia Amaral, Ricardo Terto, Stela Diogo, Thaís Santana

Pastor e acadêmico, Valdinei Ferreira fala sobre como a IA está moldando nossa relação com o sobrenatural",,https://apublica.org/editorial/tecnologia/,agenciapublica
Política de Privacidade,"Fique por dentro da nossa Política de Privacidade: conheça como coletamos, usamos e compartilhamos seus dados","Última Atualização: 07 de dezembro de 2021

Bem-vinda(o) à Agência Pública! Nós somos o CENTRO DE JORNALISMO INVESTIGATIVO, doravante simplesmente “Agência Pública” ou “Nós”, inscrita no CNPJ/ME sob o nº 14441706/0001-01, e estamos no papel de controladora de dados, conforme definido pela legislação cabível.

A presente Política está dividida da seguinte forma para facilitar a sua compreensão:

Informações Gerais Dados Coletados Uso e Compartilhamento dos Dados Cookies Seus Direitos como Titular de Dados Segurança da Informação Atualizações dessa Política Lei Aplicável

1. Informações Gerais

Os seus dados pessoais, i.e., dados que te identificam ou podem te identificar, ou conforme definidos pela legislação cabível, em especial a Lei Geral de Proteção de Dados, poderão ser coletados e processados por diferentes Serviços da Agência Pública. Você, titular de dados pessoais, será referido como “Você” em nossa Política.

Essa Política de Privacidade (a “Política”) tem como principal objetivo lhe informar com transparência, sobre como processamos seus dados pessoais, conforme definidos pela legislação cabível (os “Dados Pessoais”). Fora isso, em alguns casos apontados explicitamente nessa Política, tem como objetivo coletar seu consentimento livre, expresso, informado e inequívoco para o processamento dos seus dados pessoais.

Coletamos dados pessoais seus quando Você:

Visita o nosso site;

Entra em contato conosco;

Assina nossa newsletter, inclusive nossa newsletter internacional;

Participa de uma pesquisa promovida por nós;

Realiza uma doação para nós;

Se inscreve em um evento nosso;

Se inscreve em nosso canal de WhatsApp;

Preenche nosso formulário, como o que exigimos para: Nosso Programa de Aliados; Nossas microbolsas; Você trabalhar com a gente; Novos republicadores; e

De forma geral, preenche um formulário nosso ou de outra forma nos fornece dados pessoais seus, quando solicitados explicitamente por nós.

As situações acima poderão ser referidas como os “S",,https://apublica.org/politica-de-privacidade/,agenciapublica
