titulo,subtitulo,texto,data,url,portal
Economia,MS reduz dependência do Bolsa Família e bate recorde de empregos,"Receba atualizações em tempo real no aplicativo do Conexão Política. Bastidores, coberturas completas, notícias em tempo real, análises, reportagens e artigos sobre economia e finanças. Levantamento do IBGE aponta crescimento da massa salarial e avanço do mercado de trabalho. O portal político mais engajado do Brasil. Há mais de 10 anos noticiando, explicando e desvendando os movimentos do poder. Conexão Política © 2026 Todos os direitos reservados.  Lembrar-me 


",,https://www.conexaopolitica.com.br/category/economia/,conexaopolitica
Ops! Nada aqui,,"Receba atualizações em tempo real no aplicativo do Conexão Política. Parece que não conseguimos encontrar o que você está procurando. Talvez uma pesquisa possa ajudar. O portal político mais engajado do Brasil. Há mais de 10 anos noticiando, explicando e desvendando os movimentos do poder. Conexão Política © 2026 Todos os direitos reservados.  Lembrar-me 


",,https://www.conexaopolitica.com.br/category/milei/,conexaopolitica
TSE mantém cassação de prefeita e vereador por uso de culto religioso para promover candidaturas,"Por unanimidade, Corte reafirma que liberdade religiosa não pode justificar abuso de poder político; caso envolve orações públicas por candidatos e reajuste de 34% no aluguel pago pela prefeitura à igreja.","A prefeita Fabíola Alves da Silva (PSDB), o vice-prefeito Cesar Silva (PSDB) e o vereador Pastor Lilo (MDB) de Votorantim, no interior de São Paulo, tiveram seus registros de candidatura cassados pelo Tribunal Superior Eleitoral nesta segunda-feira (18).

CONTINUA APÓS A PUBLICIDADE

Por unanimidade, a Corte confirmou que o uso de igrejas para promoção de propaganda eleitoral configura abuso de poder político e econômico, mantendo decisão anterior do Tribunal Regional Eleitoral de São Paulo.

O que aconteceu no culto

Segundo o acórdão, os três políticos utilizaram um culto da Igreja do Evangelho Quadrangular para propaganda política nas eleições de 2024. Os candidatos subiram ao púlpito durante a cerimônia e receberam orações que pediam por seu sucesso eleitoral.

O pastor presente chegou a declarar que os fiéis estariam “fechados” com os candidatos. “A partir do dia 16, nós vamos trabalhar muito”, convocou o religioso, segundo a decisão.

CONTINUA APÓS A PUBLICIDADE

Fundamento do TSE

“A inexistência de pedido explícito de votos não afasta o ilícito quando presentes elementos como promoção pessoal, referência ao pleito e instrumentalização da fé dos eleitores”, diz a decisão.

O TSE reafirmou que templos religiosos não podem ser instrumentalizados na disputa eleitoral e que os candidatos se beneficiaram conscientemente da estrutura religiosa.

Ficou reconhecida também a prática de abuso de poder político pelo uso da máquina pública para beneficiar economicamente a entidade religiosa: a prefeitura pagou reajuste de 34% no aluguel de um imóvel da igreja, sem justificativa idônea, em ano eleitoral.

Precedente para 2026

Em 4 de maio, o Movimento Brasil Laico protocolou representação junto à Procuradoria Regional Eleitoral do Rio de Janeiro contra o pastor Silas Malafaia, a Igreja Assembleia de Deus Vitória em Cristo e outros cinco políticos, entre eles o pré-candidato à Presidência Flávio Bolsonaro (PL), por propaganda eleitoral antecipada e abuso de poder religios",2026-05-21 23:37:18-03:00,https://www.conexaopolitica.com.br/politica/tse-mantem-cassacao-de-prefeita-e-vereador-por-uso-de-culto-religioso-para-promover-candidaturas/,conexaopolitica
Atlas/Intel é acusada de manipulação por reproduzir áudio entre Flávio e Vorcaro em pesquisa eleitoral,"Instituto incluiu a gravação no questionário e pediu que entrevistados classificassem a conversa como “terrível, neutra ou excelente”; empresa nega impacto nas intenções de voto e afirma que o áudio foi apresentado apenas após o encerramento das perguntas.","A AtlasIntel incluiu, na pesquisa presidencial divulgada nesta terça-feira (19), a reprodução do áudio atribuído ao senador Flávio Bolsonaro enviado ao banqueiro Daniel Vorcaro.

CONTINUA APÓS A PUBLICIDADE

O material foi apresentado aos entrevistados na etapa final da pesquisa, após a conclusão do questionário, acompanhado de uma ferramenta para medir, em tempo real, a reação do público ao conteúdo.

Segundo o formulário submetido ao TSE, os participantes deveriam avaliar o áudio enquanto ouviam a gravação, arrastando o botão para a direita em caso de percepção positiva e para a esquerda em caso de percepção negativa.

Acusação de indução e ameaça de ação

A equipe jurídica da pré-campanha de Flávio estuda representar contra a AtlasIntel por induzir os entrevistados numa tentativa ilegal de influenciar o eleitorado. “Vamos entrar com uma ação pedindo multa ao instituto que está fazendo uma indução negativa da pesquisa, para que isso não se repita”, disse o senador Rogério Marinho, coordenador da pré-campanha.

CONTINUA APÓS A PUBLICIDADE

Argumento da base aliada

Embora a intenção declarada do instituto seja avaliar o impacto da notícia do Intercept nas intenções de voto, reproduzir o arquivo de mídia pode ser questionado judicialmente. Na prática, o áudio serve como indutor da resposta, buscando um viés de confirmação.

A questão, por exemplo, não continha a justificativa apresentada por Flávio para o financiamento do filme Dark Horse, nem sua explicação de que não houve contrapartida.

Defesa da AtlasIntel

A AtlasIntel afirma que a reprodução do áudio atribuído a Flávio ocorreu apenas após o encerramento das perguntas sobre intenção de voto.

As perguntas sobre intenções de voto para presidente, conforme os representantes, foram feitas antes de qualquer menção ao caso Vorcaro, com o áudio sendo apresentado apenas como último item do questionário.

“O áudio é reproduzido depois da conclusão do questionário da pesquisa e, portanto, não tem nenhum impacto sobre o",2026-05-19 09:02:02-03:00,https://www.conexaopolitica.com.br/politica/atlas-intel-e-acusada-de-manipulacao-por-reproduzir-audio-entre-flavio-e-vorcaro-em-pesquisa-eleitoral/,conexaopolitica
"Às vésperas das eleições, Lula lança programa de R$ 30 bilhões para financiamento de veículos de motoristas e taxistas",‘Move Aplicativo’ foi lançado nesta terça-feira (19) em São Paulo com juros abaixo de 1% ao mês e prazo de até 72 meses; iniciativa ocorre após derrota do governo na regulamentação das plataformas no Congresso.,"Às vésperas das eleições, o presidente Luiz Inácio Lula da Silva lançou nesta segunda-feira (18) o programa Move Aplicativos, linha de crédito voltada a motoristas de aplicativos e taxistas.

CONTINUA APÓS A PUBLICIDADE

A investida se dá no giro de rejeição em que se encontra o líder petista. Sondagens dos principais institutos de pesquisa mostram que a desaprovação a Lula é a maior de todos os tempos, superando a casa dos 50% e, a depender do instituto, a taxa chega próxima dos 60%.

A cerimônia foi realizada às 15h30 na Casa de Portugal, no bairro da Liberdade, em São Paulo. O programa terá até R$ 30 bilhões em recursos do Tesouro Nacional, repassados ao BNDES, que fará as operações por intermédio da rede bancária.

Condições de financiamento

A linha financiará veículos de até R$ 150 mil, com prazo de até 72 meses e carência de até seis meses. As taxas devem ficar abaixo da Selic, hoje em 14,5% ao ano.

CONTINUA APÓS A PUBLICIDADE

Para motoristas de aplicativo, a taxa em discussão é de 0,99% ao mês, ou 12,55% ao ano. Para taxistas, deve ser de 0,95% ao mês, ou 11,40% ao ano. Os critérios de elegibilidade exigem ao menos 100 corridas realizadas nos últimos 12 meses, ou seja, uma média de duas corridas por semana.

Contexto político e derrota no Congresso

O lançamento da linha de crédito ocorre após o governo sofrer uma derrota ao não conseguir aprovar no Congresso a regulamentação da atuação dos trabalhadores por aplicativo.

A proposta perdeu força por falta de acordo entre empresas, motoristas e congressistas, e o Planalto recebeu o indicativo de que o texto não será votado em 2026. A intenção do governo é aproximar o setor, considerado próximo do bolsonarismo, de Lula nas eleições.

Demanda reprimida e setor automobilístico

O Planalto argumenta que há demanda reprimida por carros entre motoristas de aplicativo e taxistas. Estudo do Datafolha feito em 2025 com motoristas ativos da Uber mostrou que 87% tinham interesse em comprar ou trocar de carro nos três a",2026-05-19 08:04:07-03:00,https://www.conexaopolitica.com.br/politica/as-vesperas-das-eleicoes-lula-lanca-programa-de-r-30-bilhoes-para-financiamento-de-veiculos-de-motoristas-e-taxistas/,conexaopolitica
Senha perdida,,"Digite o seu nome de usuário ou endereço de e-mail. Você receberá um e-mail com instruções sobre como redefinir a sua senha. 
Nome de usuário ou endereço de e-mail

 

 
Acessar
 
← Ir para Conexão Política ",,https://www.conexaopolitica.com.br/wp-login.php?action=lostpassword,conexaopolitica
Flávio confirma visita a Vorcaro quando ex-banqueiro estava em prisão domiciliar,Senador confirmou a informação em coletiva de imprensa após reunião com lideranças do PL.,"O senador Flávio Bolsonaro (PL-RJ), pré-candidato à Presidência da República, confirmou que esteve com o ex-banqueiro Daniel Vorcaro no fim de 2025, depois da primeira prisão do empresário no âmbito da Operação Compliance Zero, que apura suspeitas relacionadas ao Banco Master, posteriormente liquidado.

CONTINUA APÓS A PUBLICIDADE

A informação sobre o encontro havia sido publicada inicialmente pelo portal Metrópoles. Após a repercussão, Flávio fez um pronunciamento para reconhecer a reunião, mas afirmou que a conversa teve como finalidade encerrar tratativas envolvendo um possível patrocínio de Vorcaro a um filme sobre o ex-presidente Jair Bolsonaro (PL).

Segundo o senador, a prisão de Vorcaro mudou a percepção sobre a gravidade da situação. Flávio disse que, depois do episódio, voltou a se encontrar com o ex-banqueiro quando ele já utilizava tornozeleira. O parlamentar afirmou que procurou Vorcaro para colocar fim à negociação e declarou que teria buscado outro apoiador para o projeto caso soubesse antes da dimensão dos problemas enfrentados pelo empresário.

A declaração ocorreu após o site The Intercept Brasil divulgar mensagens atribuídas a Flávio Bolsonaro e Daniel Vorcaro, nas quais o senador cobra o pagamento de valores destinados ao financiamento do filme. O parlamentar sustenta que todas as conversas e eventuais encontros trataram exclusivamente da produção audiovisual.

CONTINUA APÓS A PUBLICIDADE

Em entrevista à CNN na sexta (15), Flávio já havia antecipado que poderiam surgir novos registros, como mensagens, vídeos ou imagens de reuniões, e afirmou que todo o contato com o ex-banqueiro teve relação apenas com o projeto cinematográfico.

Daniel Vorcaro foi preso pela primeira vez em 17 de novembro de 2025, no Aeroporto Internacional de Guarulhos, durante uma das fases iniciais da Operação Compliance Zero. Ele foi solto no dia 29 do mesmo mês, mediante uso de tornozeleira eletrônica. Na ocasião, ficou proibido de deixar o município onde residia, de aces",2026-05-19 15:59:43-03:00,https://www.conexaopolitica.com.br/politica/flavio-confirma-visita-a-vorcaro-quando-ex-banqueiro-estava-em-prisao-domiciliar/,conexaopolitica
Ops! Nada aqui,,"Receba atualizações em tempo real no aplicativo do Conexão Política. Parece que não conseguimos encontrar o que você está procurando. Talvez uma pesquisa possa ajudar. O portal político mais engajado do Brasil. Há mais de 10 anos noticiando, explicando e desvendando os movimentos do poder. Conexão Política © 2026 Todos os direitos reservados.  Lembrar-me 


",,https://www.conexaopolitica.com.br/category/ciencia-saude/,conexaopolitica
Ops! Nada aqui,,"Receba atualizações em tempo real no aplicativo do Conexão Política. Parece que não conseguimos encontrar o que você está procurando. Talvez uma pesquisa possa ajudar. O portal político mais engajado do Brasil. Há mais de 10 anos noticiando, explicando e desvendando os movimentos do poder. Conexão Política © 2026 Todos os direitos reservados.  Lembrar-me 


",,https://www.conexaopolitica.com.br/category/mercado-financeiro/,conexaopolitica
Eleições 2026,Moro lidera todos os cenários para o governo do Paraná,"Receba atualizações em tempo real no aplicativo do Conexão Política. Pesquisa Quaest aponta senador com vantagem superior a 18 pontos percentuais sobre adversários. O portal político mais engajado do Brasil. Há mais de 10 anos noticiando, explicando e desvendando os movimentos do poder. Conexão Política © 2026 Todos os direitos reservados.  Lembrar-me 


",,https://www.conexaopolitica.com.br/category/eleicoes-2026/,conexaopolitica
