titulo,subtitulo,texto,data,url,portal
Estadão RI,,"Economia & Mercados 06/05/2026 08:39

Por Júlia Pestana



São Paulo, 06/05/2026 - O Grupo Pão de Açúcar (GPA) concluiu a renegociação de sua dívida com credores no âmbito da recuperação extrajudicial, em um movimento que reduz a pressão de caixa no curto prazo e melhora o perfil fina",,https://estadaori.estadao.com.br/?_gl=1*1f75jpa*_gcl_aw*R0NMLjE3Njk1NDM0MDEuQ2owS0NRaUE0ZUhMQmhDekFSSXNBSjJOWm9LQk42Sng5MGU1TEp5SkdrdXVoVnFpdG1NbEswV3BOeHNVWXY0OGc3UU42THNaVnltdjgxQWFBcmJwRUFMd193Y0I.*_gcl_au*MTg5MzMyOTA2LjE3NjMxNDQ3MTc.*_ga*NTk4MTU1MzgzLjQ1ODE3MjYyMw..*_ga_H1D7PSZ1DW*czE3Njk2MTkwMDAkbzIkZzEkdDE3Njk2MjA4NzgkajU3JGwwJGgyMTIwOTU3MjEy,estadao
Como nasce um penduricalho? Dobradinha entre Poderes garante privilégios e cria elite no funcionalismo público,"Vantagens nascem em decisões e portarias e são compartilhadas por diferentes categorias; só no Judiciário e no Ministério Público benefícios custaram R$ 9,3 bilhões em 2023","BRASÍLIA - O Conselho Nacional de Justiça (CNJ), que representa os juízes do Brasil, aprovou em 2011 uma resolução dizendo que todos os magistrados, procuradores e promotores têm direito aos mesmos benefícios e vantagens no salário. O que era para ser uma norma de simetria e equilíbrio entre as categorias abriu caminho para a criação de “penduricalhos” no serviço público. Além disso, é exemplo de como nasce esse tipo de privilégio na elite do funcionalismo.

Estátua 'A Justiça', em frente ao prédio do Supremo Tribunal Federal (STF) Foto: Marcello Casa Jr./Agência Brasil

PUBLICIDADE Quatro anos depois da resolução, o Congresso aprovou uma lei criando um benefício específico para juízes federais que trabalham em mais de uma comarca ou acumulam muitos processos. O projeto foi sancionado pela então presidente Dilma Rousseff em 2015. Em 2020, o CNJ ampliou o pagamento para juízes estaduais. Até então, esse valor ficava dentro do teto constitucional, que determina que nenhum servidor público pode receber mais do que um ministro do Supremo Tribunal Federal (STF). O que passa do teto é descontado. Em 2022, foi a vez dos promotores e procuradores terem acesso ao benefício. O Conselho Nacional do Ministério Público (CNMP) recomendou que os membros da categoria tivessem acesso à gratificação, mas sem vincular o recurso ao teto. Em janeiro do ano passado, o conselho regulamentou a gratificação, com uma adaptação: ela passou a ser paga para compensar dias de folga não tirados, se transformando em “licença compensatória”. O novo penduricalho foi aprovado em 1 minuto e 17 segundos, conforme mostrou o Estadão. Tudo ficou fora do teto, fazendo com que o benefício se transformasse em mais um “penduricalho” para aumentar os salários. Procurado pelo Estadão, o CNMP não respondeu o contato até a publicação desta reportagem.

Vendo a manobra dos promotores, o CNJ entendeu que os juízes ficaram em desvantagem. Afinal, tinham os salários descontados por causa do teto. O Conselho, então, a",,https://www.estadao.com.br/politica/como-nasce-um-penduricalho-acao-de-poderes-garante-privilegios-de-bilhoes-a-elite-do-funcionalismo/,estadao
Ação no TCU tenta driblar freio a supersalários e cria ‘teto duplex’ para servidores,"Entidade tenta brecha para cargos de confiança na Câmara, no Senado e no próprio TCU; procurado, Sindilegis não respondeu","Quais são as carreiras públicas mais privilegiadas? Disputa envolve de supersalário a foro exclusivo 3:13 Sete categorias usufruem de benesses discrepantes em relação ao restante do serviço público.

Uma ação no Tribunal de Contas da União (TCU) tenta driblar o freio aos supersalários no funcionalismo público e criar uma espécie de “teto duplex” para burlar o limite constitucional de R$ 46,3 mil mensais.

PUBLICIDADE O processo, que será julgado pelo plenário da Corte de Contas nesta quarta-feira, 6, pede que a brecha valha para cargos de confiança no Legislativo federal: Câmara, Senado e o próprio TCU. A ação sigilosa foi apresentada no mês passado pelo Sindicato dos Servidores do Poder Legislativo Federal e do TCU (Sindilegis). Procurada, a entidade não respondeu. O relator do caso é o ministro Walton Alencar, o campeão em penduricalhos entre os ministros da Corte de Contas em 2025, com R$ 592 mil extrateto, como mostrou a Coluna do Estadão.

Em 3 de fevereiro, o Congresso aprovou penduricalhos para funcionários da Câmara e do Senado. Além de criar gratificações de desempenho que poderiam dobrar os proventos, o “trem da alegria” defendia um dia de folga a cada três trabalhados. Se não tirar a folga, o servidor tem direito a receber o valor em dinheiro. A proposta foi vetada pelo presidente Lula.

Publicidade

Dois dias depois dessa votação no Congresso, o ministro Flávio Dino, do Supremo Tribunal Federal (STF), ordenou que órgãos públicos dos três Poderes nos âmbitos federal, estadual e municipal revisem o pagamento de supersalários. Dino também proibiu a edição de novas leis que autorizam verbas extrateto. Na decisão, o ministro apontou um “Império dos Penduricalhos” no País.

O plenário do STF definiu, em março, regras para os salários da magistratura, especificamente. Os ministros permitiram penduricalhos e indenizações a até 70% da remuneração de juízes, promotores e procuradores. Na prática, as remunerações podem chegar a R$ 78,7 mil.

Ministro do TCU, Walton",,https://www.estadao.com.br/politica/coluna-do-estadao/acao-no-tcu-tenta-driblar-freio-a-supersalarios-e-cria-teto-duplex-para-servidores/,estadao
Notícias e informações úteis sobre imóveis,"O Imóveis Estadão ampara as melhores decisões de moradia com conteúdos leves e personalizados, fundamentados em informações confiáveis.","[OPINIÃO] Não falta área no mercado logístico, mas há escassez do metro quadrado certo

O mercado brasileiro de galpões logísticos atravessa um ciclo de maturidade e seletividade. Não se trata apenas de um recorde na entrega de novos empreendimentos, mas de uma transformação estrutural no perfil da demanda e na qualidade exigida pelos ocupantes, bem como mudança do perfil do consumidor com a digitalização da economia. Embora os números […]",,https://imoveis.estadao.com.br/?_gl=1*12rcob6*_gcl_aw*R0NMLjE3Njk1NDM0MDEuQ2owS0NRaUE0ZUhMQmhDekFSSXNBSjJOWm9LQk42Sng5MGU1TEp5SkdrdXVoVnFpdG1NbEswV3BOeHNVWXY0OGc3UU42THNaVnltdjgxQWFBcmJwRUFMd193Y0I.*_gcl_au*MTg5MzMyOTA2LjE3NjMxNDQ3MTc.*_ga*NTk4MTU1MzgzLjQ1ODE3MjYyMw..*_ga_H1D7PSZ1DW*czE3Njk2MTkwMDAkbzIkZzEkdDE3Njk2MjA4NzUkajYwJGwwJGgyMTIwOTU3MjEy,estadao
Juristas criticam fala de presidente do TST sobre ‘vermelhos e azuis’ e citam risco à imparcialidade,Especialistas apontam que fala de Luiz Philippe Vieira de Mello Filho reforça a percepção de politização do Judiciário no País,"Presidente do TST diz que juízes 'vermelhos' têm causa, não interesses 1:55 Ministro Luiz Philippe Vieira de Mello Filho reclama da atuação de determinados magistrados 'azuis'. Crédito: Reprodução: tvanamatra / CONAMAT

Confira o resumo que a LE.IA, a IA do Estadão, fez pra você Gerando resumo Abrir o resumo

As declarações do presidente do Tribunal Superior do Trabalho (TST), Luiz Philippe Vieira de Mello Filho, que associaram juízes trabalhistas a “vermelhos” e “azuis”, foram criticadas por especialistas ouvidos pelo Estadão, que apontam risco à legitimidade e à imparcialidade da Justiça do Trabalho e avaliam que o episódio reforça a percepção de politização do Judiciário no País.

A polêmica teve origem em discurso no 22.º Congresso Nacional da Magistratura do Trabalho (Conamat), em Brasília, na última sexta-feira, 1º, quando o presidente do TST se incluiu entre os juízes “vermelhos”, que estariam a serviço de uma “causa”, enquanto os “azuis” atuariam guiados por “interesses”. A fala repercutiu nas redes sociais e foi interpretada como referência à polarização política, com a cor vermelha associada aos defensores do governo do PT e o azul à oposição.

Ministro Luiz Philippe Vieira de Mello Filho. Foto: Giovanna Bembom/TST/Divulgação

PUBLICIDADE Após a repercussão negativa, o próprio magistrado afirmou que a declaração foi uma resposta ao ministro do TST Ives Gandra Martins Filho, que havia utilizado a classificação “azuis e vermelhos” em palestra para descrever correntes distintas na Corte, associadas a visões mais “liberais” ou “intervencionistas” e a posturas “legalistas” ou “ativistas”. Para o ex-presidente do TST Almir Pazzianotto, a declaração foi “muito infeliz” e “ideológica” e contraria princípios básicos da organização do Judiciário. Segundo ele, ao estabelecer uma oposição entre “vermelhos” e “azuis”, o presidente da Corte introduz um debate que não cabe ao Poder Judiciário, cuja função é interpretar a Constituição e as leis. “O Poder Judiciário não é ",,https://www.estadao.com.br/politica/juristas-criticam-fala-de-presidente-do-tst-sobre-vermelhos-e-azuis-e-citam-risco-a-imparcialidade/,estadao
Perfil político ou técnico? Como os brasileiros acham que deve ser a escolha do novo ministro do STF,Pessoas ouvidas pela pesquisa Meio/Ideia também opinaram sobre rejeição de Messias à Corte; veja os números,"Vergonha, fake news e carta na manga: as armas de Fachin para tirar o STF da crise 1:53 Vergonha, fake news e carta na manga: as armas de Fachin para tirar o STF da crise. Crédito: Estadão

Confira o resumo que a LE.IA, a IA do Estadão, fez pra você Gerando resumo Abrir o resumo

Para 39,4% da população, o presidente Luiz Inácio Lula da Silva (PT) deveria escolher um nome técnico, sem vínculos com o governo, para sua próxima indicação ao Supremo Tribunal Federal (STF). Por outro lado, 37% defendem a indicação de um novo nome com ligação com governo, como foi o caso do advogado-geral da União, Jorge Messias.

Os dados são de pesquisa Meio/Ideia divulgada nesta quarta-feira, 6. Ao responder à pergunta “Quem Lula deve indicar para o STF”, outros 5% dizem querer uma mulher no cargo, independentemente do perfil, e um total de 5,4% não soube responder.

Critério de escolha do próximo ministro do STF divide a opinião dos brasileiros Foto: Wilson Junior/Estadão

PUBLICIDADE A opinião dos entrevistados também se divide na interpretação da rejeição de Messias para a vaga na Suprema Corte: 36% a atribuem a uma articulação da oposição para enfraquecer o governo, enquanto 35% veem o episódio como uma derrota do presidente Lula e que mostra fraqueza do governo. Para 12%, o Senado fez seu papel ao barrar uma indicação política. Outros 8% acham que indicações ao STF não deveriam passar pelo Senado e 9% não souberam responder.

Publicidade

O ministro da Advocacia-Geral da União foi escolhido por Lula para ocupar vaga aberta no Supremo com a aposentadoria de Luís Roberto Barroso, há sete meses. O nome foi vetado pelo plenário do Senado Federal, algo que não ocorria há 132 anos.

A rejeição ocorreu em momento de desgaste da imagem pública do Tribunal, que enfrenta críticas de parte do Congresso Nacional e pressão de bolsonaristas por impeachment de ministros. Também vive os efeitos da repercussão do caso do Banco Master, que envolve menções a ministros da Corte.

Segundo declaração d",,https://www.estadao.com.br/politica/perfil-politico-tecnico-como-brasileiros-acham-deve-ser-escolha-novo-ministro-stf-nprp/,estadao
Chefe do MP de São Paulo rejeita acordo de delação com ‘Beto Louco’ e ‘Primo’ sobre PCC e corrupção,"Paulo Sérgio de Oliveira e Costa avalia que foragidos da Operação Carbono Oculto não implicam a facção, querem ‘blindar’ patrimônio e não oferecem informações relevantes que justifiquem colaboração premiada; defesa diz ainda não ter um posicionamento","Por que a PGR não aceitou a delação de Beto Louco? Por que ele não contou tudo que sabe 3:44 Denúncias que envolvem empresário e o senador Davi Alcolumbre, se confirmadas, são graves. Crédito: Raquel Landim | Estadão

O procurador-geral de Justiça de São Paulo, Paulo Sérgio de Oliveira e Costa, decidiu nesta quarta-feira, 6, não fechar acordo de delação premiada com Mohamad Hussein Moraes, o “Primo”, e Roberto Augusto Leme da Silva, o “Beto Louco”. Os dois se apresentam como empresários e estão foragidos da Operação Carbono Oculto – maior investigação já realizada contra o poderio econômico do PCC e fintechs que operavam sob controle da facção no “andar de cima” da Faria Lima.

PUBLICIDADE O chefe do Ministério Público de São Paulo avalia que “Beto Louco” e “Primo” oferecem informações que não são tão relevantes a ponto de receberem em troca benefícios como a revogação do decreto de prisão expedido contra eles e se livrarem de eventuais condenações penais. O criminalista Guilherme San Juan, que defende os empresários, não comentou a decisão do procurador-geral de Justiça. “Não temos uma posição ainda”, disse, ao Estadão.

Mohamad Hussein Mourad (esq.), o 'Primo', e Roberto Augusto Leme da Silva (dir.), o 'Beto Louco', estão foragidos Foto: Reprodução

Os promotores que investigam os dois não aceitam que eles mantenham a estratégia de negar vínculos com o PCC. Para eles, “Beto Louco” e “Primo” pretendem “blindar” o patrimônio que teriam reunido por meio de atividades ilícitas no setor de combustíveis. Eles concordam em “devolver” ao Estado uma quantia que poderia chegar a R$ 1 bilhão, mas os promotores que os investigam consideram que o montante deveria chegar a pelo menos R$ 4 bilhões.

O Estadão apurou que os promotores entendem que “Beto Louco” e “Primo” têm “pouco a oferecer” – omitem esquemas de lavagem, conexões com PCC e não citam políticos nem juízes, como divulgaram interlocutores dos dois. Em um anexo da proposta de colaboração, eles mencionam apenas um jui",,https://www.estadao.com.br/politica/blog-do-fausto-macedo/chefe-do-mp-de-sao-paulo-rejeita-acordo-de-delacao-com-beto-louco-e-primo-sobre-pcc-e-corrupcao/,estadao
Famílias de militares punidos até por crime têm direito a pensão; saiba como funciona,Benefício da ‘morte ficta’ é pago pelas Forças Armadas há décadas e TCU contesta privilégio,"Morte Ficta: Familiares de militares expulsos do exército recebem milhares de reais em pensão 5:31 Crédito: Isabella Almada, Larissa Burchard, Weslley Galzo/Estadão

BRASÍLIA - Um benefício instituído por Getúlio Vargas para as Forças Armadas tem sido aplicado de forma distorcida, segundo o Tribunal de Contas da União, ao longo das décadas e gerado gastos milionários à União. Trata-se da “morte ficta”, ou morte fictícia, que equipe militares expulsos das instituições, independentemente das circunstâncias, a oficiais mortos.

Atualmente, de acordo com a Lei 3.765 de 04 de maio de 1960, militares expulsos, sejam eles da Marinha, Exército ou Aeronáutica, têm o direito de que suas famílias recebam pensão proporcional ao tempo de serviço, mesmo que o motivo da sua expulsão seja algum crime grave.

Militares têm direito a pensão para familiares mesmo após afastamento das Forças Armadas Foto: Divulgação / Exercito Brasileiro

PUBLICIDADE Existem casos em que militares expulsos e condenados por crimes como estupro e tráfico internacional mantêm o direito de suas famílias receberem a pensão militar. Pode ser o caso do ex-presidente Jair Bolsonaro, do tenente-coronel Mauro Cid e de outros militares envolvidos na trama golpista que começou a ser julgada nesta semana pela Primeira Turma do STF.

Publicidade

Mesmo que eles venham a ser condenados criminalmente na Justiça comum por tentativa de golpe e posteriormente sejam expulsos das Forças Armadas por decisão da Justiça Militar, a lei de 1960 mantém o direito de recebimento de pensão pelas suas famílias.

A lei de 1960 deu a forma atual da morte ficta, mas a sua gênese está em um decreto-lei de 1938 assinado pelo então presidente Getúlio Vargas que estipulava que, a partir de então, as famílias de militares licenciados ou excluídos poderiam receber pensão.

Diferentes levantamentos estimam que a morte ficta custa entre R$ 25 milhões e R$ 43 milhões às Forças Armadas. O menor valor foi identificado pela ong Fiquem Sabendo em l",,https://www.estadao.com.br/politica/familias-de-militares-punidos-ate-por-crime-tem-direito-a-pensao-saiba-como-funciona/,estadao
Estadão Blue Studio,Soluções publicitárias inovadoras e orientadas à performance,"Endividamento elevado impulsiona busca por crédito emergencial fora dos bancos Pesquisa com 4.571 brasileiros mostra que 37% não aguentam mais de um mês sem solução — e por que reputação virou o ativo mais valioso do setor Saiba mais

Conclusão de obras no córrego Veleiros amplia capacidade de drenagem na zona sul Intervenção de R$ 49,2 milhões beneficia mais de 38 mil moradores e reduz risco de alagamentos na região de Capela do Socorro Saiba mais",,https://bluestudio.estadao.com.br/?_gl=1%2Aw4mza1%2A_gcl_aw%2AR0NMLjE3Njk1NDM0MDEuQ2owS0NRaUE0ZUhMQmhDekFSSXNBSjJOWm9LQk42Sng5MGU1TEp5SkdrdXVoVnFpdG1NbEswV3BOeHNVWXY0OGc3UU42THNaVnltdjgxQWFBcmJwRUFMd193Y0I.%2A_gcl_au%2AMTg5MzMyOTA2LjE3NjMxNDQ3MTc.%2A_ga%2ANTk4MTU1MzgzLjQ1ODE3MjYyMw..%2A_ga_H1D7PSZ1DW%2AczE3Njk2MTkwMDAkbzIkZzEkdDE3Njk2MjA4NDMkajIwJGwwJGgyMTIwOTU3MjEy,estadao
Ministro da articulação política de Lula se reúne com Alcolumbre uma semana após derrota de Messias,José Guimarães esteve com presidente do Senado nesta quarta-feira para tentar melhorar o clima entre Lula e o senador após derrotas sofridas pelo governo no Congresso,"A conversa para distensionar a relação do governo Lula com o senador acontece uma semana depois da derrota de Jorge Messias para a vaga ao Supremo Tribunal Federal (STF), a primeira indicação barrada pelo Senado desde 1894. Eles se encontraram na residência oficial de Alcolumbre, em Brasília, a pedido do ministro.

Segundo relatos de interlocutores à Coluna do Estadão, Guimarães vem repetindo que, “diferentemente do que diz a oposição, o governo não acabou”, e que, apesar das derrotas sofridas na semana passada, “é vida que segue”.

Conversa para ‘virar a página’

O ministro havia pedido na segunda-feira uma agenda com o presidente do Senado, a quem o governo credita a derrota de Messias, para discutir a pauta de interesse de Lula no Congresso Nacional.",,https://www.estadao.com.br/politica/coluna-do-estadao/ministro-da-articulacao-politica-de-lula-se-encontra-com-alcolumbre-1-semana-apos-derrota-de-messias/,estadao
