titulo,subtitulo,texto,data,url,portal
"Moro lidera disputa pelo governo do Paraná, mostra pesquisa","Além de ser o mais votado, Moro ostenta a marca de não ser o mais rejeitado pelo eleitorado do Paraná. Esse título é de Requião Filho","Um levantamento do instituto Paraná Pesquisas mostra que o lavajatismo segue em alta nas eleições 2026. O deputado federal e ex-juiz da Operação Lava Jato, Sergio Moro, lidera com folga a disputa pelo governo do Paraná, enquanto o ex-procurador Deltan Dallagnol – deputado federal cassado – aparece à frente da petista Gleisi Hoffmann na corrida pelo Senado.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

Na pesquisa estimulada (quando o instituto oferece a lista de candidatos para o entrevistado), Moro lidera em todos os cenários. Quando a disputa é com Requião Filho (19,7%), Rafael Greca (16,3%) e Sandro Alex (8,6%), Moro aparece com 42,6% das intenções de votos.

Já quando o cenário exclui Rafael Greca, Moro vai a 49,2% das intenções de voto, com chances de ser eleito já no primeiro turno, contra 23,7% de Requião Filho e 11% de Sandro Alex.

Além de ser o mais votado, Moro ostenta a marca de não ser o mais rejeitado pelo eleitorado do Paraná. Esse título é de Requião Filho, com 33,7% dos eleitores dizendo que não votariam nele de jeito nenhum. Outros 25,1% rejeitam Moro para governador do Paraná. Rafael Greca, candidato governista, tem 13,7% de rejeição.

CORRIDA PELO SENADO

Quanto à vaga do Paraná para o Senado, quem lidera a disputa é Álvaro Dias, com 39,3% das intenções de voto no cenário estimulado. Atrás dele aparece Deltan Dallagnol, com 26,1%, seguido da deputada federal Gleisi Hoffmann, com 25,2% e Filipe Barros, com 23,6%. Numericamente, Dallagnol está à frente de Gleisi, mas pela margem de erro da pesquisa, a situção neste cenário é de empate técnico.

Quando Álvaro Dias não está na disputa, Filipe Barros vai a 30%, seguido de 29,3% de Dallagnol e 27,4% de Gleisi, em um dos cenários. Em outro, com o menor número de candidatos, Filipe vai a 38%, contra 35% de Dallagnol e 29% de Gleisi, marcando uma distância maior entre o ex-procurador da Lava Jato e a petista.

No Estado onde se criou a República de Cur",2026-05-11 15:28:20+00:00,https://jornalggn.com.br/noticia/moro-lidera-disputa-pelo-governo-do-pr-e-dallagnol-larga-a-frente-de-gleisi-na-corrida-pelo-senado/,jornalggn
Entre deepfakes e desinformação: a regulação da IA e as eleições no Brasil (Parte 2),"Nesta segunda parte, cabe um balanço geral dos avanços regulatórios e dos desafios que ainda persistem para o cenário eleitoral.","Entre deepfakes e desinformação: a regulação da IA e as eleições no Brasil (Parte 2)

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

Por: Anna Luiza Coli, Diego Matheus de Menezes, Gabriel Avritzer e Stella Ferreira Gontijo (Cátedra Darcy Ribeiro[1] IEAT/UFMG)[2]

O uso indiscriminado de IA impõe inegáveis desafios à democracia. A primeira parte deste artigo foi dedicada a exemplificá-los e analisar suas interações com o processo eleitoral de 2026, no caso brasileiro. Nesta segunda parte, cabe um balanço geral dos avanços regulatórios e dos desafios que ainda persistem para o cenário eleitoral.

No que tange à justiça, é possível identificar, no conjunto das 14 resoluções aprovadas pelo TSE para as eleições de 2026, um esforço de regulamentação do uso da inteligência artificial. As normas buscam ampliar medidas já adotadas nas eleições de 2024, indicando uma abordagem mais abrangente, articulada em torno da regulação da IA na propaganda eleitoral, do combate à desinformação e às fake news, bem como da responsabilização das plataformas digitais.

No que se refere à propaganda eleitoral, destacam-se (i) a proibição de recomendação de candidaturas por sistemas automatizados por IA para coibir a interferência algorítmica na tomada de decisão do eleitor, (ii) a proibição do uso de deepfakes, (iii) a proibição de divulgação de conteúdos novos produzidos ou alterados por IA nas 72 horas anteriores e nas 24 horas posteriores às votações e, por fim (iv) a obrigatoriedade de identificação de todo vídeo produzido por inteligência artificial.

Esse conjunto de normas busca estabelecer mecanismos que ampliem a responsabilização pela divulgação de conteúdos ilícitos. Entre as principais medidas está a possibilidade de inversão do ônus da prova em casos de suspeita de uso irregular de inteligência artificial, situação em que caberá ao acusado demonstrar a inexistência de utilização indevida da tecnologia. Além disso, conteúdos co",2026-05-11 12:19:23+00:00,https://jornalggn.com.br/artigos/entre-deepfakes-e-desinformacao-a-regulacao-da-ia-e-as-eleicoes-no-brasil-parte-2/,jornalggn
"As notícias do Brasil nos jornais dos EUA, Europa e Ásia",Veículos da imprensa internacional destacaram o Brasil em reportagens sobre crise economia e relações com Donald Trump,"O Brasil voltou ao centro da cobertura internacional neste fim de semana, aparecendo em reportagens de grandes jornais e agências de notícias dos Estados Unidos, Europa e Ásia. As pautas mais recorrentes envolveram a diplomacia entre o governo de Lula (PT) e o presidente norte-americano Donald Trump, os desdobramentos judiciais envolvendo Jair Bolsonaro (PL), a economia brasileira e mais. Confira:

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

A repercussão nos Estados Unidos

Reuters – Moraes suspende lei que poderia antecipar soltura de Bolsonaro: A agência destacou a nova crise entre o STF e o Congresso após o ministro Alexandre de Moraes barrar os efeitos da chamada “Lei da Dosimetria”, que poderia reduzir a pena do ex-presidente.

Reuters – Superávit comercial brasileiro dispara com soja e petróleo: A Reuters também reportou o crescimento de 37,5% no superávit comercial brasileiro impulsionado pelas exportações de commodities.

Fox News – Trump e Lula discutem crime organizado e tarifas: O tema foi tratado como estratégico para a segurança regional e para o comércio bilateral.

A repercussão na Europa

Bloomberg – Encontro entre Lula e Trump traz riscos políticos ao presidente brasileiro: A análise avaliou os impactos eleitorais e diplomáticos da aproximação entre os dois líderes em ano pré-eleitoral no Brasil.

Reuters – Neoenergia anuncia investimento bilionário no Brasil: A imprensa econômica europeia destacou o plano da subsidiária brasileira da espanhola Iberdrola de investir US$ 10 bilhões em distribuição elétrica no país.

The Times – Neymar vira símbolo de “potencial desperdiçado”: O jornal britânico publicou uma análise dura sobre a trajetória de Neymar, questionando se o craque ainda terá espaço na seleção brasileira de Carlo Ancelotti para a Copa de 2026.

A repercussão na Ásia

Reuters – Consumo chinês pode ajudar a preservar a Amazônia: A reportagem relacionou mudanças no padrão de consumo da Chi",2026-05-11 16:00:15+00:00,https://jornalggn.com.br/midia/as-noticias-do-brasil-nos-jornais-dos-eua-europa-e-asia/,jornalggn
Jornal GGN,,"Se você quiser enviar informações sobre eventuais equívocos, pedidos de correções e de exercício do direito de resposta, por favor selecione a opção RECLAMAÇÃO. Ela será analisada e respondida em até 03 dias úteis.

Para envio de sugestões de pauta e conteúdo, selecione DICAS DE PAUTA. Este material será avaliado pela nossa redação.",,https://jornalggn.com.br/contato/,jornalggn
Fome no Brasil: estudo aponta desigualdade racial e de gênero,"Relatório mostra melhora nos indicadores nacionais de segurança alimentar, mas aponta que mulheres negras seguem entre mais vulneráveis","A insegurança alimentar continua afetando de forma desproporcional mulheres negras, famílias do Norte e Nordeste e moradores da zona rural, mesmo após a melhora dos indicadores nacionais de acesso à alimentação no país.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

Segundo o relatório “As faces da desigualdade: raça, sexo e alimentação no Brasil (2017-2023)”, divulgado pela FIAN Brasil, o Brasil avançou na recuperação da segurança alimentar após o período crítico da pandemia de Covid-19, mas preserva desigualdades estruturais ligadas a raça e gênero.

Segundo o levantamento, 72,4% dos domicílios brasileiros estavam em situação de segurança alimentar em 2023, acima dos 63,3% registrados em 2017-2018. Já a insegurança alimentar grave — associada à fome — caiu para 5% dos lares brasileiros.

Entre os domicílios chefiados por homens brancos, 84,2% estavam em situação de segurança alimentar em 2023. Nos lares chefiados por mulheres negras, o índice cai para 61,4%.

A insegurança alimentar também se concentra de forma mais intensa justamente entre mulheres negras. Segundo o relatório, 38,5% dos lares chefiados por mulheres negras conviviam com algum grau de insegurança alimentar, contra 15,7% entre domicílios chefiados por homens brancos.

O documento destaca ainda que Norte e Nordeste apresentam os piores indicadores do país, especialmente entre famílias negras. Em algumas regiões, quase metade dos domicílios liderados por mulheres negras enfrentava algum nível de insegurança alimentar.

A pesquisa também relaciona o agravamento da fome entre 2020 e 2022 às políticas de austeridade fiscal e ao desmonte de programas sociais durante os governos Michel Temer e Jair Bolsonaro. Segundo os autores, a pandemia aprofundou desigualdades já existentes e atingiu de forma mais severa grupos historicamente marginalizados.

Por outro lado, o relatório aponta que a retomada de políticas públicas de combate à fome e de segurança alim",2026-05-09 15:19:18+00:00,https://jornalggn.com.br/politica/fome-brasil-desigualdade-racial-genero-alimentacao/,jornalggn
Caso Ypê: Extrema-direita politiza crise sanitária e ignora riscos à saúde,Aliados de Bolsonaro ignoram riscos de contaminação e convocam boicote reverso em defesa da marca. Leia no GGN,"A suspensão de lotes de produtos da Ypê pela Agência Nacional de Vigilância Sanitária (Anvisa) deixou de ser uma questão técnica para se tornar o novo combustível da extrema-direita. O que a agência classifica como medida de proteção à saúde pública, a oposição ao governo Lula (PT) interpreta como retaliação ideológica contra uma empresa cujos donos doaram R$ 1 milhão à campanha de reeleição de Jair Bolsonaro (PL) em 2022.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

A controvérsia ganhou tração após a fiscalização identificar irregularidades severas na unidade da Química Amparo, no interior de São Paulo. Relatórios técnicos apontam equipamentos corroídos e o registro de 80 lotes com resultados fora da especificação microbiológica entre 2025 e 2026.

Segundo a Anvisa, foram detectados traços da bactéria Pseudomonas aeruginosa, capaz de causar infecções em pele, olhos e problemas respiratórios, especialmente em idosos e pessoas com baixa imunidade.

Mobilização nas redes sociais

Apesar do alerta sanitário, figuras proeminentes da direita iniciaram um movimento de “consumo político“. O vice-prefeito de São Paulo, Coronel Mello Araújo, convocou seguidores a comprarem a marca: “Vamos acabar com essa sacanagem que estão fazendo com essa empresa 100% brasileira”. No mesmo tom, o deputado estadual Lucas Bove (PL-SP) afirmou que a empresa está sendo “perseguida” por ser “bolsonarista“.

A campanha de apoio furou a bolha política e chegou ao entretenimento. A apresentadora Jojo Todynho e o ator Júlio Rocha publicaram conteúdos utilizando os produtos, ignorando a recomendação de evitar os lotes com final numérico 1 (especificamente lava-louças, lava-roupas líquido e desinfetantes).

Histórico e o “assédio eleitoral”

O pano de fundo da disputa envolve as doações da família Beira, controladora da marca, a Bolsonaro em 2022.

Além do aporte financeiro, a Química Amparo possui uma condenação na Justiça do Trabalho por asséd",2026-05-11 15:17:53+00:00,https://jornalggn.com.br/politica/caso-ype-extrema-direita-politiza-crise-sanitaria-e-ignora-riscos-a-saude/,jornalggn
Congresso reabre disputa sobre penas do 8 de Janeiro,Mudanças na dosimetria penal podem reduzir penas de condenados pelos atos golpistas e devem levar nova disputa institucional ao STF,"A derrubada do veto presidencial ao chamado “PL da Dosimetria” inaugurou uma nova etapa da crise entre Congresso, governo e Supremo Tribunal Federal (STF). Sob o argumento de corrigir excessos nas penas aplicadas aos envolvidos nos atos golpistas de 8 de janeiro, parlamentares aprovaram mudanças que podem reduzir condenações e abrir caminho para revisões penais em larga escala — inclusive de aliados do ex-presidente Jair Bolsonaro.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

O movimento foi lido em Brasília não apenas como uma inflexão jurídica, mas como um gesto político de enfrentamento ao Executivo e de pressão sobre o STF. A partir de agora, a tendência é que a disputa saia do plenário do Congresso e migre para o Supremo, onde ministros já sinalizam preocupação com os impactos constitucionais da medida.

O tema foi debatido na programação da TV GGN, no programa “GGN 20 Horas”, que analisou os desdobramentos políticos da votação e os possíveis efeitos da nova legislação sobre os processos relacionados ao 8 de Janeiro.

A proposta altera critérios da dosimetria penal — mecanismo utilizado para definir o tamanho da pena e a progressão de regime — e impede, em determinadas situações, a soma integral de crimes como tentativa de golpe de Estado e abolição violenta do Estado Democrático de Direito. Na prática, prevaleceria a punição do crime mais grave, com aumento proporcional reduzido.

Embora defensores do projeto afirmem que a medida busca “proporcionalidade” e “pacificação”, críticos sustentam que o texto abre precedente para flexibilização ampla do sistema penal brasileiro. Especialistas apontam que os efeitos da lei podem extrapolar os casos do 8 de Janeiro e atingir condenados por crimes comuns, criando um novo paradigma para progressão de pena e concurso de crimes.

Nos bastidores, a aprovação do projeto também é interpretada como resultado de um rearranjo político entre setores do Centrão, oposição bolso",2026-05-09 13:03:59+00:00,https://jornalggn.com.br/politica/pl-dosimetria-congresso-lula-stf-8-janeiro/,jornalggn
Quem somos,,"Quem somos

O Jornal GGN é um veículo de jornalismo independente que publica diariamente notícias, reportagens especiais, artigos de opinião, análises, entrevistas, crônicas e conteúdos colaborativos que passam pelo crivo da redação, que é composta exclusivamente por jornalistas profissionais.

Fundado em 2013 pelo premiado jornalista Luis Nassif (ex-Folha de S. Paulo, revista Veja e outros), o GGN aposta na pluralidade de ideias e no aprofundamento de pautas de interesse nacional.

Além de independência editorial, o GGN é independente de recursos de grandes empresas, políticos ou partidos políticos. Nosso compromisso é com a verdade factual e com nossos leitores.

Além do site Jornal GGN, produzimos conteúdo jornalístico diariamente no Youtube. Com mais de 350 mil inscritos, o canal TVGGN tem como carro-chefe o programa “TVGGN 20 Horas”, veiculado de segunda a sexta, às 20 horas, ao vivo. Parte do conteúdo da TVGGN está disponível em áudio no Spotify.",,https://jornalggn.com.br/quem-somos/#equipe,jornalggn
"Escândalo do Banco Master no Rio tem servidores endividados, rombo na previdência e CPI em andamento","O sistema de previdência dos servidores estaduais do Rio de Janeiro investiu mais de R$ 2,5 bilhões no Banco Master, montante que ""virou pó"" segundo deputado estadual","O Banco Master deixou um rastro profundo no Rio de Janeiro. Além da crise já acompanhada em nível federal, com a tentativa fracassada do BRB de adquirir a instituição, o estado fluminense emerge como um dos mais afetados pelo esquema, com prejuízos que somam bilhões de reais e dezenas de milhares de servidores públicos presos em dívidas com juros que beiram a agiotagem.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

É o que denuncia o deputado estadual Flávio Serafini (PSOL-RJ), presidente da Comissão de Servidores da ALERJ, que protocolou uma CPI do Banco Master na Assembleia Legislativa do Rio de Janeiro.

O sistema de previdência dos servidores estaduais do Rio de Janeiro investiu mais de R$ 2,5 bilhões no Banco Master, cerca de R$ 1 bilhão diretamente em letras financeiras da instituição que “viraram pó”, nas palavras do deputado, e outros R$ 1,5 bilhão em fundos geridos pelo banco.

“Um bilhão, pelo menos, a gente sabe que virou pó”, afirma Serafini. O tamanho real do segundo prejuízo ainda está sendo apurado, e é justamente um dos alvos da CPI.

O ex-governador Claudio Castro tentou se distanciar do caso, argumentando que o Rio Previdência tem autonomia para fazer seus investimentos. Serafini rebate: quem nomeia o presidente do instituto é o próprio governador, e os investimentos foram feitos de forma ilegal. O presidente do Rio Previdência já está preso.

Monopólio

Mas o envolvimento do governo Castro com o Banco Master não começa pelo Rio Previdência. Antes disso, o próprio ex-governador publicou um decreto concedendo ao banco o monopólio para explorar modalidades de crédito consignado junto aos servidores do estado.

O resultado foi devastador. Serafini estima que cerca de 150 mil servidores fluminenses contraíram empréstimos nas modalidades oferecidas pelo Master, crédito cesta, antecipação de salário e cartão de crédito consignado, com juros que chegam a 100% ao ano em alguns contratos.

O deputado rel",2026-05-10 17:45:59+00:00,https://jornalggn.com.br/noticia/escandalo-do-banco-master-no-rio-tem-servidores-endividados-rombo-na-previdencia-e-cpi-em-andamento/,jornalggn
Audiência pública debate impactos da mineração de terras raras em MG,"Projetos de exploração mineral no Planalto Vulcânico de Poços de Caldas mobilizam movimentos sociais, especialistas e parlamentares","Uma audiência pública realizada nesta semana no IFSULDEMINAS – Campus Poços de Caldas colocou no centro do debate os impactos ambientais, sociais e econômicos dos projetos de mineração de terras raras previstos para o Planalto Vulcânico de Poços de Caldas, região estratégica entre o sul de Minas Gerais e o interior de São Paulo.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

Entre os projetos debatidos estão o Colossus, da empresa australiana Viridis Mining and Minerals, e o Caldeira, conduzido pela Meteoric Resources. As iniciativas atingem áreas localizadas em municípios como Poços de Caldas, Caldas, Andradas e Águas da Prata.

Durante a audiência, movimentos sociais e moradores da região manifestaram preocupação com possíveis impactos sobre recursos hídricos, saúde pública e riscos relacionados à presença de materiais radioativos no subsolo do planalto vulcânico.

Segundo os organizadores, os Estudos de Impacto Ambiental apresentados até agora pelas empresas são considerados insuficientes para assegurar proteção adequada às populações e ao território.

O debate também ganhou dimensão geopolítica. Especialistas presentes destacaram que as terras raras se tornaram alvo de disputa internacional devido ao papel estratégico desses minerais na fabricação de baterias, equipamentos eletrônicos, veículos elétricos, sistemas militares e tecnologias ligadas à transição energética.

Atualmente, a China domina grande parte da cadeia global de produção e processamento desses minerais, o que intensificou a corrida internacional por novas reservas em países como o Brasil.

Nesse contexto, participantes da audiência defenderam que o debate sobre mineração não pode se restringir à dimensão econômica e precisa considerar soberania nacional, preservação ambiental e direitos das comunidades afetadas.

A atividade ocorreu no dia 8 de maio e foi solicitada à Comissão de Meio Ambiente da Assembleia Legislativa de Minas Gerais pela dep",2026-05-09 18:12:18+00:00,https://jornalggn.com.br/economia/audiencia-publica-mineracao-terras-raras-pocos-caldas/,jornalggn
