titulo,subtitulo,texto,data,url,portal
Beatriz Manfredini,"Formada em Jornalismo e pós-graduada em Mídia, Política e Sociedade e também em Direito Constitucional, Beatriz está desde 2020 diariamente ao vivo no Jornal da Manhã…","Formada em Jornalismo e pós-graduada em Mídia, Política e Sociedade e também em Direito Constitucional, Beatriz está desde 2020 diariamente ao vivo no Jornal da Manhã com os bastidores da política e notícias de São Paulo. Nas eleições, cobriu a campanha de Lula de 2022 e também esteve em coberturas de tragédias como no Rio Grande do Sul e São Sebastião.",,https://jovempan.com.br/opiniao-jovem-pan/comentaristas/beatriz-manfredini,jovempan
Alan Ghani,"Alan Ghani é comentarista da Jovem Pan News, PhD em Finanças pela FEA-USP com passagem pela University of Texas at San Antonio como professor e pesquisador.…","Alan Ghani é comentarista da Jovem Pan News, PhD em Finanças pela FEA-USP com passagem pela University of Texas at San Antonio como professor e pesquisador. É também economista-chefe da MSX, e professor de pós graduação.",,https://jovempan.com.br/opiniao-jovem-pan/comentaristas/alan-ghani,jovempan
Reinaldo Polito,"Mestre em Ciências da Comunicação, professor de pós-graduação em Marketing Político e em Gestão Corporativa na ECA-USP e autor de 34 livros, que já venderam mais…","Mestre em Ciências da Comunicação, professor de pós-graduação em Marketing Político e em Gestão Corporativa na ECA-USP e autor de 34 livros, que já venderam mais de 1,5 milhão de exemplares em 39 países.",,https://jovempan.com.br/opiniao-jovem-pan/comentaristas/reinaldo-polito,jovempan
Ciro Gomes desiste de concorrer à Presidência em 2026,"Segundo a assessoria do ex-governador do Ceará, o anúncio oficial será feito no próximo sábado (16)","Segundo a assessoria do ex-governador do Ceará, o anúncio oficial será feito no próximo sábado (16)

MARCELO FONSECA/ESTADÃO CONTEÚDO Ciro irá concorrer ao governo do Ceará



O ex-governador do Ceará Ciro Gomes (PSDB) decidiu que não vai disputar a Presidência da República em 2026. Ele, que já disputou o cargo em quatro eleições, irá concorrer ao governo cearense.

Segundo a assessoria de Ciro, o anúncio oficial será feito no próximo sábado (16). O convite foi feito pelo presidente do partido, Aécio Neves, em 14 de abril.

O deputado federal afirmou que recebeu um telefonema de Ciro informando a decisão. Segundo a nota divulgada por Aécio, o PSDB vai continuar debatendo com Ciro e outras lideranças alternativas em momento em que a “polarização e o radicalismo vêm impedindo a apresentação de um projeto consistente”.

Depois do anúncio no mês passado, Ciro disse ainda estar cansado em relação à política nacional e que só considera a possibilidade diante da gravidade do cenário econômico e institucional do país.

No âmbito das críticas ao Judiciário – uma pauta presente nos discursos de quase todos os pré-candidatos – Ciro disse ser contra a indicação de Jorge Messias, advogado-geral da União do Brasil, à Suprema Corte, para a vaga deixada por Luís Roberto Barroso. A indicação foi rejeitada neste mês.

Essa seria a quinta candidatura do cearense à presidência da República. As outras quatro candidaturas foram em: 1998, 2002, 2018 e 2022.

Ciro também foi governador do estado do Ceará entre 1991 e 1994. Além de ministro de duas pastas, em duas gestões diferentes. Primeiro, ao ocupar o Ministério da Fazenda em 1994, no governo de Itamar Franco, E também no Ministério da Integração Nacional, no primeiro mandato de Lula, entre 2003 e 2006.",2026-05-11 15:54:59-03:00,https://jovempan.com.br/noticias/politica/ciro-gomes-desiste-de-concorrer-a-presidencia-em-2026.html,jovempan
Patrícia Costa,"Patrícia Costa é jornalista, especializada em ESG e Sustentabilidade Corporativa. Foi apresentadora e repórter das principais TVs do país. Hoje é responsável pelo quadro JP Sustentável,…","Patrícia Costa é jornalista, especializada em ESG e Sustentabilidade Corporativa. Foi apresentadora e repórter das principais TVs do país. Hoje é responsável pelo quadro JP Sustentável, exibido nos Jornais da Manhã e Jornal da Jovem Pan News.",,https://jovempan.com.br/opiniao-jovem-pan/comentaristas/patricia-costa,jovempan
"‘Pai de pet’, deputado Marcelo Queiroz é investigado por desvio milionário em castração","A Operação Castratio, deflagrada pela PF, investiga fraude em licitações envolvendo cerca de R$ 193 milhões em contratos públicos firmados durante a gestão de Marcelo Queiroz…","A Operação Castratio, deflagrada pela PF, investiga fraude em licitações envolvendo cerca de R$ 193 milhões em contratos públicos firmados durante a gestão de Marcelo Queiroz na SEAPPA

Divulgação Deputado Marcelo Queiroz foi alvo da PF em operação contra suposta fraude em programa de castração de animais



O deputado federal Marcelo Queiroz (PSDB) é investigado por suspeita de participação em um esquema de fraude em licitações no governo do Rio de Janeiro. A PF investiga irregularidades de cerca de R$ 193 milhões em 19 contratos para serviços de castração de animais.

Nesta terça-feira (12), o parlamentar foi alvo da Operação Castratio, deflagrada pela PF para apurar irregularidades em contratos firmados entre 2021 e 2023 pela Secretaria Estadual de Agricultura, Pecuária e Abastecimento (SEAPPA), pasta que era comandada por Queiroz à época.

“É importante ressaltar que entre 2021 e 2023, a Subsecretaria de Proteção e Bem-Estar Animal –RJPET celebrou 19 contratos com a empresa CONSUVET, somando um valor provisionado de R$ 193.687.125,00”, escreveu o ministro Flávio Dino, do STF, na decisão que autorizou a operação. Desse montante, R$ 35,5 milhões já foram pagos até janeiro de 2025. Dino autorizou buscas e apreensões contra integrantes de uma suposta organização criminosa infiltrada no governo estadual.

O inquérito destaca ainda o crescimento patrimonial de Marcelo Queiroz. “O deputado registrou um aumento de 665% em seu patrimônio entre as eleições de 2022 e 2024, passando a declarar R$ 7,6 milhões em bens, incluindo imóveis, investimentos e veículos”, cita o documento.

Como funcionava o esquema

Segundo a PF, o esquema tinha como objetivo direcionar contratos públicos para beneficiar a empresa ConsuVet, responsável por serviços do programa RJPET.

De acordo com as investigações, servidores e empresários atuavam em conjunto para manipular processos licitatórios, desclassificando propostas mais vantajosas para favorecer a empresa.

A ConsuVet também é suspeita de ",2026-05-12 11:51:24-03:00,https://jovempan.com.br/noticias/politica/pai-de-pet-deputado-marcelo-queiroz-e-investigado-por-desvio-milionario-em-castracao.html,jovempan
Jovem Pan,"É o pós-jogo da Jovem Pan. Informação, opinião, debate e análise sobre os destaques da rodada. Assim que a bola parar de rolar, a resenha do…","É o pós-jogo da Jovem Pan. Informação, opinião, debate e análise sobre os destaques da rodada. Assim que a bola parar de rolar, a resenha do dia seguinte começa com os craques do time de esportes da Jovem Pan.",,https://jovempan.com.br/programas/canelada,jovempan
TCU identifica desperdício de R$ 260 milhões em Coronavac sob governo Lula,"'Era esperado que o Departamento de Logística tratasse processos de alta materialidade e relevância com prioridade diferenciada', registra o acórdão","‘Era esperado que o Departamento de Logística tratasse processos de alta materialidade e relevância com prioridade diferenciada’, registra o acórdão

ALOISIO MAURICIO/FOTOARENA/ESTADÃO CONTEÚDO

O Tribunal de Contas da União (TCU) decidiu abrir audiência e convocar ex-diretores do Departamento de Logística em Saúde (DLOG) do Ministério da Saúde para apurar irregularidades na compra e no recebimento de 10 milhões de doses da vacina Coronavac, fabricada pelo Instituto Butantan. A demora na contratação direta e a aceitação de imunizantes com validade já consumida resultaram no descarte de 7,9 milhões de doses e em prejuízo estimado em R$ 261,7 milhões aos cofres públicos.

O relator é o ministro Bruno Dantas. A decisão determina a oitiva de Breno Vilela Costa (diretor do Departamento de Logística em Saúde (DLOG) de 27/1/2023 a 3/5/2023), Odilon Borges de Souza (também diretor do DLOG 3/5/2023 a 31/12/2023) e Thayssa Neiva da Fonseca Victer (coordenadora-geral de Gestão de Insumos e Rede de Frio).

Os autos mostram que o processo de compra começou em 24 de fevereiro de 2023 com o objetivo de atender crianças de 3 a 11 anos na campanha de multivacinação prevista para maio/junho. O contrato 221/2023 só foi assinado em 25 de setembro de 2023 — mais de sete meses depois. As vacinas só chegaram aos estoques do Ministério da Saúde em 25 de outubro.

O TCU identificou que a demora decorreu principalmente da lentidão na elaboração do Documento de Formalização da Demanda (DFD), do Mapa de Gerenciamento de Riscos e dos pareceres jurídicos da Consultoria Jurídica (Conjur). Mesmo com a Lei 14.133/2021 ainda sendo facultativa na época, o Ministério optou pelo novo rito sem estrutura adequada, o que gerou retrabalho. O Tribunal rejeitou a justificativa do órgão de que se tratava de “transição normativa”, pois outros 59 processos simultâneos continuavam sob a Lei 8.666/1993.

“Era esperado que o Departamento de Logística tratasse processos de alta materialidade e relevância com priori",2026-05-11 12:05:07-03:00,https://jovempan.com.br/noticias/politica/tcu-identifica-desperdicio-de-r-260-milhoes-em-coronavac-sob-governo-lula.html,jovempan
Fábio Piperno,"Jornalista com duas décadas de atuação em canais de TV e rádio, é comentarista de política e esportes na Jovem Pan News desde setembro de 2021.…","Jornalista com duas décadas de atuação em canais de TV e rádio, é comentarista de política e esportes na Jovem Pan News desde setembro de 2021. É autor dos livros “Jogada Política no Esporte” e “Vai Valer a Pena”.",,https://jovempan.com.br/opiniao-jovem-pan/comentaristas/fabio-piperno,jovempan
Tempo Real,"Com Márcia Dantas e Bruno Pinheiro, Tempo Real é o novo programa da Jovem Pan News que traz, ao vivo, de segunda a sexta, das 14h…","Com Márcia Dantas e Bruno Pinheiro, Tempo Real é o novo programa da Jovem Pan News que traz, ao vivo, de segunda a sexta, das 14h às 16h, um jornalismo direto, com análises, entrevistas e participação do público.",,https://jovempan.com.br/programas/tempo-real,jovempan
