titulo,subtitulo,texto,data,url,portal
Michelle critica apoio do PL a Ciro Gomes sem citá-lo: “Aliança com o mal”,Ex-primeira-dama reforçou apoio ao senador Eduardo Girão (Novo) ao Governo do Ceará. Atrito entre tucano e Michelle é um caso antigo,"A ex-primeira-dama Michelle Bolsonaro (PL) afirmou que o PL não pode se aliar ao “mal” ao reafirmar apoio à pré-candidatura do senador Eduardo Girão (Novo) ao Governo do Ceará. A declaração foi interpretada como uma indireta à aproximação entre a legenda e Ciro Gomes (PSDB) no estado.

A fala ocorreu nessa terça-feira (19/5), durante o lançamento da pré-candidatura de deputada distrital de Maria Amélia (PL), em Brasília (DF).

“Eu estou com o senhor [Eduardo Girão]. E, se tiver que perder, vamos perder com dignidade, mas a gente não vai fazer aliança com o mal. Aqui não é projeto de poder, aqui é transformação e libertação para o nosso povo”, declarou Michelle em discurso ao lado do senador.

Dias antes, coincidentemente, foi anunciado o lançamento da pré-candidatura de Ciro ao Executivo do Ceará e do anúncio de apoio feito pelo deputado federal André Fernandes (PL).

Portanto, a fala apenas fortalece a oposição da ex-primeira-dama à negociação promovida por membros do PL do Ceará visando um acordo com Ciro. O apoio conta com o respaldo de apoiadores do ex-presidente Jair Bolsonaro (PL) e de seus filhos.

6 imagens Fechar modal. 1 de 6 Michelle Bolsonaro VINÍCIUS SCHMIDT/METRÓPOLES @vinicius.foto 2 de 6 Ciro Gomes Metrópoles / Vinícius Santa Rosa 3 de 6 Reprodução 4 de 6 Ciro Gomes diz que Michlle ""humilhou André Fernandes por aproximação no Ceará Agência Brasil 5 de 6 Michelle Bolsonaro fala com a imprensa VINÍCIUS SCHMIDT/METRÓPOLES @vinicius.foto 6 de 6 ´Pré candidato ao Governo do Ceará, Ciro Gomes Hugo Barreto/Metrópoles

Nas redes sociais, Fernandes afirmou que “toda ajuda é bem-vinda” para derrotar a gestão do PT no estado e disse que pessoas de fora do Ceará podem “não entender” a aliança.

A aproximação entre PL e Ciro já havia gerado desconforto dentro do bolsonarismo. Meses antes, Michelle chegou a criticar publicamente as articulações conduzidas por André Fernandes e sinalizou resistência ao entendimento com o ex-ministro.

Críticas a Ciro

Ainda nessa t",,https://www.metropoles.com/brasil/michelle-critica-apoio-do-pl-a-ciro-gomes-sem-cita-lo-alianca-com-o-mal,metropoles
Cacique Raoni recebe alta após 7 dias internado em Mato Grosso,"Cacique Raoni Metuktire, de 93 anos, passou cinco dias na UTI após complicações respiratórias e gastrointestinais","O cacique Raoni Metuktire, de 93 anos, recebeu alta médica na manhã desta quinta-feira (21/5), após passar uma semana internado no Hospital e Maternidade Dois Pinheiros, em Sinop (MT), no norte de Mato Grosso. Em condição estável, ele retornou para casa, onde seguirá em tratamento domiciliar com acompanhamento contínuo.

Raoni estava hospitalizado desde 14 de maio, após apresentar complicações respiratórias e gastrointestinais. Durante a internação, ele permaneceu cinco dias na Unidade de Terapia Intensiva (UTI), sob monitoramento intensivo e assistência multiprofissional.

Segundo boletim médico divulgado pelo hospital, o líder indígena apresentou melhora progressiva dos quadros respiratório e gastrointestinal, incluindo resolução do desconforto abdominal. Ele recebeu alta assintomático, sem febre, hemodinamicamente estável e com boa aceitação alimentar.

De acordo com a equipe médica, o cacique possui comorbidades pré-existentes, como Doença Pulmonar Obstrutiva Crônica (DPOC), insuficiência cardíaca, uso de marcapasso cardíaco e hérnia diafragmática, condição que seguirá exigindo acompanhamento especializado.

Após a alta, Raoni Metuktire foi acompanhado pela equipe até o Clube Aerodesportivo Selva, de onde embarcou de avião com familiares rumo à residência onde vive, nas proximidades de Sinop.",,https://www.metropoles.com/brasil/cacique-raoni-recebe-alta-apos-7-dias-internado-em-mato-grosso,metropoles
Tremor de magnitude 3.3 é registrado no litoral do Rio de Janeiro,"Abalo foi registrado por estações de monitoramento espalhadas pelo país. Fenômeno ocorreu às 5h31, próximo ao município de Maricá","Um tremor de terra de magnitude 3.3 foi registrado no litoral do Rio de Janeiro, próximo ao município de Maricá, na madrugada desta quinta-feira (21/5). Segundo medições da Rede Sismográfica Brasileira (RSBR), o fenômeno ocorreu às 5h31.

O abalo foi registrado por estações de monitoramento espalhadas pelo país e analisadas pelo Centro de Sismologia da Universidade de São Paulo (USP).

A rede responsável pelo monitoramento é coordenada pelo Observatório Nacional, com apoio do Serviço Geológico do Brasil.

Até a última atualização desta matéria, não constavam relatos de moradores que tivessem sentido o tremor.

Fenômeno não é incomum no Brasil

Segundo especialistas, esse tipo de ocorrência não é incomum de acontecer no território brasileiro, mas não representa risco para a população.

Apesar de o Brasil estar longe das áreas de encontro das placas tectônicas, onde ocorrem os grandes tremores, o país também registra abalos causados pela acomodação das estruturas geológicas internas da crosta terrestre.",,https://www.metropoles.com/brasil/tremor-de-magnitude-3-3-e-registrado-no-litoral-do-rio-de-janeiro,metropoles
Confira os números da Quina 7031 sorteados hoje (21/5),"Além da Quina, a Caixa Econômica Federal sorteou as dezenas da Lotofácil, Timemania e Dia de Sorte","A Caixa Econômica Federal sorteou, na noite desta quinta-feira (21/5), os concursos de número 7.031 da Quina; 3.691 da Lotofácil; 2.394 da Timemania; e o 1.216 da Dia de Sorte.

Os números foram sorteados no Espaço da Sorte, em São Paulo.

Confira os resultados:

Quina

40 – 12 – 56 – 70 – 03;

Lotofácil

13 – 23 – 24 – 14 – 19 – 15 – 05 – 10 – 21 – 25 – 18 – 02 – 08 – 09 – 03;

Timemania

73 – 52 – 26 – 08 – 03 – 47 – 15;

Time do coração: 3 – Atlético/MG

Dia de Sorte

24 – 02 – 28 – 31 – 14 – 09 – 03;

Mês da sorte: 04 – Abril",,https://www.metropoles.com/brasil/confira-os-numeros-da-quina-7031-sorteados-hoje-21-5,metropoles
Dino vota para punir partidos que fraudaram cota racial eleitoral,Texto também prevê a regularização de débitos dos partidos que descumpriram as cotas em eleições anteriores,"O ministro Flávio Dino, do Supremo Tribunal Federal (STF), abriu, nesta quinta-feira (21/5), divergência no julgamento sobre as duas ações de inconstitucionalidade que questionam a validade da Emenda Constitucional 133/2024. A alteração do texto constitucional fixou em 30% a obrigatoriedade de recursos eleitorais para candidaturas de pessoas pretas e pardas.

O texto também prevê a regularização de débitos dos partidos que descumpriram as cotas em eleições anteriores. Para Dino, a regra funciona como uma anistia ampla que perdoa as legendas que não repassaram os fundos exigidos no passado.

O relator do caso é o ministro Cristiano Zanin, que se manifestou pela validade da Emenda e pela improcedência das ações.

“A anistia estabelecida pela Emenda, ao neutralizar políticas afirmativas, legitimar o descumprimento pretérito, contrariar obrigações internacionais assumidas pelo Brasil e comprometer o projeto constitucional de construção de uma sociedade livre, justa, plural e sem racismo, não se harmoniza com a Constituição de 1988. Por essas razões, impõe-se reconhecer sua inconstitucionalidade material”, votou Dino.

Dino argumenta que a medida desresponsabiliza atitudes ilícitas, neutraliza a efetividade das ações afirmativas e fomenta uma impunidade institucionalizada.

O ministro Dias Toffoli acompanhou o entendimento de Zanin. O caso está sendo analisado no Plenário Virtual (PV) e se encerra nesta sexta-feira (22/5).

Para Zanin, o mecanismo criado pelo Congresso não é uma anistia, mas sim um “refinanciamento” e um regime de transição. O relator destaca que o texto obriga os partidos a aplicarem os valores atrasados nas quatro eleições seguintes, a partir de 2026, o que garante os recursos para as candidaturas sem comprometer a saúde financeira das siglas.",,https://www.metropoles.com/brasil/dino-vota-para-punir-partidos-que-fraudaram-cota-racial-eleitoral,metropoles
Ministro da Fazenda anuncia aumento no bloqueio do Orçamento da União,"Dario Durigan confirma contenção adicional de gastos, conforme esperado pelo mercado. Valor do bloqueio será divulgado nesta sexta (22/5)","O ministro da Fazenda, Dario Durigan, confirmou nesta quinta-feira (21/5) que o governo federal fará um novo bloqueio no Orçamento de 2026. A sinalização foi dada um dia antes da divulgação do Relatório Bimestral de Avaliação de Receitas e Despesas Primárias do 2° bimestre, principal instrumento de monitoramento das contas públicas.

Sem antecipar valores ou a dimensão do corte, Durigan afirmou que o ajuste será necessário para manter o compromisso do governo com o equilíbrio fiscal e o cumprimento das regras do arcabouço.

“A gente deve caminhar amanhã com um aumento no bloqueio. Já foi feito um bloqueio de R$ 1,6 bilhão, no primeiro bimestre. A gente vai caminhar para um aumento de bloqueio, portanto o governo cortando na própria carne no aumento de bloqueio para compatibilizar com as nossas metas fiscais”, disse Durigan em entrevista à CNN Brasil.

Avanço nas despesas obrigatórias

A expectativa dentro da equipe econômica já era de contenção adicional de gastos. Técnicos envolvidos na elaboração do relatório vinham apontando que o espaço fiscal está cada vez mais restrito, sobretudo diante do avanço das despesas obrigatórias.

Entre os principais focos de pressão, estão os gastos com a Previdência Social. Estimativas de mercado indicam que essas despesas podem ter sido subestimadas em cerca de R$ 11 bilhões ao longo do ano, o que tende a exigir um bloqueio mais robusto para compensação.

O bloqueio ocorre quando há aumento de despesas acima do permitido pelas regras fiscais e exige a limitação de gastos discricionários, aqueles sobre os quais o governo tem maior controle, como investimentos e custeio da máquina pública e impacta diretamente os ministérios.

Já o contingenciamento, por sua vez, é acionado quando há frustração de receitas e risco de descumprimento da meta de resultado primário.

Na última revisão bimestral, o governo já havia determinado um bloqueio inicial de R$ 1,6 bilhão, em linha com a necessidade de adequação ao limite de crescimento das despe",,https://www.metropoles.com/brasil/ministro-da-fazenda-anuncia-aumento-no-bloqueio-do-orcamento-da-uniao,metropoles
Itamaraty convoca diplomata de Israel após vídeo com ativistas presos,"Atual chefe da embaixada de Israel no Brasil, Rasha Athamni, se reuniu no Itamaraty com diplomatas do departamento de Ásia e Oriente Médio","O Ministério das Relações Exteriores (MRE) convocou, nesta quinta-feira (21/5), a atual chefe da embaixada de Israel no Brasil, Rasha Athamni, para prestar esclarecimentos sobre um polêmico vídeo divulgado pelo ministro da Segurança Nacional israelense, Itamar Ben Gvir.

Nas imagens, integrantes da Flotilha Global Sumud, que tentou novamente entrar com ajuda humanitária na Faixa de Gaza, aparecem recebendo tratamento humilhante após serem detidos.

ככה אנחנו מקבלים את תומכי הטרור Welcome to Israel 🇮🇱 pic.twitter.com/7Hf8cAg7fC — איתמר בן גביר (@itamarbengvir) May 20, 2026

A representante israelense foi recebida no Itamaraty por diplomatas do departamento de Ásia e Oriente Médio.

Antes da convocação de Rasha Athanmi, o Itamaraty já havia se manifestado sobre o caso. Em nota, a diplomacia brasileira classificou como “degradante e humilhante” o tratamento dado aos ativistas por autoridades de Israel.

Além disso, o Ministério das Relações Exteriores repudiou a interceptação em águas internacionais e a detenção dos membros da missão.

Rasha Athamni é encarregada de negócios e comanda a embaixada israelense em Brasília desde outubro do último ano. Ela assumiu o posto após a diplomacia brasileira não responder a solicitação de Tel Aviv sobre a indicação do embaixador Gali Dagan, em meio à crise diplomática entre Brasil e Israel.

Em abril, a diplomata israelense já havia sido convocada pelo Itamaraty para prestar esclarecimentos sobre a prisão do ativista brasileiro Thiago Ávila. Ele ficou preso em Israel por mais de dez dias, após autoridades israelenses interceptarem a missão humanitária da qual participava.

Quatro brasileiros entre os detidos

No Telegram, o ministro Ben Gvir, considerado um dos membros mais radicais do governo israelense, publicou o registro em que ativistas aparecem com as mãos amarradas nas costas e ajoelhados, enquanto o hino de Israel toca ao fundo.

Ao todo, a nova missão humanitária rumo ao território palestino contava com 439 membros, de apr",,https://www.metropoles.com/brasil/itamaraty-convoca-diplomata-de-israel-apos-video-com-ativistas-presos,metropoles
Durigan sobre GDF e BRB: “Não estou fechado ao diálogo”,"De acordo com Durigan, há disposição para diálogo com o GDF sobre a situação do BRB, mas que o governo federal não foi procurado antes","O ministro da Fazenda, Dario Durigan, afirmou nesta quinta-feira (21/5) que está disposto a abrir diálogo com o Governo do Distrito Federal (GDF) sobre a situação do Banco de Brasília (BRB), envolvido na compra de créditos podres do Banco Master.

“Eu estou conversando com o Banco Central (BC), disposto a conversar com o GDF, disposto a achar um melhor caminho, privilegiando o interesse público”, disse em entrevista para a CNN Brasil.

Durigan explicou que o governo não chegou a ser procurado pelo GDF até a posse da nova governadora, Celina Leão (Progressistas).

“Não houve, até a nova governadora assumir o cargo, nenhum tipo de pedido de conversa ou reunião do governo com o ministério da Fazenda, então se houve gelo de dois anos, três anos, houve gelo do DF com a União”, explicou.

O ministro disse ainda que chegou a ligar para a governadora para tratar sobre a adesão do DF ao projeto do governo de redução do Imposto sobre Circulação de Mercadorias e Serviços (ICMS) sobre os combustíveis, quando Celina aproveitou para pedir uma reunião sobre o BRB, algo que ainda não havia acontecido até o momento.

Acontece que atualmente o GDF não possui Capacidade de Pagamento (Capag) para contratar empréstimos com aval do Tesouro Nacional, o que está travando a negociação com outros bancos. No entanto, Durigan afirmou que não está fechado ao diálogo e que tem buscado uma solução que seja benéfica ao país.

O secretário do Tesouro Nacional, Daniel Leal, já havia sinalizado que a falta de Capag do GDF poderia impactar na aprovação da garantia para um empréstimo para o BRB. “Hoje, só é possível contratar crédito com garantia da União com Capag A e B”, disse. De acordo com ele, para que o empréstimo fosse viabilizado, seria necessário uma mudança normativa.

Ele disse também que o GDF havia enviado o pedido para análise, mas houve a necessidade de solicitar novos documentos.

“Não veio nenhum tipo de informação que possibilita que a gente faça a análise, mas, se der entrada da form",,https://www.metropoles.com/brasil/durigan-sobre-gdf-e-brb-nao-estou-fechado-ao-dialogo,metropoles
Justiça mantém prisão de chileno investigado por racismo durante voo,Chileno está preso no Brasil após proferir falas racistas e homofóbicas contra funcionários da Latam,"A Justiça Federal manteve nesta quinta-feira (21/5) a prisão preventiva de Germán Andrés Naranjo Maldini, investigado pela Polícia Federal (PF) por racismo e homofobia contra um comissário de bordo durante voo da Latam na última sexta-feira (15/5).

O juiz federal Ricardo Duarte Ferreira Figueira, da 4ª Vara Federal de Guarulhos, entendeu que, devido ao alto poder aquisitivo do acusado, havia risco real de fuga.

“Ante o exposto, em consonância com os fundamentos anteriormente lançados e com a manifestação do Ministério Público Federal, indefiro os pedidos de revogação da prisão preventiva de, bem como o pleito subsidiário, pelo que mantenho a custódia cautelar do investigado”, decidiu o magistrado.

Ao Metrópoles, a defesa do chileno informou que recorreu da decisão da Justiça Federal e pediu que o executivo fosse transferido para uma unidade clínica adequada.

Segundo seus advogados, as falas se deram diante de um “surto psicótico”.

“Bruno (comissário), provavelmente você está bravo demais para me perdoar, mas espero ter a chance de me desculpar pessoalmente com você. Não era eu. Minha mente estava em um estado alterado. Queria ter a oportunidade e a permissão de escrever esta carta de próprio punho, mas, por ora, tive de pedir que meu advogado o fizesse”, afirmou o chileno em pedido de desculpas ao comissário.

Prisão na volta ao Brasil

Germán está preso preventivamente no Centro de Detenção Provisória (CDP). Segundo a PF, o crime teria sido cometido durante embarque no domingo (10/5), no Aeroporto Internacional de Guarulhos (SP), com destino a Frankfurt, na Alemanha.

A conduta de Maldini foi registrada em vídeo. Nas imagens feitas no avião, o homem aparece insultando o comissário de bordo da Latam e fazendo gestos imitando um macaco.

Demissão

A empresa de pescados chilena Landes anunciou, na terça-feira (19/5), a demissão do executivo.

A decisão da empresa foi divulgada em um comunicado interno. “Após a conclusão da investigação interna iniciada no último ",,https://www.metropoles.com/brasil/justica-mantem-prisao-de-chileno-investigado-por-racismo-durante-voo,metropoles
Últimas notícias em Brasil,"Confira as principais notícias do Brasil: política, economia, religião, saúde, educação, meio ambiente, ciência e tecnologia, polícia, justiça e muito mais.","Parece que seu browser não está permitindo notificações. Siga os passos a baixo para habilitá-las:

1. Mais opções no Google Chrome 2. Configurações 3. Configurações do site 4. Notificações 5. Os sites podem pedir para enviar notificações

voltar",,https://www.metropoles.com/brasil,metropoles
Confira os números da Lotofácil 3691 sorteados hoje (21/5),"Além da Lotofácil , a Caixa Econômica Federal sorteou as dezenas da Quina, Timemania e Dia de Sorte","A Caixa Econômica Federal sorteou, na noite desta quinta-feira (21/5), os concursos de número 3.691 da Lotofácil; 7.031 da Quina; 2.394 da Timemania; e o 1.216 da Dia de Sorte.

Os números foram sorteados no Espaço da Sorte, em São Paulo.

Confira os resultados:

Lotofácil

13 – 23 – 24 – 14 – 19 – 15 – 05 – 10 – 21 – 25 – 18 – 02 – 08 – 09 – 03;

Quina

40 – 12 – 56 – 70 – 03;

Timemania

73 – 52 – 26 – 08 – 03 – 47 – 15;

Time do coração: 3 – Atlético/MG

Dia de sorte

24 – 02 – 28 – 31 – 14 – 09 – 03;

Mês da sorte: 04 – Abril

Receba notícias de Brasil no seu WhatsApp e fique por dentro de tudo! Basta acessar o canal de notícias do Metrópoles no WhatsApp.

Receba notícias do Metrópoles no seu Telegram e fique por dentro de tudo! Basta acessar o canal de notícias no Telegram.",,https://www.metropoles.com/brasil/confira-os-numeros-da-lotofacil-3691-sorteados-hoje-21-5,metropoles
