titulo,subtitulo,texto,data,url,portal
Zema eleva críticas contra Flávio: “Decepção muito grande”,"Quem estiver do lado de corrupto, não conte comigo, declarou pré-candidato à Presidência","Pleno.News - 16h59 | atualizado em 22/05/2026 17h56

Romeu Zema, ex-governador de Minas Gerais Foto: Marcelo Camargo/Agência Brasil

O ex-governador de Minas Gerais e pré-candidato do Novo à Presidência da República, Romeu Zema, elevou o tom das críticas ao senador Flávio Bolsonaro (PL-RJ), ao ser perguntado se estaria rompendo com o “bolsonarismo”.

Em resposta, ele disse que estava “rompendo com o que sempre condenou”. Zema também afirmou que nunca usou o nome da família para se projetar politicamente e se disse decepcionado pelo episódio das conversas de Flávio com o banqueiro Daniel Vorcaro.

– Eu estou rompendo com aquilo que eu condeno; eu sempre condenei corrupção. Quem estiver do lado de corrupto, não conte comigo – disse Zema, em entrevista ao SBT News.

O ex-governador de Minas afirmou que foi “muito surpreendido” e que ainda não viu “nenhuma explicação convincente” sobre o episódio.

– Para nós do Partido Novo, havia sido dito que não havia nenhum vínculo com um bandido banqueiro. E primeiro veio uma ligação, uma gravação de conversa. Achamos que fosse aquilo, e depois ainda veio uma visita pessoal, o que mostra um vínculo muito forte e personalíssimo dele com esse grande bandido que, com certeza, é o maior da história do Brasil. Então, a decepção muito grande. E o Brasil precisa de um presidente que tenha credibilidade para poder fazer as mudanças – criticou Zema.

O pré-candidato do Novo afirmou ser diferente dos demais ao ser questionado se manterá a candidatura até o fim ou se poderia se unir a Flávio.

– Eu sempre fui pagador de impostos. Fui empreendedor. A empresa que eu criei gera mais de 5 mil empregos diretos. Eu não utilizei nome da minha família para me promover politicamente. Eu, aliás, criei esse nome na política, e me considero ainda um outsider – afirmou.

Zema também foi questionado se, em um segundo turno, como faria caso precisasse escolher entre Lula e Flávio. Embora tenha dito que os nomes de direita estarão juntos contra a esquerda, ",,https://pleno.news/brasil/politica-nacional/zema-eleva-criticas-contra-flavio-decepcao-muito-grande.html,plenonews
Lula diz que Operação Lava Jato “foi a grande mentira do século”,Presidente foi um dos quase 300 condenados na ação,"Kleber Pizão - 18h02

Luiz Inácio Lula da Silva (PT) Foto: Ricardo Stuckert / PR

O presidente Luiz Inácio Lula da Silva (PT) afirmou nesta sexta-feira (22) que a Operação Lava Jato, na qual foi preso em 2018, foi a maior mentira do século 21. Segundo o petista, a investigação não apresentou provas suficientes para as condenações e, além disso, prejudicou a economia.

A declaração dada por ele foi uma das justificativas para as pessoas não gostarem de política, pois, segundo o presidente, a maioria dos debates sobre o tema aborda a corrupção. As falas ocorreram em entrevista ao programa Sem Censura, da TV Brasil.

— Eu não vou entrar no meu caso, mas a Lava Jato foi a grande mentira do século 21 neste país. E os meios de comunicação fomentaram dois monstros, chamados [Sergio] Moro e Deltan Dallagnol, e que depois não provaram nada — disse.

Sergio Moro foi o juiz federal responsável por julgar os processos da Operação Lava Jato em primeira instância, enquanto Deltan Dallagnol foi o procurador da República que coordenou a força-tarefa do Ministério Público Federal (MPF).

Lula ainda complementou que a operação afetou diretamente a economia, pois a prisão de diversos donos de empresas teria deixado milhões de pessoas desempregadas.

— Quebraram muitas empresas, porque quando uma empresa pratica um ato de corrupção, você prende o dono da empresa e deixa a empresa gerando emprego. Mas aqui o objetivo era quebrar as empresas. A serviço de quem? Quatro milhões de empregos foram desmontados com todo aquele episódio da Lava Jato. A serviço de quem? — questionou.

Segundo o petista, os meios de comunicação deveriam pedir desculpas ao povo pela propagação do caso, e usou como exemplo a medida tomada sobre a situação do regime militar.

— Então, eu não vi ninguém pedir desculpa. Ninguém pede desculpa nesse país. Sabe, os meios de comunicação poderiam… demoraram 50 anos para reconhecer, pedir desculpas no regime militar. E agora eles vão demorar mais 50 para pedir desculpa pelo",,https://pleno.news/brasil/politica-nacional/lula-diz-que-operacao-lava-jato-foi-a-grande-mentira-do-seculo.html,plenonews
Lula fala em vetar PL que libera mensagens eleitorais em massa,Presidente também falou sobre a necessidade de lidar com a inteligência artificial nas eleições,"Henrique Gimenes - 18h16 | atualizado em 22/05/2026 19h19

Presidente Luiz Inácio Lula da Silva Foto: EFE/ Andre Borges

Nesta sexta-feira (22), o presidente Luiz Inácio Lula da Silva (PT) afirmou que pretende vetar um projeto de lei aprovado pela Câmara dos Deputados que libera o disparo em massa de mensagens eleitorais. De acordo com o petista, antes ele pretende trabalhar para que o tema não seja aprovado no Senado.

A medida faz parte de um projeto de minirreforma eleitoral que, entre outras coisas, libera o envio de mensagens em massa a eleitores previamente cadastrados e altera a prestação de contas de partidos políticos.

Lula abordou o assunto durante entrevista à TV Brasil. De acordo com o petista, é preciso ainda pensar nos usos da inteligência artificial (IA) no pleito.

– Acho que está na hora de a gente pensar que a inteligência artificial vale para muita coisa, mas ela não pode valer na disputa eleitoral para escolher um prefeito, um governador, um deputado. Não pode. E, agora, as bancadas aprovaram [na Câmara] uma coisa que vai fomentar o uso de robôs na eleição. Eu certamente vetarei. Primeiro, vou trabalhar para o Senado não aprovar, e depois eu vetarei – disse.

Durante a conversa, o petista também afirmou que mudou de ideia em relação ao fundo eleitoral. Somente para 2026, os parlamentares aprovaram o valor de R$ 4,9 bilhões para o fundo.

– Eu era favorável a fundo partidário, a fundo eleitoral, hoje eu sou contra, porque levou à promiscuidade na política. Um deputado hoje tem R$ 50 milhões, R$ 60 milhões de emendas por ano – afirmou o presidente.

Leia também1

2

3

4

5



Siga-nos nas nossas redes! facebook

instagram

whatsapp

telegram

youtube

twitter

Receba notícias

em seu celular! Whatsapp Telegram

Comunicar erro Se você encontrou erro neste texto, por favor preencha os campos abaixo. Sua mensagem e o link da página serão enviados automaticamente à redação do Pleno.News, que checará a informação. Nome Completo E-mail Telefone Descriç",,https://pleno.news/brasil/politica-nacional/lula-fala-em-vetar-pl-que-libera-mensagens-eleitorais-em-massa.html,plenonews
Pelo amor do Português,"Verônica Bareicha ama palavras e letrinhas desde sempre. Há vinte e tantos anos atua como revisora, redatora e ghostwriter. É pós-graduanda em Jornalismo Digital pela FAAP; pós-graduada em Mercado Editorial pela PUC-Rio e graduada em Letras, pelo Unasp-EC. Deseja neste espaço compartilhar o amor e dicas da língua portuguesa de forma leve, bem-humorada e divertida.","Verônica Bareicha ama palavras e letrinhas desde sempre. Há vinte e tantos anos atua como revisora, redatora e ghostwriter. É pós-graduanda em Jornalismo Digital pela FAAP; pós-graduada em Mercado Editorial pela PUC-Rio e graduada em Letras, pelo Unasp-EC. Deseja neste espaço compartilhar o amor e dicas da língua portuguesa de forma leve, bem-humorada e divertida.",,https://pleno.news/opiniao/veronicabareicha,plenonews
Sociedade Contemporânea,"Marisa Lobo atua como psicanalista, é pós-graduada em Psicanálise; Gestão e Mediação de Conflitos; Educação de Gênero e Sexualidade; Filosofia de Direitos Humanos e Saúde Mental; tem também habilitação para magistério superior.","29/06/2019

O que me assusta são pessoas acreditarem em hackers que nem conhecemos o rosto, que são criminosos confessos, e duvidar de dois homens que tornaram possível sonhar com um Brasil sem corrupção",,https://pleno.news/opiniao/marisa-lobo,plenonews
Cosmovisão Cristã,"Renato Vargens é pastor sênior da Igreja Cristã da Aliança em Niterói, no Rio de Janeiro e conferencista. Pregou o evangelho em países da América do Sul, do Norte, Caribe, África e Europa. Tem 40 livros publicados em língua portuguesa e um em língua espanhola. É membro dos conselhos do TGC Brasil e do IBDR.","11/07/2018

Apesar de no Brasil de hoje não encontrarmos mais perseguições, é possível percebermos de forma nítida, por parte da imprensa e dos formadores de opinião, um claro preconceito contra aqueles que se dizem seguidores de Cristo",,https://pleno.news/opiniao/renato-vargens,plenonews
,CATEGORIAS,"Amplifica  é um instituto que dá voz a jovens lideranças comprometidas com as ideias de liberdade.
 É coerente o trabalhador buscar menor carga de trabalho e o empresário buscar maior produtividade Quando o presidente do país sinaliza que a hostilidade contra judeus é aceitável, o cidadão comum sente-se encorajado a agir Liberdade de Expressão Amplifica Economia & Sociedade Democracia Chuchu com Caviar Política Internacional Teologia Viva Tem que ter coragem Conservadorismo Sociedade Contemporânea Direito Religioso Café com Política Vida e Saúde Cosmovisão Cristã Comunicação, vida e política Voz da Liberdade Força e Honra Entenda seu direito Política e Direito Pelo amor do Português Fim dos Tempos Lei, Justiça e Valores",,https://pleno.news/opiniao/amplifica,plenonews
,CATEGORIAS,"Fábio Guimarães é economista, formado pela UFRRJ com MBA em Gestão de Negócios pelo IBMEC-RJ. Palestrante, consultor e debatedor, atua há mais de 20 anos como gestor nos poderes Executivo e Legislativo, com ênfase nas áreas de trabalho, renda e desenvolvimento econômico.
 Quanta falta para o país faz o seu espírito público, a sua serenidade e a sua educação em fazer política Não existe sociedade que se desenvolva e alcance justiça social dessa forma. Sim, o Brasil padece Uma democracia corroída, dilapidada, deteriorando o maior patrimônio que detém: a liberdade! ""Nunca antes na história deste país um partido tirou tantos milhões da pobreza. Eu achava que milhões se referiam às pessoas…” É vital que o governo brasileiro domine o cenário geopolítico que está sendo redesenhado para que defenda nossa economia No STF, por exemplo, temos decisões sendo reinterpretadas a todo instante, de acordo com conveniência política O ministro acabou de suspender o julgamento da mulher que pichou a estátua com a expressão “perdeu, mané” Vou mostrar em dois exemplos simples  Os ventos mareiam um tempo em que a direita poderá, de forma histórica, retomar o comando do país  O deputado Hugo Motta e o senador Davi Alcolumbre são dois jovens experientes na política, que conseguem dialogar bem com alas da direita e da esquerda A população está sufocada e o jovem deputado conseguiu com seu vídeo demonstrar esse sentimento, foi a voz de milhares de brasileiros É uma vergonha o governo Lula reunir ministros para decidir o que fazer contra a liberdade de expressão Triste é o país onde um “artista”, funcionário da maior rede de TV local, faz piada com uma prisão de autoridade  Qualquer cidadão que leia com atenção a carta do PT, dirigida à sociedade, ficará abismado com a visão de mundo limitada e desconexa apresentada Lula voltou a distorcer os números sobre a fome no Brasil durante a abertura da Cúpula do G20 O governo dos trabalhadores afana o dinheiro dos trabalhadores, sem preconceito e d",,https://pleno.news/opiniao/fabio-guimaraes,plenonews
Conservadorismo,"Marco Feliciano é pastor e está em seu quarto mandato consecutivo como deputado federal pelo Estado de São Paulo. Ele também é escritor, cantor e presidente da Assembleia de Deus Ministério Catedral do Avivamento.","06/07/2018

As bandeiras de Obrador são de cunho populista, com uma agenda que dá enfoque à eliminação da corrupção e da pobreza. Ele se apresenta como um salvador da pátria; filme que já assistimos por aqui",,https://pleno.news/opiniao/marco-feliciano,plenonews
Entenda seu direito,"Thassya Prado é advogada empresarial e idealizadora do @entendaseudireito. CEO do escritório Prado Advocacia Empresarial, Compliance e Tribunais, é  especialista em Gestão de Pessoas, Gestão Empresarial e Tribunais Superiores. Atua ainda como mentora de advogados.","Thassya Prado é advogada empresarial e idealizadora do @entendaseudireito. CEO do escritório Prado Advocacia Empresarial, Compliance e Tribunais, é especialista em Gestão de Pessoas, Gestão Empresarial e Tribunais Superiores. Atua ainda como mentora de advogados.",,https://pleno.news/opiniao/thassya-prado,plenonews
