titulo,subtitulo,texto,data,url,portal
Vieira representa Lula na assinatura do acordo Mercosul-UE,"Chanceler afirmou que negociação reforça integração entre comércio, meio ambiente e crescimento econômico. Leia no Poder360.","Chanceler afirmou que negociação reforça integração entre comércio, meio ambiente e crescimento econômico

O ministro das Relações Exteriores, Mauro Vieira, representou o presidente Luiz Inácio Lula da Silva (PT) na cerimônia de assinatura do acordo entre o Mercosul e a UE (União Europeia) neste sábado (17.jan.2026), em Assunção, no Paraguai.

Durante a cerimônia, o ministro disse que a assinatura irá orientar a relação entre os blocos econômicos com base no desenvolvimento sustentável e no bem-estar.

“O comércio é uma das dimensões da parceria entre Mercosul e União Europeia, lastreada em valores comuns. Democracia, Estado de Direito, respeito aos direitos humanos e proteção do meio ambiente estão plenamente refletidos no acordo que assinamos”, afirmou durante a cerimônia.

Para ele, o processo de negociação do tratado “deixou claro” que há um compromisso firmado entre as regiões pela “plena integração” dos blocos.

publicidade

publicidade

“Ao longo das negociações entre Mercosul e União Europeia, em especial na etapa final iniciada nos primeiros meses de 2023, ficou claro o compromisso das duas regiões com a plena integração entre o comércio e o desenvolvimento sustentável”, declarou.

Depois de assinado, o processo exigirá análise pelo Parlamento Europeu. Determinadas partes do acordo também poderão necessitar de aprovação pelos parlamentos nacionais de cada país-membro da UE, dependendo da interpretação jurídica adotada –o que pode provocar divergências entre a decisão continental e decisões nacionais.

No lado sul-americano, o tratado precisará passar pelos congressos nacionais de Brasil, Argentina, Uruguai e Paraguai. Essa etapa é necessária porque o tratado estabelece obrigações legais dentro de cada país do bloco, incluindo redução de tarifas, mudanças nas regras comerciais e diversos compromissos regulatórios.

publicidade

publicidade

Durante os processos de ratificação, existe a possibilidade de aplicação provisória de certas partes do acordo, princip",2026-01-17 18:08:32+00:00,https://www.poder360.com.br/poder-economia/vieira-representa-lula-na-assinatura-do-acordo-mercosul-ue/,poder360
Marinho pede Congresso “produtivo” para votar PL dos motoristas dos apps,"""No ano passado, a produção foi baixa"", afirmou o ministro do Trabalho e Emprego; disse esperar aprovação no 1º semestre. Leia no Poder360.","“No ano passado, a produção foi baixa”, afirmou o ministro do Trabalho e Emprego; disse esperar aprovação no 1º semestre

O ministro do Trabalho e Emprego, Luiz Marinho, pediu nesta 5ª feira (29.jan.2026) que o Congresso seja “mais produtivo” em 2026 para votar o PLP (projeto de lei complementar) 152 de 2025, que versa sobre a regulamentação do trabalho de entregadores e motoristas de aplicativos.

“Às vezes o Congresso tem menos tempo, às vezes é mais produtivo. O que a gente espera, que eles têm pouco tempo esse ano. Portanto, produzam mais. No ano passado, a produção foi baixa”, declarou a jornalistas.

Marinho reforçou esperar a aprovação da proposta ainda no 1º semestre de 2026 e disse que o presidente da Câmara dos Deputados, Hugo Motta (Republicanos-PB), comprometeu-se a pautar a proposta desde que chegou ao comando da Casa. O ministro também elogiou a relatoria do deputado Augusto Coutinho (Republicanos-PE).

“O deputado Augusto Coutinho fez seu trabalho, fez seu relatório, na minha opinião, bastante equilibrado. Na opinião do governo, bastante equilibrado”, afirmou.

publicidade

publicidade

Em 20 de janeiro, uma reunião entre o governo do presidente Luiz Inácio Lula da Silva (PT) e a Amobitec (Associação Brasileira de Mobilidade e Tecnologia), que representa empresas como Uber e iFood, terminou sem uma resolução. O texto substitutivo segue como um entrave.

Segundo o ministro, é compreensível que as empresas atuarão para mexer na proposta. “O pior dos mundos é continuar do jeito que está com a insegurança jurídica que persiste na sociedade, nas relações entre trabalhadores, empregadores e governo”, disse. Ele afirmou esperar que o texto seja pautado já no retorno do Legislativo, em fevereiro.

No seu entendimento, a análise da proposta que põe fim à escala 6 X 1 também pode ser feita no 1º semestre.

publicidade

publicidade

PROGRAMA DE ALIMENTAÇÃO DO TRABALHADOR

Luiz Marinho também comentou o fato de algumas empresas do setor de alimentação terem obtid",2026-01-29 21:01:37+00:00,https://www.poder360.com.br/poder-congresso/marinho-pede-congresso-produtivo-para-votar-pl-dos-motoristas-dos-apps/,poder360
"Fazenda propõe medida para reduzir preço do diesel em R$ 1,20",Equipe de Lula quer uma subvenção que será custeada meio a meio por Estados e União; custo total é de R$ 3 bilhões. Leia no Poder360.,"Equipe econômica de Lula quer uma subvenção que será custeada meio a meio por Estados e União; custo total é de R$ 3 bilhões

O ministro da Fazenda, Dario Durigan, disse nesta 3ª feira (24.mar.2026) que o governo federal estuda com os Estados uma medida para baratear o preço do litro do diesel importado em R$ 1,20. O custo para as contas públicas será de R$ 3 bilhões, sendo dividido ao meio entre União e governos estaduais.

Dario no mesmo dia 24 de março com o presidente Luiz Inácio Lula da Silva (PT). Ele declarou que, durante o fim de semana, o secretário-executivo do Ministério da Fazenda, Rogério Ceron, tratou das medidas com os secretários de Fazenda regionais.

A medida vai beneficiar as empresas que importam diesel no país, tendo em vista as reclamações de prefeitos e governadores sobre a falta de abastecimento depois do início da guerra no Oriente Médio. O preço médio do óleo diesel atingiu R$ 7,26 na semana iniciada em 15 de março, segundo dados da ANP (Agência Nacional do Petróleo, Gás Natural e Biocombustíveis). É o maior valor desde agosto de 2022.

Seis entidades representativas do setor de combustíveis no Brasil divulgaram uma nota conjunta na 6ª feira (20.mar.2026) com um alerta sobre a segurança energética do país.

publicidade

publicidade

Em 12 de março, o ex-ministro da Fazenda Fernando Haddad anunciou a redução de impostos federais sobre o diesel, medida que reduz o preço em R$ 0,32 por litro na refinaria e uma subvenção (ajuda de custos) de R$ 0,32, somando R$ 0,64.

Nesta 3ª feira (24.mar.2026), Dario propôs uma subvenção aos importadores de diesel, com ônus dividido igualmente entre Estados e União. A política terá duração de 2 meses: março e abril. O impacto será de R$ 1,5 bilhão para os Estados e R$ 1,5 bilhão para o governo federal.

“Então, [será] R$ 1,20 por litro de subvenção ao diesel, sendo que R$ 0,60 fica a cargo dos Estados, R$ 0,60 fica a cargo da União”, disse Dario. O ministério da Fazenda afirmou que essa proposta substitui a ",2026-03-24 19:06:03+00:00,https://www.poder360.com.br/brasil/fazenda-propoe-medida-para-reduzir-preco-do-diesel-em-r-120/,poder360
Governistas pedem investigação de Flávio e Nikolas,"CPI do INSS recebeu documento com nomes dos congressistas na agenda de Vorcaro, dono do Banco Master. Leia no Poder360.","CPI do INSS recebeu documento com nomes dos congressistas na agenda de Vorcaro, dono do Banco Master

Governistas e aliados ao presidente Luiz Inácio Lula da Silva (PT) pediram nesta 2ª feira (16.mar.2026) pela investigação da aparição dos nomes do senador Flávio Bolsonaro (PL-RJ) e do deputado Nikolas Ferreira (PL-MG) na lista de contatos de Daniel Vorcaro, dono do Banco Master.

A Folha de S.Paulo revelou nesta 2ª feira (16.mar.2026) que a CPMI (Comissão Parlamentar Mista de Inquérito) do INSS (Instituto Nacional do Seguro Social) recebeu um documento que consta o nome do senador e do deputado federal na lista de Vorcaro, preso por fraudes bilionárias.

Em seu perfil oficial no X, o deputado Lindbergh Farias (PT-RJ) afirmou que o Banco Master poderia ter sido liquidado em 2019, mas teria recebido “flexibilizações sob encomenda”. O congressista afirmou ter protocolado uma representação criminal contra Campos Neto e uma ação no Comitê de Ética da Presidência por omissão.

Segundo Lindbergh, a liquidação só foi realizada em 2025, na gestão de Gabriel Galípolo: “Essa investigação ainda vai atingir em cheio o núcleo bolsonarista. […] O Banco Master poderia ter sido liquidado ainda durante sua gestão [de Campos Neto] no Banco Central, mas isso não aconteceu.”

FLÁVIO BOLSONARO NA LISTA DE CONTATOS DO DONO DO BANCO MASTER. publicidade publicidade O escândalo BOLSOMASTER começa a revelar suas conexões. A jornalista Mônica Bergamo revelou há pouco que no celular de Daniel Vorcaro aparecem nomes como Flávio Bolsonaro, Nikolas Ferreira, André Valadão e Roberto… pic.twitter.com/Ba6I9EtO6z — Lindbergh Farias (@lindberghfarias) March 16, 2026

O presidente da Embratur, Marcelo Freixo, declarou em seu perfil oficial no X que a presença de Flávio e Nikolas no WhatsApp de Vorcaro “não surpreende ninguém”. Freixo defendeu que o círculo íntimo de aliados ao ex-presidente Jair Bolsonaro (PL) foi financeiramente beneficiado por ações do grupo de Vorcaro, “seja por doação eleitoral dir",2026-03-17 02:44:11+00:00,https://www.poder360.com.br/poder-congresso/governistas-pedem-investigacao-de-flavio-e-nikolas/,poder360
Lula faz crítica indireta a PowerPoint da “GloboNews” sobre Banco Master,Presidente diz que a mídia não vai mostrar todas as ações e programas do governo ao longo de seu 3º mandato. Leia no Poder360.,"Presidente diz que a mídia não vai mostrar todas as ações e programas do governo ao longo de seu 3º mandato; emissora fez retratação de correção do material

O presidente Luiz Inácio Lula da Silva (PT) citou o diagrama feito pela GloboNews para dizer que a mídia não fará um PowerPoint “mostrando cada coisa” que o governo brasileiro fez ao longo dos 3 anos de seu 3º mandato. O petista se refere à apresentação feita pela emissora sobre o caso do Banco Master.

“A Globo, o SBT, a Bandeirantes e a Record não vão fazer um PowerPoint mostrando cada coisa que nós fizemos. Eu nem sei se eles captaram todas as coisas que nós fizemos”, disse o presidente nesta 2ª feira (30.mar.2026), durante evento de entrega de 107 obras da área da educação.

Assista ao vídeo(1min9s):



O programa Estúdio I, no dia 20 de março, apresentou uma arte com nomes de políticos e autoridades supostamente ligados ao fundador do Master, Daniel Vorcaro. A apresentação foi criticada por nomes de esquerda por ser considerada incompleta.

Eis o diagrama:

Os nomes listados foram:

publicidade

publicidade

Lula ;

Hugo Motta (Republicanos-PB), presidente da Câmara;

Davi Alcolumbre (União Brasil-AP), presidente do Senado;

Alexandre de Moraes , ministro do STF;

Gabriel Galípolo , presidente do Banco Central;

Ricardo Lewandowski , ex-ministro da Justiça e ministro aposentado do STF;

Guido Mantega , ex-ministro da Fazenda;

João Doria , ex-prefeito e ex-governador de São Paulo;

Ciro Nogueira (PP-PI), senador;

Antonio Rueda , presidente do União Brasil;

Nikolas Ferreira (PL-MG), deputado;

PT da Bahia .



Depois da repercussão negativa, a GloboNews afirmou que houve um erro na exibição do PowerPoint. A jornalista Andréia Sadi leu uma nota ao vivo: “Diante de um material incompleto e em desacordo com os nossos princípios editoriais, a gente pede desculpas”.

Assista ao pedido de desculpas da GloboNews (1min10s):

📹 #vídeo Globo pede desculpas por arte sobre caso Master: “Errado e incompleto” A retrata",2026-03-30 21:21:57+00:00,https://www.poder360.com.br/poder-governo/lula-faz-critica-indireta-a-powerpoint-da-globonews-sobre-banco-master/,poder360
"Hoje Haddad é o nome de São Paulo, diz Edinho",Presidente do PT elogia desempenho do ministro e diz que nome surge naturalmente em debates sobre eleições paulistas. Leia no Poder360.,"Presidente do PT elogia desempenho do ministro e diz que nome surge naturalmente em debates sobre eleições paulistas

O presidente do PT (Partido dos Trabalhadores), Edinho Silva, afirmou nesta 3ª feira (10.fev.2026) em entrevista à GloboNews que o ministro da Fazenda, Fernando Haddad, é a principal liderança petista no Estado de São Paulo. “Hoje o ministro Fernando Haddad é o nome de São Paulo”, declarou, destacando qualidades que, segundo ele, credenciam o atual ministro para uma posição de destaque no cenário político estadual.

“É um ministro de muita visibilidade, de muito reconhecimento, exitoso”, afirmou Edinho sobre Haddad. O petista ressaltou também a importância do ministro no governo federal: “O ministro Fernando Haddad, na minha avaliação, é o principal ministro do governo do presidente Lula hoje”.

Ao abordar as discussões internas do PT sobre a disputa pelo governo paulista, Edinho afirmou que o nome de Haddad surge naturalmente nos debates partidários. “Toda vez que se debate São Paulo, claro que o nome do ministro Fernando Haddad é colocado como uma liderança capaz de representar o nosso projeto de São Paulo, capaz de defender o nosso projeto de São Paulo”, disse.

O dirigente afirmou, no entanto, que qualquer candidatura depende da aceitação do próprio ministro. “Ninguém é candidato se não for convencido a ser candidato”, declarou.

publicidade

publicidade

Edinho também mencionou o vice-presidente Geraldo Alckmin (PSB) como figura relevante no cenário político paulista. “Também é uma liderança”, disse. Alckmin já afirmou que não considera concorrer ao governo de São Paulo nas eleições de 2026.

Haddad declarou que há uma conversa marcada com o presidente Luiz Inácio Lula da Silva (PT) para definir seu papel em 2026. “A gente vai começar, nós já marcamos uma nova conversa”, disse a jornalistas durante o evento de 46 anos do PT, em Salvador (BA), sem estabelecer data. “Isso se faz com conversas, com calma, com tranquilidade, sem forçar”.

O PT vai l",2026-02-10 13:33:00+00:00,https://www.poder360.com.br/poder-eleicoes/hoje-haddad-e-o-nome-de-sao-paulo-diz-edinho/,poder360
Saiba quem estava com Lula na foto de família da cúpula de IA,Presidentes e primeiros-ministros de mais de 10 países se reuniram em Nova Délhi para discutir IA e cooperação internacional. Leia mais no Poder360.,"Presidentes e primeiros-ministros de mais de 10 países se reuniram em Nova Délhi, na Índia

O presidente Luiz Inácio Lula da Silva (PT) participou nesta 5ª feira (19.fev) da foto de família dos líderes mundiais presentes à IA Impact Summit (Cúpula sobre o Impacto da Inteligência Artificial), em Nova Délhi. O registro foi feito no Bharat Mandapam, sede do evento. Na foto, Lula estava ao lado do presidente da Estônia, Alar Karis, e do primeiro-ministro indiano, Narendra Modi.

O registro reuniu representantes de diferentes regiões do mundo, da Europa ao Oriente Médio, passando pelo Sul e Sudeste Asiático e pela América Latina. Além de líderes, nomes como António Guterres, secretário-geral das Nações Unidas, e Kristalina Georgieva, diretora do FMI, estavam presentes.

Assista ao vídeo (51s):

A cúpula é a 1ª edição realizada em um país do Sul Global.

O Brasil defende que nações em desenvolvimento não fiquem à margem das decisões sobre regulação da tecnologia e tenta usar o evento para ampliar parcerias bilaterais na área.

publicidade

publicidade

LULA NA ÍNDIA

Na 4ª feira (18.fev), o presidente chegou a Nova Délhi a convite do primeiro-ministro indiano Narendra Modi. Nesta 5ª feira (19.fev), discursou na plenária de alto nível da IA Impact Summit, realizou bilaterais com o presidente francês Emmanuel Macron (Renascimento, centro) e com o primeiro-ministro da Croácia, Andrej Plenkovic, e ainda conversou com o CEO do Google, Sundar Pichai, e com o presidente da Croácia, Zoran Milanovic.

Na 6ª feira (20.fev), o Brasil promove o evento paralelo “IA para o Bem de Todos”. Também está programada a inauguração do 11º escritório internacional da ApexBrasil (Agência Brasileira de Promoção de Exportações e Investimentos). A cerimônia será conduzida pelo presidente da agência, Jorge Viana.

No sábado (21.fev), Lula se reúne com Modi para bilateral com assinatura de ao menos 3 atos, incluindo um memorando sobre minerais críticos e uma parceria entre a Embraer e a indiana Adani",2026-02-19 16:10:55+00:00,https://www.poder360.com.br/poder-governo/saiba-quem-estava-com-lula-na-foto-de-familia-da-cupula-de-ia/,poder360
"Brigas internas acabaram com o PT em Santo André, afirma Lula","Durante ato em comemoração aos 46 anos da sigla, Lula disse que o partido “tem que ser forte”. Leia no Poder360.","Durante ato em comemoração aos 46 anos da sigla, presidente disse que o partido “tem que ser forte”

O presidente Luiz Inácio Lula da Silva (PT) afirmou neste sábado (7.fev.2026) que brigas internas “acabaram” com o partido em Santo André (SP), na região metropolitana de São Paulo. Defendeu que a sigla “tem que ser forte”. Deu a declaração durante evento do PT realizado em Salvador (BA) para comemorar os 46 anos do partido, celebrados em 10 de fevereiro.

“O PT de Santo André era um PT extremamente organizado, era símbolo. O que aconteceu com o PT de Santo André? As brigas internas acabaram com o PT. O partido que tem que ser forte, não é o Lula, é o partido. Porque o Lula é uma pessoa física, vocês são uma pessoa jurídica, vocês não podem acabar”, disse Lula. O ato político do aniversário teve tom eleitoral e marca o início da pré-campanha do petista à reeleição.

De 1989 a 2016, o PT teve 3 prefeitos em Santo André:

A cidade é atualmente administrada por Gilvan Junior (PSDB).

Eis outros temas abordados por Lula em seu discurso:

publicidade

publicidade

emendas – criticou o PT por ter votado a favor do Orçamento de 2026 , que tem R$ 61 bilhões reservados para congressistas;

– criticou o PT eleições 2026 – chamou a disputa de guerra e que “não tem mais essa de ‘Lulinha é paz & amor’” . Voltou a dizer que sua reeleição permitirá que o país continue democrático;

– chamou a disputa de guerra e que Geraldo Alckmin – apesar das especulações sobre quem vai compor a chapa com Lula, o petista elogiou o vice: “ Tenho muita sorte na vida e uma delas é saber escolher meu vice” .

Assista à íntegra do evento do PT:",2026-02-07 17:15:29+00:00,https://www.poder360.com.br/poder-governo/brigas-internas-acabaram-com-o-pt-em-santo-andre-afirma-lula/,poder360
"Aporte da União aos Correios deve ficar para 2027, diz Esther Dweck","Estatal pode negociar novo empréstimo ainda neste ano, o que não inviabiliza o aporte do governo federal. Leia no Poder360.","Estatal pode negociar novo empréstimo ainda neste ano, o que não inviabiliza o aporte do governo federal

A ministra da Gestão e Inovação, Esther Dweck, disse nesta 3ª feira (17.mar.2026) que o aporte da União aos Correios deve ficar para 2027. A estatal estuda uma nova rodada de empréstimo ainda em 2026, o que não deve inviabilizar o repasse do governo federal.

A captação adicional está prevista no contrato de empréstimo de R$ 12 bilhões firmado em dezembro de 2025 entre os Correios e um consórcio de bancos formado por Caixa Econômica Federal, Banco do Brasil, Bradesco, Itaú Unibanco e Santander Brasil.

“Em relação ao aporte, isso estava previsto inclusive no contrato que foi assinado com os bancos, tinha a previsão de aporte da União. Então, os Correios tinham que pedir mesmo, só que no próprio contrato que foi assinado dizia que podia ser 2026 ou 2027, até 2027. Então, isso está sendo estudado. Provavelmente, o aporte neste ano não deve acontecer, pode acontecer até 2027, mas eles estão vendo, eventualmente, algum complemento de empréstimo”, disse Dweck a jornalistas depois da apresentação do balanço do 2º CNU (Concurso Nacional Público Unificado).

Segundo Dweck, o aporte da União não será descartado mesmo que a estatal consiga um empréstimo ainda neste ano. O repasse “alivia financeiramente a estatal, e por isso faz parte da equação”, afirmou.

publicidade

publicidade

A ministra disse estar satisfeita com o que classificou como “resultados positivos” do plano de recuperação financeira dos Correios: “A proposta de restauração está sendo seguida, com resultados positivos, inclusive com a receita superando positivamente a expectativa que seria padrão, está dentro da curva mais positiva, então a gente está muito confiante de que isso é um processo graduado para permitir que os Correios saiam da situação financeira que estava no ano passado”.

PLANO DE REESTRUTURAÇÃO dos Correios

Os Correios registraram prejuízo de R$ 6,1 bilhões no acumulado de janeiro a setem",2026-03-18 01:48:58+00:00,https://www.poder360.com.br/poder-economia/aporte-da-uniao-aos-correios-deve-ficar-para-2027-diz-esther-dweck/,poder360
Saiba quais foram os cursos de medicina mal avaliados pelo MEC,Ministério vai punir instituições com desempenho baixo do Enamed; resultados foram divulgados nesta 2ª feira (19.jan). Leia no Poder360.,"Ministério vai punir instituições com desempenho baixo no Enamed; resultados foram divulgados nesta 2ª feira (19.jan)

O Ministério da Educação anunciou nesta 2ª feira (19.jan.2026) os resultados da 1ª edição do Enamed (Exame Nacional de Avaliação da Formação Médica) e 99 cursos de medicina serão punidos pelo baixo desempenho na prova. As medidas podem incluir restrição de vagas, suspensão de participação em programas federais e, em casos graves, a desativação das atividades.

Os cursos de medicina dessas instituições tiveram menos de 60% de seus alunos classificados como proficientes, ou seja, considerados “profissionais minimamente competentes”. Elas terão prazo de 30 dias para apresentar suas justificativas e evitar as medidas. As punições serão escalonadas a depender do desempenho e valerão até a próxima edição do exame.

Dos 304 cursos regulamentados pelo Sistema Federal de Ensino, 204 tiveram mais de 60% dos estudantes avaliados pela prova considerados proficientes pelo desempenho satisfatório. Leia aqui o resultado completo do Enamed.

Leia a lista das instituições que tiveram baixo desempenho na prova:

publicidade

publicidade

As instituições punidas são apenas públicas federais ou privadas que podem ser reguladas pelo Sistema Federal de Ensino. As públicas municipais, que tiveram 87,6% dos alunos nas 2 faixas mais baixas de proficiência e são o resultado mais preocupante para o governo, e as estaduais não podem sofrer medidas do Ministério da Educação.

O Enamed foi criado em 2025 para substituir o Enade (Exame Nacional de Desempenho dos Estudantes) para os cursos de medicina. A 1ª edição da prova, com 100 questões objetivas, se deu em 19 de outubro de 2025 em mais de 200 cidades brasileiras. Ao todo, 262 instituições participaram e 87.035 estudantes se inscreveram.

publicidade

publicidade

“Foi uma surpresa positiva. Uma preocupação forte com as municipais e privadas. Esse é o nosso foco para melhorar a qualidade dos cursos. A ideia não é punição, caça",2026-01-19 19:56:16+00:00,https://www.poder360.com.br/poder-governo/saiba-quais-foram-os-cursos-de-medicina-mal-avaliados-pelo-mec/,poder360
