titulo,subtitulo,texto,data,url,portal
"Caso Master: Romeu Zema esconde Marcelo Aro, “rabo preso” dele com Ciro Nogueira","Enquanto busca lacrar nas redes sociais com declarações polêmicas - às vezes criminosas, como a defesa do trabalho infantil - e um discurso para atacar","Enquanto busca lacrar com seu discurso contra os ""intocáveis"", Zema esconde que seu ex-Casa Civil e principal articulador político é vice-presidente do PP, de Ciro Nogueira. Saiba quem é Marcelo Aro.

00:00 A+ A-

Ler o resumo da notícia Romeu Zema, ex‑governador de Minas e pré‑candidato à Presidência, tem Marcelo Aro como principal articulador político.

Marcelo Aro, vice‑presidente nacional do Progressistas, atua como interlocutor de Ciro Nogueira em Minas Gerais.

Na última semana, Zema esteve em Brasília e se reuniu com o senador Ciro Nogueira para discutir pautas do governo.

Após derrota no Senado em 2022, Aro foi transferido em fevereiro de 2025 da Secretaria da Casa Civil para a Secretaria de Governo, assumindo a articulação política de Zema.

Enquanto busca lacrar nas redes sociais com declarações polêmicas – às vezes criminosas, como a defesa do trabalho infantil – e um discurso para atacar aqueles que considera “intocáveis”, especialmente no caso Master, Romeu Zema (Novo) esconde o “rabo preso” que tem com Ciro Nogueira (PP-PI), ex-ministro da Casa Civil de Jair Bolsonaro (PL), que é considerado pela Polícia Federal como principal lobista da organização criminosa de Daniel Vorcaro.

Ex-governador mineiro e pré-candidato à Presidência, Zema tem como um de seus principais articuladores políticos Marcelo Aro (PP-MG), seu ex-secretário de governo, que comanda o Progressistas no Estado e é vice-presidente nacional da sigla, que tem Ciro Nogueira no comando desde 2013.

Zema, que faz malabarismos para atacar Lula no caso Master, ignora que tem “rabo preso” com o cacique piauiense, que controla o PP com mão de ferro. Aro é o principal interlocutor de Nogueira em Minas Gerais e foi considerado líder do governo Zema no Congresso Nacional até 2023, quando cumpria seu segundo mandato como deputado federal.

Próxima de Nogueira, Aro chegou a intermediar um encontro entre Zema e o então chefe da Casa Civil de Bolsonaro em julho de 2021.

“Nesta semana, o Governador @r",2026-05-11 12:14:40-03:00,https://revistaforum.com.br/politica/master-romeu-zema-rabo-preso-dele-com-ciro-nogueira/,revistaforum
Revista Fórum,,"HISTÓRIA DO BRASIL

Novo relatório que será votado na Comissão sobre Mortos e Desaparecidos Políticos revela reviravolta no caso e mostra que JK, que liderava a oposição, foi assassinado pela Ditadura Militar.",,https://revistaforum.com.br/editoria/historia/,revistaforum
"TV Fórum: “Raiz do problema é a baixa politização da sociedade”, diz Berzoini sobre cenário eleitoral","O Fórum Onze e Meia desta segunda-feira (11) recebeu Ricardo Berzoini, ex-deputado federal e ex-ministro do Trabalho, das Comunicações, da Previdência Social,","00:00 A+ A-

Ler o resumo da notícia Na segunda‑feira (11), a TV Fórum recebeu Ricardo Berzoini, ex‑deputado e ex‑ministro do PT, para debater o cenário eleitoral de 2024.

Berzoini apontou a baixa politização da sociedade brasileira como principal obstáculo ao PT e ao campo democrático.

Propôs que, desde o início da legislatura, o partido planeje a identificação de lideranças e a organização de base, visando 8 milhões de filiados ativos em 10 anos.

Criticou a ausência de um plano de perspectiva real para o campo democrático nas campanhas eleitorais.

O Fórum Onze e Meia desta segunda-feira (11) recebeu Ricardo Berzoini, ex-deputado federal e ex-ministro do Trabalho, das Comunicações, da Previdência Social, de Relações Institucionais e de Governo durante as gestões de Lula e Dilma Rousseff (PT), para discutir sobre o cenário eleitoral deste ano. Berzoini falou sobre os principais desafios para Lula (PT) e o campo democrático e os temas que devem guiar as campanhas eleitorais.

Berzoini afirmou que o campo democrático deveria, desde o primeiro ano de legislatura, iniciar um planejamento para localizar lideranças e estimular a organização de base. O ex-parlamentar destaca que se você for às periferias, a cada 500 metros há uma igreja evangélica neopentecostal, mas nenhum sindicato nem sede de partido do campo popular.

“Tem que identificar lideranças que são ainda promissoras, que muitos parlamentares querem elas como cabos eleitorais. Podia ser um candidato para puxar 15 mil votos no bairro da periferia”, diz. “Mas o fato é que nós temos no Brasil um sistema político que não estimula a politização”, acrescenta Berzoini.

“A raiz do problema é a baixa politização da sociedade. Se nós tivéssemos 10% da população politizada, organizada politicamente. O PT fala que tem 3 milhões de filiados. Eu discordo, acho que filiado são uns 500 a 600 mil. Tem aquele pessoal que vai para ajudar, mas o PT precisava ter uma meta de construir de maneira politizada, ao longo de 10 anos",2026-05-11 16:51:48-03:00,https://revistaforum.com.br/politica/raiz-problema-baixa-politizacao-berzoini-cenario-eleitoral/,revistaforum
A primeira pesquisa Quaest para a presidência após Lula nos EUA e ação da PF contra aliado de Flávio,A primeira pesquisa Quaest após Lula nos EUA revela as intenções de voto e a ação da PF contra aliado de Flávio. Pesquisa Quaest.,"Na última rodada da pesquisa Quaest, Lula liderava no primeiro turno, enquanto Flávio Bolsonaro aparecia ligeiramente à frente no segundo

A PRIMEIRA PESQUISA QUAEST PARA A PRESIDêNCIA APóS LULA NOS EUA E AçãO DA PF CONTRA ALIADO DE FLáVIO

A PRIMEIRA PESQUISA QUAEST PARA A PRESIDêNCIA APóS LULA NOS EUA E AçãO DA PF CONTRA ALIADO DE FLáVIO

00:00 A+ A-

Ler o resumo da notícia Instituto Quaest iniciou entrevistas presenciais de 2.004 eleitores em todo o Brasil entre 8 e 11 de maio para nova pesquisa de intenção de voto presidencial.

A pesquisa testará cenários de primeiro e segundo turno com Lula e pré-candidatos como Aldo Rebelo, Flávio Bolsonaro, Ronaldo Caiado, entre outros, além de avaliar o governo Lula.

Esta será a primeira sondagem após a reunião de Lula com Donald Trump nos EUA e a operação da PF contra o senador Ciro Nogueira, aliado de Flávio Bolsonaro.

Os resultados estão previstos para divulgação na quarta‑feira, 13 de maio.

O instituto Quaest prepara uma nova rodada de pesquisa de intenções de voto para as eleições presidenciais este ano. Pesquisadores iniciaram as entrevistas presenciais nesta sexta-feira (8) e estarão em campo até a próxima segunda-feira (11) para registrar as pretensões eleitorais 2.004 pessoas em todo o país.

Serão testados, em cenários de primeiro e segundo turno, os nomes do presidente Luiz Inácio Lula da Silva e dos pré-candidatos Aldo Rebelo, Augusto Cury, Cabo Daciolo, Flávio Bolsonaro, Renan Santos, Romeu Zema, Ronaldo Caiado e Samara Martins. Além do termômetro eleitoral, a pesquisa contará com perguntas para medir a avaliação do governo Lula.

Este será a primeira pesquisa Quaest após a já considerada bem-sucedida reunião de Lula com Donald Trump nos Estados Unidos e do principal fato político da semana: a operação da Polícia Federal (PF) contra o senador Ciro Nogueira (PP-PI), acusado de envolvimento com o escândalo do Banco Master e cotado para ser candidato a vice de Flávio Bolsonaro.

O novo levantamento deve ser di",2026-05-08 11:03:53-03:00,https://revistaforum.com.br/politica/pesquisa-quaest-lula-pf-flavio/,revistaforum
Bolsonaro pede ao STF anulação do processo do golpe e absolvição de todos os crimes,"A defesa de Jair Bolsonaro protocolou, nesta sexta-feira (8), um pedido de revisão criminal no Supremo Tribunal Federal (STF) para anular sua condenação de 27","Pedido foi protocolado pela defesa de Bolsonaro no mesmo dia em que Davi Alcolumbre promulgou a Lei da Dosimetria; entenda

BOLSONARO PEDE AO STF ANULAçãO DO PROCESSO DO GOLPE E ABSOLVIçãO DE TODOS OS CRIMES

BOLSONARO PEDE AO STF ANULAçãO DO PROCESSO DO GOLPE E ABSOLVIçãO DE TODOS OS CRIMES

00:00 A+ A-

Ler o resumo da notícia Jair Bolsonaro solicitou ao Supremo Tribunal Federal a anulação do processo judicial relativo ao suposto golpe.

O pedido inclui a absolvição de todos os crimes que lhe foram imputados.

A defesa de Jair Bolsonaro protocolou, nesta sexta-feira (8), um pedido de revisão criminal no Supremo Tribunal Federal (STF) para anular sua condenação de 27 anos e 3 meses de prisão por envolvimento na tentativa de golpe de Estado de 2023. O ex-presidente, condenado por crimes como organização criminosa armada, tentativa de abolição do Estado Democrático de Direito e golpe de Estado, quer que todo o processos seja declarado nulo e que o STF emita uma nova sentença de absolvição.

Pedido de revisão criminal de Bolsonaro: o que está em jogo?

A defesa de Bolsonaro argumenta que a condenação é fruto de um “erro judiciário”. De acordo com seus advogados, o julgamento foi conduzido de forma inadequada, pois, na visão da defesa, Bolsonaro deveria ter sido julgado pelo plenário do STF, dada a sua condição de ex-presidente, e não pela Primeira Turma. Eles afirmam que a sentença deve ser anulada para corrigir essa falha processual.

Em um trecho do pedido protocolado, os advogados de Bolsonaro argumentam:

“O pedido visa corrigir um erro judiciário que prejudicou a defesa do ex-presidente, e é imprescindível para garantir a justiça do processo.”

A defesa também questiona a colaboração premiada de Mauro Cid, ex-ajudante de ordens de Bolsonaro, e pede a nulidade de todas as provas derivadas dessa delação, alegando que não foi voluntária.

Lei da Dosimetria e o pedido de Bolsonaro

Curiosamente, o pedido de revisão criminal foi protocolado no mesmo dia em que a Lei d",2026-05-09 06:42:18-03:00,https://revistaforum.com.br/politica/bolsonaro-anulacao-golpe-stf/,revistaforum
"Ypê: beber detergente pode levar à morte, alerta infectologista","Após provocar a morte de milhares de pessoas durante a pandemia por promover o uso de cloroquina e ivermectina, dois medicamentos sem comprovação científica...","Segundo infectologista Marcos Caseiro, ingestão de 5 a 10 ml de detergente pode levar à internação em UTI e à morte. Fake news propagada por Nikolas Ferreira tem levado bolsonaristas a gravarem vídeos bebendo detergente Ypê.

00:00 A+ A-

Ler o resumo da notícia A Anvisa suspendeu a produção e venda de detergentes, lava‑roupas e desinfetantes da marca Ypê por falhas graves no controle microbiológico.

Políticos bolsonaristas, como o deputado Nikolas Ferreira e a ex‑primeira‑dama Michelle Bolsonaro, divulgaram fake news alegando que a medida visa prejudicar aliados da Ypê.

A desinformação levou seguidores a gravar vídeos usando e ingerindo o detergente, prática que pode causar morte.

O infectologista Marcos Caseiro alertou que doses de 3 a 10 g do detergente, que contém LAS (linear alquilbenzeno sulfonato de sódio), são altamente tóxicas.

Após provocar a morte de milhares de pessoas durante a pandemia por promover o uso de cloroquina e ivermectina, dois medicamentos sem comprovação científica para tratamento da Covid, o bolsonarismo pode provocar novos óbitos ao propagarem uma mentira sobre a determinação da Agência Nacional de Vigilância Sanitária, a Anvisa, que suspendeu a fabricação e venda de produtos da marca Ypê, incluindo detergentes, lava-roupas e desinfetantes após a identificação de falhas graves no controle microbiológico.

ENTENDA:

Ypê: Nikolas Ferreira propaga mais uma fake News

Figuras proeminentes do bolsonarismo, como Nikolas Ferreira (PL-MG) e até a ex-primeira-dama Michelle Bolsonaro (PL), estão propagando a fake news de que a decisão da Anvisa visa prejudicar os aliados, donos da Ypê, para favorecer a concorrência. Com isso, muitos bolsonaristas radicais estão gravando vídeos usando e até mesmo ingerindo o detergente Ypê.

“Tirando a insanidade, pois estão politizando uma coisa tão absurda quanto essa, o detergente tem várias substâncias com alto grau de toxicidade. Doses para o homem de 3 a 10 gramas já tem toxicidade se ingerido. São substân",2026-05-12 10:23:37-03:00,https://revistaforum.com.br/politica/ype-beber-detergente-pode-levar-a-morte-alerta-infectologista/,revistaforum
"Paris, Nova York, Alpes: as viagens de Ciro Nogueira bancadas por Vorcaro, segundo a PF","A Polícia Federal (PF) encontrou indícios de que o senador Ciro Nogueira (PP-PI), presidente do Partido Progressistas, teve ao menos três viagens","Além de receber propina em forma de mesada para defender os interesses do Master no Congresso, Ciro Nogueira ainda teria sido agraciado com viagens de luxo por Daniel Vorcaro

00:00 A+ A-

Ler o resumo da notícia Ciro Nogueira realizou viagens a Paris, Nova York e aos Alpes.

As despesas foram supostamente custeadas por Vorcaro.

A informação foi divulgada pela Polícia Federal.

As viagens estão sob investigação por possível irregularidade.

A Polícia Federal (PF) encontrou indícios de que o senador Ciro Nogueira (PP-PI), presidente do Partido Progressistas, teve ao menos três viagens internacionais bancadas por Daniel Vorcaro, dono do Banco Master que está preso. A operação Compliance Zero, cuja a nova fase, deflagrada na última quinta-feira (7), mirou o envolvimento de Nogueira com o escândalo do Master, revelou que as viagens de luxo ocorreram entre 2024 e 2025, com destinos exclusivos como Paris, Nova York e Courchevel, nos Alpes Franceses.

A primeira viagem, para Paris, aconteceu em abril de 2024. Durante a viagem, Ciro Nogueira foi fotografado em imagens publicadas por sua filha. O segundo destino foi Nova York, em maio de 2024, onde o senador ficou hospedado em um hotel de luxo e frequentou restaurantes sofisticados, sempre com as despesas pagas por Vorcaro. Em janeiro de 2025, a viagem foi para Courchevel, nos Alpes Franceses, onde, além dos voos privados, Vorcaro arcou até com a compra das roupas de frio de Ciro Nogueira.

Propina em troca de apoio e blindagem do Master

Além das viagens de luxo, as investigações apontam que o senador recebeu pagamentos mensais de Daniel Vorcaro, variando entre R$ 300 mil e R$ 500 mil, como parte de um esquema de propina. Esses repasses estariam ligados ao favorecimento de interesses do Banco Master no Congresso. Em troca dos benefícios, Ciro Nogueira teria atuado em favor de Vorcaro ao apresentar projetos de lei favoráveis ao banco, incluindo a famosa “Emenda Master”, que propunha a ampliação da cobertura do Fundo Garanti",2026-05-09 07:48:24-03:00,https://revistaforum.com.br/politica/ciro-nogueira-viagens-vorcaro/,revistaforum
DICIONÁRIO MARXISMO NA AMÉRICA,,"Dicionário Marxismo na América

Antropólogo, escritor, poeta, professor e diplomata, foi fundador do Partido Comunista Haitiano e expoente do movimento Negritude, defensor da ideia de que a questão do negro não deve ser reduzida ao problema do racismo, sendo antes uma questão de luta de classes",,https://revistaforum.com.br/editoria/blogs/dicionario-marxismo-na-america/,revistaforum
Revista Fórum,,"Luta

Sinpro-DF

Convocada em caráter de urgência, a paralisação dia 23/4 reivindica o pagamento integral da jornada dos contratos temporários conforme o piso da categoria. A metodologia implementada no sistema EducaDF provoca redução na remuneração e amplia precarização do trabalho docente",,https://revistaforum.com.br/editoria/movimentos/,revistaforum
Revista Fórum,,"Terras raras

Com a segunda maior reservas de terras raras do mundo, Brasil reúne uma série de características estratégicas capazes de dar ao país vantagem internacional nas dinâmicas globais de valor e influência nos mercados consumidores ocidentais",,https://revistaforum.com.br/editoria/brasil/,revistaforum
