titulo,subtitulo,texto,data,url,portal
"Relator da CPI quer convocar Campos Neto, Galípolo e ex-namorada de Vorcaro","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","O relator da CPI do Crime Organizado, senador Alessandro Vieira (MDB-SE), quer convocar o presidente do BC (Banco Central), Gabriel Galípolo, e seu antecessor no cargo, Roberto Campos Neto, para falar sobre a relação da autarquia com o Banco Master.

Além deles, Vieira também irá propor a convocação de Martha Graeff, ex-namorada de Daniel Vorcaro. A ideia é aprovar suas convocações como testemunhas.

Campos Neto já havia sido convocado pela CPI do Crime Organizado em fevereiro, mas faltou após o ministro André Mendonça, do STF (Supremo Tribunal Federal), declarar sua presença opcional.",2026-03-10 00:00:00,https://noticias.uol.com.br/colunas/natalia-portinari/2026/03/10/relator-da-cpi-quer-convocar-campos-neto-galipolo-e-ex-namorada-de-vorcaro.htm,uol_politica
"Michelle posta vídeo, e jornalistas registram BOs após ameaças em Brasília","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","Michelle Bolsonaro compartilhou ontem o vídeo com a informação falsa. Ela conta com mais de 8,1 milhões de seguidores e compartilhou o conteúdo na íntegra, sem adicionar nenhum comentário. A ex-primeira-dama acompanha Bolsonaro na UTI.

Repórteres expostos passaram a sofrer ataques nas redes e até nas ruas. Em um dos casos, foi divulgado um vídeo, feito com IA, sugerindo que uma jornalista fosse esfaqueada.

Em postagem no X, usuário chama repórter de ""vagabunda"". ""Vc é a vagabunda que ficou desejando a morte do Bolsonaro, né? Agora somos nós que desejamos a sua! E vc é repórter de rua, né? Que chato! O Brasil é um país tão violento!"", diz a publicação.

Outro jornalista recebeu postagem com ameaças a seu filho. Profissional, que não quis se identificar, acabou fechando as redes sociais e registrou BO sobre o ocorrido.

Sindicato dos Jornalistas e Associação Brasileira de Emissoras de Rádio e Televisão (Abert) divulgaram nota na sexta-feira, repudiando o episódio. UOL conversou com três jornalistas que estão avaliando quais medidas judiciais adotar.

Após notas de repúdio, a Polícia Militar procurou jornalistas. Profissionais foram orientados ontem a procurar equipe que está de guarda em frente ao hospital, caso ocorra alguma intercorrência. Não foram registrados novos episódios desde sexta-feira.",2026-03-15 00:00:00,https://noticias.uol.com.br/politica/ultimas-noticias/2026/03/15/michelle-compartilha-video-intimidando-jornalistas-que-cobrem-bolsonaro.htm,uol_politica
"Fadiga de material é o principal rival de Lula, sinaliza Datafolha","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","Ao término do atual mandato, somando-se o tempo de Presidência de Lula e Dilma, o PT terá dado as cartas no Planalto por 17 anos e oito meses. Com um novo período de quatro anos, seriam mais de duas décadas no poder. Para desassossego de Lula, um pedaço do eleitorado parece indagar aos seus botões: ""Alguém ainda aguenta?""

Ironicamente, Lula idealizou uma disputa em que o ""fato novo"" da direita fosse o velho bolsonarismo. Preferia Flávio a Tarcísio de Freitas, um herdeiro do ""mito"" supostamente mais duro de roer. Não contava que a transferência de votos do pai preso para o filho fosse instantânea. Não supunha, de resto, que Flávio seduzisse tão rapidamente um naco expressivo da direita não bolsonarista.

O Datafolha registra um empate estatístico também na guerra de rejeições: 46% dos eleitores declaram que jamais votaria em Lula. A aversão a Flávio soma 45%. Numa disputa que se prenuncia como apertada, os candidatos disputarão a tapa o eleitor independente, vital na contagem dos votos.

Nesse contexto, a simultaneidade de três grandes escândalos —o do Master, o do assalto contra os aposentados e o da farra das emendas orçamentárias— leva água para o monjolo da oposição. O eleitor tende a cultivar um sentimento vago e fluido contra ""tudo o que está aí"".

As mazelas são suprapartidárias. O lodo se espalha pelo assoalho dos Três Poderes. Num cenário assim, a crítica às estruturas privilegia a ênfase na moralidade administrativa. A história mostra que o titular do Planalto tende a personificar o famigerado sistema. Os feitos governamentais são como que estilhaçados pela conturbação generalizada.

A mochila de Flávio Bolsonaro é pesada. Contém, por exemplo, as mazelas golpistas do pai e a biografia bem rachadinha do filho. Mas os tiros previsíveis do petismo serão respondidos com dois torpedos da oposição: a proximidade de Lula com um Supremo de supremacia alquebrada e a movimentação bancária milionária de Lulinha.",2026-03-07 00:00:00,https://noticias.uol.com.br/colunas/josias-de-souza/2026/03/07/fadiga-de-material-e-o-principal-rival-de-lula-sinaliza-datafolha.htm,uol_politica
"Para celebrar 62 anos de 1964, candidatos torturam democracia em 2026","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","A impunidade dos artífices, comandantes e torturadores do golpe de 1964 ajudou a semear a tentativa de 2022/2023, que, inclusive, contou com a participação de militares de alta patente. O passado não resolvido sempre volta.

Não é que Bolsonaro perverteu pobres generais estrelados. Setores militares e civis estavam com ele, aceitando dobrar a democracia em busca de privilégios, dinheiro e poder. O ex-presidente não criou sozinho o espírito golpista. Ele sempre esteve aí, inclusive Jair Messias foi nele forjado. Seu (de)mérito foi dar à extrema direita organização e sentido através de sua eleição, fincando as bases de um golpe já em 2018.

Nunca curamos as feridas deixadas por 21 anos de ditadura. Tapamos com um curativo mal feito, ao qual chamamos de anistia, que garantiu impunidade a crimes cometidos pelo Estado. Essas feridas continuam fedendo, apesar dos esforços estéticos.

Sabe por que é importante relembrar os 62 anos de 1964? Porque ele continua vivo não apenas naqueles que insistem em dizer que eleições só valem se eles ganharem, mas também na tortura pelas mãos de policiais nas periferias, herdeiros dos métodos e técnicas desenvolvidos na repressão. E no uso do poder político para favorecer o poder econômico, atropelando trabalhadores no meio do caminho.

Como sempre digo aqui, temos lidado com o passado como se ele tivesse automaticamente feito as pazes com o presente. E o impacto de não entendermos, refletirmos, discutirmos e resolvermos o nosso passado se faz sentir no dia a dia, com parte do Estado aterrorizando e reprimindo parte da população (normalmente mais pobre) com a anuência da outra parte (quase sempre mais rica).

Que a história das mortes sob responsabilidade da ditadura de 1964 seja conhecida e contada nas escolas até entrar nos ossos e vísceras de nossas crianças, a fim de que nunca esqueçam que a liberdade da qual desfrutam não foi de mão beijada, mas custou o sangue, a carne e a saudade de muita gente. Que a tentativa de golpe de 2022/202",2026-03-31 00:00:00,https://noticias.uol.com.br/colunas/leonardo-sakamoto/2026/03/31/para-celebrar-62-anos-de-1964-candidatos-torturam-democracia-em-2026.htm,uol_politica
Daniela Lima: Campanha de Flávio vê como 'irreal' direita ter três nomes,Daniela Lima diz que campanha de Flávio Bolsonaro considera irreal a direita ter três candidatos à presidência e projeta no máximo dois nomes no campo.,"A campanha de Flávio Bolsonaro (PL) considera como ""irreal"" a possibilidade de a direita ter três nomes na disputa eleitoral para a presidência da República, afirmou a colunista Daniela Lima no Análise de Pesquisas, do Canal UOL.

Daniela destacou que o comitê de campanha de Flávio considera, no máximo, haver dois nomes da direita para o pleito.",2026-03-09 00:00:00,https://noticias.uol.com.br/politica/ultimas-noticias/2026/03/09/campanha-de-flavio-ve-como-irreal-direita-ter-tres-nomes-diz-daniela-lima.htm,uol_politica
Josias: Pré-campanha de Lula respira atmosfera de crise após escândalos,"Josias diz que Lula não avança nas pesquisas, enquanto Flávio Bolsonaro se consolida como anti-Lula e corrupção ganha peso no debate.","Josias disse que Lula, como candidato à reeleição, enfrenta uma disputa que tende a virar ""plebiscito"" sobre o próprio governo. Para ele, o presidente precisa recuperar popularidade e convencer o eleitorado do que considera os pontos fortes da gestão.

Ele, que é um candidato à reeleição, sabe que numa disputa desse tipo a eleição vai ser um plebiscito sobre o governo dele, sobre o desempenho dele. Então, ele precisa, primeiro, recuperar essa popularidade perdida e, em segundo lugar, convencer o eleitorado daquilo que ele considera que é muito bom no governo dele.

Josias de Souza

O colunista afirmou que medidas que o Planalto esperava usar como impulso político não estariam surtindo o efeito imaginado.

Mesmo aquilo que o Palácio do Planalto esperava que fosse funcionar como mola propulsora da popularidade do Lula, a isenção do imposto de renda para quem ganha até R$ 5 mil, o vale-gás, a redução no preço da conta de luz de quem ganha pouco, financiamento de imóvel para classe média, financiamento para mobiliar casas do Minha Casa Minha Vida, tudo isso compõe um balaio que o Lula imaginou que impulsionaria a sua popularidade nesse início de ano e não está acontecendo.

Josias de Souza

Josias sustentou que a corrupção voltou a ser um assunto relevante para o eleitorado e que, em momentos de muitos escândalos, a responsabilidade tende a recair mais sobre o governante do que sobre a oposição.",2026-02-27 00:00:00,https://noticias.uol.com.br/politica/ultimas-noticias/2026/02/27/respira-se-uma-atmosfera-de-crise-diz-josias-sobre-pre-campanha-de-lula.htm,uol_politica
Transferência de Vorcaro à PF divide STF: delação soft ou do fim do mundo?,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","Na avaliação desse ministro, a pregação teria surtido efeito, criando ambiente para o relator — o ministro Mendonça — amainar o regime prisional de Vorcaro, da segurança máxima para a PF, onde as conversas entre o preso e seus advogados, por exemplo, podem ocorrer presencialmente, fora do parlatório, e, portanto, sem que um telefone seja usado nas comunicações que tratam da elaboração de um cardápio de colaboração premiada.

Outro magistrado diverge. No entendimento dele, os dias no presídio de segurança máxima serviram para encurtar o caminho para a decisão de Vorcaro pela delação.

Desfecho de julgamento

Há ainda muita ansiedade, em especial na política, em torno do desfecho do julgamento sobre a prisão preventiva de Vorcaro, decretada por Mendonça no dia 4 de março.

A decisão do ministro está sob avaliação da Segunda Turma, em plenário virtual. O prazo para a análise termina à meia-noite de hoje. Gilmar Mendes é o único dos quatro integrantes aptos a votar que ainda não se manifestou — e a expectativa é a de que ele divirja do relator.

Mendes já avisou que está preparando uma análise mais alentada do caso. Os argumentos do decano poderiam, na torcida em especial de integrantes do centrão, abrir caminho para que um segundo integrante da Turma mude o entendimento manifestado até agora.",2026-03-20 00:00:00,https://noticias.uol.com.br/colunas/daniela-lima/2026/03/20/transferencia-de-vorcaro-a-pf-divide-stf-delacao-soft-ou-do-fim-do-mundo.htm,uol_politica
"Pizzaria do Master assou Messias, mas viu bolsonarista ser fatiado","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","E é aqui que a história fica mais saborosa para quem gosta de ironia bem temperada. Nada disso estava na delação premiada que foi rejeitada por André Mendonça, relator do caso Master no STF. O smartphone de Vorcaro já está gritando bem mais do que o delatante quer contar. O ministro, claro, ficou visivelmente irritado com a proposta de delação de Vorcaro, um pacote cuidadosamente editado que omitia nomes de peso e chegava à mesa da Justiça mais preocupado em proteger do que em esclarecer.

O mesmo Mendonça que sentiu na rejeição do advogado-geral da União Jorge Messias, um possível futuro aliado na corte, um ataque direto a ele por parte de Davi Alcolumbre, Ciro Nogueira, Flávio Bolsonaro e patota .

Ciro Nogueira alimentava, em segredo de polichinelo, a brasa de ser o vice na chapa presidencial do filho de Jair ou ao menos um nome central na campanha. Flávio quer vender a ideia de combate à corrupção, tarefa difícil para quem já carrega o peso das rachadinhas e agora terá ao lado um aliado investigado por propina milionária do banqueiro mais famoso do Brasil.

Os mesmos que usaram o Senado como forno para assar Messias, impedindo sua chegada ao STF e assim tentando esfriar as investigações do caso Master, agora assistem a PF e o próprio Mendonça avançarem com velocidade. A rejeição de Messias não parou o relator. Apenas mostrou quem tinha medo do cardápio que ainda estava por vir.

Não à toa, uma das ausências que teriam sido notadas por Mendonça na delação de Vorcaro foi a do presidente do Senado Davi Alcolumbre, que indicou o responsável pelo fundo de previdência do Amapá - que torrou R$ 400 milhões no Master. O mesmo Alcolumbre que se gabava de ter travado Messias.

O forno continua aceso. E se não falta lenha para o Senado, tampouco para a PF e o STF. Vai ter mais pizza ""com Supremo, com tudo"", como propôs o pizzaiolo Romero Jucá, em 2016, diante da Lava Jato? Ou o cardápio, desta vez, finalmente servirá centrão?",2026-05-08 00:00:00,https://noticias.uol.com.br/colunas/leonardo-sakamoto/2026/05/08/apos-assar-messias-pizzaria-do-master-viu-aliado-dos-bolsonaro-ser-fatiado.htm,uol_politica
"Cotado à Presidência, Ciro confirma pré-candidatura ao governo do Ceará","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","O ex-governador Ciro Gomes (PSDB) assumiu que irá concorrer ao governo do Ceará em encontro com lideranças locais ontem na sede do partido, em Fortaleza.

O que aconteceu

Havia uma dúvida se ele poderia tentar a Presidência da República pela quinta vez. Ciro se filiou ao partido no ano passado com a expectativa de voltar ao Palácio da Abolição, mas foi convidado pelo presidente da sigla, deputado Aécio Neves (MG), para o pleito nacional.

A chapa deverá ser oficializada no próximo sábado (16). ""Às 9h da manhã, no colégio Evandro Ayres de Moura, eu vou assumir minha candidatura a governador"", disse, em áudio divulgado inicialmente pelo portal ""Ceará Agora"" e confirmado pelo UOL. Segundo o site, o deputado estadual Pastor Alcides Fernandes (PL), pré-candidato ao Senado, estava presente no encontro.",2026-05-09 00:00:00,https://noticias.uol.com.br/politica/ultimas-noticias/2026/05/09/ciro-gomes-candidatura-governo-ceara.htm,uol_politica
"Punição a escravagista diminui se STF liberar pejotização, avisa MPT","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","O Ministério Público do Trabalho (MPT) alerta que o julgamento do Tema 1389, que está curso no Supremo Tribunal Federal e pode enfraquecer o emprego formal, também vai dificultar a responsabilização de quem usou trabalho análogo ao de escravo no Brasil. Um documento foi enviado hoje Comissão Nacional para a Erradicação do Trabalho Escravo (Conatrae), composta por instituições do Estado e da sociedade civil.

O Tema 1389 discute de quem é a competência para julgar conflitos contratuais entre CNPJs, mesmo que seus donos reclamem que, na verdade, eram trabalhadores precarizados que batiam cartão. Se STF apontar que é a Justiça Comum, e não a Justiça do Trabalho, pode vir a corroborar situações que hoje são consideradas ilegais, como cortadores de cana, coveiros e até empregados domésticos que constituem empresas de uma pessoa só.

O julgamento também vai definir quem deve provar que houve fraude na relação: a empresa-patrão ou a empresa-trabalhador. A Procuradoria-Geral da República (PGR), com uma posição diferente à do MPT, enviou um parecer ao STF dando aval à Justiça Comum. A análise pelo plenário deve acontecer ainda este ano e terá repercussão geral.",2026-02-20 00:00:00,https://noticias.uol.com.br/colunas/leonardo-sakamoto/2026/02/20/combate-a-escravidao-vai-diminuir-se-stf-liberar-pejotizacao-alerta-mpt.htm,uol_politica
