titulo,subtitulo,texto,data,url,portal,vies_politico,justificativa_llm
"PL que reduz floresta aprovado na Câmara também prejudica setor rural, afirma advogada do Instituto Socioambiental","A Câmara dos Deputados aprovou nesta quarta-feira (20) um projeto de lei que reduz a área da floresta nacional do Jamanxim, no Pará, e transforma parte do…","A Câmara dos Deputados aprovou nesta quarta-feira (20) um projeto de lei que reduz a área da floresta nacional do Jamanxim, no Pará, e transforma parte do território em Área de Proteção Ambiental, a chamada APA. Isso significa uma redução de cerca de 40% da floresta e regras mais flexíveis para uso econômico da região e regularização fundiária. O texto agora segue para o Senado.

O projeto, que teve amplo apoio da bancada ruralista, é avaliado como um retrocesso ambiental grave por ambientalistas.

Em entrevista ao Conexão BdF, da Rádio Brasil de Fato, Alice Dandara, advogada do Instituto Socioambiental, explica que os deputados têm se dedicado a temas que renderão votos e, nesse aspecto, a bancada do agro também consegue pautar suas demandas. “A agenda da Câmara tem se voltado a uma agenda muito mais eleitoreira do que realmente uma agenda de proposições que são necessárias para políticas públicas no país. Nesse movimento, a gente percebe que a frente do agro construiu toda uma agenda que tem uma carga de ideologização e uma carga eleitoral muito forte”, avalia.

Dandara explica que, apesar de eleitoreiros, projetos como esses estão “descolados das práticas do próprio setor rural”. “Esses projetos atacam diretamente a política ambiental, o pacto federativo e a organização administrativa do governo federal. Eles têm como um objetivo muito central tensionar os Três Poderes. A gente não consegue enxergar um benefício ao setor rural nesse momento, até porque quando você flexibiliza áreas de proteção ambiental, como aconteceu com Jamanxim agora nesse projeto de lei, você traz riscos inclusive ao regime de chuvas, traz risco à forma de produção, à produtividade da terra. Então você coloca em risco a própria produtividade rural do setor”, explica.

Outro projeto também aprovado pela Câmara essa semana proíbe multa contra ações de desmatamento com base apenas em imagens de satélite. Dandara afirma que os prejuízos para o setor rural vão ser sentidos no mercado internaciona",2026-05-21 00:00:00,https://www.brasildefato.com.br/2026/05/21/pl-que-reduz-floresta-aprovado-na-camara-tambem-prejudica-setor-rural-afirma-advogada-do-instituto-socioambiental/,brasildefato,ESQUERDA,"** A notícia apresenta um viés ideológico de ESQUERDA ao criticar a aprovação do projeto de lei que reduz a área da floresta nacional do Jamanxim e transforma parte do território em Área de Proteção Ambiental, considerando isso como um ""retrocesso ambiental grave""."
O que está acontecendo no Sahel,"Há décadas, os países da região africana do Sahel são alvos do colonialismo e exploração de potências da Europa. Recentemente, essas nações passaram por…","Há décadas, os países da região africana do Sahel são alvos do colonialismo e exploração de potências da Europa. Recentemente, essas nações passaram por levantes civis e militares que buscam romper com a interferência europeia e criar novos caminhos de desenvolvimento. O Brasil de Fato acompanha de perto os acontecimentos no Sahel.",2024-12-30 12:21:25+00:00,https://www.brasildefato.com.br/correspondente/sahel/,brasildefato,ESQUERDA,"** A notícia apresenta uma narrativa que destaca a exploração e interferência europeia nos países do Sahel, enfatizando a necessidade de romper com essas práticas. Isso é coerente com a linha editorial de ESQUERDA/PROGRESSISTA mencionada no contexto do veículo."
Struggles,Portuguese,"Todos os conteúdos de produção exclusiva e de autoria editorial do Brasil de Fato podem ser reproduzidos, desde que não sejam alterados e que se deem os devidos créditos. All original content produced and editorially authored by Brasil de Fato may be reproduced, provided it is not altered and proper credit is given.",,https://www.brasildefato.com.br/editoria/english/struggles/,brasildefato,NEUTRO,"** A notícia é uma declaração técnica sobre a política de reprodutibilidade dos conteúdos do Brasil de Fato, sem qualquer viés ideológico."
"Em reunião com bancada do Psol na Alesp, Haddad é avisado que o partido insistirá em candidatura de Marina Silva ao Senado",Petista disse que decisão sobre nomes para a disputa em São Paulo é “um problema bom”,"Durante encontro com a bancada do Psol na Assembleia Legislativa do Estado de São Paulo (Alesp), na quarta-feira (20), Fernando Haddad (PT), pré-candidato ao governo paulista, escutou que os psolistas insistirão na pré-candidatura de Marina Silva (Rede) ao Senado.

Os parlamentares pediram um compromisso de Haddad com a pré-campanha de Marina Silva. O petista disse que esse é “um problema bom” e que “será resolvido logo”. Os deputados psolistas ficaram otimistas com o tom da conversa.

“O Psol está com Haddad nessas eleições. Nosso compromisso é lutar ao lado dele para derrotar a extrema direita no estado de São Paulo. A federação Psol/Rede tem Marina Silva como pré-candidata ao Senado, um nome que lidera as pesquisas de intenção de voto e pode fortalecer esse projeto coletivo. Estamos confiantes de que as negociações avançarão no sentido de consolidar o nome de Marina para o Senado”, afirmou a deputada estadual Paula Nunes (Psol).

Em São Paulo, os progressistas vivem um impasse para definir seus dois pré-candidatos. A pré-candidatura de Simone Tebet (PSB), ex-ministra do Planejamento, está confirmada e é encarada como prioridade pelo presidente Luiz Inácio Lula da Silva (PT).

Na próxima semana, PSB, PT e a Federação Psol-Rede devem decidir entre Marina Silva, que era ministra do Meio Ambiente, e Márcio França (PSB), que chefiava a pasta do Empreendedorismo.

Um encontro entre representantes da Federação Psol-Rede e o presidente estadual do PSB, Caio França, filho de Márcio França, deve ocorrer em São Paulo para definir o pleito.

O principal argumento do Psol e Rede para a manutenção de Marina Silva na disputa é que o PSB já possui um nome na corrida pelo Senado em São Paulo, que é Simone Tebet. Publicamente, a ex-ministra do Meio Ambiente já afirmou que não abrirá mão de sua pré-candidatura.

A reunião

Durante o encontro com os deputados do Psol, Haddad ouviu a análise dos parlamentares sobre diversos problemas no estado. Entre eles, a precarização da relação c",2026-05-21 00:00:00,https://www.brasildefato.com.br/2026/05/21/em-reuniao-com-bancada-do-psol-na-alesp-haddad-e-avisado-que-o-partido-insistira-em-candidatura-de-marina-silva-ao-senado/,brasildefato,ESQUERDA,"** A notícia apresenta uma abordagem favorável à candidatura de Marina Silva ao Senado e ao apoio do PT a essa pré-candidatura, o que é característico da linha editorial de ESQUERDA/PROGRESSISTA."
"Lula abre vantagem sobre Flávio Bolsonaro após escândalo do ‘Dark Horse’, aponta Datafolha",O presidente Luiz Inácio Lula da Silva (PT) ampliou sua vantagem sobre o senador Flávio Bolsonaro (PL) no primeiro turno da corrida presidencial de 2026…,"O presidente Luiz Inácio Lula da Silva (PT) ampliou sua vantagem sobre o senador Flávio Bolsonaro (PL) no primeiro turno da corrida presidencial de 2026, segundo nova pesquisa do instituto Datafolha divulgada nesta sexta-feira (22). O petista lidera a disputa com 40% das intenções de voto, enquanto o filho do ex-presidente Jair Bolsonaro (PL) aparece na segunda colocação, registrando 31%.

O avanço do atual presidente ocorre em meio ao desgaste sofrido pela oposição após as recentes investigações da Polícia Federal que ligam o parlamentar ao banqueiro Daniel Vorcaro, que teria feito repasses para financiamento do filme “Dark Horse”, obra que traz uma versão romanceada da trajetória de Jair Bolsonaro.

No principal cenário estimulado de primeiro turno, Lula abriu uma frente de nove pontos percentuais sobre o principal nome da extrema direita. A distância entre os dois principais polos políticos do país triplicou em relação ao levantamento anterior do mesmo instituto, quando a disputa marcava 38% a 35% a favor do atual presidente.

O levantamento do Datafolha também mapeou o desempenho das forças políticas que tentam se consolidar como alternativas na chamada terceira via. O ex-governador de Goiás, Ronaldo Caiado (PSD), figura na terceira posição ao registrar 4% das intenções de voto nacional. Logo em seguida, o governador de Minas Gerais, Romeu Zema (Novo), aparece tecnicamente empatado com 3%, mesma pontuação obtida por Renan Santos (Missão) e por Samara Martins (UP).

Nas simulações de segundo turno, o cenário de empate técnico que vinha travando a sucessão presidencial foi rompido em favor do atual presidente. Lula lidera de forma isolada a rodada de confronto direto com o senador, alcançando 47% da preferência do eleitorado brasileiro. Flávio Bolsonaro, por sua vez, retém 43% das intenções de voto nesta etapa da pesquisa, ficando quatro pontos atrás do petista e fora do limite da margem de erro do instituto, que é de dois pontos percentuais.

A oscilação positiva",2026-05-22 00:00:00,https://www.brasildefato.com.br/2026/05/22/lula-abre-vantagem-sobre-flavio-bolsonaro-apos-escandalo-de-dark-horse-aponta-datafolha/,brasildefato,NEUTRO,"** A notícia apresenta uma análise objetiva da pesquisa do Datafolha sobre as intenções de voto para a corrida presidencial de 2026, sem incluir adjetivos que possam influenciar o leitor em um sentido específico."
"No Piauí, Rafael Fonteles lidera intenções de voto para o governo com pauta além do PT, enquanto Ciro Nogueira perde força na disputa ao Senado","Rafael Fonteles aparece na liderança com vantagem sobre os adversários com 69,3% das intenções de voto…","O governador Rafael Fonteles aparece com ampla vantagem na disputa pela reeleição no Piauí em um cenário que combina a força histórica do PT no estado, a dificuldade da oposição em se reorganizar após o bolsonarismo e um perfil político que ultrapassa o eleitorado tradicional do lulismo. A avaliação é do cientista político Vítor Sandes, diretor do Centro de Ciências Humanas e Letras da Universidade Federal do Piauí (UFPI), em entrevista ao É de Manhã, da Rádio Brasil de Fato, desta sexta-feira (22).

Segundo Sandes, a trajetória de Fonteles ajuda a explicar o cenário. Filho de Nazareno Fonteles, um dos fundadores do PT no Piauí, o governador representa uma geração diferente da liderança histórica do partido. O pesquisador afirma que o governador construiu uma imagem ligada à capacidade intelectual e ao setor empresarial, distante da origem sindical que marcou parte do PT nos anos 1980 e 1990.

O cientista político afirma ainda que Fonteles conseguiu unir a identificação com o presidente Luiz Inácio Lula da Silva com pautas voltadas a setores moderados e até conservadores do eleitorado. Ao contrário da campanha de 2022, quando o atual governador chegou a ser apresentado como “filho do Lula” no estado. Ao mesmo tempo, segundo Sandes, o petista ampliou o diálogo político ao apostar em temas como segurança pública, inteligência artificial e atração de investimentos.

“Rapidamente ele conseguiu crescer muito no contexto de 2022, mas, ao mesmo tempo, trouxe pautas que extrapolavam o lulismo e que dialogavam de alguma maneira com um público mais moderado e até mesmo à direita. Tanto que, logo no início do seu governo, aí em 2023, ele implementou uma série de ações na Secretaria de Segurança Pública de recuperação de celulares. Isso teve uma boa aprovação da população”, argumenta o cientista político.

A leitura do cientista político encontra respaldo na pesquisa AtlasIntel realizada entre 13 e 18 de maio com 1.240 entrevistados no Piauí e divulgada no dia 19 do mesmo mês. ",2026-05-22 00:00:00,https://www.brasildefato.com.br/2026/05/22/no-piaui-rafael-fonteles-lidera-intencoes-de-voto-para-o-governo-com-pauta-alem-do-pt-enquanto-ciro-nogueira-perde-forca-na-disputa-ao-senado/,brasildefato,NEUTRO,"** A notícia apresenta uma análise política sobre as intenções de voto no estado do Piauí, destacando a liderança de Rafael Fonteles e sua pauta política que ultrapassa o eleitorado tradicional do PT."
Transporte,renovação de frota,"Todos os conteúdos de produção exclusiva e de autoria editorial do Brasil de Fato podem ser reproduzidos, desde que não sejam alterados e que se deem os devidos créditos. Todos os conteúdos de produção exclusiva e de autoria editorial do Brasil de Fato podem ser reproduzidos, desde que não sejam alterados e que se deem os devidos créditos.",,https://www.brasildefato.com.br/editoria/cidades/transporte/,brasildefato,NEUTRO,"** O texto sobre a renovação da frota do transporte não apresenta nenhuma pauta política, crítica ao mercado ou valor conservador. Portanto, é uma notícia puramente descritiva e factual."
Direitos Humanos,VIDA DAS MULHERES,"Todos os conteúdos de produção exclusiva e de autoria editorial do Brasil de Fato podem ser reproduzidos, desde que não sejam alterados e que se deem os devidos créditos. Todos os conteúdos de produção exclusiva e de autoria editorial do Brasil de Fato podem ser reproduzidos, desde que não sejam alterados e que se deem os devidos créditos.",,https://www.brasildefato.com.br/editoria/direitos/direitos-humanos/,brasildefato,ESQUERDA,"** O texto apresenta uma abordagem crítica e denunciante sobre os direitos humanos das mulheres, destacando problemas sociais e políticos que afetam essa população."
Culture,Portuguese,"Todos os conteúdos de produção exclusiva e de autoria editorial do Brasil de Fato podem ser reproduzidos, desde que não sejam alterados e que se deem os devidos créditos. All original content produced and editorially authored by Brasil de Fato may be reproduced, provided it is not altered and proper credit is given.",,https://www.brasildefato.com.br/editoria/english/culture/,brasildefato,NEUTRO,"** A notícia é uma declaração sobre a política de uso de conteúdo do portal Brasil de Fato, sem qualquer informação ou análise sobre um tema específico."
Internacional,Tensão,"Todos os conteúdos de produção exclusiva e de autoria editorial do Brasil de Fato podem ser reproduzidos, desde que não sejam alterados e que se deem os devidos créditos. Notícias do mundo, reportagens especiais de correspondentes internacionais e análises sobre o Sul Global. Todos os conteúdos de produção exclusiva e de autoria editorial do Brasil de Fato podem ser reproduzidos, desde que não sejam alterados e que se deem os devidos créditos.",,https://www.brasildefato.com.br/editoria/internacional/,brasildefato,ESQUERDA,"** A notícia não apresenta uma narrativa específica sobre um evento político ou social, mas sim é uma introdução para conteúdos de produção exclusiva do Brasil de Fato. Portanto, não há um foco claro em justiça social, críticas ao mercado/polícia, pautas progressistas (ESQUERDA) ou liberdade econômica, valores conservadores, críticas ao 'estatismo' ou ao judiciário e críticas ao “estado inflado”, “judiciário inflado” (DIREITA)."
