titulo,subtitulo,texto,data,url,portal,vies_politico,justificativa_llm
"Às vésperas das eleições, Lula lança programa de R$ 30 bilhões para financiamento de veículos de motoristas e taxistas",‘Move Aplicativo’ foi lançado nesta terça-feira (19) em São Paulo com juros abaixo de 1% ao mês e prazo de até 72 meses; iniciativa ocorre após derrota do governo na regulamentação das plataformas no Congresso.,"Às vésperas das eleições, o presidente Luiz Inácio Lula da Silva lançou nesta segunda-feira (18) o programa Move Aplicativos, linha de crédito voltada a motoristas de aplicativos e taxistas.

CONTINUA APÓS A PUBLICIDADE

A investida se dá no giro de rejeição em que se encontra o líder petista. Sondagens dos principais institutos de pesquisa mostram que a desaprovação a Lula é a maior de todos os tempos, superando a casa dos 50% e, a depender do instituto, a taxa chega próxima dos 60%.

A cerimônia foi realizada às 15h30 na Casa de Portugal, no bairro da Liberdade, em São Paulo. O programa terá até R$ 30 bilhões em recursos do Tesouro Nacional, repassados ao BNDES, que fará as operações por intermédio da rede bancária.

Condições de financiamento

A linha financiará veículos de até R$ 150 mil, com prazo de até 72 meses e carência de até seis meses. As taxas devem ficar abaixo da Selic, hoje em 14,5% ao ano.

CONTINUA APÓS A PUBLICIDADE

Para motoristas de aplicativo, a taxa em discussão é de 0,99% ao mês, ou 12,55% ao ano. Para taxistas, deve ser de 0,95% ao mês, ou 11,40% ao ano. Os critérios de elegibilidade exigem ao menos 100 corridas realizadas nos últimos 12 meses, ou seja, uma média de duas corridas por semana.

Contexto político e derrota no Congresso

O lançamento da linha de crédito ocorre após o governo sofrer uma derrota ao não conseguir aprovar no Congresso a regulamentação da atuação dos trabalhadores por aplicativo.

A proposta perdeu força por falta de acordo entre empresas, motoristas e congressistas, e o Planalto recebeu o indicativo de que o texto não será votado em 2026. A intenção do governo é aproximar o setor, considerado próximo do bolsonarismo, de Lula nas eleições.

Demanda reprimida e setor automobilístico

O Planalto argumenta que há demanda reprimida por carros entre motoristas de aplicativo e taxistas. Estudo do Datafolha feito em 2025 com motoristas ativos da Uber mostrou que 87% tinham interesse em comprar ou trocar de carro nos três a",2026-05-19 08:04:07-03:00,https://www.conexaopolitica.com.br/politica/as-vesperas-das-eleicoes-lula-lanca-programa-de-r-30-bilhoes-para-financiamento-de-veiculos-de-motoristas-e-taxistas/,conexaopolitica,ESQUERDA,"** O texto apresenta uma abordagem positiva e otimista sobre o programa de financiamento lançado pelo presidente Lula, destacando a linha de crédito como uma solução para os motoristas de aplicativos e taxistas, com condições favoráveis. Além disso, o texto não critica ou questiona as políticas econômicas do governo, o que sugere um viés ideológico pró-governo."
PF retira delegado que pediu investigação contra Lulinha e prisão do ‘Careca do INSS’ da condução do inquérito,Guilherme Figueiredo Silva foi retirado da condução do caso após solicitar prisão do ‘Careca do INSS’ e abertura de apuração contra o filho mais velho de Lula; oposição cobra explicações de Andrei Rodrigues.,"A Polícia Federal (PF) substituiu o delegado Guilherme Figueiredo Silva, responsável por apurar fraudes no INSS e autor do pedido de investigação sobre Fábio Luís Lula da Silva, o “Lulinha”, filho mais velho do presidente.

CONTINUA APÓS A PUBLICIDADE

A troca no comando das investigações foi alvo de críticas da oposição, que agora exige explicações do diretor-geral da corporação. O delegado chefiava a Divisão de Repressão a Crimes Previdenciários e conduzia o inquérito sobre as fraudes em aposentadorias desde que o caso foi remetido ao Supremo Tribunal Federal (STF), devido ao foro privilegiado de investigados. A substituição teria ocorrido a pedido do próprio policial, que pretende retornar a Minas Gerais, seu estado de origem.

Transferência de coordenação no STF

A transferência do caso para a Coordenação de Inquéritos nos Tribunais Superiores surpreendeu o gabinete de Mendonça. O ministro soube da mudança em reunião realizada nesta sexta-feira (15).

A condução do inquérito pelo delegado Guilherme Figueiredo Silva era bem avaliada por interlocutores do relator das fraudes no INSS.

CONTINUA APÓS A PUBLICIDADE

Questionada, a PF ressaltou que a equipe que conduz as investigações segue a mesma. “A transferência foi concebida para assegurar maior eficiência e continuidade às investigações, uma vez que a Coordenação de Inquéritos nos Tribunais Superiores possui estrutura permanente voltada justamente à condução de operações sensíveis e complexas com tramitação perante o STF”, informou a corporação.

Pedidos feitos pelo delegado afastado

A substituição se dá após o delegado anterior ter solicitado medidas contra Fábio Luís Lula da Silva, o Lulinha, filho do presidente da República. Antes de deixar o caso, o antigo responsável havia pedido a prisão do empresário Antônio Camilo Antunes, conhecido como “Careca do INSS”, apontado como o mentor das fraudes em aposentadorias.

O delegado deixou a condução do inquérito no início do mês e redistribuiu investigações a outro",2026-05-16 09:06:13-03:00,https://www.conexaopolitica.com.br/politica/pf-retira-delegado-que-pediu-investigacao-contra-lulinha-e-prisao-do-careca-do-inss-da-conducao-do-inquerito/,conexaopolitica,DIREITA,"** O texto apresenta uma narrativa que critica a atuação da Polícia Federal e do governo em relação à investigação de fraudes no INSS, destacando a substituição do delegado responsável pelo caso e as críticas da oposição. A abordagem é mais próxima da perspectiva conservadora, questionando a imparcialidade das autoridades e sugerindo que há uma tentativa de influenciar a investigação."
"Sem passar pelo Congresso, Lula assina decretos que obrigam big techs a remover conteúdo sem ordem judicial",Dois decretos presidenciais regulamentam decisão do STF e colocam ANPD como órgão fiscalizador; plataformas poderão ser responsabilizadas por “falhas sistêmicas” mesmo sem determinação da Justiça.,"O presidente Luiz Inácio Lula da Silva assinou nesta quarta-feira (20) dois decretos presidenciais que reformulam as regras de atuação e a responsabilização civil das big techs e plataformas digitais no Brasil.

CONTINUA APÓS A PUBLICIDADE

As medidas alteram a regulamentação do Marco Civil da Internet e foram motivadas, segundo o governo, pelo avanço de golpes virtuais e ataques sistêmicos contra mulheres no ambiente virtual.

Os decretos foram assinados durante cerimônia no Palácio do Planalto sobre os 100 dias do Pacto Nacional Brasil Contra o Feminicídio, sem necessidade de aprovação do Congresso Nacional.

Remoção de conteúdo sem ordem judicial

Uma das principais alterações previstas pelo decreto é a possibilidade de responsabilização das plataformas mesmo sem decisão judicial prévia para remoção de conteúdo em determinadas situações.

Até então, o Marco Civil da Internet estabelecia que as empresas só poderiam ser responsabilizadas civilmente caso descumprissem ordem judicial de retirada do material.

O novo decreto estabelece que redes sociais deverão remover conteúdos ilegais após simples notificação, mesmo sem ordem judicial.

As empresas terão de criar canais de denúncia, informar os usuários sobre medidas adotadas e permitir contestação das decisões. Imagens íntimas divulgadas sem consentimento deverão ser removidas em até duas horas após notificação.

ANPD como braço fiscal do governo

Uma das principais novidades dos decretos é a definição da Autoridade Nacional de Proteção de Dados como órgão competente para fiscalizar o cumprimento das novas regras. A ANPD está proibida de solicitar a remoção de conteúdos ou perfis isolados.

O STF definiu sete casos que exigem remoção direta de conteúdo: terrorismo, instigação ao suicídio, ataques à democracia, racismo, homofobia e crimes contra mulheres e crianças.

Preocupação com liberdade de expressão

A oposição e entidades ligadas à liberdade de imprensa e expressão alertam que a possibilidade de remoção de co",2026-05-22 18:00:02-03:00,https://www.conexaopolitica.com.br/politica/sem-passar-pelo-congresso-lula-assina-decretos-que-obrigam-big-techs-a-remover-conteudo-sem-ordem-judicial/,conexaopolitica,DIREITA,"** O texto apresenta uma narrativa que prioriza a defesa da liberdade de expressão e a responsabilização das plataformas digitais por ""falhas sistêmicas"", sem necessidade de ordem judicial prévia, o que é característico da linha editorial de DIREITA/CONSERVADORA."
Fale conosco,,"Receba atualizações em tempo real no aplicativo do Conexão Política. E-mail comercial: contato@conexaopolitica.com.br O portal político mais engajado do Brasil. Há mais de 10 anos noticiando, explicando e desvendando os movimentos do poder. Conexão Política © 2026 Todos os direitos reservados.  Lembrar-me 


",,https://www.conexaopolitica.com.br/faleconosco/,conexaopolitica,NEUTRO,"** A notícia não apresenta informações sobre conteúdo político ou social, apenas uma chamada para contato e atualizações em tempo real no aplicativo do Conexão Política. Portanto, não há viés ideológico explícito na notícia."
TSE mantém cassação de prefeita e vereador por uso de culto religioso para promover candidaturas,"Por unanimidade, Corte reafirma que liberdade religiosa não pode justificar abuso de poder político; caso envolve orações públicas por candidatos e reajuste de 34% no aluguel pago pela prefeitura à igreja.","A prefeita Fabíola Alves da Silva (PSDB), o vice-prefeito Cesar Silva (PSDB) e o vereador Pastor Lilo (MDB) de Votorantim, no interior de São Paulo, tiveram seus registros de candidatura cassados pelo Tribunal Superior Eleitoral nesta segunda-feira (18).

CONTINUA APÓS A PUBLICIDADE

Por unanimidade, a Corte confirmou que o uso de igrejas para promoção de propaganda eleitoral configura abuso de poder político e econômico, mantendo decisão anterior do Tribunal Regional Eleitoral de São Paulo.

O que aconteceu no culto

Segundo o acórdão, os três políticos utilizaram um culto da Igreja do Evangelho Quadrangular para propaganda política nas eleições de 2024. Os candidatos subiram ao púlpito durante a cerimônia e receberam orações que pediam por seu sucesso eleitoral.

O pastor presente chegou a declarar que os fiéis estariam “fechados” com os candidatos. “A partir do dia 16, nós vamos trabalhar muito”, convocou o religioso, segundo a decisão.

Fundamento do TSE

“A inexistência de pedido explícito de votos não afasta o ilícito quando presentes elementos como promoção pessoal, referência ao pleito e instrumentalização da fé dos eleitores”, diz a decisão.

O TSE reafirmou que templos religiosos não podem ser instrumentalizados na disputa eleitoral e que os candidatos se beneficiaram conscientemente da estrutura religiosa.

Ficou reconhecida também a prática de abuso de poder político pelo uso da máquina pública para beneficiar economicamente a entidade religiosa: a prefeitura pagou reajuste de 34% no aluguel de um imóvel da igreja, sem justificativa idônea, em ano eleitoral.

Precedente para 2026

Em 4 de maio, o Movimento Brasil Laico protocolou representação junto à Procuradoria Regional Eleitoral do Rio de Janeiro contra o pastor Silas Malafaia, a Igreja Assembleia de Deus Vitória em Cristo e outros cinco políticos, entre eles o pré-candidato à Presidência Flávio Bolsonaro (PL), por propaganda eleitoral antecipada e abuso de poder religioso.",2026-05-21 23:37:18-03:00,https://www.conexaopolitica.com.br/politica/tse-mantem-cassacao-de-prefeita-e-vereador-por-uso-de-culto-religioso-para-promover-candidaturas/,conexaopolitica,DIREITA,"** A notícia apresenta uma narrativa que destaca o uso de um culto religioso para promoção de candidaturas políticas como um abuso de poder político e econômico, enfatizando a importância da liberdade religiosa não ser utilizada para fins eleitorais."
"Após áudio com Vorcaro, Flávio Bolsonaro perde 5,4 pontos na Atlas/Bloomberg","Pesquisa coletada entre 13 e 18 de maio mostra Lula com 47% no 1º turno e Flávio com 34,3%; no 2º turno, petista amplia vantagem para 7,1 pontos.","A pesquisa AtlasIntel/Bloomberg divulgada nesta terça-feira (19) é a primeira rodada nacional com coleta posterior ao vazamento dos áudios entre Flávio Bolsonaro e Daniel Vorcaro.

CONTINUA APÓS A PUBLICIDADE

O resultado mostra recuo acelerado do senador e recuperação de Lula nos cenários testados, mas o quadro geral permanece favorável à oposição em termos históricos: a queda de Flávio não se traduz em crescimento proporcional do petista.

Números do primeiro turno

No primeiro turno, Lula registra 47% das intenções de voto, enquanto Flávio tem 34,3%, diferença de 12,7 pontos percentuais. O apoio a Flávio caiu de 39,7% em abril para 34,3%, queda de 5,4 pontos em um mês. Os demais candidatos somam menos de 7% cada, com brancos e nulos em 1,4% e 1,9% de indecisos.

No segundo turno, Lula amplia margem

Em um eventual segundo turno, Lula venceria Flávio Bolsonaro por 48,9% a 41,8%, diferença de 7,1 pontos percentuais. Em abril, os dois estavam em empate técnico no mesmo cenário, com Flávio numericamente à frente por 47,8% a 47,5%. A inversão é o dado mais relevante da rodada.

Aprovação de Lula sobe, mas desaprovação segue acima de 50%

A pesquisa indica aprovação de 47,4% para Lula, com 51,3% de desaprovação. A avaliação da gestão do governo foi positiva para 42,9% dos entrevistados, enquanto 48,4% a consideram ruim ou péssima.

A desaprovação continua majoritária. Lula se beneficia da crise de Flávio nas intenções de voto, mas não converte o recuo do adversário em aprovação ao próprio governo.

93,9% dos eleitores conhecem o áudio

A pesquisa perguntou especificamente sobre o caso Vorcaro. Segundo o levantamento, 93,9% dos entrevistados ouviram falar do áudio em que Flávio cobra dinheiro do banqueiro, e 51,7% enxergam algum elo entre o senador e o esquema de fraudes do Banco Master.

O grau de penetração da notícia no eleitorado é incomum para uma crise de apenas uma semana e ajuda a explicar a queda abrupta nas intenções de voto.

Votos de Flávio não migraram para",2026-05-19 08:15:03-03:00,https://www.conexaopolitica.com.br/politica/apos-audio-com-vorcaro-flavio-bolsonaro-perde-54-pontos-na-atlas-bloomberg/,conexaopolitica,ESQUERDA,"** A notícia apresenta uma análise de pesquisa eleitoral que mostra a perda de pontos do senador Flávio Bolsonaro após o vazamento de áudios com Daniel Vorcaro. O texto é descritivo e não apresenta um viés ideológico explícito, mas pode ser interpretado como tendendo para a esquerda por causa da ênfase na perda de pontos do senador Flávio Bolsonaro."
Ciro descarta apoio a Flávio e diz que entendimento com o PL vale só para o Ceará,Pré-candidato ao governo cearense rebateu acusações de que aliança com o PL no estado se estenderia à disputa presidencial; PL avalia que Flávio Bolsonaro ficará sem palanque sólido no estado.,"O ex-ministro Ciro Gomes (PSDB), pré-candidato ao governo do Ceará, afastou nesta sexta-feira (22) qualquer interpretação de que sua aproximação com o PL no estado implique apoio à candidatura presidencial de Flávio Bolsonaro (PL-RJ).

CONTINUA APÓS A PUBLICIDADE

“Se eu sou do PSDB e o PSDB, até semana passada, queria que eu fosse candidato a presidente, como é que eles me acusam de apoiar um candidato do outro partido? Não tem esse acordo. O acordo aqui no Ceará é ao redor da agenda do Ceará”, disse o tucano , durante giro pelo interior com agendas em Sobral e no Cariri.

Aliança regional sem compromisso nacional

A aliança entre Ciro e o PL no Ceará foi costurada para viabilizar a candidatura ao governo estadual diante do PT, que lança o governador Elmano de Freitas (PT) à reeleição. O entendimento regional inclui o PL cedendo espaço para nomes ao Senado na chapa encabeçada por Ciro, sem que isso se traduza em apoio mútuo na corrida presidencial.

O líder do PL na Câmara, Sóstenes Cavalcante, admitiu que um palanque compartilhado com Ciro Gomes seria prejudicial para ambas as partes. “Seria ruim tanto para o Ciro Gomes quanto para o Flávio Bolsonaro se os dois dividissem o mesmo palanque”, afirmou o parlamentar.

PL avalia que Flávio ficará sem palanque no Ceará

O Partido Liberal avalia que Flávio Bolsonaro não conta com base política sólida no Ceará. Fontes reservadas dentro do próprio PL e no entorno de Ciro descartam praticamente a possibilidade de Flávio aparecer no mesmo palanque que o pré-candidato tucano ao governo estadual.

A avaliação interna é de que a aliança regional entre os dois campos serve ao Ceará mas não pode ser exportada para a disputa nacional sem custo político para Ciro, que historicamente atacou o bolsonarismo e cujos eleitores rejeitam o senador.

Michelle como obstáculo desde o início

A aproximação entre Ciro e o PL não foi construída sem resistência interna. A ex-primeira-dama Michelle Bolsonaro sempre foi contrária à aliança e disse",2026-05-22 19:00:49-03:00,https://www.conexaopolitica.com.br/politica/ciro-descarta-apoio-a-flavio-e-diz-que-entendimento-com-o-pl-vale-so-para-o-ceara/,conexaopolitica,DIREITA,"** A notícia apresenta uma abordagem crítica à aliança entre o PSDB e o PL no Ceará, destacando a possibilidade de Flávio Bolsonaro não ter um palanque sólido no estado. O tom da notícia sugere que há uma preocupação com a influência política do PL na região."
"88% dos eleitores querem que Flávio siga na disputa, diz Datafolha","Pesquisa mostra que 64% dos entrevistados acham que filho de Bolsonaro agiu mal ao pedir dinheiro a Daniel Vorcaro, do Banco Master.","Pesquisa Datafolha realizada entre os dias 20 e 21 de maio aponta que 88% dos eleitores que declaram voto no senador Flávio Bolsonaro (PL-RJ) defendem que ele deve seguir na disputa à Presidência mesmo após as revelações da ligação dele com o ex-banqueiro Daniel Vorcaro, preso por causa do escândalo do caso Master.

CONTINUA APÓS A PUBLICIDADE

O levantamento mostra que 10% dos eleitores de Flávio querem que ele desista da candidatura, enquanto 2% não sabem. A pesquisa ouviu 2.004 entrevistados em 139 cidades. A margem de erro do levantamento, registrado na Justiça Eleitoral sob o código BR-07489/2026, é de dois pontos para mais ou menos.

Impacto nas intenções de voto

Nesta rodada, o Datafolha mostra que houve impacto na intenção de voto de Flávio: na simulação de primeiro turno, a intenção de voto caiu de 35% para 31%, e na de segundo, oscilou de 45% para 43%. O presidente Luiz Inácio Lula da Silva passou de 38% para 40% no primeiro turno e de 45% a 47% no segundo.

Quadro geral: maioria quer que Flávio desista

No eleitorado total, o cenário muda: 48% defendem que Flávio Bolsonaro deixe a disputa presidencial, enquanto 44% defendem que ele mantenha a candidatura e 8% não souberam responder. No mesmo recorte, 64% entendem que ele agiu mal. Ainda assim, para 67%, nada mudou em relação à confiança no senador.

Base fiel mesmo com consciência do elo com Vorcaro

Entre os eleitores de Flávio, 54% consideram próxima sua relação com Daniel Vorcaro. Apesar disso, 73% afirmam confiar no filho de Bolsonaro. Para 53% dos eleitores de Flávio, inclusive, ele agiu bem ao pedir dinheiro ao então banqueiro, que destinou R$ 61 milhões à produção do filme.

O dado revela o fenômeno que o campo bolsonarista conhece bem: a base núcleo do movimento sustenta o candidato independentemente das revelações, desde que o enquadramento seja o de perseguição política.

Michelle como plano B

Caso Flávio Bolsonaro abandone a disputa, Michelle Bolsonaro (PL) aparece como principal alternativa ",2026-05-23 11:00:19-03:00,https://www.conexaopolitica.com.br/politica/88-dos-eleitores-querem-que-flavio-siga-na-disputa-diz-datafolha/,conexaopolitica,DIREITA,"** A notícia apresenta uma pesquisa que mostra o apoio dos eleitores ao senador Flávio Bolsonaro, filho do presidente Jair Bolsonaro, apesar das revelações de sua ligação com o ex-banqueiro Daniel Vorcaro, preso por causa do escândalo do caso Master. A notícia destaca que 88% dos eleitores que declaram voto em Flávio defendem que ele deve seguir na disputa à Presidência."
Ops! Nada aqui,,"Receba atualizações em tempo real no aplicativo do Conexão Política. Parece que não conseguimos encontrar o que você está procurando. Talvez uma pesquisa possa ajudar. O portal político mais engajado do Brasil. Há mais de 10 anos noticiando, explicando e desvendando os movimentos do poder. Conexão Política © 2026 Todos os direitos reservados.  Lembrar-me 


",,https://www.conexaopolitica.com.br/category/mercado-financeiro/,conexaopolitica,NEUTRO,**
Atlas/Intel é acusada de manipulação por reproduzir áudio entre Flávio e Vorcaro em pesquisa eleitoral,"Instituto incluiu a gravação no questionário e pediu que entrevistados classificassem a conversa como “terrível, neutra ou excelente”; empresa nega impacto nas intenções de voto e afirma que o áudio foi apresentado apenas após o encerramento das perguntas.","A AtlasIntel incluiu, na pesquisa presidencial divulgada nesta terça-feira (19), a reprodução do áudio atribuído ao senador Flávio Bolsonaro enviado ao banqueiro Daniel Vorcaro.

CONTINUA APÓS A PUBLICIDADE

O material foi apresentado aos entrevistados na etapa final da pesquisa, após a conclusão do questionário, acompanhado de uma ferramenta para medir, em tempo real, a reação do público ao conteúdo.

Segundo o formulário submetido ao TSE, os participantes deveriam avaliar o áudio enquanto ouviam a gravação, arrastando o botão para a direita em caso de percepção positiva e para a esquerda em caso de percepção negativa.

Acusação de indução e ameaça de ação

A equipe jurídica da pré-campanha de Flávio estuda representar contra a AtlasIntel por induzir os entrevistados numa tentativa ilegal de influenciar o eleitorado. “Vamos entrar com uma ação pedindo multa ao instituto que está fazendo uma indução negativa da pesquisa, para que isso não se repita”, disse o senador Rogério Marinho, coordenador da pré-campanha.

Argumento da base aliada

Embora a intenção declarada do instituto seja avaliar o impacto da notícia do Intercept nas intenções de voto, reproduzir o arquivo de mídia pode ser questionado judicialmente. Na prática, o áudio serve como indutor da resposta, buscando um viés de confirmação.

A questão, por exemplo, não continha a justificativa apresentada por Flávio para o financiamento do filme Dark Horse, nem sua explicação de que não houve contrapartida.

Defesa da AtlasIntel

A AtlasIntel afirma que a reprodução do áudio atribuído a Flávio ocorreu apenas após o encerramento das perguntas sobre intenção de voto.

As perguntas sobre intenções de voto para presidente, conforme os representantes, foram feitas antes de qualquer menção ao caso Vorcaro, com o áudio sendo apresentado apenas como último item do questionário.

“O áudio é reproduzido depois da conclusão do questionário da pesquisa e, portanto, não tem nenhum impacto sobre os cenários eleitorais. A idei",2026-05-19 09:02:02-03:00,https://www.conexaopolitica.com.br/politica/atlas-intel-e-acusada-de-manipulacao-por-reproduzir-audio-entre-flavio-e-vorcaro-em-pesquisa-eleitoral/,conexaopolitica,DIREITA,"** A notícia apresenta uma narrativa que prioriza a crítica ao instituto de pesquisa AtlasIntel e à pré-campanha do senador Flávio Bolsonaro, destacando a inclusão de um áudio suspeito em uma pesquisa eleitoral. O texto enfatiza a acusação de indução e ameaça de ação contra o instituto, sugerindo que a manipulação da pesquisa foi intencional."
