titulo,subtitulo,texto,data,url,portal,vies_politico,justificativa_llm
Ação no TCU tenta driblar freio a supersalários e cria ‘teto duplex’ para servidores,"Entidade tenta brecha para cargos de confiança na Câmara, no Senado e no próprio TCU; procurado, Sindilegis não respondeu","Quais são as carreiras públicas mais privilegiadas? Disputa envolve de supersalário a foro exclusivo 3:13 Sete categorias usufruem de benesses discrepantes em relação ao restante do serviço público.

Uma ação no Tribunal de Contas da União (TCU) tenta driblar o freio aos supersalários no funcionalismo público e criar uma espécie de “teto duplex” para burlar o limite constitucional de R$ 46,3 mil mensais.

PUBLICIDADE O processo, que será julgado pelo plenário da Corte de Contas nesta quarta-feira, 6, pede que a brecha valha para cargos de confiança no Legislativo federal: Câmara, Senado e o próprio TCU. A ação sigilosa foi apresentada no mês passado pelo Sindicato dos Servidores do Poder Legislativo Federal e do TCU (Sindilegis). Procurada, a entidade não respondeu. O relator do caso é o ministro Walton Alencar, o campeão em penduricalhos entre os ministros da Corte de Contas em 2025, com R$ 592 mil extrateto, como mostrou a Coluna do Estadão.

Em 3 de fevereiro, o Congresso aprovou penduricalhos para funcionários da Câmara e do Senado. Além de criar gratificações de desempenho que poderiam dobrar os proventos, o “trem da alegria” defendia um dia de folga a cada três trabalhados. Se não tirar a folga, o servidor tem direito a receber o valor em dinheiro. A proposta foi vetada pelo presidente Lula.

Publicidade

Dois dias depois dessa votação no Congresso, o ministro Flávio Dino, do Supremo Tribunal Federal (STF), ordenou que órgãos públicos dos três Poderes nos âmbitos federal, estadual e municipal revisem o pagamento de supersalários. Dino também proibiu a edição de novas leis que autorizam verbas extrateto. Na decisão, o ministro apontou um “Império dos Penduricalhos” no País.

O plenário do STF definiu, em março, regras para os salários da magistratura, especificamente. Os ministros permitiram penduricalhos e indenizações a até 70% da remuneração de juízes, promotores e procuradores. Na prática, as remunerações podem chegar a R$ 78,7 mil.

Ministro do TCU, Walton",,https://www.estadao.com.br/politica/coluna-do-estadao/acao-no-tcu-tenta-driblar-freio-a-supersalarios-e-cria-teto-duplex-para-servidores/,estadao,ESQUERDA,"** A notícia descreve uma ação no Tribunal de Contas da União (TCU) que busca criar um ""teto duplex"" para cargos de confiança no funcionalismo público, o que pode ser visto como uma tentativa de contornar o limite constitucional de R$ 46,3 mil mensais. O texto destaca a situação privilegiada dos servidores em certas carreiras públicas e sugere que a ação é uma forma de ""driblar"" as regras para beneficiar os funcionários."
Juristas criticam fala de presidente do TST sobre ‘vermelhos e azuis’ e citam risco à imparcialidade,Especialistas apontam que fala de Luiz Philippe Vieira de Mello Filho reforça a percepção de politização do Judiciário no País,"Presidente do TST diz que juízes 'vermelhos' têm causa, não interesses 1:55 Ministro Luiz Philippe Vieira de Mello Filho reclama da atuação de determinados magistrados 'azuis'. Crédito: Reprodução: tvanamatra / CONAMAT

Confira o resumo que a LE.IA, a IA do Estadão, fez pra você Gerando resumo Abrir o resumo

As declarações do presidente do Tribunal Superior do Trabalho (TST), Luiz Philippe Vieira de Mello Filho, que associaram juízes trabalhistas a “vermelhos” e “azuis”, foram criticadas por especialistas ouvidos pelo Estadão, que apontam risco à legitimidade e à imparcialidade da Justiça do Trabalho e avaliam que o episódio reforça a percepção de politização do Judiciário no País.

A polêmica teve origem em discurso no 22.º Congresso Nacional da Magistratura do Trabalho (Conamat), em Brasília, na última sexta-feira, 1º, quando o presidente do TST se incluiu entre os juízes “vermelhos”, que estariam a serviço de uma “causa”, enquanto os “azuis” atuariam guiados por “interesses”. A fala repercutiu nas redes sociais e foi interpretada como referência à polarização política, com a cor vermelha associada aos defensores do governo do PT e o azul à oposição.

Ministro Luiz Philippe Vieira de Mello Filho. Foto: Giovanna Bembom/TST/Divulgação

PUBLICIDADE Após a repercussão negativa, o próprio magistrado afirmou que a declaração foi uma resposta ao ministro do TST Ives Gandra Martins Filho, que havia utilizado a classificação “azuis e vermelhos” em palestra para descrever correntes distintas na Corte, associadas a visões mais “liberais” ou “intervencionistas” e a posturas “legalistas” ou “ativistas”. Para o ex-presidente do TST Almir Pazzianotto, a declaração foi “muito infeliz” e “ideológica” e contraria princípios básicos da organização do Judiciário. Segundo ele, ao estabelecer uma oposição entre “vermelhos” e “azuis”, o presidente da Corte introduz um debate que não cabe ao Poder Judiciário, cuja função é interpretar a Constituição e as leis. “O Poder Judiciário não é ",,https://www.estadao.com.br/politica/juristas-criticam-fala-de-presidente-do-tst-sobre-vermelhos-e-azuis-e-citam-risco-a-imparcialidade/,estadao,ESQUERDA,"** A notícia apresenta um tom crítico em relação às declarações do presidente do TST, enfatizando o risco à legitimidade e imparcialidade da Justiça do Trabalho. O foco nos perigos da politização do Judiciário sugere uma abordagem típica da esquerda."
Perfil político ou técnico? Como os brasileiros acham que deve ser a escolha do novo ministro do STF,Pessoas ouvidas pela pesquisa Meio/Ideia também opinaram sobre rejeição de Messias à Corte; veja os números,"Vergonha, fake news e carta na manga: as armas de Fachin para tirar o STF da crise 1:53 Vergonha, fake news e carta na manga: as armas de Fachin para tirar o STF da crise. Crédito: Estadão

Confira o resumo que a LE.IA, a IA do Estadão, fez pra você Gerando resumo Abrir o resumo

Para 39,4% da população, o presidente Luiz Inácio Lula da Silva (PT) deveria escolher um nome técnico, sem vínculos com o governo, para sua próxima indicação ao Supremo Tribunal Federal (STF). Por outro lado, 37% defendem a indicação de um novo nome com ligação com governo, como foi o caso do advogado-geral da União, Jorge Messias.

Os dados são de pesquisa Meio/Ideia divulgada nesta quarta-feira, 6. Ao responder à pergunta “Quem Lula deve indicar para o STF”, outros 5% dizem querer uma mulher no cargo, independentemente do perfil, e um total de 5,4% não soube responder.

Critério de escolha do próximo ministro do STF divide a opinião dos brasileiros Foto: Wilson Junior/Estadão

PUBLICIDADE A opinião dos entrevistados também se divide na interpretação da rejeição de Messias para a vaga na Suprema Corte: 36% a atribuem a uma articulação da oposição para enfraquecer o governo, enquanto 35% veem o episódio como uma derrota do presidente Lula e que mostra fraqueza do governo. Para 12%, o Senado fez seu papel ao barrar uma indicação política. Outros 8% acham que indicações ao STF não deveriam passar pelo Senado e 9% não souberam responder.

Publicidade

O ministro da Advocacia-Geral da União foi escolhido por Lula para ocupar vaga aberta no Supremo com a aposentadoria de Luís Roberto Barroso, há sete meses. O nome foi vetado pelo plenário do Senado Federal, algo que não ocorria há 132 anos.

A rejeição ocorreu em momento de desgaste da imagem pública do Tribunal, que enfrenta críticas de parte do Congresso Nacional e pressão de bolsonaristas por impeachment de ministros. Também vive os efeitos da repercussão do caso do Banco Master, que envolve menções a ministros da Corte.

Segundo declaração d",,https://www.estadao.com.br/politica/perfil-politico-tecnico-como-brasileiros-acham-deve-ser-escolha-novo-ministro-stf-nprp/,estadao,ESQUERDA,"** O texto apresenta uma pesquisa com números e porcentagens, mas utiliza termos pejorativos como ""vergonha"" para descrever as ações do ministro Fachin e enfatiza a ideia de que Lula deveria escolher um nome técnico, sem vínculos com o governo, para sua próxima indicação ao STF. Essa ênfase pode ser interpretada como uma crítica à indicação de Messias."
Chefe do MP de São Paulo rejeita acordo de delação com ‘Beto Louco’ e ‘Primo’ sobre PCC e corrupção,"Paulo Sérgio de Oliveira e Costa avalia que foragidos da Operação Carbono Oculto não implicam a facção, querem ‘blindar’ patrimônio e não oferecem informações relevantes que justifiquem colaboração premiada; defesa diz ainda não ter um posicionamento","Por que a PGR não aceitou a delação de Beto Louco? Por que ele não contou tudo que sabe 3:44 Denúncias que envolvem empresário e o senador Davi Alcolumbre, se confirmadas, são graves. Crédito: Raquel Landim | Estadão

O procurador-geral de Justiça de São Paulo, Paulo Sérgio de Oliveira e Costa, decidiu nesta quarta-feira, 6, não fechar acordo de delação premiada com Mohamad Hussein Moraes, o “Primo”, e Roberto Augusto Leme da Silva, o “Beto Louco”. Os dois se apresentam como empresários e estão foragidos da Operação Carbono Oculto – maior investigação já realizada contra o poderio econômico do PCC e fintechs que operavam sob controle da facção no “andar de cima” da Faria Lima.

PUBLICIDADE O chefe do Ministério Público de São Paulo avalia que “Beto Louco” e “Primo” oferecem informações que não são tão relevantes a ponto de receberem em troca benefícios como a revogação do decreto de prisão expedido contra eles e se livrarem de eventuais condenações penais. O criminalista Guilherme San Juan, que defende os empresários, não comentou a decisão do procurador-geral de Justiça. “Não temos uma posição ainda”, disse, ao Estadão.

Mohamad Hussein Mourad (esq.), o 'Primo', e Roberto Augusto Leme da Silva (dir.), o 'Beto Louco', estão foragidos Foto: Reprodução

Os promotores que investigam os dois não aceitam que eles mantenham a estratégia de negar vínculos com o PCC. Para eles, “Beto Louco” e “Primo” pretendem “blindar” o patrimônio que teriam reunido por meio de atividades ilícitas no setor de combustíveis. Eles concordam em “devolver” ao Estado uma quantia que poderia chegar a R$ 1 bilhão, mas os promotores que os investigam consideram que o montante deveria chegar a pelo menos R$ 4 bilhões.

O Estadão apurou que os promotores entendem que “Beto Louco” e “Primo” têm “pouco a oferecer” – omitem esquemas de lavagem, conexões com PCC e não citam políticos nem juízes, como divulgaram interlocutores dos dois. Em um anexo da proposta de colaboração, eles mencionam apenas um jui",,https://www.estadao.com.br/politica/blog-do-fausto-macedo/chefe-do-mp-de-sao-paulo-rejeita-acordo-de-delacao-com-beto-louco-e-primo-sobre-pcc-e-corrupcao/,estadao,ESQUERDA,"** A notícia destaca a decisão do chefe do Ministério Público de São Paulo em rejeitar o acordo de delação com os foragidos ""Beto Louco"" e ""Primo"", sugerindo que eles não oferecem informações relevantes para justificar a colaboração premiada. O tom da notícia é descritivo, mas sugere um viés ideológico ao enfatizar a importância da investigação sobre o PCC e a necessidade de responsabilização dos envolvidos."
Ministro da articulação política de Lula se reúne com Alcolumbre uma semana após derrota de Messias,José Guimarães esteve com presidente do Senado nesta quarta-feira para tentar melhorar o clima entre Lula e o senador após derrotas sofridas pelo governo no Congresso,"A conversa para distensionar a relação do governo Lula com o senador acontece uma semana depois da derrota de Jorge Messias para a vaga ao Supremo Tribunal Federal (STF), a primeira indicação barrada pelo Senado desde 1894. Eles se encontraram na residência oficial de Alcolumbre, em Brasília, a pedido do ministro.

Segundo relatos de interlocutores à Coluna do Estadão, Guimarães vem repetindo que, “diferentemente do que diz a oposição, o governo não acabou”, e que, apesar das derrotas sofridas na semana passada, “é vida que segue”.

Conversa para ‘virar a página’

O ministro havia pedido na segunda-feira uma agenda com o presidente do Senado, a quem o governo credita a derrota de Messias, para discutir a pauta de interesse de Lula no Congresso Nacional.",,https://www.estadao.com.br/politica/coluna-do-estadao/ministro-da-articulacao-politica-de-lula-se-encontra-com-alcolumbre-1-semana-apos-derrota-de-messias/,estadao,DIREITA,"** A notícia destaca o encontro entre o Ministro da articulação política de Lula e o Presidente do Senado com um tom que sugere a necessidade de ""distensionar"" a relação entre o governo e o Senado, após derrotas sofridas pelo governo. Isso cria uma impressão de que as derrotas são resultado de uma falha na articulação política do governo, em vez de uma resposta natural à disputa legislativa."
A derrota de um sistema de poder,"Depois de indicar seu advogado pessoal e um correligionário político, Lula tentou emplacar alguém cuja carreira foi essencialmente produzida pela fidelidade ao partido e a seus governos","“Foi a vitória da baixa política”, leio em um artigo, sobre a rejeição de Messias, para o STF. Achei curioso. Quem sabe a “alta política” teria sido repetir a crônica de 130 anos de “carimbos”, por parte do Senado, às indicações para o Supremo, vindas do executivo. Em outra notícia, leio que um grupo de “juristas” cogitava recorrer ao Supremo por “desvio de finalidade”. Achei graça, naquilo, mas me pareceu plausível.

Desvio de finalidade já justificou impedir Lula de assumir um ministério, no governo Dilma. E um ex-presidente conceder um indulto para um deputado condenado por “delito de opinião”. Isso e um bocado de esquisitices. Em um País que se especializou em relativizar direitos e reescrever a lei, a partir do próprio judiciário, não me surpreenderia com mais esta bizarrice.

O advogado-geral da União, Jorge Messias, teve seu nome rejeitado pelo Senado para vaga do STF Foto: Wilton Junior/Estadão

A rejeição da indicação de Messias traz uma novidade em nossa história republicana: o Legislativo pode decidir com autonomia, na contramão do Executivo. Pode resistir ao peso da liberação de emendas e das posições no governo. Não há grande virtude, nisso. Há apenas instituições cumprindo o seu papel. Exercendo poder, funcionando dentro da regra.

Leia também

PUBLICIDADE Como disse o próprio Messias, em sua fala sóbria e ponderada, depois do resultado, há dias de vitória e há dias de derrota. Talvez tenhamos esquecido disso, nos últimos 130 anos de mando do governo sobre o parlamento. E é positivo para nossa república que todos saibam que as coisas possam seguir um rumo diferente.

A rejeição de Messias sugere um outro aspecto: é a derrota de um perfil de indicações, para o Supremo. De um político experiente escutei a frase síntese: o Supremo não é assessoria da presidência.

Publicidade

Depois de indicar seu advogado pessoal e um correligionário político, Lula tentou emplacar alguém cuja carreira foi essencialmente produzida pela fidelidade ao partido e a seus gove",,https://www.estadao.com.br/politica/fernando-schuler/a-derrota-de-um-sistema-de-poder/,estadao,ESQUERDA,"** A notícia apresenta um viés ideológico de direita ao criticar a indicação do advogado-geral da União Jorge Messias para o Supremo Tribunal Federal (STF) e destacar supostos ""desvios"" e ""bizarrices"" cometidos pelo judiciário, associando-os à política do partido de esquerda ao qual Lula pertence."
Flávio Bolsonaro foi articulador e grande beneficiário das duas derrotas de Lula,"Congresso entrou na guerra eleitoral e o Centrão, com uma exceção ou outra, já tem candidato; muita água, ou muita batalha, ainda vai rolar","Congresso derruba veto de Lula ao PL da Dosimetria; veja 00:50 Na Câmara, foram 318 votos favoráveis à derrubada e 144 contrários. No Senado, foram 49 votos para a derrubada do veto e 24 votos contra a derrubada do veto. Crédito: TV Senado

Os efeitos concretos da derrubada do veto do presidente Lula ao PL da Dosimetria, como a liberdade dos vândalos de 8/1, ainda vão demorar um bocado, mas o resultado imediato é cristalino: o Congresso entrou na guerra eleitoral a favor do senador Flávio Bolsonaro, contra o presidente Lula. Leia-se: o Centrão, com uma exceção ou outra, já tem candidato.

Enquanto Lula enfrentava uma tempestade de problemas internos e os respingos da guerra do Irã, o rival se consolidava. Flávio viajou, articulou as derrotas de Lula, montou palanques estaduais e avançou nas pesquisas, driblando as encrencas entre familiares e aliados sem estardalhaço.

Flávio Bolsonaro comemora com aliados ao fim da sessão que derrubou o veto de Lula ao projeto da dosimetria Foto: Wilton Junior/Estadão

PUBLICIDADE Os maiores problemas do filho “01″ de Bolsonaro começarão junto com a campanha de fato, quando os podres do candidato, e não só do pai dele, vão borbulhar nos debates, sabatinas e programas de TV: rachadinhas, loja de chocolate, a casa de R$ 6 milhões e a ojeriza à democracia e o trabalho contra o Brasil da família. Com Lula enfrentando um obstáculo atrás do outro e Flávio metido nos bastidores, as atenções voltaram-se para os alternativos Ronaldo Caiado, do PSD, e Romeu Zema, do Novo. Porém, as duas votações históricas da semana, derrubando Jorge Messias para o STF e os vetos ao PL da Dosimetria, põem Flavio na linha de frente e empurram os dois de volta ao segundo pelotão.

Para a sorte de ambos, muita água, ou muita batalha, ainda vai rolar. Quem pensa que o ex-presidente Jair Bolsonaro vai sair do hospital, se recuperar da nova cirurgia e se livrar da prisão e da tornozeleira, da noite para o dia, está redondamente enganado.

Publicidade

Leia também
",,https://www.estadao.com.br/politica/eliane-cantanhede/flavio-bolsonaro-foi-articulador-e-grande-beneficiario-das-duas-derrotas-de-lula/,estadao,DIREITA,"** O texto apresenta um viés ideológico ao enfatizar os efeitos da derrubada do veto de Lula em favor do senador Flávio Bolsonaro, destacando sua ascensão nas pesquisas eleitorais e a oposição à presidente Lula."
Presidente do TST explica fala sobre ‘vermelhos e azuis’ e diz que foi resposta a Ives Gandra Filho,Luiz Phillipe Vieira de Mello também criticou a participação de colegas em curso que ensinava advogados a atuarem no TST; Ives Gandra Filho se queixou do comportamento do colega e disse que membros do Tribunal se sentiram ofendidos,"Confira o resumo que a LE.IA, a IA do Estadão, fez pra você Gerando resumo Abrir o resumo

BRASÍLIA - O presidente do Tribunal Superior do Trabalho (TST), Luiz Phillipe Vieira de Mello, abriu a sessão desta segunda-feira, 4, com uma tentativa de se explicar da definição polêmica que viralizou nas redes sociais sobre a existência de juízes do trabalho “vermelhos e azuis”. Segundo ele, a fala foi em resposta ao ministro Ives Gandra Filho que cunhou a expressão durante palestra em um evento, organizado por outro membro do tribunal, que ensinava advogados a litigar na instituição.

“Ninguém tem o direito de me acusar de ser ativista ou não ser. Eu tenho a prova documentada de onde começou isso e eu tenho certeza que o ministro Ives (Gandra), na sua dignidade, não vai dizer que não começou neste evento, primeiro encontro, de como atuar no Tribunal Superior do Trabalho”, afirmou.

Ministro Luiz Philippe Vieira de Mello Filho. Foto: Giovanna Bembom/TST/Divulgação

PUBLICIDADE “É por isso que eu me manifesto expressamente para que toda a população saiba: não sou um juiz parcial. Eu tenho 40 anos de história como magistrado e eu sei o que a comunidade jurídica pensa a meu respeito. Podem não gostar de uma coisa ou outra, mas sabem que eu sempre decido com a técnica e com a minha maneira de interpretar a Constituição e as leis do País, especialmente a CLT”, prosseguiu. Gandra usou a expressão “azuis e vermelhos” durante palestra para descrever ministros “liberais e intervencionistas” ou “legalistas e ativistas”. O ministro foi procurado pela reportagem, mas ainda não se manifestou.

Publicidade

Ao final de sua fala, Vieira de Mello passou a palavra ao colega, que reiterou a avaliação de que existe a mencionada divisão entre azuis e vermelhos no TST.

Presidente do TST diz que juízes 'vermelhos' têm causa, não interesses 1:55 Ministro Luiz Philippe Vieira de Mello Filho reclama da atuação de determinados magistrados 'azuis'. Crédito: Reprodução: tvanamatra / CONAMAT

“Depois ",,https://www.estadao.com.br/politica/presidente-do-tst-explica-fala-sobre-juizes-vermelhos-e-azuis-e-diz-que-foi-resposta-a-ives-gandra/,estadao,ESQUERDA,"** O texto enfatiza a crítica do presidente do TST ao ministro Ives Gandra Filho sobre a participação em um curso que ensinava advogados a atuarem no tribunal, sugerindo uma narrativa de combate à influência política e interesse pessoal."
Presidente do TST vai cortar salário de ministro palestrante após polêmica de ‘vermelhos e azuis’,"No comando do tribunal desde setembro de 2025, ministro Luiz Philippe Vieira de Mello Filho diz que tomou decisão agora porque só soube das palestras pagas recentemente","Presidente do TST e Ives Gandra Filho têm embate sobre juízes 'vermelhos e azuis' 6:52 Ministros da corte divergem durante sessão em que presidente do TST revela que colegas participaram de curso para ensinar como atuar na corte. Crédito: Tribunal Superior do Trabalho

Confira o resumo que a LE.IA, a IA do Estadão, fez pra você Gerando resumo Abrir o resumo

Foto: Secom TST Entrevista com Luiz Philippe Vieira de Mello Filho Presidente do Tribunal Superior do Trabalho BRASÍLIA — O presidente do Tribunal Superior do Trabalho (TST), Luiz Philippe Vieira de Mello Filho, decidiu descontar o salário de ministros que não justificarem faltas às sessões de julgamento. Segundo ele, muitas ausências ocorrem porque os colegas atendem a convites por palestras remuneradas. Vieira de Mello, que assumiu o cargo em setembro do ano passado, tomou a atitude depois que uma polêmica tomou conta das redes sociais. Em uma palestra proferida na sexta-feira, 1º, ele citou suposta divisão interna do tribunal de juízes “azuis e vermelhos”. Na sessão de segunda-feira, 4, o presidente explicou que a analogia foi feita inicialmente pelo ministro Ives Gandra Martins Filho, em um evento pago para ensinar a advogados como atuar no TST. Vieira de Mello disse que só soube das palestras recentemente e por isso reagiu a elas. O tema provocou embate entre os dois magistrados durante sessão da corte.

Em entrevista ao Estadão, ele disse: “Isso é completamente antiético. É completamente conflituoso”. O presidente do TST defende férias de 60 dias para magistrados e reclama das tentativas de tirar da esfera trabalhista temas como o julgamento de casos de pejotização.

Publicidade

O presidente do TST, ministro Vieira de Mello Filho, em sessão da corte Foto: Reprodução via Youtube

O senhor explicou a fala sobre juízes azuis e vermelhos apontando uma citação anterior do ministro Ives Gandra Martins Filho. Por que isso é um problema?

Tem ministros do tribunal dando palestras em cursos pagos por advogados ens",,https://www.estadao.com.br/politica/presidente-do-tst-vai-cortar-salario-de-ministro-palestrante-apos-polemica-de-vermelhos-e-azuis/,estadao,ESQUERDA,"** O título e o subtítulo do artigo têm um tom crítico e denunciador em relação aos ministros que recebem salários por palestras remuneradas, sugerindo uma tendência a destacar as falhas e problemas de um setor específico."
PGR pede a André Mendonça para refazer delação de empresário que confessou fraudes no INSS à PF,"Procuradoria-Geral da República quer participar da colheita de depoimentos e da assinatura do acordo, que foi feito inicialmente só com a Polícia Federal","Confira o resumo que a LE.IA, a IA do Estadão, fez pra você Gerando resumo Abrir o resumo

BRASÍLIA - A Procuradoria-Geral da República (PGR) pediu ao ministro do Supremo Tribunal Federal (STF) André Mendonça que a delação premiada do empresário Maurício Camisotti, que confessou fraudes e desvios nas aposentadorias do Instituto Nacional do Seguro Social (INSS), seja refeita.

Como revelou o Estadão, Camisotti assinou no mês passado um acordo de colaboração premiada com a participação apenas da Polícia Federal. Foi a primeira delação assinada na Operação Sem Desconto, que apura um esquema de desvios nas aposentadorias com prejuízos bilionários aos pensionistas. Antes de homologar o acordo, André Mendonça pediu uma manifestação da PGR sobre os termos do documento.

Maurício Camisotti, alvo da PF por fraude no INSS Foto: Reprodução

A PGR afirmou ao ministro que entende que a delação feita unicamente pela Polícia Federal não tem validade jurídica e, por isso, solicitou que o acordo seja refeito com a participação da Procuradoria. Dessa forma, seria necessário colher novamente os depoimentos e confeccionar as cláusulas do acordo.

Leia também

PUBLICIDADE Com isso, a delação ficaria travada e a apuração dos crimes relatados por Camisotti só poderia ser feita após o cumprimento desses trâmites e a homologação do acordo. Ele está preso desde setembro do ano passado e aguarda a homologação da delação para tentar deixar a prisão. Camisotti comandava associações de aposentados que firmaram acordos com o INSS para realizar descontos diretamente nas folhas de pagamento. Na delação, ele explicou a sistemática das fraudes envolvendo a inclusão de nomes de aposentados e os descontos indevidos de aposentadorias.

De acordo com pessoas com conhecimento do caso, Camisotti também relatou suspeitas de crimes envolvendo a atuação de dirigentes do INSS e de políticos. O teor dos depoimentos está mantido sob sigilo e deve ser usado para abrir novas fases da Operação Sem Desconto.

O nome",,https://www.estadao.com.br/politica/pgr-pede-a-andre-mendonca-para-refazer-delacao-de-empresario-que-confessou-fraudes-no-inss-a-pf/,estadao,ESQUERDA,"** A notícia apresenta uma abordagem crítica à atuação da Procuradoria-Geral da República e ao ministro do Supremo Tribunal Federal André Mendonça, sugerindo que a PGR está pressionando o STF para invalidar um acordo de delação premiada."
