titulo,subtitulo,texto,data,url,portal,vies_politico,justificativa_llm
Integrantes do Judiciário veem risco de desfile parar na Justiça,"O desfile em homenagem a Lula enfrenta ações por suposta propaganda antecipada, gerando receio de punições na Justiça Eleitoral e desgaste político no Palácio do Planalto.","Nos bastidores, esse é hoje um dos principais pontos de atenção do governo: evitar que um ato simbólico de homenagem ao presidente acabe se transformando em um problema jurídico e eleitoral e em mais um foco de desgaste político em meio a um cenário já delicado entre os tribunais.",2026-02-11 00:00:00,https://g1.globo.com/politica/blog/andreia-sadi/post/2026/02/11/integrantes-do-judiciario-veem-risco-de-desfile-parar-na-justica-eleitoral-e-planalto-teme-desgaste-politico.ghtml,g1,ESQUERDA,Não identificada.
"Atos contra Lula e ministros do STF reuniram 20,4 mil em SP e 4,7 mil no Rio, segundo metodologia da USP","Estimativas são pelo Monitor do Debate Político da USP/Cebrap e pela ONG More in Common. Atos aconteceram ainda no Distrito Federal, em Salvador, Goiânia, BH e outras cidades.","Atos contra Lula e ministros do STF reuniram 20,4 mil em SP e 4,7 mil no Rio, segundo metodologia da USP

Estimativas são pelo Monitor do Debate Político da USP/Cebrap e pela ONG More in Common. Atos aconteceram ainda no Distrito Federal, em Salvador, Goiânia, BH e outras cidades.",2026-03-01 00:00:00,https://g1.globo.com/politica/noticia/2026/03/01/atos-contra-lula-e-ministros-do-stf-reuniram-204-mil-em-sp-e-47-mil-no-rio-segundo-metodologia-da-usp.ghtml,g1,NEUTRO,"** O texto apresenta uma abordagem factual das estimativas de participação em atos contra Lula e ministros do STF, sem adjetivação ou juízo de valor que demonstre um viés ideológico."
Moraes diz que Bolsonaro poderia ter acionado 'botão do pânico' para antecipar ajuda na Papudinha,Ministro do STF disse que atendimento da Papudinha tem 'eficiência e eficácia'. Moraes autorizou que o ex-presidente passe a cumprir pena em prisão domiciliar por 90 dias.,"Moraes diz que Bolsonaro poderia ter acionado 'botão do pânico' para antecipar ajuda na Papudinha

Ministro do STF disse que atendimento da Papudinha tem 'eficiência e eficácia'. Moraes autorizou que o ex-presidente passe a cumprir pena em prisão domiciliar por 90 dias.",2026-03-24 00:00:00,https://g1.globo.com/politica/noticia/2026/03/24/moraes-diz-que-bolsonaro-poderia-ter-acionado-botao-do-panico-para-antecipar-ajuda-na-papudinha.ghtml,g1,NEUTRO,"O texto é escrito de forma neutra, limitando-se a relatar os fatos sem tomar partido ou expressar opinião política."
"Após reajuste a servidores, acúmulo de salário e aposentadoria por deputados entra no radar da Câmara","Segundo líderes, assunto foi tratado em reunião com presidente da Câmara, que não se comprometeu com  pautar o tema. Orçamento traz a previsão de R$ 18 milhões de impacto.","Após reajuste a servidores, acúmulo de salário e aposentadoria por deputados entra no radar da Câmara

Segundo líderes, assunto foi tratado em reunião com presidente da Câmara, que não se comprometeu com pautar o tema. Orçamento traz a previsão de R$ 18 milhões de impacto.",2026-02-06 00:00:00,https://g1.globo.com/politica/noticia/2026/02/06/apos-reajuste-a-servidores-acumulo-de-salario-e-aposentadoria-por-deputados-entra-no-radar-da-camara.ghtml,g1,ESQUERDA,"** A notícia em questão apresenta um tom crítico e oponente às benesses dos deputados parlamentares, o que sugere uma inclinação ideológica mais próxima da ESQUERDA."
"Sob ameaças de Trump para colaborar em conflito no Irã, presidente da Espanha conversa com Lula",Pedro Sánchez vem sendo pressionado pelos Estados Unidos para cooperar com investida do Exército americano no Oriente Médio. Lula aceitou convite para visitar a Espanha em abril.,"Sob ameaças de Trump para colaborar em conflito no Irã, presidente da Espanha conversa com Lula

Pedro Sánchez vem sendo pressionado pelos Estados Unidos para cooperar com investida do Exército americano no Oriente Médio. Lula aceitou convite para visitar a Espanha em abril.",2026-03-04 00:00:00,https://g1.globo.com/mundo/noticia/2026/03/04/sob-ameacas-de-trump-para-colaborar-em-conflito-no-ira-presidente-da-espanha-conversa-com-lula.ghtml,g1,ESQUERDA,"** A notícia destaca as pressões de Trump sobre o presidente da Espanha para colaborar com a invasão militar americana no Oriente Médio, e apresenta Lula como um interlocutor crítico desse cenário. Isso sugere uma ênfase em justiça social e crítica ao imperialismo americano."
Caso Marielle: Moraes e Zanin votam para condenar irmãos Brazão como mandantes do crime,"Ainda faltam votar os ministros Cármen Lúcia e Flávio Dino. Condenação depende da maioria da turma, com voto de três magistrados.","1 de 2 STF em segundo dia de julgamento de suspeitos de mandar matar Marielle Franco — Foto: Rosinei Coutinho/STF

STF em segundo dia de julgamento de suspeitos de mandar matar Marielle Franco — Foto: Rosinei Coutinho/STF",2026-02-25 00:00:00,https://g1.globo.com/politica/noticia/2026/02/25/caso-marielle-moraes-e-zanin-votam-para-condenar-irmaos-brazao-como-mandantes-do-crime.ghtml,g1,NEUTRO,"** O texto destaca os nomes dos ministros que votaram a favor da condenação de irmãos Brazão e ainda menciona a necessidade de uma maioria para a condenação, sem julgamento de valor."
STF diz que investigação aponta 'múltiplos acessos ilegais' a dados de ministros e parentes,"Em nota, Corte mencionou ainda que vazamentos foram usados para 'produzir suspeitas artificiais, de difícil dissipação'. Comunicado citou que procurador-geral da República também pode ter sido vítima dos acessos ilegais. ","1 de 1 Escultura 'A Justiça', localizada em frente ao prédio do Supremo Tribunal Federal, na Praça dos Três Poderes, em Brasília — Foto: STF/Divulgação

Escultura 'A Justiça', localizada em frente ao prédio do Supremo Tribunal Federal, na Praça dos Três Poderes, em Brasília — Foto: STF/Divulgação",2026-02-17 00:00:00,https://g1.globo.com/politica/noticia/2026/02/17/moraes-nota-operacao.ghtml,g1,NEUTRO,Não identificada.
Mauro Vieira rebate relatório dos EUA sobre bases chinesas no Brasil,Chanceler afirma que não há estação na Bahia nem uso militar de projetos espaciais e diz que documento se baseia em 'especulações'. ,"1 de 2 O chanceler Mauro Vieira durante participação na Comissão de Relações Exteriores da Câmara — Foto: Vinicius Loures/Câmara dos Deputados

O chanceler Mauro Vieira durante participação na Comissão de Relações Exteriores da Câmara — Foto: Vinicius Loures/Câmara dos Deputados",2026-03-18 00:00:00,https://g1.globo.com/mundo/noticia/2026/03/18/mauro-vieira-relatorio-eua-bases-china-brasil.ghtml,g1,NEUTRO,"** O texto apresenta uma abordagem descritiva e neutra sobre a reação do chanceler Mauro Vieira ao relatório dos EUA sobre bases chinesas no Brasil. Não há evidência de um viés ideológico explícito, apenas a transcrição das declarações do chanceler."
"Condenação é uma resposta a quem debochou da morte da minha irmã, diz Anielle Franco",Mandantes do assassinato da vereadora Marielle Franco foram condenados a 76 anos de prisão. Decisão da Primeira Turma foi unânime.,"Condenação é uma resposta a quem debochou da morte da minha irmã, diz Anielle Franco

Mandantes do assassinato da vereadora Marielle Franco foram condenados a 76 anos de prisão. Decisão da Primeira Turma foi unânime.",2026-02-25 00:00:00,https://g1.globo.com/politica/noticia/2026/02/25/condenacao-e-uma-resposta-a-quem-debochou-da-morte-da-minha-irma-diz-anielle-franco.ghtml,g1,NEUTRO,Não identificada.
Bolsonaro: defesa volta a pedir prisão domiciliar humanitária,Advogados de Bolsonaro pedem prisão domiciliar humanitária citando risco de morte e necessidade de monitoramento médico constante para tratar doenças crônicas.,"1 de 1 O ex-presidente Jair Bolsonaro foi citado em comunicação que estava nos arquivos Epstein. — Foto: Getty Images via BBC

O ex-presidente Jair Bolsonaro foi citado em comunicação que estava nos arquivos Epstein. — Foto: Getty Images via BBC",2026-02-11 00:00:00,https://g1.globo.com/politica/blog/andreia-sadi/post/2026/02/11/defesa-de-bolsonaro-prisao-domiciliar-humanitaria.ghtml,g1,ESQUERDA,"** A notícia apresenta uma abordagem neutralista em relação ao pedido de prisão domiciliar humanitária do ex-presidente Jair Bolsonaro, sem explicitar um tom ideológico claro. No entanto, ao analisar os critérios fornecidos e o contexto, é possível identificar alguns indicadores que sugerem uma tendência mais próxima da **ESQUERDA**."
