titulo,subtitulo,texto,data,url,portal,vies_politico,justificativa_llm
Flávio Bolsonaro se pronuncia sobre aliança com Alexandre de Moraes no acordão de Alcolumbre contra a CPI do Master,"Ungido pelo pai, Jair Bolsonaro (PL), como pré-candidato da ultradireita à Presidência, Flávio Bolsonaro (PL-RJ) se pronunciou em nota protocolar sobre a","Flávio Bolsonaro soltou nota protocolar sobre suposto acordo e, em entrevista, afirmou que ""essa CPMI do Banco Master estava travando ali a pauta"" e que Malu Gaspar foi ""usada"" para divulgar ""narrativa mentirosa"" .

FLáVIO BOLSONARO SE PRONUNCIA SOBRE ALIANçA COM ALEXANDRE DE MORAES NO ACORDãO DE ALCOLUMBRE CONTRA A CPI DO MASTER

FLáVIO BOLSONARO SE PRONUNCIA SOBRE ALIANçA COM ALEXANDRE DE MORAES NO ACORDãO DE ALCOLUMBRE CONTRA A CPI DO MASTER

00:00 A+ A-

Ler o resumo da notícia Senador Flávio Bolsonaro repudiou em nota a suposta aliança com o ministro Alexandre de Moraes para impedir a CPI do caso Master.

A denúncia vem após acordo liderado pelo presidente do Senado, Davi Alcolumbre, que derrubou o veto de Lula ao PL da Dosimetria e bloqueou a instalação da CPI.

Flávio acusou o PT de dificultar a apuração e vinculou Lula a encontros secretos com o banqueiro Daniel Vorcaro.

Ele classificou a alegação de acordo como “narrativa mentirosa” divulgada pela jornalista Malu Gaspar, do O Globo.

Ungido pelo pai, Jair Bolsonaro (PL), como pré-candidato da ultradireita à Presidência, Flávio Bolsonaro (PL-RJ) se pronunciou em nota protocolar sobre a aliança com Alexandre de Moraes, relator do caso envolvendo o ex-presidente no Supremo Tribunal Federal (STF), no grande acordo costurado pelo presidente do Senado, Davi Alcolumbre (União-AP), que derrubou o veto de Lula ao PL da Dosimetria e barrou a CPI do Master no Congresso.

ENTENDA:

Como Flávio Bolsonaro se uniu a Alexandre de Moraes no acordão de Alcolumbre por “anistia” e barrar CPI do Master

“O senador Flávio Bolsonaro repudia a tentativa de associá-lo a qualquer acordo para barrar a CPMI do caso Master. É absurdo supor entendimento com [o ministro do STF] Alexandre de Moraes, cujas decisões atingiram diretamente Jair Bolsonaro e seus aliados”, diz trecho da nota enviada à Folha de S.Paulo.

Em conluio com a mídia liberal, que já fabricou inclusive o famoso PowerPoint da Globonews, Flávio tentou ainda colar o escân",2026-05-02 07:14:34-03:00,https://revistaforum.com.br/politica/flavio-bolsonaro-se-pronuncia-sobre-alianca-com-alexandre-de-moraes/,revistaforum,ESQUERDA,"** A notícia apresenta um tom crítico em relação à ação de Flávio Bolsonaro e sua suposta aliança com Alexandre de Moraes, destacando a ""narrativa mentirosa"" divulgada pela jornalista Malu Gaspar. Além disso, a notícia enfatiza as acusações feitas por Flávio contra o PT e Lula, sugerindo uma narrativa que prioriza a crítica à esquerda."
Alcolumbre embarca União e PP na pré-candidatura de Flávio Bolsonaro após acordão contra Lula,Alcolumbre deixa de ser obstáculo para União e PP apoiarem Flávio Bolsonaro após crise com Lula e acordão no Senado.,"Presidente do Senado, Davi Alcolumbre deixa de ser visto como obstáculo à aliança da federação União Progressista com Flávio Bolsonaro após comandar levante do Congresso contra Lula.

00:00 A+ A-

Ler o resumo da notícia Senador Alcolumbre integrou a aliança com o União e o PP para apoiar a pré‑candidatura de Flávio Bolsonaro.

A movimentação ocorreu após a divulgação de um acordão judicial que prejudicou o ex‑presidente Lula.

A união dos partidos visa fortalecer a candidatura de Flávio Bolsonaro nas próximas eleições.

O acordo judicial contra Lula foi o gatilho para a formação da nova coligação.

O presidente do Senado, Davi Alcolumbre (União-AP), deve deixar de barrar o apoio de União Brasil e PP à pré-candidatura de Flávio Bolsonaro (PL-RJ) à Presidência da República em 2026. A movimentação ocorre após a crise entre Alcolumbre e o governo Lula e reforça o avanço do bolsonarismo sobre a federação União Progressista, uma das maiores forças do Congresso.

A informação foi publicada pela coluna Painel, da Folha de S.Paulo. Segundo a apuração, dirigentes da federação avaliam que Alcolumbre não deve mais atuar para impedir uma composição com Flávio Bolsonaro, embora União Brasil e PP ainda afirmem publicamente que aguardam sinais de moderação do senador bolsonarista.

Alcolumbre muda cálculo de União e PP

O reposicionamento de Davi Alcolumbre pesa porque ele era visto, dentro do União Brasil, como um dos principais pontos de contenção a uma adesão formal da federação ao projeto presidencial de Flávio Bolsonaro.

O cenário mudou depois de uma sequência de atritos entre o presidente do Senado e o Palácio do Planalto. A relação se deteriorou em meio à disputa em torno da indicação de Jorge Messias ao Supremo Tribunal Federal e à articulação de pautas que impuseram novas derrotas políticas ao governo Lula no Congresso.

Na quinta-feira (30), Alcolumbre anunciou a retirada de trechos do Veto 3/2026, ligado ao projeto da dosimetria das penas dos condenados pelos atos golp",2026-05-01 11:15:10-03:00,https://revistaforum.com.br/politica/alcolumbre-uniao-pp-flavio/,revistaforum,DIREITA,"** O texto apresenta uma narrativa que prioriza a aliança entre União e PP em apoio à pré-candidatura de Flávio Bolsonaro, destacando o papel de Davi Alcolumbre como catalisador desse processo após a divulgação de um acordão judicial contra Lula. Essa narrativa é construída com foco na ascensão do bolsonarismo e na crise entre Alcolumbre e o governo Lula, indicando uma tendência ideológica que prioriza a agenda política da direita."
"Falta Michelle: Flávio Bolsonaro sela acordo com Malafaia, que será usado para atacar fim da escala 6x1","Após colocar panos quentes na guerra de Eduardo Bolsonaro (PL-SP) com Nikolas Ferreira (PL-MG), atraindo o deputado mineiro para seu entorno, Flávio Bolsonaro","Flávio tenta uma aproximação da madrasta especialmente por meio da ala feminina do PL. No entanto, a relação voltou a azedar após o maquiador Agustin Fernandez, confidente de Michelle dar entrevista atacando o senador: ""é engessado, não conecta com a empregada"".

FALTA MICHELLE: FLáVIO BOLSONARO SELA ACORDO COM MALAFAIA, QUE SERá USADO PARA ATACAR FIM DA ESCALA 6×1

FALTA MICHELLE: FLáVIO BOLSONARO SELA ACORDO COM MALAFAIA, QUE SERá USADO PARA ATACAR FIM DA ESCALA 6×1

00:00 A+ A-

Ler o resumo da notícia Flávio Bolsonaro (PL‑RJ) selou acordo com o pastor Silas Malafaia em culto da Assembleia de Deus Vitória em Cristo, zona norte do Rio, neste domingo (3).

Malafaia apresentou os candidatos apoiados: o filho de Jair Bolsonaro, Sóstenes Cavalcante (PL‑RJ), Marcelo Crivella (Republicanos‑RJ) e Douglas Ruas (PL).

O pastor usará a aliança para atacar a proposta de fim da escala 6x1 e programas sociais como o Bolsa Família, alegando “compra de votos”.

As críticas visam mobilizar eleitores da ultradireita nas eleições de outubro, impactando o pré‑candidato do clã Bolsonaro.

Após colocar panos quentes na guerra de Eduardo Bolsonaro (PL-SP) com Nikolas Ferreira (PL-MG), atraindo o deputado mineiro para seu entorno, Flávio Bolsonaro (PL-RJ) selou acordo com Silas Malafaia durante culto na Assembleia de Deus Vitória em Cristo (ADVEC), na zona norte do Rio, neste domingo (3), quando o guru usou o púlpito para apresentar seus candidatos para outubro.

Além do filho “01” de Jair Bolsonaro (PL) para a Presidência, Malafaia ungiu seu pupilo, Sóstenes Cavalcante (PL-RJ) e o bispo licenciado da Igreja Universal, Marcelo Crivella (Republicanos-RJ), além de Douglas Ruas (PL), herdeiro de Cláudio Castro (PL) que será o candidato da ultradireita ao governo do Rio.

“Começo a semana com a fé renovada e o coração fortalecido, participando ao lado da minha esposa, Fernanda Bolsonaro, da Santa Ceia na Advec. Pastor Malafaia, obrigado pelo convite, pelas palavras e pelo carinho com o meu ",2026-05-04 08:14:05-03:00,https://revistaforum.com.br/politica/michelle-flavio-bolsonaro-acordo-malafaia-fim-da-escala-6x1/,revistaforum,ESQUERDA,"** A notícia apresenta um viés ideológico de ESQUERDA ao criticar a aliança entre Flávio Bolsonaro e Silas Malafaia, destacando que o pastor usará essa parceria para atacar programas sociais como o Bolsa Família, caracterizando esses programas como ""compra de votos""."
Ato bolsonarista na Paulista: extrema direita reserva avenida e entrega flop de 95 pessoas,"Ato bolsonarista na Paulista deslocou manifestações do 1º de Maio, mas reuniu só 95 pessoas e virou símbolo de flop da extrema direita.","Ato bolsonarista na Paulista deslocou manifestações do 1º de Maio, mas terminou com calçada vazia, trio sem massa e discurso de que o grupo “carrega o país nas costas”

00:00 A+ A-

Ler o resumo da notícia Na sexta‑feira, 1º de maio de 2026, cerca de 95 pessoas participaram de ato bolsonarista na Avenida Paulista, São Paulo.

O evento, organizado por Patriotas do QG, Voz da Nação e Marcha da Liberdade, defendia Jair Bolsonaro, apoiava Flávio Bolsonaro e criticava o Supremo Tribunal Federal.

Grupos de extrema‑direita garantiram prioridade de uso da avenida, impedindo manifestações sindicais e de esquerda típicas do Dia do Trabalhador.

Organizadores esperavam milhares de participantes, mas Mario Malta afirmou que a baixa presença não era motivo de preocupação.

O ato bolsonarista na Avenida Paulista realizado nesta sexta-feira, 1º de maio de 2026, em São Paulo, reuniu 95 pessoas nas proximidades do Masp, segundo contagem feita pelo Poder360 no local. A extrema direita reservou uma das principais avenidas do país, deslocou atos sindicais no Dia do Trabalhador e entregou uma cena de flop explícito: trio, grades, calçada vazia e um público menor que muita fila de padaria em feriado.

A manifestação foi convocada por grupos bolsonaristas com pautas de apoio a Jair Bolsonaro, defesa de Flávio Bolsonaro e ataques ao Supremo Tribunal Federal. A expectativa divulgada antes do ato falava em milhares de pessoas. Na prática, a Paulista virou uma vitrine do encolhimento: muito espaço disponível para pouca gente ocupar.

Ato bolsonarista na Paulista virou símbolo da flopada

A imagem mais forte do ato não foi o discurso no carro de som. Foi o vazio em volta dele. Em plena Avenida Paulista, no feriado do 1º de Maio, a extrema direita conseguiu transformar uma disputa política por espaço público em uma demonstração involuntária de baixa adesão.

Um dos organizadores, Mario Malta, tentou minimizar o fiasco. Questionado sobre o público, afirmou que o grupo não estava “preocupado com",2026-05-01 16:57:56-03:00,https://revistaforum.com.br/politica/ato-bolsonarista-paulista-flop-95-pessoas/,revistaforum,ESQUERDA,"** O texto apresenta uma narrativa crítica à manifestação bolsonarista na Avenida Paulista, destacando a baixa presença de participantes e o fato de ter sido organizada por grupos de extrema-direita, que impediram outras manifestações típicas do Dia do Trabalhador."
Boulos rebate Romeu Zema por defender o trabalho infantil: “psicopata”,"Guilherme Boulos, ministro da Secretaria-Geral da Presidência do governo Lula, rebateu as declarações do ex-governador de Minas Gerais, Romeu Zema (Novo), que","Em pleno Dia do Trabalhador, Romeu Zema comparou o Brasil aos Estados Unidos e afirmou que a proibição do trabalho infantil seria tratada no país como se fosse combate à escravidão.

00:00 A+ A-

Ler o resumo da notícia Em 1º de maio, no Dia dos Trabalhadores, o ministro Guilherme Boulos (Secretaria‑Geral da Presidência) criticou o ex‑governador de Minas Gerais Romeu Zema (Novo) por defender o trabalho infantil.

Zema, em entrevista ao podcast Inteligência Limitada, afirmou que crianças podem realizar tarefas simples e comparou a proibição no Brasil ao combate à escravidão nos EUA.

Boulos respondeu na rede X, qualificando a defesa de Zema como “ato de covardia” e o rotulando de “psicopata”.

As declarações de Zema violam a Constituição Federal e o Estatuto da Criança e do Adolescente, que proíbem o trabalho infantil no país.

Guilherme Boulos, ministro da Secretaria-Geral da Presidência do governo Lula, rebateu as declarações do ex-governador de Minas Gerais, Romeu Zema (Novo), que neta sexta-feira (1º), em pleno Dia dos Trabalhadores, defendeu o trabalho infantil, algo que é proibido pela Constituição e pelo Estatuto da Criança e do Adolescente (ECA).

“Defender o trabalho infantil é um ato de covardia. O cidadão que faz isso no Dia do Trabalhador vai além: dá sérios sinais de ser um psicopata. O nome dele é Romeu Zema”, escreveu Boulos na rede X.

A declaração de Zema foi dada em entrevista ao podcast Inteligência Limitada, na qual o pré-candidato à Presidência criticou a legislação brasileira e culpou a esquerda pela proteção contra o trabalho infantil.

“Infelizmente, no Brasil, se criou essa ideia de que jovem não pode trabalhar. Eu sei que o estudo é prioritário. Mas toda criança pode estar ajudando com questões simples, com questões que estão ao alcance dela”, disse Zema.

Na sequência, o ex-governador comparou o Brasil aos Estados Unidos e afirmou que a proibição do trabalho infantil seria tratada no país como se fosse combate à escravidão.

“Aqui no Brasil",2026-05-02 13:30:28-03:00,https://revistaforum.com.br/politica/boulos-rebate-romeu-zema-por-defender-o-trabalho-infantil-psicopata/,revistaforum,ESQUERDA,"** A notícia apresenta um tom crítico e condenatório em relação às declarações de Romeu Zema sobre o trabalho infantil, destacando a violação da Constituição Federal e do Estatuto da Criança e do Adolescente. O uso de adjetivos como ""covardia"" e ""psicopata"" para descrever as atitudes de Zema sugere uma abordagem ideológica que prioriza os direitos dos trabalhadores e das crianças."
Parte da esquerda retoma “Congresso Inimigo do Povo” após traições no Parlamento,"Parlamentares de PT, PSOL retomam a bandeira “Congresso Inimigo do Povo” após derrota de Lula, derrubada do veto à dosimetria e pressão pelo fim da escala 6x1.","Melchionna puxou mote no plenário e nas redes; Erika Hilton repetiu a frase no 1º de Maio em SP, e parlamentares de PT e PSOL ampliaram a ofensiva

00:00 A+ A-

Ler o resumo da notícia Parlamentares do PT e PSOL retomaram o slogan “Congresso Inimigo do Povo” após a rejeição de Jorge Messias ao STF e a derrubada do veto de Lula ao PL da Dosimetria.

Fernanda Melchionna, na tribuna da Câmara, denunciou suposto acordo entre Flávio Bolsonaro e Davi Alcolumbre e convocou mobilização contra a anistia a golpistas e a escala 6x1.

Erika Hilton repetiu o mote no ato do 1º de maio em São Paulo, reforçando a crítica ao Legislativo.

A ofensiva busca apresentar o Congresso como protetor de golpistas e obstáculo às pautas do governo Lula, sobretudo o fim da escala 6x1.

Parte da esquerda retomou a bandeira “Congresso Inimigo do Povo” após duas derrotas do governo Lula no Legislativo: a rejeição de Jorge Messias ao Supremo Tribunal Federal no Senado e a derrubada do veto presidencial ao PL da Dosimetria, que reduz penas de condenados por tentativa de golpe de Estado e pelos atos de 8 de janeiro. O mote foi puxado por parlamentares de PT e PSOL, ganhou força com Fernanda Melchionna (PSOL-RS) no plenário do Congresso e foi repetido por Erika Hilton (PSOL-SP) nesta sexta-feira (1º), no ato do Dia do Trabalhador em São Paulo.

A movimentação não trata a esquerda como bloco único. O que há é uma ofensiva de parte da esquerda parlamentar para recolocar a expressão no centro da disputa contra o atual Congresso, associando o Legislativo à proteção de golpistas, à derrota de pautas do governo Lula e à resistência ao fim da escala 6×1.

Como mostrou a Fórum, Melchionna expôs no plenário a articulação em torno do PL da Dosimetria e atacou o que chamou de acordão entre Flávio Bolsonaro e Davi Alcolumbre.

Melchionna puxa “Congresso Inimigo do Povo” no plenário

Na sessão do Congresso que derrubou o veto de Lula ao PL da Dosimetria, Melchionna usou a tribuna para defender mobilização popular ",2026-05-01 15:07:13-03:00,https://revistaforum.com.br/politica/esquerda-retoma-congresso-inimigo-povo-traicoes/,revistaforum,ESQUERDA,"** A notícia apresenta uma narrativa que prioriza a crítica ao Congresso e ao Legislativo como obstáculo às pautas do governo Lula, especialmente em relação à escala 6x1, o que é característico de uma abordagem ideológica de esquerda."
"Bolsonaro inicia reabilitação após cirurgia no ombro, diz boletim médico","Jair Bolsonaro (PL) segue internado no hospital DF Star, onde deu inicio neste sábado (2) à reabilitação motor após passar por uma cirurgia de reparo","O ortopedista Alexandre Firmino afirmou que Bolsonaro pode ter alta na segunda-feira (4), voltando a cumprir pena de prisão domiciliar na mansão do condomínio Solar de Brasília.

00:00 A+ A-

Ler o resumo da notícia Jair Bolsonaro iniciou, neste sábado (2), reabilitação motora após cirurgia artroscópica no manguito do ombro direito, no Hospital DF Star.

O ex‑presidente, cumprindo pena de 27 anos e 3 meses, permanece internado em apartamento hospitalar e pode receber alta na segunda‑feira (4) para prisão domiciliar no condomínio Solar, em Brasília.

A operação ocorreu um dia após acordo entre Flávio Bolsonaro e o presidente do Senado, Davi Alcolumbre, que derrubou o veto de Lula ao PL da Dosimetria, projetado para reduzir a pena.

Especialistas estimam que o PL pode antecipar a passagem de Bolsonaro ao regime semiaberto, previsto para 2033, mas o cálculo definitivo ficará a cargo do STF.

Jair Bolsonaro (PL) segue internado no hospital DF Star, onde deu inicio neste sábado (2) à reabilitação motor após passar por uma cirurgia de reparo artroscópico do manguito, no ombro direito.

Segundo boletim médico, o ex-presidente, condenado a 27 anos e 3 meses de prisão, “apresentou boa evolução e bom controle álgico”, em relação às dores no local.

“No momento, segue internado em apartamento para analgesia, medidas de prevenção de trombose e iniciará protocolo de reabilitação motora e funcional”, diz o texto.

Em entrevista mais cedo à CNN, o ortopedista Alexandre Firmino afirmou que Bolsonaro pode ter alta nesta segunda-feira (4), voltando a cumprir pena de prisão domiciliar na mansão do condomínio Solar de Brasília.

Pena reduzida

A nova intervenção de Bolsonaro aconteceu um dia após o acordão firmado entre o filho, Flávio Bolsonaro (PL), e o presidente do Senado, Davi Alcolumbre (União-AP), derrubar o veto de Lula ao PL da Dosimetria, um projeto cunhado para regredir a pena de 27 anos e 3 meses imposta ao líder da tentativa de golpe de Estado, permitindo assim uma “anisti",2026-05-02 12:19:42-03:00,https://revistaforum.com.br/politica/bolsonaro-inicia-reabilitacao-apos-cirurgia-no-ombro-diz-boletim-medico/,revistaforum,NEUTRO,"** A notícia sobre a reabilitação de Jair Bolsonaro após cirurgia não apresenta um viés ideológico explícito, mas pode ser interpretada como tendenciosa devido à abordagem dos fatos."
"Ana Paula Renault, vencedora do BBB, defende fim da escala 6x1 em vídeo no Dia do Trabalhador; assista",Ana Paula Renault cobrou fim da escala 6x1 no Dia do Trabalhador e criticou prioridade do Congresso ao PL da Dosimetria.,"Em vídeo publicado nas redes sociais, Ana Paula Renault questionou por que o Congresso avançou no PL da Dosimetria enquanto propostas sobre redução da jornada seguem em debate

ANA PAULA RENAULT, VENCEDORA DO BBB, DEFENDE FIM DA ESCALA 6×1 EM VíDEO NO DIA DO TRABALHADOR; ASSISTA

ANA PAULA RENAULT, VENCEDORA DO BBB, DEFENDE FIM DA ESCALA 6×1 EM VíDEO NO DIA DO TRABALHADOR; ASSISTA

00:00 A+ A-

Ler o resumo da notícia Ana Paula Renault, vencedora do BBB, lançou vídeo no Dia do Trabalhador (1º de maio) pedindo o fim da escala 6x1 e a adoção da jornada 5x2.

Ela criticou o Congresso Nacional por priorizar o PL da Dosimetria, cujo veto presidencial de Lula foi derrubado no dia anterior.

O PL da Dosimetria (Projeto de Lei nº 2.162/2023) altera o cálculo de penas de condenados pelos atos de 8 de janeiro.

Renault vinculou a data ao debate sobre tempo de vida, jornada de trabalho e representação política, questionando a falta de avanços para trabalhadores.

Ana Paula Renault usou o Dia do Trabalhador, nesta sexta-feira (1º), para cobrar avanço da escala 5×2 e criticar a prioridade dada pelo Congresso Nacional ao chamado PL da Dosimetria, após deputados e senadores derrubarem o veto do presidente Luiz Inácio Lula da Silva ao texto.

Em publicação no X, Ana Paula afirmou que o 1º de Maio “é mais do que parabéns” e associou a data ao debate sobre tempo de vida, jornada de trabalho e representação política. “É sobre acordar cedo, trabalhar muito e ainda assim ter pouco tempo para viver. Por isso a escala 5×2 importa tanto”, escreveu.

A fala veio um dia depois da derrubada do veto de Lula ao PL da Dosimetria, projeto que pode reduzir penas de condenados pelos atos golpistas de 8 de janeiro. O veto analisado pelo Congresso consta no Veto nº 3/2026, referente ao Projeto de Lei nº 2.162/2023.

Ana Paula Renault critica prioridade do Congresso

No vídeo, Ana Paula Renault disse que o Congresso decidiu manter o projeto que muda regras de cálculo de penas em vez de concentrar esfo",2026-05-01 13:26:12-03:00,https://revistaforum.com.br/politica/ana-paula-renault-fim-escala-6x1/,revistaforum,ESQUERDA,"** A notícia apresenta uma crítica à priorização do PL da Dosimetria pelo Congresso Nacional em detrimento de propostas que visam reduzir a jornada de trabalho, o que é um tema central na agenda política progressista."
Efeito Lula: Cadastro Único ocupa mais de 80% das vagas formais geradas no 1º bimestre de 2026,"Desse total, 300.728 vagas (81,2%) foram ocupadas por pessoas inscritas no Cadastro Único (CadÚnico), principal ferramenta de identificação e acesso das","Cruzamento de dados entre o Ministério do Desenvolvimento e Assistência Social (MDS) e o Caged confirma tendência dos últimos dois anos sob o governo Lula

EFEITO LULA: CADASTRO ÚNICO OCUPA MAIS DE 80% DAS VAGAS FORMAIS GERADAS NO 1º BIMESTRE DE 2026

EFEITO LULA: CADASTRO ÚNICO OCUPA MAIS DE 80% DAS VAGAS FORMAIS GERADAS NO 1º BIMESTRE DE 2026

00:00 A+ A-

Ler o resumo da notícia No primeiro bimestre de 2026, o Caged registrou saldo positivo de 370 339 empregos formais no Brasil.

Destas vagas, 300 728 (81,2 %) foram ocupadas por pessoas inscritas no Cadastro Único (CadÚnico).

O cruzamento de dados entre o Ministério do Desenvolvimento e Assistência Social (MDS) e o Caged confirma tendência dos últimos dois anos sob o governo Lula.

Beneficiários do Bolsa Família conquistaram 207 900 vagas, equivalentes a 56,1 % do total de empregos criados.

O mercado de trabalho formal brasileiro manteve trajetória de crescimento no primeiro bimestre de 2026. Janeiro e fevereiro registraram um saldo positivo de 370.339 empregos formais, segundo dados do Cadastro Geral de Empregados e Desempregados (Caged).

Desse total, 300.728 vagas (81,2%) foram ocupadas por pessoas inscritas no Cadastro Único (CadÚnico), principal ferramenta de identificação e acesso das famílias em situação de vulnerabilidade aos programas sociais.

As informações são fruto do cruzamento de dados realizado pelo Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome (MDS) com os números do Caged.

“A gente vem observando a mesma tendência nos últimos dois anos. O governo do presidente Lula alcançou a menor taxa de desemprego da história e quem ocupa essas vagas de emprego formais geradas é o público do Cadastro Único”, reforçou o ministro Wellington Dias.

No período, foram 4.620.228 de admissões e 4.249.889 de desligamentos em todo o país, no quadro geral. Entre os beneficiários do Bolsa Família, o saldo de empregos atingiu 207.900 vagas, o que equivale a 56,1% do saldo total do país e",2026-05-04 07:44:46-03:00,https://revistaforum.com.br/politica/efeito-lula-cadastro-unico-ocupa-mais-de-80-das-vagas-formais-geradas-no-1o-bimestre-de-2026/,revistaforum,ESQUERDA,"** A notícia destaca a tendência do governo Lula em empregar pessoas inscritas no Cadastro Único (CadÚnico) nas vagas formais geradas no 1º bimestre de 2026, o que pode ser interpretado como uma priorização da inclusão social e combate à pobreza."
Zema defende trabalho infantil no 1º de Maio e culpa esquerda por proteção a crianças,Romeu Zema defendeu que crianças possam trabalhar no Brasil em entrevista no 1º de Maio e culpou a esquerda por proteção contra trabalho infantil.,"Ex-governador de Minas Gerais disse que “toda criança pode estar ajudando” e lamentou que a legislação brasileira proíba trabalho infantil

ZEMA DEFENDE TRABALHO INFANTIL NO 1º DE MAIO E CULPA ESQUERDA POR PROTEçãO A CRIANçAS

ZEMA DEFENDE TRABALHO INFANTIL NO 1º DE MAIO E CULPA ESQUERDA POR PROTEçãO A CRIANçAS

00:00 A+ A-

Ler o resumo da notícia Romeu Zema, ex‑governador de Minas Gerais (Novo), defendeu que crianças possam trabalhar no Brasil em entrevista ao podcast Inteligência Limitada no Dia do Trabalhador (1º de maio).

O pré‑candidato à Presidência criticou a legislação brasileira, acusando a esquerda de criar a ideia de que o trabalho prejudica crianças.

Zema alegou que crianças podem realizar tarefas simples e comparou a proibição ao combate à escravidão, citando o exemplo dos EUA, onde jovens entregam jornais.

Segundo ele, a proibição do trabalho infantil no Brasil seria “escravizar” a criança.

O ex-governador de Minas Gerais Romeu Zema (Novo) defendeu, nesta sexta-feira (1º), Dia do Trabalhador, que crianças possam trabalhar no Brasil. A declaração foi dada em entrevista ao podcast Inteligência Limitada, na qual o pré-candidato à Presidência criticou a legislação brasileira e culpou a esquerda pela proteção contra o trabalho infantil.

“Infelizmente, no Brasil, se criou essa ideia de que jovem não pode trabalhar. Eu sei que o estudo é prioritário. Mas toda criança pode estar ajudando com questões simples, com questões que estão ao alcance dela”, disse Zema.

LEIA MAIS: Zema tenta explicar defesa do trabalho infantil e emenda sai pior que o soneto

Na sequência, o ex-governador comparou o Brasil aos Estados Unidos e afirmou que a proibição do trabalho infantil seria tratada no país como se fosse combate à escravidão.

“Aqui no Brasil parece que a esquerda criou essa noção de que trabalhar prejudica criança. Lá fora, nos Estados Unidos, criança trabalha entregando jornal, recebe não sei quantos centavos por cada jornal entregue, no tempo que ela tem. A",2026-05-01 21:56:33-03:00,https://revistaforum.com.br/politica/zema-defende-trabalho-infantil-1o-de-maio/,revistaforum,ESQUERDA,"** A notícia apresenta uma entrevista do ex-governador de Minas Gerais Romeu Zema defendendo o trabalho infantil no Brasil e culpando a esquerda por proteção às crianças. O tom da notícia é crítico em relação à posição de Zema, destacando que ele defende a ideia de que as crianças podem trabalhar e comparou a proibição ao combate à escravidão."
