titulo,subtitulo,texto,data,url,portal,vies_politico,justificativa_llm
"Relator da CPI quer convocar Campos Neto, Galípolo e ex-namorada de Vorcaro","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","O relator da CPI do Crime Organizado, senador Alessandro Vieira (MDB-SE), quer convocar o presidente do BC (Banco Central), Gabriel Galípolo, e seu antecessor no cargo, Roberto Campos Neto, para falar sobre a relação da autarquia com o Banco Master.

Além deles, Vieira também irá propor a convocação de Martha Graeff, ex-namorada de Daniel Vorcaro. A ideia é aprovar suas convocações como testemunhas.

Campos Neto já havia sido convocado pela CPI do Crime Organizado em fevereiro, mas faltou após o ministro André Mendonça, do STF (Supremo Tribunal Federal), declarar sua presença opcional.",2026-03-10 00:00:00,https://noticias.uol.com.br/colunas/natalia-portinari/2026/03/10/relator-da-cpi-quer-convocar-campos-neto-galipolo-e-ex-namorada-de-vorcaro.htm,uol_politica,ESQUERDA,"** A notícia destaca a posição do relator da CPI do Crime Organizado em convocar figuras como Gabriel Galípolo e Roberto Campos Neto, que são representantes de instituições financeiras importantes no Brasil, sem fornecer contexto sobre as motivações ou os fatos envolvidos. O foco está na atuação do senador Alessandro Vieira, que é membro da oposição ao governo atual."
"Para celebrar 62 anos de 1964, candidatos torturam democracia em 2026","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","A impunidade dos artífices, comandantes e torturadores do golpe de 1964 ajudou a semear a tentativa de 2022/2023, que, inclusive, contou com a participação de militares de alta patente. O passado não resolvido sempre volta.

Não é que Bolsonaro perverteu pobres generais estrelados. Setores militares e civis estavam com ele, aceitando dobrar a democracia em busca de privilégios, dinheiro e poder. O ex-presidente não criou sozinho o espírito golpista. Ele sempre esteve aí, inclusive Jair Messias foi nele forjado. Seu (de)mérito foi dar à extrema direita organização e sentido através de sua eleição, fincando as bases de um golpe já em 2018.

Nunca curamos as feridas deixadas por 21 anos de ditadura. Tapamos com um curativo mal feito, ao qual chamamos de anistia, que garantiu impunidade a crimes cometidos pelo Estado. Essas feridas continuam fedendo, apesar dos esforços estéticos.

Sabe por que é importante relembrar os 62 anos de 1964? Porque ele continua vivo não apenas naqueles que insistem em dizer que eleições só valem se eles ganharem, mas também na tortura pelas mãos de policiais nas periferias, herdeiros dos métodos e técnicas desenvolvidos na repressão. E no uso do poder político para favorecer o poder econômico, atropelando trabalhadores no meio do caminho.

Como sempre digo aqui, temos lidado com o passado como se ele tivesse automaticamente feito as pazes com o presente. E o impacto de não entendermos, refletirmos, discutirmos e resolvermos o nosso passado se faz sentir no dia a dia, com parte do Estado aterrorizando e reprimindo parte da população (normalmente mais pobre) com a anuência da outra parte (quase sempre mais rica).

Que a história das mortes sob responsabilidade da ditadura de 1964 seja conhecida e contada nas escolas até entrar nos ossos e vísceras de nossas crianças, a fim de que nunca esqueçam que a liberdade da qual desfrutam não foi de mão beijada, mas custou o sangue, a carne e a saudade de muita gente. Que a tentativa de golpe de 2022/202",2026-03-31 00:00:00,https://noticias.uol.com.br/colunas/leonardo-sakamoto/2026/03/31/para-celebrar-62-anos-de-1964-candidatos-torturam-democracia-em-2026.htm,uol_politica,ESQUERDA,"** A notícia apresenta uma análise crítica dos eventos políticos do Brasil, destacando a continuidade de práticas autoritárias desde o golpe de 1964 e associando-os às recentes tentativas de interferência na democracia sob o governo de Bolsonaro. Essa narrativa prioriza a pauta progressista de justiça social, críticas ao mercado e à impunidade dos crimes cometidos pelo Estado durante a ditadura."
Daniela Lima: Campanha de Flávio vê como 'irreal' direita ter três nomes,Daniela Lima diz que campanha de Flávio Bolsonaro considera irreal a direita ter três candidatos à presidência e projeta no máximo dois nomes no campo.,"A campanha de Flávio Bolsonaro (PL) considera como ""irreal"" a possibilidade de a direita ter três nomes na disputa eleitoral para a presidência da República, afirmou a colunista Daniela Lima no Análise de Pesquisas, do Canal UOL.

Daniela destacou que o comitê de campanha de Flávio considera, no máximo, haver dois nomes da direita para o pleito.",2026-03-09 00:00:00,https://noticias.uol.com.br/politica/ultimas-noticias/2026/03/09/campanha-de-flavio-ve-como-irreal-direita-ter-tres-nomes-diz-daniela-lima.htm,uol_politica,ESQUERDA,"** A colunista Daniela Lima é crítica à possibilidade de a direita ter três nomes na disputa eleitoral para a presidência da República, destacando que o comitê de campanha de Flávio Bolsonaro considera ""irreal"" essa possibilidade. Esse enquadramento político e o tom de crítica sugerem um viés ideológico."
Josias: Pré-campanha de Lula respira atmosfera de crise após escândalos,"Josias diz que Lula não avança nas pesquisas, enquanto Flávio Bolsonaro se consolida como anti-Lula e corrupção ganha peso no debate.","Josias disse que Lula, como candidato à reeleição, enfrenta uma disputa que tende a virar ""plebiscito"" sobre o próprio governo. Para ele, o presidente precisa recuperar popularidade e convencer o eleitorado do que considera os pontos fortes da gestão.

Ele, que é um candidato à reeleição, sabe que numa disputa desse tipo a eleição vai ser um plebiscito sobre o governo dele, sobre o desempenho dele. Então, ele precisa, primeiro, recuperar essa popularidade perdida e, em segundo lugar, convencer o eleitorado daquilo que ele considera que é muito bom no governo dele.

Josias de Souza

O colunista afirmou que medidas que o Planalto esperava usar como impulso político não estariam surtindo o efeito imaginado.

Mesmo aquilo que o Palácio do Planalto esperava que fosse funcionar como mola propulsora da popularidade do Lula, a isenção do imposto de renda para quem ganha até R$ 5 mil, o vale-gás, a redução no preço da conta de luz de quem ganha pouco, financiamento de imóvel para classe média, financiamento para mobiliar casas do Minha Casa Minha Vida, tudo isso compõe um balaio que o Lula imaginou que impulsionaria a sua popularidade nesse início de ano e não está acontecendo.

Josias de Souza

Josias sustentou que a corrupção voltou a ser um assunto relevante para o eleitorado e que, em momentos de muitos escândalos, a responsabilidade tende a recair mais sobre o governante do que sobre a oposição.",2026-02-27 00:00:00,https://noticias.uol.com.br/politica/ultimas-noticias/2026/02/27/respira-se-uma-atmosfera-de-crise-diz-josias-sobre-pre-campanha-de-lula.htm,uol_politica,DIREITA,"** O texto apresenta um tom crítico em relação ao governo de Lula e suas políticas, sugerindo que o colunista Josias está tentando enfraquecer a popularidade do presidente."
"Punição a escravagista diminui se STF liberar pejotização, avisa MPT","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","O Ministério Público do Trabalho (MPT) alerta que o julgamento do Tema 1389, que está curso no Supremo Tribunal Federal e pode enfraquecer o emprego formal, também vai dificultar a responsabilização de quem usou trabalho análogo ao de escravo no Brasil. Um documento foi enviado hoje Comissão Nacional para a Erradicação do Trabalho Escravo (Conatrae), composta por instituições do Estado e da sociedade civil.

O Tema 1389 discute de quem é a competência para julgar conflitos contratuais entre CNPJs, mesmo que seus donos reclamem que, na verdade, eram trabalhadores precarizados que batiam cartão. Se STF apontar que é a Justiça Comum, e não a Justiça do Trabalho, pode vir a corroborar situações que hoje são consideradas ilegais, como cortadores de cana, coveiros e até empregados domésticos que constituem empresas de uma pessoa só.

O julgamento também vai definir quem deve provar que houve fraude na relação: a empresa-patrão ou a empresa-trabalhador. A Procuradoria-Geral da República (PGR), com uma posição diferente à do MPT, enviou um parecer ao STF dando aval à Justiça Comum. A análise pelo plenário deve acontecer ainda este ano e terá repercussão geral.",2026-02-20 00:00:00,https://noticias.uol.com.br/colunas/leonardo-sakamoto/2026/02/20/combate-a-escravidao-vai-diminuir-se-stf-liberar-pejotizacao-alerta-mpt.htm,uol_politica,ESQUERDA,"** O texto apresenta uma visão crítica ao mercado e à justiça do trabalho, destacando as implicações negativas de um julgamento que pode enfraquecer o emprego formal e dificultar a responsabilização de quem usa trabalho análogo ao de escravo."
Lula critica Zema e cita eleição: 'Não devo isso a banqueiro da Faria Lima',"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","As eleições foram o principal tema no discurso do presidente Lula (PT) durante um evento de movimentos sociais ligados à moradia em Brasília. Ele falou que tem dívida com o povo: ""Não devo isso [a eleição] a nenhum banqueiro da Faria Lima"".

O que aconteceu

O petista disse ainda que se lembrava de quem esteve com ele nas dificuldades. Lula fez a declaração quando mencionou que vai receber grupos sociais que defendem moradia. ""Eu sei quem são os meus amigos de sempre"", afirmou. Parte das organizações presentes estiveram no acampamento em Curitiba enquanto ele esteve preso.

No mesmo raciocínio, ele citou os bancos. ""Eu não devo isso [eleição] a nenhum banqueiro da Faria Lima. Eu não devo isso a nenhum grande empresário brasileiro e nem a um grande latifundiário. Eu devo isso a vocês. Então, é importante que vocês saibam que eu sei de onde eu vim.""",2026-02-27 00:00:00,https://noticias.uol.com.br/politica/ultimas-noticias/2026/02/27/lula-critica-zema-e-cita-eleicao-nao-devo-isso-a-banqueiro-da-faria-lima.htm,uol_politica,ESQUERDA,"** O texto apresenta uma declaração do presidente Lula que critica os banqueiros e empresários, destacando a dívida que ele diz ter com o povo, não com esses setores econômicos."
Moraes manda derrubar drones que sobrevoarem casa onde Bolsonaro está preso,Alexandre de Moraes proibiu hoje que drones façam sobrevoos em um raio de 100 metros a partir da casa em que Jair Bolsonaro está preso. Leia no UOL,"Alexandre de Moraes, ministro do STF (Supremo Tribunal Federal), proibiu hoje que drones façam sobrevoos em um raio de 100 metros a partir da casa de Jair Bolsonaro em Brasília (DF), onde o ex-presidente cumpre prisão domiciliar. Moraes determinou a apreensão ou a derrubada pela polícia das aeronaves que descumprirem a ordem judicial.

O que aconteceu

Sobrevoos foram relatados a Moraes ontem pela Polícia Militar de Brasília. O Centro de Comunicação Social da corporação avisou ao ministro sobre ""uso irregular de Aeronaves Remotamente Pilotas [drones] nas proximidades da residência do custodiado"". De acordo com a PM, a situação configurava ""risco à segurança e violação do espaço aéreo"".

Para Moraes, sobrevoos representam ""flagrante violação ao direito constitucional à intimidade e privacidade"". Segundo o ministro, a situação gera ""exposição indevida da vida privada das famílias e risco à integridade física dos moradores, em caso de queda do equipamento"".",2026-03-28 00:00:00,https://noticias.uol.com.br/politica/ultimas-noticias/2026/03/28/moraes-proibe-que-drones-sobrevoem-area-da-casa-em-que-bolsonaro-esta-preso.htm,uol_politica,ESQUERDA,"** A notícia destaca a atuação do ministro Alexandre de Moraes em proteger a privacidade e segurança de Bolsonaro, ao mesmo tempo que menciona as críticas à sua conduta como ex-presidente."
Senado apura se centrão tentou usar Caixa para socorrer BRB após Master,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","O senador Renan Calheiros (MDB-AL) pediu —e recebeu sinal verde, no fim da semana passada— para levar à Comissão de Assuntos Econômicos mais de 100 relatórios enviados pela Caixa Econômica Federal, sob sigilo, para o Tribunal de Contas da União, sobre a negociação de títulos vendidos pelo Master ao BRB (Banco Regional de Brasília) e depois ofertados à instituição financeira federal.

O caso parou nas mãos do ministro Bruno Dantas, que cedeu o envio dos documentos à comissão. São quilos e mais quilos de papéis.

A CAE quer entender se houve pressão política de integrantes do centrão para que a Caixa socorresse o banco público de Brasília, ainda na gestão do ex-governador Ibaneis Rocha (MDB-DF), para evitar a descoberta de que os negócios com Daniel Vorcaro já haviam levado o BRB a amargar um prejuízo bilionário antes mesmo de a venda do Master para a instituição ser descartada pelo Banco Central.",2026-04-22 00:00:00,https://noticias.uol.com.br/colunas/daniela-lima/2026/04/22/senado-apura-se-centrao-tentou-usar-caixa-para-socorrer-brb-apos-master.htm,uol_politica,NEUTRO,Não identificada.
Dallagnol aciona PGR contra Moraes por suposto abuso no caso Unafisco,Ex-procurador afirma que intimação do presidente da associação para depor no inquérito das fake news é abusiva,"Na notícia-crime, Dallagnol pede a instauração de procedimento investigatório criminal, a cópia do inquérito em que foi determinada a intimação, a verificação do tempo entre as declarações públicas de Cabral e a convocação para depor, além de um eventual envio da cópia ao Senado Federal caso sejam identificados elementos que indiquem crime de responsabilidade.

O documento também menciona episódio ocorrido em 2019, quando auditores foram afastados no mesmo inquérito e posteriormente reintegrados, como parte do contexto apresentado à PGR.

Kleber Cabral prestou depoimento por cerca de uma hora e meia à PF (Polícia Federal) ontem. Ele foi ouvido por videoconferência, na condição de investigado, após ter feito críticas à atuação do STF em operação que mirou auditores fiscais sob suspeita de acesso indevido e vazamento de dados de parentes de ministros da Corte.

O depoimento foi determinado por Moraes no âmbito do chamado inquérito das fake news, instaurado no Supremo para apurar a disseminação de informações falsas e ataques à Corte. O conteúdo da oitiva está sob sigilo. De acordo com fontes que acompanham o caso, a audiência foi considerada ""tranquila"", com questionamentos concentrados nos motivos das declarações públicas feitas por Kleber.

Em nota, a Unafisco informou que não pode comentar o teor do depoimento em razão do sigilo. ""O presidente da Unafisco Nacional, auditor-fiscal Kleber Cabral, prestou depoimento hoje, de modo remoto, à Polícia Federal. Ele foi ouvido na condição de investigado no âmbito do chamado Inquérito das Fake News, apenas em razão das declarações concedidas à imprensa na quarta-feira, 18 de fevereiro. Conforme informado pela autoridade policial, o procedimento tramita sob sigilo, razão pela qual o presidente da entidade não poderá comentar o conteúdo do depoimento neste momento"", afirmou a entidade.

No despacho que determinou a intimação, Moraes transcreveu trechos de entrevistas concedidas por Kleber no dia em que agentes federais cumprir",2026-02-20 00:00:00,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2026/02/20/dallagnol-protocola-noticia-crime-contra-moraes-por-suposto-abuso-no-caso-unafisco.htm,uol_politica,DIREITA,"** O texto destaca críticas ao poder judiciário e à atuação de um ministro da Corte Suprema, o que sugere uma ênfase em valores conservadores."
Gilmar crítica Fachin por 'não decisão' de temas relevantes na corte,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","A crise interna do STF gerou um novo capítulo nesta semana: uma decisão sobre o procedimento do tribunal feita pelo presidente da corte Edson Fachin provocou uma resposta pública de Gilmar Mendes, que acusa o colega de não colocar em pauta processos importantes.

Na segunda-feira, Fachin mudou as regras do STF para distribuição de processos judiciais. restringindo petições feitas em casos já arquivados. A decisão foi entendida como um recado a Gilmar, que em fevereiro desengavetou um processo já arquivado e deu uma decisão que beneficiou o colega Dias Toffoli, cuja empresa Maridt está sob suspeita no escândalo do Banco Master.

Em mensagem por WhatsApp divulgada na noite de hoje, Gilmar diz, em referência a Fachin, que ""impressiona o número de processos importantes paralisados por sua iniciativa"", que ele chama de ""filibuster [tática de obstrução] aplicado ao STF"".",2026-05-14 00:00:00,https://noticias.uol.com.br/colunas/leticia-casado/2026/05/14/gilmar-critica-fachin-nao-decisao-e-marca-de-sua-presidencia.htm,uol_politica,ESQUERDA,"** A notícia apresenta uma abordagem crítica à ação do presidente da corte Edson Fachin, destacando o impacto nas decisões judiciais e sugerindo que ele está atuando com uma agenda pessoal. Isso sugere um viés ideológico de Esquerda, pois enfatiza a importância dos processos importantes e a possibilidade de paralisamento da justiça em virtude das ações do presidente."
