titulo,subtitulo,texto,data,url,portal,vies_politico,justificativa_llm
"Valdemar Costa Neto rejeita Michelle como vice de Flávio, mas defende mulher na chapa presidencial","A uma plateia de empresários, em São Paulo, o dirigente partidário disse ainda que a família Bolsonaro precisa 'resolver todos os problemas' se quiser vencer a eleição","O presidente nacional do PL, Valdemar Costa Neto , defendeu que a vice do senador Flávio Bolsonaro (PL-RJ) na disputa presidencial seja uma mulher, mas rejeitou a eventual indicação da ex-primeira-dama Michelle Bolsonaro (PL). Valdemar descartou também uma composição com a senadora Tereza Cristina (PP-MS) na vice. A uma plateia de empresários, em São Paulo, o dirigente partidário disse ainda que a família Bolsonaro precisa “resolver todos os problemas” se quiser vencer a eleição.

Ao participar de um almoço debate promovido pelo grupo Lide, na capital paulista, Valdemar afirmou “torcer” para que Flávio escolha uma mulher como vice, para tentar atrair o eleitorado feminino e não repetir o “problema com mulheres” enfrentado pelo ex-presidente Jair Bolsonaro (PL) quando disputou a reeleição, em 2022. O dirigente, no entanto, rejeitou por treze vezes o nome de Michelle para a vice de Flávio e por duas vezes disse que é “muito difícil”, ao ser questionado pela imprensa depois do evento.



“Não, não tem, não tem, não. Não tem, quer dizer, é muito difícil, é muito difícil”, disse, ao ser questionado sobre o nome de Michelle. Perguntado novamente, voltou a negar: “Não, não, não... Nem penso nisso, não me passa pela cabeça isso”. Questionado sobre as negativas em relação à ex-primeira-dama, reiterou: “Não, Michelle não, eu acho que não, porque ela já tem o mesmo nome. Tem que abrir para outros partidos.”



O presidente do PL disse que a senadora Tereza Cristina teria avisado a ele que não pretende disputar a eleição presidencial com Flávio. “A Tereza Cristina falou para mim na semana passada que não pretende ser vice e que ela tem um projeto para o Senado”, afirmou.



Valdemar disse não saber qual mulher poderia indicar para a chapa de Flávio, após ter descartado as indicações de Michelle e Tereza Cristina. “É difícil, tem que escolher, não sei”, afirmou. O dirigente criticou a escolha do general Braga Netto por Bolsonaro em 2022, na disputa pela reeleição, e afirmou que ",2026-03-30 00:00:00,https://valor.globo.com/politica/noticia/2026/03/30/valdemar-costa-neto-rejeita-michelle-como-vice-de-flvio-mas-defende-mulher-na-chapa-presidencial.ghtml,valoreconomico,ESQUERDA,"** O texto apresenta uma abordagem crítica à candidatura de Flávio Bolsonaro e ao partido PL, destacando a necessidade da família Bolsonaro resolver os problemas políticos e sociais do país para vencer as eleições. Além disso, o autor destaca a importância de escolher uma mulher como vice, em um contexto onde a candidatura de Michelle Bolsonaro é rejeitada."
Túlio Gadêlha anuncia saída da Rede para concorrer ao Senado,,"O deputado federal Túlio Gadêlha (PE) anunciou a sua saída da Rede Sustentabilidade. Ele vai se filiar nesta quinta-feira (2) ao Partido Social Democrático (PSD), de Gilberto Kassab, para pleitear uma vaga ao Senado na chapa da governadora Raquel Lyra (PSD). Segundo a legislação eleitoral, parlamentares têm até o dia 3 para mudar de partido sem perder o mandato.

",2026-04-02 00:00:00,https://valor.globo.com/politica/noticia/2026/04/02/tlio-gadlha-anuncia-sada-da-rede-para-concorrer-ao-senado.ghtml,valoreconomico,NEUTRO,** O texto é uma notícia puramente descritiva sobre a saída de um deputado da Rede Sustentabilidade e sua filiação ao Partido Social Democrático para concorrer ao Senado. Não há adjetivação ou juízo de valor que possa indicar um viés ideológico.
Leite cobra PSD mais ao centro e eleva pressão sobre Kassab,Governador do RS se colocou como independente e situou Caiado na direita; anúncio do candidato à Presidência será segunda ou terça,"Na reta final da escolha do presidenciável do PSD, o governador do Rio Grande do Sul, Eduardo Leite, cobrou que o partido dê preferência a um candidato com perfil de centro e defendeu seu nome para a vaga, durante encontro com o presidente nacional da legenda, Gilberto Kassab, na quarta-feira (25). O dirigente afirmou, após a reunião, que o anúncio do escolhido será entre segunda (30) e terça-feira (31).",2026-03-26 00:00:00,https://valor.globo.com/politica/noticia/2026/03/26/leite-cobra-psd-mais-ao-centro-e-eleva-pressao-sobre-kassab.ghtml,valoreconomico,NEUTRO,"** O texto apresenta um tom descritivo, sem adjetivação ou juízo de valor, apenas relatando os fatos sobre a reunião entre o governador Eduardo Leite e o presidente do PSD, Gilberto Kassab."
"Senador ‘pensa que é Deus’, diz Lula","Na avaliação do chefe do Executivo, o governo pode ter dificuldades caso não tenha uma base forte na Casa","O presidente Luiz Inácio Lula da Silva afirmou na quarta-feira (1º) que um dos objetivos da campanha nas eleições de 2026 é formar maioria no Senado e disse que, por ter mandato de oito anos, um senador “pensa que é Deus”. Na avaliação do chefe do Executivo, o governo pode ter dificuldades caso não tenha uma base forte na Casa.",2026-04-02 00:00:00,https://valor.globo.com/politica/noticia/2026/04/02/senador-pensa-que-e-deus-diz-lula.ghtml,valoreconomico,NEUTRO,"** O texto apresenta um tom descritivo e neutro ao relatar as declarações do presidente Lula sobre a importância de ter uma base forte no Senado para o governo. Não há adjetivação externa, nem críticas explícitas a nenhum campo político."
Lula: Esforço do governo é para impedir guerra 'irresponsável' de chegar 'ao bolso do povo',,"Em meio ao aumento do preço de combustíveis por conta da guerra envolvendo Estados Unidos, Israel e Irã, o presidente Luiz Inácio Lula da Silva repetiu nesta quinta-feira (2) que o governo federal tem interesse em “recomprar” a Refinaria de Mataripe, na Bahia , que foi privatizada em 2021. Desde então, a Bahia é um dos poucos Estados em que a distribuição dos combustíveis não é responsabilidade da Petrobras .

“Nós estamos há algum tempo estudando a necessidade de recomprar a refinaria da Bahia para a Petrobras. Não é justo o que fizeram. A refinaria produz menos da metade do que deveria produzir. Nós precisamos da refinaria produzindo muito mais”, disse Lula em entrevista à TV Record da Bahia.



Sem entrar em detalhes de como essa “recompra” pode ser feita, Lula enumerou as ações que a União tem adotado para tentar minimizar o aumento do preço dos combustíveis, como a isenção do PIS/Cofins e a subvenção de R$ 0,32 já concedida pela União.



“Estamos fazendo todo o esforço possível para não permitir que a guerra irresponsável do Irã chegue ao bolso do povo que vai comprar alface, vai comprar feijão, vai comprar milho, vai comprar a comida do seu filho”, afirmou o presidente.



Lula disse que tanto a Polícia Federal quanto a Rodoviária vão investigar as distribuidoras que têm “roubando o povo”, aumentando os preços. “Tem muita gente ganhando dinheiro roubando o povo, porque não tinha o direito de ter aumentado o preço e está aumentando.”



Segundo o presidente, o governo vai fazer “todo o possível” para que os efeitos da guerra não chegue ao “prato de comida do brasileiro e muito menos ao tanque de combustível do caminhoneiro, que já tem dificuldade com seu frete”.",2026-04-02 00:00:00,https://valor.globo.com/politica/noticia/2026/04/02/lula-esforco-do-governo-e-para-impedir-guerra-irresponsavel-de-chegar-ao-bolso-do-povo.ghtml,valoreconomico,ESQUERDA,"** O texto apresenta uma abordagem crítica ao governo federal e à privatização da Refinaria de Mataripe, destacando a necessidade de recomprar a refinaria para a Petrobras e minimizar o aumento do preço dos combustíveis. Além disso, o presidente Lula é retratado como um defensor das medidas governamentais que visam proteger os interesses do povo."
STF autoriza penduricalhos e adicional por tempo de serviço até 70% do teto,"Verbas indenizatórias faziam com que os contra-cheques de servidores ultrapassassem o teto do funcionalismo público de R$ 46,3 mil, formando os 'supersalários'","O Supremo Tribunal Federal (STF) estabeleceu nesta quarta-feira (25) uma série de regras para limitar o pagamento de verbas indenizatórias que ultrapassam o teto do funcionalismo público, os chamados penduricalhos. A decisão vale para membros do Judiciário e do Ministério Público e, na prática, permitirá que a soma de todas as vantagens poderá chegar a, no máximo, 70% do valor do teto do funcionalismo público, que hoje é de R$ 46,3 mil.

Na prática, o STF definiu quais verbas podem e quais não podem ser pagas a partir de agora, além de barrar a criação de novas parcelas por ato administrativo. A tese de julgamento foi proposta de modo conjunto pelos ministros Flávio Dino, Cristiano Zanin, Gilmar Mendes e Alexandre de Moraes, relatores de ações que tratam do tema. Eles foram acompanhados por unanimidade.

A regra de transição limita o pagamento dos penduricalhos a um teto correspondente a até 35% (R$ 16,2 mil) do salário dos integrantes da Corte, conhecido por ser o teto do funcionalismo público. Em contrapartida, os ministros afirmaram que há uma defasagem no subsídio pago. Por conta disso, instituíram uma parcela de valorização do tempo de antiguidade na carreira.

Esse adicional será aplicado para membros ativos e inativos. O aumento deverá ser de 5% a cada cinco anos, não podendo ultrapassar o teto de 35%. Assim, há uma parcela de servidores que podem passar a receber até R$ 78 mil por mês.

Por isso, a soma de todas as vantagens poderá chegar a até 70% do valor do teto (35% de verbas indenizatórias e 35% de adicional de antiguidade).

Ministros, no entanto, alegaram ao Valor que esse montante máximo será pago a um grupo pequeno: só chegará a esse valor quem já ganha o teto, tem 35 anos de carreira no funcionalismo público e recebe os penduricalhos que foram considerados legítimos pela Corte.

Também defenderam que o novo adicional tem o objetivo de recompor gradualmente os salários diante da perda inflacionária, o que funcionaria de forma semelhante ao adicional",2026-03-25 00:00:00,https://valor.globo.com/politica/noticia/2026/03/25/supremo-retoma-julgamento-de-aes-que-discutem-penduricalhos.ghtml,valoreconomico,NEUTRO,"** A decisão do STF sobre penduricalhos e adicional por tempo de serviço até 70% do teto é descrita de forma objetiva, sem adjetivação externa, apenas relatando a decisão judicial."
"De perfil discreto, Miriam Belchior assume Casa Civil","Solução caseira, ministra é quadro histórico do PT e é a aposta de Lula para tocar máquina sem surpresas até o segundo turno","Confirmada como a nova ministra da Casa Civil, Miriam Belchior já era, na prática, como secretária-executiva, a engrenagem que mantinha em funcionamento a pasta responsável pela gestão do governo. Agora, sua missão será dar continuidade à máquina federal em um momento em que cerca de 20 ministros devem se licenciar dos cargos para concorrer às eleições e o presidente Luiz Inácio Lula da Silva tem pouco tempo para fazer entregas antes das restrições impostas pela legislação eleitoral.",2026-04-02 00:00:00,https://valor.globo.com/politica/noticia/2026/04/02/de-perfil-discreto-miriam-belchior-assume-casa-civil.ghtml,valoreconomico,ESQUERDA,"** A notícia sobre a nomeação de Miriam Belchior para a Casa Civil do governo Lula não apresenta um tom puramente descritivo, mas sim uma narrativa que destaca a experiência e o perfil da ministra, sugerindo uma escolha estratégica por parte do presidente."
CNJ afasta desembargador suspeito de irregularidades na recuperação judicial do 123milhas,"Além do afastamento das funções jurisdicionais e administrativas, foi determinada uma correição extraordinária no gabinete do magistrado","O corregedor nacional de Justiça , Mauro Campbell Marques, determinou o afastamento do desembargador Alexandre Victor de Carvalho , do Tribunal de Justiça de Minas Gerais (TJ-MG) por suspeitas de irregularidades e favorecimento na condução do processo de recuperação judicial do Grupo 123milhas .

Em nota, o Conselho Nacional de Justiça (CNJ) informou nesta segunda-feira (30) que provas colhidas “apontam um padrão de atuação que aparentemente extrapola a simples divergência jurídica, configurando, em tese, violação dos deveres funcionais da magistratura”.



Além do afastamento das funções jurisdicionais e administrativas, foi determinada uma correição extraordinária no gabinete do magistrado.

“O TJ-MG já foi notificado para designar um substituto imediato, garantindo que não haja interrupção na prestação jurisdicional à sociedade”, prosseguiu o CNJ. O caso tramita em sigilo.



O desembargador afastado teria tomado decisões controversas, entre elas a nomeação supostamente irregular de administradores judiciais.



A 123milhas entrou com o pedido de recuperação judicial na 1ª Vara Empresarial de Belo Horizonte, em Minas Gerais, em agosto de 2023, com uma dívida estimada em R$ 2 bilhões.



O Valor entrou em contato com o Tribunal de Justiça de Minas Gerais, mas não obteve resposta até a publicação desta reportagem.",2026-03-30 00:00:00,https://valor.globo.com/politica/noticia/2026/03/30/cnj-afasta-desembargador-suspeito-de-irregularidades-na-recuperacao-judicial-do-123milhas.ghtml,valoreconomico,NEUTRO,Não identificada.
"Encerramento do inquérito das fake news é assunto que está na pauta, diz Fachin","Presidente do STF disse hoje que tem conversado com o relator, ministro Alexandre de Moraes, e com demais integrantes da Corte sobre um eventual encerramento do caso","O ministro Edson Fachin , presidente do Supremo Tribunal Federal ( STF ), disse hoje que a duração do i nquérito das fake news é um assunto que “preocupa” e que tem conversado com o relator, ministro Alexandre de Moraes , e com demais integrantes da Corte sobre um eventual encerramento do caso.

“Esse é um assunto que me preocupa. O inquérito cumpriu uma função importante do ponto de vista da salvaguarda de prerrogativas dos ministros do Supremo que são fundamentais para a defesa do Estado de Direito e da Democracia. A questão é saber se chegou o momento e reconhecer que a relevância se postou. E se é o momento de pensar no encerramento desse tipo de atividade. Eu já conversei sobre esse tema com o relator e com outros ministros. Portanto, esse é um assunto que está na pauta”, disse em conversa com jornalistas.



Questionado sobre o fato de caber a Moraes encerrar o inquérito, disse que o diálogo com o colega é importante, mas que o tema é de interesse de toda a Corte. “Temos mantido um bom diálogo sobre esse tema. É o diálogo prioritário. Mas temos que convir que esse é um tema que interessa ao tribunal como um todo. Portanto é mais que legítimo que eu converse também com outros ministros para saber a respectiva percepção que se tem”, disse.



“Inclusive para verificar quais são os caminhos por meio dos quais se pode pensar e, eventualmente, num tempo razoável, pensar no encerramento dessa investigação. Por isso o diálogo prioritário com o próprio relator nesse sentido”, prosseguiu.



Fachin foi perguntado se, caso Moraes tente manter o inquérito em andamento, poderia ele mesmo buscar algum encaminhamento para encerrar a apuração. O presidente do STF não negou a possibilidade, mas disse que prefere uma saída dialogada. “Prefiro a outra via”, afirmou.



Sete anos de inquérito

O inquérito dividiu o STF e parte da classe jurídica desde que nasceu, em 14 de março de 2019. Dias Toffoli anunciou a abertura do processo em uma sessão plenária, momento em que também re",2026-03-31 00:00:00,https://valor.globo.com/politica/noticia/2026/03/31/encerramento-do-inquerito-das-fake-news-e-assunto-que-esta-na-pauta-diz-fachin.ghtml,valoreconomico,NEUTRO,** O texto mantém um tom descritivo e neutro ao relatar a declaração do ministro Edson Fachin sobre o inquérito das fake news no STF.
Lula e Alckmin são vacinados para marcar início da campanha contra a gripe,"A campanha nacional, chamada “Dia D”, ocorre no sábado (28) nas regiões Nordeste, Centro-Oeste, Sul e Sudeste","Lula e Alckmin são vacinados para marcar início da campanha contra a gripe

A campanha nacional, chamada “Dia D”, ocorre no sábado (28) nas regiões Nordeste, Centro-Oeste, Sul e Sudeste",2026-03-26 00:00:00,https://valor.globo.com/politica/noticia/2026/03/26/lula-e-alckmin-so-vacinados-para-marcar-incio-da-campanha-contra-a-gripe.ghtml,valoreconomico,NEUTRO,"** A notícia é estritamente descritiva, sem adjetivação ou juízo de valor, apenas relatando fatos sobre a campanha contra a gripe."
"Fachin diz que STF deve ser preservado, ainda que erros possam ser criticados e punidos","Declaração, feita a jornalistas, faz referência à crise de imagem da instituição, acentuada com o caso Master","Fachin diz que STF deve ser preservado, ainda que erros possam ser criticados e punidos

Declaração, feita a jornalistas, faz referência à crise de imagem da instituição, acentuada com o caso Master",2026-03-31 00:00:00,https://valor.globo.com/politica/noticia/2026/03/31/fachin-diz-que-stf-deve-ser-preservado-ainda-que-erros-possam-ser-criticados-e-punidos.ghtml,valoreconomico,ESQUERDA,"** A declaração do ministro Fachin enfatiza a importância de preservar o STF, mesmo diante de críticas e erros que possam ser punidos. Isso sugere uma abordagem mais conservadora e defensiva em relação à instituição, o que é característico da narrativa de Direita."
