titulo,subtitulo,texto,data,url,portal
Encontro com Trump vai mostrar a diferença entre a ‘diplomacia isolacionista’ de Lula e a estratégia de Flávio em prol do país,"Já
confirmado pela CBN, Reuters, Globo, Poder 360, JCO e Folha: Flávio Bolsonaro
foi convidado por Donald Trump para um encontro na próxima semana na Casa
Branca.

Flavio deve
viajar para os EUA no di...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Já confirmado pela CBN, Reuters, Globo, Poder 360, JCO e Folha: Flávio Bolsonaro foi convidado por Donald Trump para um encontro na próxima semana na Casa Branca.

Flavio deve viajar para os EUA no dia 25 (segunda-feira).

O encontro é oportuno, depois do fiasco de lula nos EUA, acompanhado de um enorme séquito de incompetentes que voltaram de mãos vazias.

Servirá para estabelecer um contraste definitivo entre a diplomacia obtusa e isolacionista de lula e uma verdadeira estratégia internacional para promover o desenvolvimento do país, com alianças inquestionavelmente necessárias e valiosas.

O lulismo em surto vai ter que fazer mágica - e não conseguirá - para diminuir a importância dessa parceria e desse encontro. Mas tentarão.

Fato é que, por essas e outras, por vias diretas ou indiretas, a enorme incompetência do desgoverno lula vai sendo exposta, por mais que tentem criar uma realidade paralela e ficcional.

E o que é melhor: está sendo mostrada ao mundo.",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83246/encontro-com-trump-vai-mostrar-a-diferenca-entre-a-diplomacia-isolacionista-de-lula-e-a-estrategia-de-flavio-em-prol-do-pais,jornaldacidade
Lula sofre novas derrotas no Congresso e placar é vexatório,"O Congresso
Nacional derrubou nesta quinta-feira quatro vetos de Lula à Lei de Diretrizes
Orçamentárias (LDO) de 2026.

Um dos
trechos da lei, que agora passa a valer, permite a doação de bens, valore...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O Congresso Nacional derrubou nesta quinta-feira quatro vetos de Lula à Lei de Diretrizes Orçamentárias (LDO) de 2026.

Um dos trechos da lei, que agora passa a valer, permite a doação de bens, valores ou benefícios pela administração pública nos três meses antes das eleições, nas situações em que há encargo para quem recebe.

Outro ponto restabelecido autoriza municípios inadimplentes de até 65 mil habitantes a receber recursos federais.

Ainda foi liberado o uso de recursos federais para a construção e a manutenção de rodovias estaduais e municipais destinadas à integração de modais de transporte ou ao escoamento produtivo e para as despesas relativas à malha hidroviária brasileira.

Porém, o placar mais elástico foi registrado na derrubada do veto sobre o repasse de verbas aos municípios inadimplentes: 500 votos favoráveis e 22 contrários, além de sete brancos e uma abstenção.

Lula tentou esconder, mas sua verdadeira face foi exposta. Detalhes e revelações do passado do petista estão no livro ""O Homem Mais Desonesto do Brasil - A verdadeira face de Luiz Inácio Lula da Silva"". Aproveite enquanto é tempo. Clique no link abaixo:

https://www.conteudoconservador.com.br/products/a-maquina-contra-o-homem-como-o-sistema-tentou-destruir-um-presidente-e-despertou-uma-nacao

Veja a capa:",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83242/lula-sofre-novas-derrotas-no-congresso-e-placar-e-vexatorio,jornaldacidade
"Aldo Rebelo depois de perder a condição de pré-candidato à presidência, leva o castigo definitivo do DC","O
ex-ministro Aldo Rebelo era até então o pré-candidato à presidência do partido
Democrata Cristão (DC). Levou uma verdadeira rasteira que culminou com a troca
de sua candidatura pela do ex-ministro d...","O ex-ministro Aldo Rebelo era até então o pré-candidato à presidência do partido Democrata Cristão (DC). Levou uma verdadeira rasteira que culminou com a troca de sua candidatura pela do ex-ministro do Supremo Tribunal Federal (STF), Joaquim Barbosa. Difícil saber qual dos dois eleitoralmente é pior.

De qualquer forma, Aldo Rebelo ficou indignado e passou a detonar a cúpula partidária do DC. Pois bem, acaba de receber um novo e definitivo castigo: Processo disciplinar para expulsão.

“Diante do esgotamento das diversas tentativas de resolução harmoniosa, a Direção Nacional do DC delibera pela abertura imediata de procedimento disciplinar. Tal medida resultará em sua expulsão sumária”, diz o comunicado divulgado nesta quinta (21).

A decisão da presidência do DC aprofunda ainda mais o racha partidário deflagrado após a filiação do ex-ministro Joaquim Barbosa para disputar o Palácio do Planalto em 2026. O anúncio do presidente da sigla, o ex-deputado João Caldas, pegou de surpresa os dirigentes estaduais e o próprio Aldo Rebelo, que já havia sido lançado como presidenciável em janeiro deste ano.

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83241/aldo-rebelo-depois-de-perder-a-condicao-de-pre-candidato-a-presidencia-leva-o-castigo-definitivo-do-dc,jornaldacidade
URGENTE: Fux se insurge contra Gilmar,"O ministro Luiz Fux, do Supremo Tribunal Federal, se insurgiu e apresentou divergência parcial no julgamento que discute o alcance do foro privilegiado para autoridades públicas. A posição do magistra...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O ministro Luiz Fux, do Supremo Tribunal Federal, se insurgiu e apresentou divergência parcial no julgamento que discute o alcance do foro privilegiado para autoridades públicas. A posição do magistrado contrasta com o entendimento do relator do caso, Gilmar Mendes.

O tema está sendo analisado em plenário virtual do STF desde o dia 15 de maio, com previsão de encerramento do julgamento nesta sexta-feira (22).

A discussão voltou à pauta após recurso apresentado pela Procuradoria-Geral da República contra decisão anterior da Corte que reconheceu a competência do Supremo para julgar crimes atribuídos a um ex-deputado federal.

Luiz Fux foi o primeiro ministro a abrir divergência após ter pedido vista do processo no ano passado. Até o momento, os ministros Alexandre de Moraes, Cristiano Zanin e Flávio Dino acompanharam o voto do relator.

Em seu entendimento, Fux sustenta que o foro privilegiado deve valer apenas para crimes cometidos durante o exercício do cargo e diretamente relacionados às funções desempenhadas pela autoridade investigada.

O ministro também defende que a prerrogativa de foro não seja mantida após aposentadoria, exoneração ou saída de cargos vitalícios, como os ocupados por magistrados e integrantes do Ministério Público.

Outro ponto destacado por Fux é que, após o encerramento da fase de instrução processual, a competência do julgamento não deve mais ser alterada. Segundo a proposta apresentada, processos cuja instrução já tenha sido concluída devem permanecer no tribunal onde estavam tramitando, mesmo em caso de perda do cargo pelo investigado.

A sugestão inclui situações em que já houve oferecimento de denúncia, apresentação de alegações finais ou manifestação do Ministério Público pelo arquivamento do caso.

Fora dessas hipóteses, o ministro entende que a saída do cargo público ou a mudança para o",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83234/urgente-fux-se-insurge-contra-gilmar,jornaldacidade
"Em poucas palavras, ex-ministro Onyx Lorenzoni dá ""aula"" e mostra quem está com medo da CPMI do Master (veja o vídeo)","Conhecido por seu vasto e importante conhecimento político, Onyx Lorenzoni - ex-ministro do Governo Bolsonaro - soltou o verbo em suas redes sociais:""Flávio Bolsonaro é o senador que mais tem lutado p...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Conhecido por seu vasto e importante conhecimento político, Onyx Lorenzoni - ex-ministro do Governo Bolsonaro - soltou o verbo em suas redes sociais:

""Flávio Bolsonaro é o senador que mais tem lutado para que a CPI do Banco Master seja instaurada.

Sabe quem é contra? O PT e todos aqueles que o acusam. Curioso, não é mesmo?

Estou esperando a base do PT no Congresso assinar a CPI!"", disse.

Uma verdadeira aula!

Veja:

Um relatório da Policia Federal entregue ao ministro André Mendonça - novo relator do Caso Master, revela que Daniel Vorcaro organizava festas sexuais para políticos e empresários poderosos. Quer saber detalhes, nomes e relatos dessas bizarrices? Tudo isso está no ""documento"" recém lançamento: o livro Banco Master – O Caso Blindando Pelo STF.

Ainda não se sabe por quanto tempo essa obra vai estar em circulação. O ""sistema"", certamente, já está de olho e, por esse motivo, a editora liberou o FRETE GRÁTIS para todo o país.

Acredite, o livro é a “autópsia do poder brasileiro”. Não perca essa oportunidade. Clique no link abaixo:

https://www.conteudoconservador.com.br/products/banco-master-o-caso-blindando-pelo-stf-pre-venda

O valor é promocional até o dia 01/03. Veja a capa:",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83232/em-poucas-palavras-ex-ministro-onyx-lorenzoni-da-equotaulaequot-e-mostra-quem-esta-com-medo-da-cpmi-do-master-veja-o-video,jornaldacidade
"Às vésperas da eleição, Lula amplia controle sobre redes sociais e Gilmar 'aplaude' descaradamente","O ministro Gilmar Mendes, do Supremo Tribunal Federal, manifestou apoio público ao pacote de medidas editado pelo petista Lula para regulamentar a atuação das redes sociais e plataformas digitais no p...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O ministro Gilmar Mendes, do Supremo Tribunal Federal, manifestou apoio público ao pacote de medidas editado pelo petista Lula para regulamentar a atuação das redes sociais e plataformas digitais no país.

Por meio das redes sociais, o magistrado classificou as novas regras como um “avanço civilizatório fundamental” e afirmou que os decretos ajudam a consolidar entendimentos recentes do STF sobre o Marco Civil da Internet.

Na prática, segundo o senador Rogerio Marinho, trata-se de uma ""CENSURA IMPLEMENTADA VIA DECRETO POR LULA"".

Algo GRAVISSIMO! Tudo isso, a poucos meses de uma importante eleição.

O povo ainda está traumatizado diante de tudo o que aconteceu em 2022.

No meio disso tudo, um corajoso ex-deputado com passagens por PT, PSOL e PCdoB lançou sua biografia afirmando que as revelações vão ""destruir"" inúmeras candidaturas da esquerda em 2026. Rodrigo Maroni diz ainda que o livro O Homem-Bomba da Política - Por Dentro do Covil da Esquerda é retrato fiel dos mais de 20 anos em que viveu dentro da militância. Maroni revela crimes, acordos, corrupção, rachadinhas e muito mais.

Desde que resolveu abrir a ""caixa-preta"", ele foi processado, atacado e já recebeu ameaças de morte. Caso queira conhecer e adquirir esse livro antes que a censura o proíba, clique no link abaixo:

https://www.conteudoconservador.com.br/products/o-homem-bomba-da-politica-por-dentro-do-covil-da-esq...

Vale a pena o investimento!

Veja imagens do livro:",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83230/as-vesperas-da-eleicao-lula-amplia-controle-sobre-redes-sociais-e-gilmar-e39aplaudee39-descaradamente,jornaldacidade
"""Caçando"", Dino dá 48h a Motta e toma resposta forte de Mario Frias","O ministro Flávio Dino, do Supremo Tribunal Federal, determinou que o presidente da Câmara dos Deputados, Hugo Motta, apresente em até 48 horas esclarecimentos sobre a viagem internacional do deputado...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O ministro Flávio Dino, do Supremo Tribunal Federal, determinou que o presidente da Câmara dos Deputados, Hugo Motta, apresente em até 48 horas esclarecimentos sobre a viagem internacional do deputado federal Mario Frias.

O magistrado quer informações sobre a situação funcional do parlamentar e detalhes do período autorizado para a suposta missão oficial alegada por Frias. Atualmente, o deputado está em Bahrein.

A cobrança ocorre após dificuldades enfrentadas pelo STF para intimar o parlamentar ao longo de quase um mês. O objetivo da Corte é obter esclarecimentos sobre repasses de emendas parlamentares destinados à ONG Instituto Conhecer Brasil, entidade ligada à produção do filme “Dark Horse”, obra que retrata a campanha presidencial de Jair Bolsonaro em 2018.

No X, Mario Frias fez questão de responder Dino:

""Prezado Ministro Flávio Dino, soube pela imprensa que o senhor gostaria de algumas informações a meu respeito.

Estou em agenda oficial, com conhecimento do meu presidente Hugo Mota.

Chegarei ao Brasil dia 25 de maio, desde ja me colocando a disposição de Vossa Excelencia, para inclusive um encontro ao vivo, ocasião em que será uma otima oportunidade para prestar todos os esclarecimentos que desejar.""

Um relatório da Policia Federal entregue ao ministro André Mendonça - novo relator do Caso Master, revela que Daniel Vorcaro organizava festas sexuais para políticos e empresários poderosos. Quer saber detalhes, nomes e relatos dessas bizarrices? Tudo isso está no ""documento"" recém lançamento: o livro Banco Master – O Caso Blindando Pelo STF.

Ainda não se sabe por quanto tempo essa obra vai estar em circulação. O ""sistema"", certamente, já está de olho e, por esse motivo, a editora liberou o FRETE GRÁTIS para todo o país.

Acredite, o livro é a “autópsia do poder brasileiro”. Não perca essa oportunidade. Clique ",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83227/equotcacandoequot-dino-da-48h-a-motta-e-toma-resposta-forte-de-mario-frias,jornaldacidade
PF rejeita delação de Vorcaro e jurista faz alerta preocupante,"Está
bastante óbvio que a função do Procurador-Geral da República (PGR), Paulo
Gonet, é tão somente salvar a própria pele e de seus parceiros do Supremo
Tribunal Federal (STF). Nada mais.

Como
notici...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Está bastante óbvio que a função do Procurador-Geral da República (PGR), Paulo Gonet, é tão somente salvar a própria pele e de seus parceiros do Supremo Tribunal Federal (STF). Nada mais.

Como noticiado, a Polícia Federal não aceitou a delação de Daniel Vorcaro. Diante disso, o jurista André Marsíglia faz uma advertência preocupante. Confira:

“A PF lavou as mãos. É como se dissesse: a delação de Vorcaro é uma mentira; se a PGR de Gonet quiser levá-la adiante, que vá sozinha.

Não me espantaria se uma ‘delação seletiva’, sem citar ministros, fosse costurada apenas com a PGR e, caso Mendonça não a homologasse, o tema acabasse na 2ª Turma, vencendo Mendonça e soterrando o caso Master diante dos nossos olhos

Gonet e o STF não se importam se a delação é mentirosa, tampouco com sua credibilidade. Importam-se apenas em salvar a própria pele.”

A sociedade precisa reagir.

A Magnitsky caiu, mas um dos maiores medos de Moraes ainda está disponível para o povo: o polêmico livro ""Supremo Silêncio"". A perseguição contra parlamentares, jornalistas e outros absurdos que começaram no famigerado Inquérito das Fakes News foram expostos! Se apresse, a censura está de olho nessa obra! Clique no link abaixo:

https://www.conteudoconservador.com.br/products/supremo-silencio-o-que-voce-nao-pode-saber

Veja a capa:",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83223/pf-rejeita-delacao-de-vorcaro-e-jurista-faz-alerta-preocupante,jornaldacidade
"Para o terror de Lula, Flávio Bolsonaro terá reunião com Donald Trump na Casa Branca","O senador e pré-candidato à Presidência Flávio Bolsonaro deverá se reunir na próxima semana com o presidente dos Estados Unidos, Donald Trump, em encontro previsto para ocorrer na Casa Branca.O encont...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O senador e pré-candidato à Presidência Flávio Bolsonaro deverá se reunir na próxima semana com o presidente dos Estados Unidos, Donald Trump, em encontro previsto para ocorrer na Casa Branca.

O encontro deve acontecer no mesmo local onde Trump recebeu recentemente o petista Lula.

A reunião entre os dois chefes de Estado ocorreu sem entrevista coletiva ao final, fato que gerou especulações nos bastidores políticos brasileiros.

Nos bastidores políticos, aliados avaliam que a reunião na Casa Branca poderá fortalecer a projeção internacional de Flávio Bolsonaro.

Lula em desespero...

Acabam de surgir as primeiras camisetas de apoio ao pré-candidato à Presidência da República Flávio Bolsonaro. Não fique fora dessa! Seja um dos primeiros a estampar a luta pelo Brasil. Para adquirir, basta clicar no link abaixo:

https://www.conteudoconservador.com.br/collections/camisetas

Veja:",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83220/para-o-terror-de-lula-flavio-bolsonaro-tera-reuniao-com-donald-trump-na-casa-branca,jornaldacidade
Dados de pesquisa sobre a gestão Tarcísio conduzem a uma certeza: Hoje ele é imbatível,"A mais
recente pesquisa do Instituto Paraná deixa bem claro uma evidência: Hoje,
Tarcísio é imbatível.

O governador
de São Paulo é aprovado por 64,4% dos eleitores do Estado e desaprovado por
apenas ...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

A mais recente pesquisa do Instituto Paraná deixa bem claro uma evidência: Hoje, Tarcísio é imbatível.

O governador de São Paulo é aprovado por 64,4% dos eleitores do Estado e desaprovado por apenas 31,5%, o universo dos eleitores de esquerda.

A pesquisa também quis saber como os paulistas avaliam o governador, que tentará a reeleição em outubro. Seu governo é avaliado como “ótimo” ou “bom” por 48,6% dos eleitores. Outros 22,5% avaliam a gestão como “ruim” ou “péssima” e 26,8%, como “regular”.

Com esses números, deve vencer facilmente no 1º turno.

A Paraná Pesquisas entrevistou 1.640 pessoas no Estado de São Paulo de 18 a 20 de maio de 2026. A margem de erro é 2,5 pontos percentuais, para mais ou para menos. O grau de confiança do levantamento é de 95%. Está registrado no Tribunal Superior Eleitoral sob o número SP-02706/2026.

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/83219/dados-de-pesquisa-sobre-a-gestao-tarcisio-conduzem-a-uma-certeza-hoje-ele-e-imbativel,jornaldacidade
