titulo,subtitulo,texto,data,url,portal
Operação da PF mira esquema de corrupção na educação do RJ; deputado é preso,"A prisão de Thiago Rangel ocorre no âmbito da 4ª fase da Operação Unha e Carne, que investiga um suposto esquema de fraudes na Secretaria Estadual…","A prisão de Thiago Rangel ocorre no âmbito da 4ª fase da Operação Unha e Carne, que investiga um suposto esquema de fraudes na Secretaria Estadual de Educação do RJ (Seeduc)

Reprodução/Alerj Thiago Rangel, deputado estadual pelo RJ



O deputado estadual Thiago Rangel (Avante), do Rio de Janeiro, foi preso nesta terça-feira (5) no no âmbito da 4ª fase da Operação Unha e Carne, deflagrada pela Polícia Federal (PF).

A operação investiga uma organização criminosa envolvida em um esquema de fraudes em compras públicas e na contratação de serviços, como obras de reforma, na Secretaria Estadual de Educação (Seeduc).

As investigações da PF apontam um suposto direcionamento de contratos em escolas estaduais para empresas ligadas ao grupo investigado.

Os suspeitos podem responder por organização criminosa, peculato, fraude à licitação e lavagem de dinheiro.

Ao todo, a Polícia Federal cumpre sete mandados de prisão e 23 de busca e apreensão na capital e em cidades do interior do Rio de Janeiro, como Campos dos Goytacazes, Miracema e Bom Jesus do Itabapoana. As ordens foram expedidas pelo Supremo Tribunal Federal.

A operação faz parte da Força-Tarefa Missão Redentor II, criada para reforçar a atuação da Polícia Federal no combate a grupos criminosos no estado, com foco em cortar o financiamento dessas organizações e suas ligações com agentes públicos.",2026-05-05 08:47:48-03:00,https://jovempan.com.br/noticias/politica/deputado-estadual-thiago-rangel-e-preso-em-operacao-da-pf-que-mira-esquema-na-educacao-do-rj.html,jovempan
"Genial/Quaest: veja as intenções de voto de Lula, Flávio e outros presidenciáveis em 10 estados",Levantamento divulgado nesta quarta-feira (6) aponta presidente Lula (PT) com liderança nos estados do Nordeste,"Levantamento divulgado nesta quarta-feira (6) aponta presidente Lula (PT) com liderança nos estados do Nordeste

BRUNO PERES / AGÊNCIA BRASIL E TON MOLINA / ESTADÃO CONTEÚDO Presidente Lula (PT) e o senador Flávio Bolsonaro (PL)



A pesquisa Genial/Quaest divulgada nesta quarta-feira (6) apresentou as intenções de voto para presidente da República em dez estados brasileiros, que concentram cerca de 75% de todo o eleitorado nacional.

Os dados revelam que o presidente Lula (PT) mantém liderança nos estados do Nordeste. Por outro lado, o senador Flávio Bolsonaro (PL) lidera ou empata tecnicamente com o petista nos estados do Sul, Sudeste e Centro-Oeste.

A pesquisa também mediu a força de governadores em seus redutos eleitorais, como Romeu Zema (Novo) em Minas Gerais e Ronaldo Caiado (PSD) em Goiás.

Confira abaixo o cenário estimulado de 1º turno estado por estado:

Pernambuco

Em seu estado natal, o presidente Lula lidera com tranquilidade. O petista atinge 53% das intenções de voto, abrindo larga vantagem sobre Flávio Bolsonaro, que marca 19%. Ronaldo Caiado, Zema e Renan Santos (Missão) têm 1% cada.

Ceará

O cenário cearense é bastante favorável ao atual governo. Lula lidera com a metade das intenções de voto, registrando 50%. Flávio Bolsonaro aparece em segundo lugar com 23%. Zema tem 2%, enquanto Caiado e Renan Santos têm 1% cada.

Bahia

Maior colégio eleitoral do Nordeste, a Bahia consolida a força do PT na região. Lula marca 49% contra 19% de Flávio Bolsonaro. Ronaldo Caiado tem 2%, Zema 1% e Renan Santos 1%.

Pará

No Norte do país, o cenário é de empate técnico. Lula tem 35% das intenções de voto, enquanto Flávio Bolsonaro tem 32%. Caiado e Renan Santos aparecem com 2%, enquanto Zema tem 1%.

Minas Gerais

O segundo maior colégio eleitoral do país apresenta a maior força do ex-governador Romeu Zema. Lula lidera com 33%, seguido por Flávio Bolsonaro com 27% e Zema com 11%. Caiado possui 2% e Renan Santos, 1%.

São Paulo

No maior estado do Brasil, a vantag",2026-05-06 11:47:19-03:00,https://jovempan.com.br/noticias/politica/genial-quaest-veja-as-intencoes-de-voto-de-lula-flavio-e-outros-presidenciaveis-em-10-estados.html,jovempan
"Conselho de Ética suspende Pollon, van Hattem e Zé Trovão por motim na Câmara",Decisão precisa ser confirmada pelo plenário da Casa por 257 votos,"Decisão precisa ser confirmada pelo plenário da Casa por 257 votos

Bruno Spada/Câmara dos Deputados

O Conselho de Ética da Câmara dos Deputados suspendeu por 60 dias os mandatos dos deputados Marcos Pollon (PL-MS), Marcel van Hattem (Novo-RS) e Zé Trovão (PL-SC), por quebra de decoro.

A suspensão foi motivada pelo motim realizado pelos parlamentares no plenário da Casa em favor da anistia aos golpistas condenados no contexto do 8 de janeiro de 2023.

O resultado da votação do Conselho de Ética ainda precisa ser confirmado, em plenário, por pelo menos 257 votos. Os deputados alvos das representações ainda podem recorrer da decisão à Comissão de Constituição e Justiça (CCJ).

Relembre o caso

Em agosto de 2025, deputados e senadores da oposição pernoitaram nos plenários do Congresso Nacional, impedindo a realização das sessões, em protesto contra a prisão do ex-presidente Jair Bolsonaro, e exigindo a votação do projeto de lei da anistia aos golpistas.

Em resposta, o presidente da Câmara, deputado Hugo Motta (Republicanos-PB), pediu o afastamento de 14 deputados envolvidos no motim.

Já o corregedor da Câmara, deputado Diego Coronel (PSD-BA), sugeriu ao Conselho de Ética a suspensão dos mandatos dos três parlamentares que tiveram os processos analisados.

Votação

Após nove horas de debates, o Conselho de Ética aprovou, nesta terça-feira (5), os pareceres apresentados contra os deputados alvos das representações.

No caso do deputado Pollon, foram 13 votos contra quatro. Já Van Hattem e Zé Trovão tiveram a suspensão aprovada por 15 votos contra quatro.

O deputado Zé Trovão classificou a decisão como perseguição, dizendo que tomaria novamente a Mesa:

“E digo mais, se for preciso tomar a Mesa novamente, em algum momento da história, para defender quem me elegeu, assim eu o farei.”

Já o deputado Marcos Pollon destacou que nunca teria quebrado o decoro durante seu mandato.

“Sempre mantive um debate de alto nível. Só que a humanidade grita mais alto para quem tem sa",2026-05-06 13:47:19-03:00,https://jovempan.com.br/noticias/politica/conselho-de-etica-suspende-pollon-van-hattem-e-ze-trovao-por-motim-na-camara.html,jovempan
Michelle volta a criticar Ciro e mostra vídeo em que ele chama Bolsonaro de ‘jumento’,"Atualmente, Ciro Gomes ensaia uma aproximação com o Partido Liberal (PL), sigla de Bolsonaro","Atualmente, Ciro Gomes ensaia uma aproximação com o Partido Liberal (PL), sigla de Bolsonaro

Reprodução Michelle Bolsonaro em coletiva



A ex-primeira-dama Michelle Bolsonaro voltou a criticar o ex-governador do Ceará Ciro Gomes (PSDB) na noite desta segunda-feira, 4. Em seu perfil no Instagram, ela repostou um vídeo de uma entrevista de 2019 em que Ciro chama seu marido, Jair Bolsonaro (PL) de “quase doente” e “burro”, com capacidade intelectual “curta”. Ainda segundo Ciro, Bolsonaro seria um “jumento” e teria “horror aos letrados”.

“Para a gente entender o Bolsonaro, temos que entender a psicologia de um homem quase doente” diz Ciro, em entrevista ao canal do YouTube MyNews, em 2019. “Por que o Bolsonaro tem esse ódio anti-intelectual? É porque ele é curto, a capacidade de raciocínio dele é abstrata. Ele é quase um burro, quase um jumento. Um cara imbecil mesmo” completa.

Atualmente, Ciro Gomes ensaia uma aproximação com o Partido Liberal (PL), sigla de Bolsonaro. A movimentação é alvo de críticas de Michelle desde dezembro do ano passado, quando a ex-primeira-dama atacou publicamente o acordo da direita com o cearense, pré-candidato ao governo do estado e líder nas pesquisas.

A fala de Michelle irritou os três filhos de Jair Bolsonaro e iniciou o racha da família. Carlos, Flávio e Eduardo defenderam Ciro e afirmaram que o acordo com o cearense foi feito com o conhecimento do pai.

Na época a ex-primeira-dama publicou uma nota dizendo respeitar a opinião dos enteados, mas destacou que pensa diferente e tem o direito de expressar seus pensamentos “com liberdade e sinceridade”. “Peço aos meus enteados que me entendam e me perdoem. Não foi minha intenção contrariá-los”, afirmou.

Nesta segunda, ao recuperar o vídeo da entrevista de Ciro, Michelle escreveu na legenda da publicação: “E ainda há pessoas da ‘direita’ apoiando esse indivíduo”.

Ex-ministro da Integração Nacional do primeiro mandato de Lula, Ciro Gomes se tornou crítico do presidente e do Partido dos ",2026-05-06 08:45:22-03:00,https://jovempan.com.br/noticias/politica/michelle-volta-a-criticar-ciro-e-mostra-video-em-que-ele-chama-bolsonaro-de-jumento.html,jovempan
"Lula está definindo nova indicação ao STF, diz Alckmin após rejeição de Messias","Segundo o vice-presidente, a decisão do Senado de rejeitar o AGU deve prejudicar os trabalhos da Corte, que ficará com um ministro a menos até a…","""Primeiro, quero lamentar a não eleição do Jorge Messias, porque é uma pessoa preparada, jurista, com experiência, com espírito público, uma vida dedicada ao serviço público. Mas, enfim, isso compete ao Congresso Nacional"", declarou o vice-presidente em coletiva de imprensa em São Paulo. ""É ruim porque vai ficar com um ministro a menos, num Supremo já sobrecarregado de processos"", afirmou Alckmin.

O vice-presidente Geraldo Alckmin (PSB) afirmou nesta segunda-feira (4) que o presidente Luiz Inácio Lula da Silva (PT) está definindo sua nova indicação para o cargo de ministro do Supremo Tribunal Federal (STF) após o Senado não aprovar o nome do advogado-geral da União, Jorge Messias.

“Eu acho que o presidente Lula está definindo sua nova indicação”, disse Alckmin. Ele também lamentou a rejeição de Messias, mas informou que Lula está voltado ao diálogo com o Congresso enquanto decide quem será o próximo nome.

Segundo Alckmin, a decisão do Senado de rejeitar Messias irá prejudicar os trabalhos da Corte, que ficará com um ministro a menos até que seja aprovada uma nova indicação para ocupar a vaga aberta com a aposentadoria de Luís Roberto Barroso.

“Primeiro, quero lamentar a não eleição do Jorge Messias, porque é uma pessoa preparada, jurista, com experiência, com espírito público, uma vida dedicada ao serviço público. Mas, enfim, isso compete ao Congresso Nacional”, declarou o vice-presidente em coletiva de imprensa em São Paulo. “É ruim porque vai ficar com um ministro a menos, num Supremo já sobrecarregado de processos”, afirmou Alckmin.

Na última quarta-feira, Messias teve seu nome avaliado pelo Senado Federal e foi rejeitado por 42 votos contrários e 34 favoráveis. Eram necessários ao menos 41 votos, dos 81 senadores, para a aprovação. Com a rejeição, a indicação foi arquivada.

Messias foi o primeiro nome rejeitado pelo Senado para a Corte em 132 anos. A formalização da indicação ocorreu em abril deste ano, mais de quatro meses após Lula ter anunciado a escolh",2026-05-05 07:51:51-03:00,https://jovempan.com.br/noticias/politica/lula-esta-definindo-nova-indicacao-ao-stf-diz-alckmin-apos-rejeicao-de-messias.html,jovempan
Relator da escala 6×1 prevê apresentar parecer em 20 de maio e votar no dia 26,"O plano de trabalho marca para a quarta-feira (6), às 14 horas, a primeira audiência pública da comissão, com a presença do ministro do Trabalho e…","O plano de trabalho marca para a quarta-feira (6), às 14 horas, a primeira audiência pública da comissão, com a presença do ministro do Trabalho e Emprego, Luiz Marinho, com o tema ‘Uso do tempo do trabalho’

Zeca Ribeiro / Câmara dos Deputados Em 7 de maio, está agendado um seminário em João Pessoa (PB)



A comissão especial da Câmara dos Deputados sobre o fim da escala 6×1 apresentou, nesta terça-feira (5), o plano de trabalhos do relator do colegiado, deputado Leo Prates (Republicanos-BA), com previsão de divulgação do parecer em 20 de maio e votação na comissão em 26 de maio.

O plano de trabalho agenda para a quarta-feira (6), às 14 horas, a primeira audiência pública da comissão, com a presença do ministro do Trabalho e Emprego, Luiz Marinho, com o tema “Uso do tempo do trabalho”.

Em 7 de maio, está agendado um seminário em João Pessoa (PB). No dia 12 de maio, às 14 horas, está prevista a segunda audiência com o ministro da Fazenda, Dario Durigan, sobre os impactos econômicos da proposta. Em 13 de maio, haverá a terceira audiência, sobre “aspectos sociais”.

No dia 14 de maio, a comissão realizará um seminário em Belo Horizonte (MG). Em 18 de maio, às 14h, haverá a quarta audiência do colegiado, sobre a perspectiva dos empregadores, com representantes de entidades dos empresários. Em 19 de maio, às 14 horas, será a vez das centrais sindicais participarem da quinta audiência, sobre a perspectiva dos trabalhadores.

Um dia após a apresentação do relatório, a comissão realizará, em 21 de maio, um seminário em São Paulo.",2026-05-05 16:52:09-03:00,https://jovempan.com.br/noticias/politica/relator-da-escala-6x1-preve-apresentar-parecer-em-20-de-maio-e-votar-no-dia-26.html,jovempan
Derrite afasta desistência e planeja lançamento ao Senado ao lado de Tarcísio e Flávio,Ala da direita acredita que ex-SSP disputará Câmara para não 'dividir' votos no grupo político,"Ala da direita acredita que ex-SSP disputará Câmara para não ‘dividir’ votos no grupo político

© Lula Marques/Agência Brasil O ex-secretário de Segurança Publica e deputado federal Guilherme Derrite (PP) planeja lançar a pré-candidatura ao Senado Federal na semana que vem.



O ex-secretário de Segurança Publica e deputado federal Guilherme Derrite (PP) planeja lançar a pré-candidatura ao Senado Federal na semana que vem.

Os eventos, em Campinas e Sorocaba, devem acontecer nos dias 15 e 16 de maio, respectivamente, com a presença do pré-candidato à Presidência, Flávio Bolsonaro (PL), e do governador de São Paulo, Tarcísio de Freitas (Republicanos).

A oficialização seria uma resposta a alas da direita que vêm falando em desistência por parte de Derrite. Com pelo menos três nomes no páreo – o de André do Prado (PL), que será oficializado essa semana, e o do deputado federal Ricardo Salles (NOVO), que corre por fora -, há quem diga que o ex-secretário pode abandonar os planos e concorrer novamente à Câmara como “puxador de votos”. À coluna, Guilherme Derrite rechaçou a ideia: “Não vou desistir. É oficial”, comentou.

Segundo interlocutores do PP, Derrite segue aparecendo como primeiro colocado da direita nas pesquisas de intenção de voto ao Senado. O problema está justamente na quantidade de candidatos: uma ala do partido defende que o número seja reduzido a dois concorrentes, para que o os votos não sejam divididos.

Nesse cenário, alguém teria que deixar a corrida eleitoral – o que quase aconteceu em uma negociação com Ricardo Salles. Existe uma expectativa de que Tarcísio intervenha e negocie para firmar os candidatos de seu interesse, como já fez com do Prado. Ele poderia negociar cargos, por exemplo, em eventual reeleição, em troca da desistência de candidaturas.

Membros da direita ouvidos pela reportagem não descartam a possibilidade de saída de Derrite. Há um entendimento de que Salles vem crescendo nas pesquisas na esteira do pré-candidato à Presidência pel",2026-05-05 08:00:46-03:00,https://jovempan.com.br/noticias/politica/derrite-afasta-desistencia-e-planeja-lancamento-ao-senado-ao-lado-de-tarcisio-e-flavio.html,jovempan
Moraes rejeita pedido de Débora do Batom para revisão de pena,"Na decisão, o ministro argumentou que PL da Dosimetria ainda não foi promulgado pela Presidência da República ou pelo Congresso","Na decisão, o ministro argumentou que PL da Dosimetria ainda não foi promulgado pela Presidência da República ou pelo Congresso

Foto: Jodeson Alves/Agência Brasil Ela foi condenada a 14 anos de prisão por participar dos atos e pichar a frase ""Perdeu, mané"" na estátua.



O ministro Alexandre de Moraes, do Supremo Tribunal Federal (STF), negou nesta segunda-feira (4) pedido para que a cabeleireira Débora Rodrigues dos Santos, conhecida como Débora do Batom, seja beneficiada imediatamente pelo projeto de lei (PL) da Dosimetria.

Na semana passada, o Congresso derrubou o veto do presidente Luiz Inácio Lula da Silva ao projeto, que beneficia condenados pelos atos golpistas de 8 de janeiro de 2023.

Na sexta-feira (1°), um dia após a votação, a defesa de Débora pediu ao Supremo a redução de pena, antes mesmo da promulgação do PL.

Pela Constituição, o projeto tem que ser encaminhado para promulgação pelo presidente da República em até 48 horas. Caso isso não ocorra, a tarefa caberá ao presidente do Senado, Davi Alcolumbre (União Brasil-AP).

Crime

Ela foi condenada a 14 anos de prisão por participar dos atos e pichar a frase “Perdeu, mané” na estátua. A Justiça, localizada em frente ao edifício-sede do Supremo, com um batom.

Atualmente, ela cumpre pena em regime domiciliar por ter filhos menores de idade.

Segundo os advogados, Débora já cumpriu três anos de prisão e pode progredir para o semiaberto.

Decisão

Na decisão, Moraes julgou prejudicado o pedido da defesa porque o PL da Dosimetria ainda não foi promulgado pela Presidência da República ou pelo Congresso.

“O Congresso Nacional, em sessão realizada em 30/4/2026, derrubou o veto da Presidência da República (VET 3/2026), ressalvados dispositivos prejudicados, ao chamado PL da Dosimetria (PL 2.162/2023), não tendo ocorrido, até o momento, nem a promulgação, tampouco a publicação do diploma normativo, que, portanto, não está em vigor”, justificou o ministro.

Desde março do ano passado, Débora cumpre prisão domic",2026-05-05 07:20:35-03:00,https://jovempan.com.br/noticias/politica/moraes-rejeita-pedido-de-debora-do-batom-para-revisao-de-pena.html,jovempan
MP Eleitoral aponta contradição em julgamento que condenou Castro,"Segundo o documento, o que foi publicado é que a maioria dos ministros votou pela cassação do diploma do ex-governador, e não do mandato, ao contrário…","Segundo o documento, o que foi publicado é que a maioria dos ministros votou pela cassação do diploma do ex-governador, e não do mandato, ao contrário do que foi apresentado na ementa

RODOLFO BUHRER/FOTOARENA/FOTOARENA/ESTADÃO CONTEÚDO Logo, formou-se maioria pela cassação do diploma, pelo crime ter ocorrido antes das eleições



O Ministério Público Eleitoral apresentou na segunda-feira (4) recursos ao Tribunal Superior Eleitoral (TSE), pedindo a revisão da ementa do julgamento que condenou o ex-governador do Rio de Janeiro, Cláudio Castro (PL), por abuso de poder político e econômico nas eleições de 2022.

Segundo o MP Eleitoral, o que foi publicado é que a maioria dos ministros votou pela cassação do diploma do ex-governador (anula o registro eleitoral), ao contrário do que foi apresentado na ementa, que cita mandato, não diploma.

O vice-procurador-geral Eleitoral, Alexandre Espinosa, pede que a cassação do diploma fique clara no documento. A votação dos sete ministros ocorreu da seguinte forma:

Isabel Galloti, Estela Aranha e Floriano de Azevedo Marques votaram pela cassação dos diplomas da chapa vencedora da eleição;

Cérmen Lúcia e Antonio Carlos Ferreira votaram apenas pela perda de mandato, sem a cassação do diploma;

Kássio Nunes Marques e André Mendonça votaram contra a cassação.

Logo, formou-se maioria pela cassação do diploma, pelo crime ter ocorrido antes das eleições, ficando prejudicada a perda dos mandatos. Além disso, Castro e o ex-governador, Thiago Pampolha, já haviam renunciado aos cargos quando a condenação saiu.

A cassação do mandato seria apenas uma consequência da cassação do diploma, que pode ser aplicada nas Ações de Investigação Judicial (Aije), conforme apresentou o processo do MP Eleitoral contra Castro.

Então, segundo o MP, a renúncia de Castro não afasta a aplicação da sanção na Justiça Eleitoral. Ainda segundo o recurso, o movimento de aceitar a renúncia para impedir a cassação do diploma seria “premiar a estratégia processual d",2026-05-05 12:29:47-03:00,https://jovempan.com.br/noticias/politica/mp-eleitoral-aponta-contradicao-em-julgamento-que-condenou-castro.html,jovempan
"Na véspera de encontro entre Lula e Trump, Câmara pode votar PL dos minerais críticos",O governo tenta reforçar o controle federal sobre os recursos; o texto estabelece uma estratégia para a gestão dos bens minerais,"O governo tenta reforçar o controle federal sobre os recursos; o texto estabelece uma estratégia para a gestão dos bens minerais

Kayo Magalhães / Câmara dos Deputados A proposta busca garantir que a exploração e o beneficiamento ocorram no Brasil, reduzindo a exportação de minério bruto e incentivando o desenvolvimento tecnológico no país.



A Câmara dos Deputados pode votar nesta quarta-feira (6) o projeto de lei que cria a Política Nacional de Minerais Críticos e Estratégicos no país para exploração de minerais críticos e estratégicos no país, entre eles as terras raras.

O relator, deputado Arnaldo Jardim (Cidadania-SP), apresentou, na segunda-feira (4), os principais pontos do texto que estabelece uma estratégia para a gestão desses bens minerais.

A proposta busca garantir que a exploração e o beneficiamento ocorram no Brasil, reduzindo a exportação de minério bruto e incentivando o desenvolvimento tecnológico no país.

Com cerca de 21 milhões de toneladas, a reserva brasileira de terras raras é a segunda maior já mapeada no mundo, ficando atrás apenas da China, que detém aproximadamente 44 milhões de toneladas. Porém, só cerca de 25% do território nacional foi mapeado, o que indica um enorme potencial ainda desconhecido.

O que prevê o projeto

O Projeto de Lei 2780/24, do deputado Zé Silva (Solidariedade-MG), institui uma política para fomentar a pesquisa, lavra e transformação de minerais críticos e estratégicos de maneira sustentável.

A medida visa fortalecer a participação brasileira no mercado de minerais relacionados à transição energética, como o lítio (usado em baterias), e à produção de fertilizantes, como o potássio. O texto ainda prevê incentivos fiscais e criação de políticas específicas para cada mineral.

A proposta traz limitações à exportação de minerais brutos sem processamento e cria um sistema de incentivos fiscais progressivos. Ou seja, quanto mais a empresa avança nas etapas de beneficiamento dentro do Brasil, maiores os benefícios que ",2026-05-06 09:29:47-03:00,https://jovempan.com.br/noticias/politica/camara-pode-votar-pl-dos-minerais-criticos-nesta-quarta-feira-entenda-a-proposta.html,jovempan
