titulo,subtitulo,texto,data,url,portal
Michelle critica apoio do PL a Ciro Gomes sem citá-lo: “Aliança com o mal”,Ex-primeira-dama reforçou apoio ao senador Eduardo Girão (Novo) ao Governo do Ceará. Atrito entre tucano e Michelle é um caso antigo,"A ex-primeira-dama Michelle Bolsonaro (PL) afirmou que o PL não pode se aliar ao “mal” ao reafirmar apoio à pré-candidatura do senador Eduardo Girão (Novo) ao Governo do Ceará. A declaração foi interpretada como uma indireta à aproximação entre a legenda e Ciro Gomes (PSDB) no estado.

A fala ocorreu nessa terça-feira (19/5), durante o lançamento da pré-candidatura de deputada distrital de Maria Amélia (PL), em Brasília (DF).

“Eu estou com o senhor [Eduardo Girão]. E, se tiver que perder, vamos perder com dignidade, mas a gente não vai fazer aliança com o mal. Aqui não é projeto de poder, aqui é transformação e libertação para o nosso povo”, declarou Michelle em discurso ao lado do senador.

Dias antes, coincidentemente, foi anunciado o lançamento da pré-candidatura de Ciro ao Executivo do Ceará e do anúncio de apoio feito pelo deputado federal André Fernandes (PL).

Portanto, a fala apenas fortalece a oposição da ex-primeira-dama à negociação promovida por membros do PL do Ceará visando um acordo com Ciro. O apoio conta com o respaldo de apoiadores do ex-presidente Jair Bolsonaro (PL) e de seus filhos.

6 imagens Fechar modal. 1 de 6 Michelle Bolsonaro VINÍCIUS SCHMIDT/METRÓPOLES @vinicius.foto 2 de 6 Ciro Gomes Metrópoles / Vinícius Santa Rosa 3 de 6 Reprodução 4 de 6 Ciro Gomes diz que Michlle ""humilhou André Fernandes por aproximação no Ceará Agência Brasil 5 de 6 Michelle Bolsonaro fala com a imprensa VINÍCIUS SCHMIDT/METRÓPOLES @vinicius.foto 6 de 6 ´Pré candidato ao Governo do Ceará, Ciro Gomes Hugo Barreto/Metrópoles

Nas redes sociais, Fernandes afirmou que “toda ajuda é bem-vinda” para derrotar a gestão do PT no estado e disse que pessoas de fora do Ceará podem “não entender” a aliança.

A aproximação entre PL e Ciro já havia gerado desconforto dentro do bolsonarismo. Meses antes, Michelle chegou a criticar publicamente as articulações conduzidas por André Fernandes e sinalizou resistência ao entendimento com o ex-ministro.

Críticas a Ciro

Ainda nessa t",,https://www.metropoles.com/brasil/michelle-critica-apoio-do-pl-a-ciro-gomes-sem-cita-lo-alianca-com-o-mal,metropoles
Dino vota para punir partidos que fraudaram cota racial eleitoral,Texto também prevê a regularização de débitos dos partidos que descumpriram as cotas em eleições anteriores,"O ministro Flávio Dino, do Supremo Tribunal Federal (STF), abriu, nesta quinta-feira (21/5), divergência no julgamento sobre as duas ações de inconstitucionalidade que questionam a validade da Emenda Constitucional 133/2024. A alteração do texto constitucional fixou em 30% a obrigatoriedade de recursos eleitorais para candidaturas de pessoas pretas e pardas.

O texto também prevê a regularização de débitos dos partidos que descumpriram as cotas em eleições anteriores. Para Dino, a regra funciona como uma anistia ampla que perdoa as legendas que não repassaram os fundos exigidos no passado.

O relator do caso é o ministro Cristiano Zanin, que se manifestou pela validade da Emenda e pela improcedência das ações.

“A anistia estabelecida pela Emenda, ao neutralizar políticas afirmativas, legitimar o descumprimento pretérito, contrariar obrigações internacionais assumidas pelo Brasil e comprometer o projeto constitucional de construção de uma sociedade livre, justa, plural e sem racismo, não se harmoniza com a Constituição de 1988. Por essas razões, impõe-se reconhecer sua inconstitucionalidade material”, votou Dino.

Dino argumenta que a medida desresponsabiliza atitudes ilícitas, neutraliza a efetividade das ações afirmativas e fomenta uma impunidade institucionalizada.

O ministro Dias Toffoli acompanhou o entendimento de Zanin. O caso está sendo analisado no Plenário Virtual (PV) e se encerra nesta sexta-feira (22/5).

Para Zanin, o mecanismo criado pelo Congresso não é uma anistia, mas sim um “refinanciamento” e um regime de transição. O relator destaca que o texto obriga os partidos a aplicarem os valores atrasados nas quatro eleições seguintes, a partir de 2026, o que garante os recursos para as candidaturas sem comprometer a saúde financeira das siglas.",,https://www.metropoles.com/brasil/dino-vota-para-punir-partidos-que-fraudaram-cota-racial-eleitoral,metropoles
Ministro da Fazenda anuncia aumento no bloqueio do Orçamento da União,"Dario Durigan confirma contenção adicional de gastos, conforme esperado pelo mercado. Valor do bloqueio será divulgado nesta sexta (22/5)","O ministro da Fazenda, Dario Durigan, confirmou nesta quinta-feira (21/5) que o governo federal fará um novo bloqueio no Orçamento de 2026. A sinalização foi dada um dia antes da divulgação do Relatório Bimestral de Avaliação de Receitas e Despesas Primárias do 2° bimestre, principal instrumento de monitoramento das contas públicas.

Sem antecipar valores ou a dimensão do corte, Durigan afirmou que o ajuste será necessário para manter o compromisso do governo com o equilíbrio fiscal e o cumprimento das regras do arcabouço.

“A gente deve caminhar amanhã com um aumento no bloqueio. Já foi feito um bloqueio de R$ 1,6 bilhão, no primeiro bimestre. A gente vai caminhar para um aumento de bloqueio, portanto o governo cortando na própria carne no aumento de bloqueio para compatibilizar com as nossas metas fiscais”, disse Durigan em entrevista à CNN Brasil.

Avanço nas despesas obrigatórias

A expectativa dentro da equipe econômica já era de contenção adicional de gastos. Técnicos envolvidos na elaboração do relatório vinham apontando que o espaço fiscal está cada vez mais restrito, sobretudo diante do avanço das despesas obrigatórias.

Entre os principais focos de pressão, estão os gastos com a Previdência Social. Estimativas de mercado indicam que essas despesas podem ter sido subestimadas em cerca de R$ 11 bilhões ao longo do ano, o que tende a exigir um bloqueio mais robusto para compensação.

O bloqueio ocorre quando há aumento de despesas acima do permitido pelas regras fiscais e exige a limitação de gastos discricionários, aqueles sobre os quais o governo tem maior controle, como investimentos e custeio da máquina pública e impacta diretamente os ministérios.

Já o contingenciamento, por sua vez, é acionado quando há frustração de receitas e risco de descumprimento da meta de resultado primário.

Na última revisão bimestral, o governo já havia determinado um bloqueio inicial de R$ 1,6 bilhão, em linha com a necessidade de adequação ao limite de crescimento das despe",,https://www.metropoles.com/brasil/ministro-da-fazenda-anuncia-aumento-no-bloqueio-do-orcamento-da-uniao,metropoles
Itamaraty convoca diplomata de Israel após vídeo com ativistas presos,"Atual chefe da embaixada de Israel no Brasil, Rasha Athamni, se reuniu no Itamaraty com diplomatas do departamento de Ásia e Oriente Médio","O Ministério das Relações Exteriores (MRE) convocou, nesta quinta-feira (21/5), a atual chefe da embaixada de Israel no Brasil, Rasha Athamni, para prestar esclarecimentos sobre um polêmico vídeo divulgado pelo ministro da Segurança Nacional israelense, Itamar Ben Gvir.

Nas imagens, integrantes da Flotilha Global Sumud, que tentou novamente entrar com ajuda humanitária na Faixa de Gaza, aparecem recebendo tratamento humilhante após serem detidos.

ככה אנחנו מקבלים את תומכי הטרור Welcome to Israel 🇮🇱 pic.twitter.com/7Hf8cAg7fC — איתמר בן גביר (@itamarbengvir) May 20, 2026

A representante israelense foi recebida no Itamaraty por diplomatas do departamento de Ásia e Oriente Médio.

Antes da convocação de Rasha Athanmi, o Itamaraty já havia se manifestado sobre o caso. Em nota, a diplomacia brasileira classificou como “degradante e humilhante” o tratamento dado aos ativistas por autoridades de Israel.

Além disso, o Ministério das Relações Exteriores repudiou a interceptação em águas internacionais e a detenção dos membros da missão.

Rasha Athamni é encarregada de negócios e comanda a embaixada israelense em Brasília desde outubro do último ano. Ela assumiu o posto após a diplomacia brasileira não responder a solicitação de Tel Aviv sobre a indicação do embaixador Gali Dagan, em meio à crise diplomática entre Brasil e Israel.

Em abril, a diplomata israelense já havia sido convocada pelo Itamaraty para prestar esclarecimentos sobre a prisão do ativista brasileiro Thiago Ávila. Ele ficou preso em Israel por mais de dez dias, após autoridades israelenses interceptarem a missão humanitária da qual participava.

Quatro brasileiros entre os detidos

No Telegram, o ministro Ben Gvir, considerado um dos membros mais radicais do governo israelense, publicou o registro em que ativistas aparecem com as mãos amarradas nas costas e ajoelhados, enquanto o hino de Israel toca ao fundo.

Ao todo, a nova missão humanitária rumo ao território palestino contava com 439 membros, de apr",,https://www.metropoles.com/brasil/itamaraty-convoca-diplomata-de-israel-apos-video-com-ativistas-presos,metropoles
Durigan sobre GDF e BRB: “Não estou fechado ao diálogo”,"De acordo com Durigan, há disposição para diálogo com o GDF sobre a situação do BRB, mas que o governo federal não foi procurado antes","O ministro da Fazenda, Dario Durigan, afirmou nesta quinta-feira (21/5) que está disposto a abrir diálogo com o Governo do Distrito Federal (GDF) sobre a situação do Banco de Brasília (BRB), envolvido na compra de créditos podres do Banco Master.

“Eu estou conversando com o Banco Central (BC), disposto a conversar com o GDF, disposto a achar um melhor caminho, privilegiando o interesse público”, disse em entrevista para a CNN Brasil.

Durigan explicou que o governo não chegou a ser procurado pelo GDF até a posse da nova governadora, Celina Leão (Progressistas).

“Não houve, até a nova governadora assumir o cargo, nenhum tipo de pedido de conversa ou reunião do governo com o ministério da Fazenda, então se houve gelo de dois anos, três anos, houve gelo do DF com a União”, explicou.

O ministro disse ainda que chegou a ligar para a governadora para tratar sobre a adesão do DF ao projeto do governo de redução do Imposto sobre Circulação de Mercadorias e Serviços (ICMS) sobre os combustíveis, quando Celina aproveitou para pedir uma reunião sobre o BRB, algo que ainda não havia acontecido até o momento.

Acontece que atualmente o GDF não possui Capacidade de Pagamento (Capag) para contratar empréstimos com aval do Tesouro Nacional, o que está travando a negociação com outros bancos. No entanto, Durigan afirmou que não está fechado ao diálogo e que tem buscado uma solução que seja benéfica ao país.

O secretário do Tesouro Nacional, Daniel Leal, já havia sinalizado que a falta de Capag do GDF poderia impactar na aprovação da garantia para um empréstimo para o BRB. “Hoje, só é possível contratar crédito com garantia da União com Capag A e B”, disse. De acordo com ele, para que o empréstimo fosse viabilizado, seria necessário uma mudança normativa.

Ele disse também que o GDF havia enviado o pedido para análise, mas houve a necessidade de solicitar novos documentos.

“Não veio nenhum tipo de informação que possibilita que a gente faça a análise, mas, se der entrada da form",,https://www.metropoles.com/brasil/durigan-sobre-gdf-e-brb-nao-estou-fechado-ao-dialogo,metropoles
Datafolha: 38% avaliam gestão Lula como ruim ou péssima,"No levantamento anterior, da semana passada, a gestão de Lula era avaliada negativamente por 39% e positivamente por 30%","Pesquisa do Instituto Datafolha divulgada neste sábado (23/5) mostra que o governo do presidente Luiz Inácio Lula da Silva (PT) é avaliado como ruim ou péssimo por 38% do eleitorado, enquanto 32% consideram a gestão ótima ou boa. Outros 28% classificam o governo petista como regular e 1% não soube responder.

Na comparação com o levantamento anterior, divulgado no último sábado (16/5), a avaliação negativa recuou um ponto percentual, enquanto a positiva avançou dois. As variações, porém, estão dentro da margem de erro de dois pontos percentuais.

A distância entre as avaliações negativa e positiva vem diminuindo de forma gradual. Em abril, a diferença era de 11 pontos percentuais (40% a 29%). Na pesquisa da semana passada, caiu para 9 pontos (39% a 30%) e, neste sábado, chegou a 6 pontos (38% a 32%).

Veja os números:

Ruim/péssimo: 38%

Ótimo/bom: 32%

Regular: 28%

Não sabem: 1%

O Datafolha também questionou se os entrevistados aprovam ou reprovam a condução do governo Lula.

Desta vez, os índices se igualaram em 48%. No levantamento anterior, 45% aprovavam a gestão, enquanto 51% a desaprovavam — o mesmo índice foi registrado na rodada da pesquisa de abril.

A pesquisa foi realizada pelo Instituto Datafolha de 20 a 21 de maio de 2026. Foram entrevistadas 2.004 pessoas com 16 anos ou mais no Brasil. O intervalo de confiança é de 95%. A margem de erro é de dois pontos percentuais, para mais ou para menos. O levantamento está registrado no Tribunal Superior Eleitoral (TSE) sob o código BR-07489/2026.

Cenário eleitoral

Na sexta-feira (22/5), outra rodada da pesquisa foi divulgada sobre as disputas eleitorais deste ano.

O levantamento mostrou que o presidente Lula abriu quatro pontos de vantagem contra o senador Flávio Bolsonaro (PL-RJ) em um eventual segundo turno: o petista soma 47% das intenções de voto, enquanto o filho do ex-presidente Jair Bolsonaro (PL) tem 43%.

No levantamento anterior, realizado entre 12 e 14 de maio, o petista e o senador apareciam empat",,https://www.metropoles.com/brasil/datafolha-38-avaliam-gestao-lula-como-ruim-ou-pessima,metropoles
"“Se Alerj tivesse de indicar alguém, viria miliciano”, afirma Lula, em discurso no Rio","Durante discurso em agenda oficial no Rio de Janeiro, Lula pediu que o governador interino livre o estado da influência de milicianos","O presidente Luiz Inácio Lula da Silva (PT) participou, neste sábado (23/5), da inauguração das novas instalações do Centro de Desenvolvimento Tecnológico em Saúde (CDTS) da Fiocruz, no Rio de Janeiro. Ao lado do governador interino Ricardo Couto, Lula afirmou que, se a Assembleia Legislativa do Estado do Rio de Janeiro (Alerj) tivesse indicado o próximo ocupante do executivo local, o escolhido seria ligado à milícia.

Durante o discurso, o petista pediu que Couto tome providências contra a influência de milicianos no estado. “Se a Assembleia (Alerj) tivesse que indicar (um governador), ia vir um miliciano. Então deixe eu lhe falar uma coisa: aproveite. Essas coisas acontecem porque tem Deus. Aproveite esses 10 meses que você tem e faça o que muita gente não fez em dez anos: ajude a consertar esse estado. Não é possível que esse estado poderoso, bonito, seja governado por milicianos. O povo do Rio não merece isso”, disse Lula.

Durante discurso na Fiocruz, Lula pediu que Couto “prenda todos que governaram esse estado e os deputados que fazem parte de uma milícia organizada”. Ricardo Couto era presidente do Tribunal de Justiça do Rio de Janeiro e assumiu a cadeira no executivo após a renúncia do governador Cláudio Castro.

O grupo político de Cláudio Castro se articulou para realizar uma eleição indireta, que seria definida pelos deputados estaduais, mas a manobra foi impedida por decisões judiciais.

“Não é possível que o estado brasileiro e a cidade mais conhecidos no mundo continuem como locais onde as facções tomaram conta do território. Vamos juntos devolver o território das comunidades ao povo do Rio de Janeiro: é isso que o povo espera de vossa excelência”, disse Lula.

Elogios

Lula elogiou a atuação de Couto à frente do Executivo carioca, destacando que o magistrado tem todas as ferramentas para fazer um ótimo governo até as eleições gerais em outubro.

“Tivemos um juiz que foi governador e foi um fiasco. Então você precisa honrar o Judiciário e mostrar que ",,https://www.metropoles.com/brasil/lula-em-evento-com-ricardo-couto-se-alerj-tivesse-de-indicar-alguem-viria-miliciano,metropoles
11 matérias,,,,,
"Além da redução da jornada, veja outros pontos inclusos na PEC 6x1",Proposta entra na semana final na Câmara e será discutida por Motta e Lula antes de seguir para a comissão especial,"Além da redução da jornada de trabalho, o relator da Proposta de Emenda à Constituição (PEC) do fim da escala 6×1, Leo Prates (Republicanos-BA), também pretende apresentar dispositivos como o tempo máximo de transição, exceção para quem ganha mais de R$ 16 mil e distribuição das folgas por média mensal.

O deputado baiano deverá apresentar seu parecer final neste domingo (24/5) ao presidente da Câmara, Hugo Motta (Republicanos-PB), que por sua vez se reunirá com o presidente Luiz Inácio Lula da Silva (PT), na segunda-feira (25/5), para bater o martelo sobre quando as nova jornada de trabalho passará a valer.

A expectativa é que Prates leia o parecer na comissão especial na segunda-feira e dê um prazo de vista aos integrantes do colegiado. Após a aprovação, a proposta deve seguir para o plenário da Câmara em 28 de maio.

A transição ainda é o ponto de maior discussão sobre a PEC. Deputados defendem apresentar um prazo máximo para que os empregadores apliquem a diminuição de quatro horas da atual jornada. O entorno do relator defende que seja um prazo de até 3 anos, sendo uma hora já este ano, duas no ano que vem e uma hora em 2028.

Quais são os principais pontos da PEC do fim da 6×1

40 horas semanais

8 horas diárias

duas folgas semanais que podem ou não ser consecutivas

veto à redução salarial

fortalecimento às convenções coletivas

O governo, por outro lado, ainda se divide sobre a transição. Uma ala do governo, encabeçada pelo ministro do Trabalho, Luiz Marinho, mostra-se mais aberta à proposta de Prates, enquanto outra, encabeçada pelo ministro da Secretaria Geral da Presidência, Guilherme Boulos, defende uma transição imediata.

Em entrevista ao programa Sem Censura, da EBC, Lula defendeu uma redução imediata, mas admitiu que o governo não tem força para impôr a ideia ao Congresso e deverá negociar. Por outro lado, sinalizou para o embate direto com deputados que objetem a redução da jornada: “Vamos mostrar para o povo quem é quem nesse país”.

Essa mesma ",,https://www.metropoles.com/brasil/alem-da-reducao-da-jornada-veja-outros-pontos-incluidos-na-pec-6x1,metropoles
DPU pede anulação da ação contra Eduardo por parcialidade de Moraes,Ex-deputado é investigado por coação no curso processo da trama golpista ao buscar sanções contra o STF nos Estados Unidos,"A Defensoria Pública da União (DPU) pediu a nulidade do processo contra Eduardo Bolsonaro (PL-SP) por coação contra o Supremo Tribunal Federal (STF) por “falta de imparcialidade objetiva” do relator, Alexandre de Moraes.

O pedido integra as alegações finais da defesa, enviado no sábado (23/5), da ação penal que tramita na Corte contra o ex-deputado por ações dele nos Estados Unidos durante o julgamento contra o ex-presidente por tentativa de golpe de Estado em 2025.

A DPU, que passou a fazer a defesa de Eduardo pois ele não indicou um advogado, sustenta que as ações investigadas de Eduardo tinham “destinatário certo” e “nome e sobrenome” do ministro relator.

Moraes foi alvo da Lei Magnitsky e teve seu visto e o de familiares revogados. O mesmo se deu para outras autoridades. Além disso, o julgamento da trama golpista foi citado pelo presidente Donald Trump durante o anúncio do tarifaço contra o Brasil, o que Eduardo denominou de “taxa Moraes”.

“O julgador que tenha sido pessoalmente atingido pelos fatos que deve julgar carrega consigo, inevitavelmente, uma pré-compreensão que compromete a originalidade de sua cognição. Não se trata de acusação de má-fé, mas do reconhecimento de um dado da natureza humana que o direito, ao instituir o impedimento, precisou levar em conta”, diz a DPU.

A defesa de Eduardo ainda pede a nulidade da ação porque as declarações de Eduardo Bolsonaro estariam protegidas por imunidade parlamentar. Em março de 2025, Eduardo se auto-exilou nos Estados Unidos, país onde mora desde então. Na época, se licenciou do mandato, e o retomou no final de julho, pouco depois de Trump anunciar o tarifaço.

Por atingir o número máximo de faltas, Eduardo Bolsonaro foi cassado por ato da mesa diretora da Câmara dos Deputados no final de dezembro de 2025.

PGR pede condenação

Na última semana, a Procuradoria Geral da República (PGR) pediu a condenação de Eduardo Bolsonaro no processo. Como mostrado pela colunista Manoela Alcântara, do Metrópoles, Gonet co",,https://www.metropoles.com/brasil/dpu-pede-anulacao-da-acao-contra-eduardo-por-parcialidade-de-moraes,metropoles
