titulo,subtitulo,texto,data,url,portal
PF troca chefia de caso que envolve INSS e Lulinha; Mendonça e oposição cobram explicações,"Mudança foi tema de reunião com ministro do STF, que ficou incomodado por falta de aviso antecipado","Brasília

A Polícia Federal trocou a coordenação dos inquéritos da Operação Sem Desconto, que apura um esquema de fraudes envolvendo o INSS e motivou a quebra de sigilo de Fábio Luís Lula da Silva, o Lulinha, filho do presidente Lula (PT).

A mudança levou a oposição no Congresso Nacional a acionar a PGR (Procuradoria-Geral da República) e a protocolar um requerimento de convocação do diretor-geral da PF para dar explicações.

As investigações da Sem Desconto eram coordenadas pelo delegado que chefiava a Coordenação-Geral de Polícia Fazendária. Agora, os casos foram transferidos para a Cinq (Coordenação de Inquéritos nos Tribunais Superiores), que fica dentro da Coordenação-Geral de Repressão à Corrupção, Crimes Financeiros e Lavagem de Dinheiro. Por isso, o delegado que chefiava o caso foi trocado.

O empresário Fábio Luís Lula da Silva, o Lulinha - Nelson Almeida - 3.fev.18/AFP

Segundo a PF, a mudança dá maior estrutura para a investigação e, fora a coordenação, os delegados que atuavam nos inquéritos foram mantidos.

Em nota, a Polícia Federal disse que ""a transferência [dos inquéritos] foi concebida para assegurar maior eficiência e continuidade às investigações, uma vez que a Cinq possui estrutura permanente voltada justamente à condução de operações sensíveis e complexas com tramitação perante o Supremo Tribunal Federal"".

""Ressalta-se que não houve alteração na equipe que conduz as investigações.""

A nova chefia dos casos se reuniu na manhã desta sexta-feira (15) com o ministro André Mendonça, do STF (Supremo Tribunal Federal), relator dos casos.

Mendonça cobrou explicações a respeito da troca. Na reunião, o ministro afirmou que não foi informado anteriormente da substituição e ficou incomodado.

Pessoas que acompanham as investigações vinham relatando nas últimas semanas um receio de que poderia haver pressões sobre a equipe responsável pelas investigações.

Segundo relatos feitos por uma autoridade que participou da reunião, Mendonça teria cobrado indepen",2026-05-15 15:29:00,https://www1.folha.uol.com.br/poder/2026/05/pf-troca-chefia-de-caso-que-envolve-inss-e-lulinha-mendonca-e-oposicao-cobram-explicacoes.shtml,folha
"'Ele merece ou não este filme?', diz Flávio Bolsonaro ao defender uso de verba para obra sobre o pai","Presidenciável diz, sobre conversas com banqueiro, que fez 'tudo certo, direitinho, dentro da lei'","Campinas e Ribeirão Preto

O senador Flávio Bolsonaro (PL-RJ) defendeu sua atuação no financiamento do filme que conta a história do pai, Jair Bolsonaro, em discurso realizado em Campinas, interior de São Paulo, nesta sexta-feira (15). Na última quarta (14), o site The Intercept Brasil revelou conversas nas quais o senador cobra repasses do banqueiro Daniel Vorcaro, do Banco Master, para custear a produção.

""Um filho quer fazer um filme, em homenagem ao próprio pai. Ele merece ou não merece esse filme?"", questionou ele, para a plateia. ""E a gente vai fazer e busca recursos privados, tudo certo, direitinho, dentro da lei.""

O senador esteve presente no evento para lançar a pré-candidatura do deputado federal Guilherme Derrite (PP-SP) ao Senado, no Hotel Royal Palm Plaza.

Ele disse que ""ninguém imaginava"" na época que ""o investidor"" chegaria na situação que está hoje, em referência a Vorcaro. ""Nesse país, gente, está tudo tanto de pernas pro ar, que o certo vira errado, o errado vira certo, e não tem mais limite para as maldades.""

O pré-candidato à Presidência Flávio Bolsonaro (PL) durante agenda em Campinas (SP) na noite desta sexta-feira (15) - Bárbara Marques/Folhapress

Ele também atacou o site Intercept, que divulgou as conversas, e associou o veículo à criminalidade. Disse que o site publicou ""mentiras"" depois que ele anunciou medidas que pretende tomar contra organizações criminosas. ""Bastou eu falar pros marginais que eles têm até dezembro para sair do país ou serem neutralizados pelos nossos policiais"", afirmou.

Flávio vinha tentando se apresentar na pré-campanha com discurso de moderação em comparação com o pai.

O evento desta sexta também contou com a presença de aliados como o governador Tarcísio de Freitas (Republicanos), o presidente da Assembleia Legislativa de São Paulo, André do Prado (PL), e o senador e ex-ministro da Justiça do governo Bolsonaro Sérgio Moro (PL).

Moro, que discursou no início do evento, defendeu a candidatura de Flávio e ataco",2026-05-15 22:54:00,https://www1.folha.uol.com.br/poder/2026/05/ele-merece-ou-nao-este-filme-diz-flavio-bolsonaro-ao-defender-uso-de-verba-para-obra-sobre-o-pai.shtml,folha
Política de Privacidade - Folha de S.Paulo,"Com a política de privacidade, termos de uso e regras de cookies  da Folha de S.Paulo","Definições ● “Dado Pessoal”: informação relacionada a pessoa natural identificada ou identificável. ● “Dado Pessoal Sensível”: dado pessoal sobre origem racial ou étnica, convicção religiosa, opinião política, filiação a sindicato ou a organização de caráter religioso, filosófico ou político, dado referente à saúde ou à vida sexual, dado genético ou biométrico, quando vinculado a uma pessoa natural. ● “Titular de Dados”: pessoa natural a quem se referem os dados pessoais que são objeto de tratamento. ● “Tratamento”: toda operação realizada com dados pessoais, como as que se referem a coleta, produção, recepção, classificação, utilização, acesso, reprodução, transmissão, distribuição, processamento, arquivamento, armazenamento, eliminação, avaliação ou controle da informação, modificação, comunicação, transferência, difusão ou extração. ● “Controlador”: pessoa natural ou jurídica, de direito público ou privado, a quem competem as decisões referentes ao tratamento de dados pessoais. ● “Operador”: pessoa natural ou jurídica, de direito público ou privado, que realiza o tratamento de dados pessoais em nome do controlador. ● “Encarregado”: pessoa indicada pelo controlador e operador para atuar como canal de comunicação entre o controlador, os titulares dos dados e a Autoridade Nacional de Proteção de Dados (ANPD). A EFM é controladora dos dados pessoais que coleta. Isso significa que é responsável por tomar as decisões sobre como os dados pessoais serão tratados, conforme os termos dispostos a seguir.

Dados pessoais Tipo de dados pessoais coletados São coletados e tratados os seguintes dados pessoais: ● Dados pessoais gerais: nome completo, endereço, telefone, email, CPF, RG e data de nascimento. ● Dados financeiros: Para pagamentos em cartão de crédito: número do cartão de crédito, data de validade do cartão. Para pagamentos em débito em conta: nome do banco, número da agência e da conta corrente. ● Dados coletados automaticamente: IP e páginas navegadas. Como são cole",,https://www1.folha.uol.com.br/politica-de-privacidade/,folha
"Folha de S.Paulo: Notícias, Imagens, Vídeos e Entrevistas","Leia a Folha e fique informado sobre tudo o que acontece no Brasil e no mundo. Notícias sobre política, economia, cultura, esporte, entretenimento e mais.","Tudo a Ler

China, terra do meio *

Lá Fora

Notícias do dia

Tudo + um pouco

Você também gostaria de:

Receber informações sobre produtos e serviços da Folha de S. Paulo",,https://www1.folha.uol.com.br/mapa-do-site/,folha
Conheça o Grupo Folha,"O Grupo Folha é um dos principais conglomerados de mídia do país. Controla a Folha de S.Paulo, seu site, o Datafolha e a Folhapress, entre outros negócios.","O Grupo Folha tem participação minoritária, indireta e em ações sem direito a voto no UOL.",,https://www1.folha.uol.com.br/institucional/expediente.shtml,folha
Alagoas (AL): notícias sobre o estado,"Veja todas as notícias, vídeos e entrevistas sobre o Alagoas no Folha Tópicos","Gostaria de receber as principais notícias do Brasil e do mundo?

Associação Elas Pedem Vista defende opção por Marluce Caldas e lamenta escolha de Carlos Brandão para outra vaga

Compartilhar Grupo de advogadas pede a Lula indicação de mulher para o STJ

Enquanto Maranhão celebra o Bumba Meu Boi, Caruaru e Campina Grande disputam título com atrações por mais de 30 dias

Compartilhar Do tradicional ao camarote, conheça as diferentes festas de São João do Nordeste

Em Mucugê (BA), 150 mil bandeirolas são usadas no centro; outras cidades do Nordeste também utilizam a decoração

Taxa registrada em 2024 é a menor de série do IBGE iniciada em 2016, mas desigualdades persistem

Compartilhar Analfabetismo atinge mínima de 5,3% no Brasil; 9,1 milhões não sabem ler e escrever

Compartilhar Dupla dança forró por mais de 31 horas e vence tradicional maratona Pé de Aço em Alagoas

OUTRO LADO: Banco afirma que admissão obedeceu normas internas e ritos de governança; Prefeitura de Maceió diz que nomeação tem caráter técnico

Compartilhar Caixa contrata irmão de prefeito, que retribui com emprego para parente do presidente do banco

Areal figura entre os mais belos tanto do Nordeste quanto do Brasil, na avaliação dos paulistanos ouvidos pelo Datafolha

Compartilhar Maragogi é um refúgio de piscinas naturais e praias de cores estonteantes

Cidades como João Pessoa, Maceió, Boa Vista e Cuiabá receberam novos alunos nas escolas públicas

Indicação a tribunal, parada há 8 meses, foi um dos temas de conversa do ex-presidente da Câmara com Lula

De acordo com boletim, casos da síndrome relacionados ao vírus permanecem em alta em todo o país

Compartilhar Influenza A é causa de 74% das mortes por síndrome respiratória, segundo Fiocruz

Governo determina suspensão da produção de ração da Nutratta Nutrição Animal, e outros 195 casos são apurados; OUTRO LADO: empresa diz que colabora com órgãos competentes

Compartilhar Brasil registra morte de 222 cavalos com suspeita de contaminação por r",2026-05-14 09:02:00,https://www1.folha.uol.com.br/folha-topicos/alagoas-estado/,folha
PT: Notícias sobre PT,"Leia as últimas notícias sobre o PT e acompanhe análises, entrevistas e reportagens especiais sobre a atuação do partido nas eleições de 2022","Compartilhar PT vai procurar ex-prefeito de Belo Horizonte como alternativa de palanque para Lula em MG

PT vai procurar ex-prefeito de Belo Horizonte como alternativa de palanque para Lula em MG

Líderes do partido suspeitam de digitais de Rodrigo Pacheco, nome apoiado pelo presidente para a disputa estadual, no acordo que culminou na rejeição de Messias para o STF",2026-05-15 16:58:00,https://www1.folha.uol.com.br/folha-topicos/pt/,folha
Mensagem de Lisboa,Jornal Português Mensagem de Lisboa,"Mensagem de Lisboa é um jornal digital com cobertura voltada para a capital lusitana. Foi lançado em 2020 por um grupo independente de jornalistas. O jornal é parceiro da Folha no projeto ""Onde se Fala Português"". Assuntos relacionados: Mundo | Onde se fala português",2023-01-04 04:00:00,https://www1.folha.uol.com.br/mensagem-de-lisboa/,folha
Colunista: Painel S.A.,"Editado por Alex Sabino (interino), espaço cobre os bastidores da economia e de negócios. Com Luana Franzão e Diego Felix","Tudo a Ler

China, terra do meio *

Lá Fora

Notícias do dia

Tudo + um pouco

Você também gostaria de:

Receber informações sobre produtos e serviços da Folha de S. Paulo",2026-05-15 14:31:00,https://www1.folha.uol.com.br/colunas/painelsa/,folha
"Kassio canta samba em festa de posse, com presença de Flávio e ausência de maioria do STF",Novo presidente do TSE subiu ao palco e se apresentou com músicos,"Brasília

A festa em comemoração à posse de Kassio Nunes Marques como presidente do TSE (Tribunal Superior Eleitoral) foi marcada pela presença de vários artistas, mas de poucos representantes do STF (Supremo Tribunal Federal) e também do mundo político.

O senador Flávio Bolsonaro (PL-RJ) foi um dos únicos parlamentares a prestigiar o magistrado, que chegou ao STF por indicação de seu pai, o ex-presidente Jair Bolsonaro. Na sessão solene do TSE, o pré-candidato à Presidência disse que tem ""expectativa enorme"" e que espera uma corte ""imparcial"" em 2026.

O novo presidente do TSE, Kassio Nunes Marques, canta com Jorge Aragão, Sombrinha, Dudu Nobre e Ivo Meirelles em festa de comemoração após solenidade - Luísa Martins /Folhapress

Ministros do STJ (Superior Tribunal de Justiça), advogados, amigos e familiares dos ministros circulavam pelo evento, na pista ou na área vip, enquanto mestres do samba e expoentes do forró se apresentavam no palco do espaço Villa Rizza, casa de festas em uma área nobre de Brasília.

Kassio foi chamado pelos sambistas Jorge Aragão, Sombrinha, Dudu Nobre e Ivo Meirelles e deu uma ""canja"", cantando clássicos do estilo musical, como ""Vou festejar"", composição do próprio Aragão, ""O show tem que continuar"", do Fundo de Quintal, e ""É hoje"", samba-enredo da União da Ilha no carnaval de 1982.

Em tom de brincadeira, convidados do evento disseram que ele estaria desbancando o ministro aposentado Luís Roberto Barroso, que também gostava de cantar em público, como ocorreu na ocasião de sua posse como presidente do STF, em 2023, e na sua festa de despedida, no fim do ano passado.

Os artistas fizeram adaptações nas letras para homenagear o novo presidente do TSE. Trocaram o refrão da música ""Exaltação à Mangueira"", de Jamelão, e entoaram o coro ""Kassio Nunes chegou"", ao invés de ""a Mangueira chegou"".

Em outro momento do show, cantaram ""Moleque Atrevido"", também composta por Aragão, substituindo o trecho ""respeitem quem pode chegar onde a gente chegou""",2026-05-13 00:56:00,https://www1.folha.uol.com.br/poder/2026/05/kassio-canta-samba-em-festa-de-posse-e-maioria-do-stf-nao-comparece.shtml,folha
