titulo,subtitulo,texto,data,url,portal
Jornal da Cidade Online,Um jornal consciente não abre mão do seu direito de crítica,"Newsletter

As principais notícias do dia no seu e-mail.",Data Indisponível,https://www.jornaldacidadeonline.com.br/,jornaldacidade
Jornal da Cidade Online,,"Nossas redes sociais

Inscreva-se no nosso canal

Telegram

Receba as notícias do dia no Telegram

Entrar no canal",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/,jornaldacidade
O caso Ypê: entre um relato isolado e uma marca consumida por milhões,"O caso da
menina de 10 anos internada em Natal, após suspeita levantada pela família de
possível relação com detergente Ypê, precisa ser tratado com humanidade,
cautela e responsabilidade.

A criança
...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O caso da menina de 10 anos internada em Natal, após suspeita levantada pela família de possível relação com detergente Ypê, precisa ser tratado com humanidade, cautela e responsabilidade.

A criança merece atendimento, investigação médica completa e respostas claras.

Mas uma coisa é acolher a dor da família. Outra, bem diferente, é transformar uma suspeita ainda não comprovada em condenação pública contra de uma empresa cujo os produtos são consumidos diariamente por milhões de brasileiros.

Segundo a própria reportagem local, a Secretaria de Saúde de Natal informou que, até o momento, não há constatação de ligação entre o caso e o uso do detergente. A causa da infecção ainda está em investigação (Tribuna do Norte).

Ao mesmo tempo, a Anvisa sustenta que a suspensão de lotes da Ypê decorre de histórico de contaminação microbiológica e falhas em controle de qualidade, limpeza e monitoramento.

A agência também informou ter encontrado irregularidades em fiscalização recente e presença de Pseudomonas aeruginosa em mais de 100 lotes (Tribuna do Norte).

Então porque apenas um lote teve destaque para ser um ALERTA NACIONAL?

Até aqui, portanto, há dois planos distintos: o plano regulatório, envolvendo lotes e risco sanitário; e o plano clínico, envolvendo uma criança cujo diagnóstico ainda não confirma relação direta com o produto. Essa separação é essencial. A Ypê não é uma marca pequena.

Dados de mercado indicam que a empresa detém mais da metade do mercado brasileiro de detergentes, um setor estimado em R$ 3,6 bilhões (O Tempo).

Há registro antigo de capacidade produtiva superior a 900 mil toneladas anuais em suas fábricas, antes mesmo das expansões mais recentes (Abras).

Ou seja: estamos falando de produção gigantesca, presença nacional e consumo massivo.

Diante disso, a pergunta jornalística é inevitável: se milhõe",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/82997/o-caso-ype-entre-um-relato-isolado-e-uma-marca-consumida-por-milhoes,jornaldacidade
A obra impossível que Tarcísio realizou em São Paulo (veja o vídeo),"Pouca gente
se deu conta, mas vai completar um ano do fim da cracolândia no centro de São
Paulo.

Aquele
espetáculo deprimente e pernicioso, com alta concentração de viciados e
delinquentes, simplesme...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

Pouca gente se deu conta, mas vai completar um ano do fim da cracolândia no centro de São Paulo.

Aquele espetáculo deprimente e pernicioso, com alta concentração de viciados e delinquentes, simplesmente não exite mais.

Esta é verdadeiramente mais uma obra “impossível” realizada por Tarcísio de Freitas, e se junta a outras que vieram à luz em seu governo, como o monotrilho de Congonhas, a linha 6 do metrô, o trecho norte do Rodoanel, o projeto do túnel Santos-Guarujá e a privatização da Sabesp. Todas promessas que se arrastaram por vários governos anteriores, e que saíram do mundo dos desejos para a realidade neste governo.

Veja o vídeo:

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/82996/a-obra-impossivel-que-tarcisio-realizou-em-sao-paulo,jornaldacidade
"Depois de Maduro, a hora e a vez de Raúl Castro","O
Departamento de Justiça dos Estados Unidos prepara o indiciamento contra Raúl
Castro, 94 anos, ex-presidente de Cuba e irmão de Fidel Castro. Um funcionário
da pasta, em condição de anonimato, confi...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O Departamento de Justiça dos Estados Unidos prepara o indiciamento contra Raúl Castro, 94 anos, ex-presidente de Cuba e irmão de Fidel Castro. Um funcionário da pasta, em condição de anonimato, confirmou a informação à emissora de TV CBS News na quinta-feira (14).

O processo, segundo a fonte, deve focar no abate de duas aeronaves do grupo humanitário Brothers to the Rescue, em 1996, pelo governo cubano. Na ocasião, 4 norte-americanos morreram.

O indiciamento precisa ser aprovado por um grande júri antes da formalização das acusações. Conforme a autoridade, o momento de divulgação estaria próximo.

Por outro lado, Trump já fez sinalizações de que a ilha pode ser o próximo alvo de sua política externa. Em março, já durante a guerra com o Irã, disse que “Cuba é a próxima”. Também chegou a dizer que seria uma “honra tomar Cuba”.

Raúl Castro saiu da presidência da ilha em 2018, depois de 10 anos. Até 2021, permaneceu como primeiro secretário do Partido Comunista de Cuba. Ainda hoje, ele exerce grande influência política no país.

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/82995/depois-de-maduro-a-hora-e-a-vez-de-raul-castro,jornaldacidade
Estudante de engenharia de 20 anos tem parada cardiorrespiratória e morre dentro da sala de aula,"O estudante
de Engenharia de Energia da Universidade Federal da Grande Dourados (UFGD), em
Mato Grosso do Sul, Felipe Gebra Pasquini, de 20 anos, morreu na manhã desta
sexta-feira (15), após passar ma...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O estudante de Engenharia de Energia da Universidade Federal da Grande Dourados (UFGD), em Mato Grosso do Sul, Felipe Gebra Pasquini, de 20 anos, morreu na manhã desta sexta-feira (15), após passar mal durante uma aula no campus da instituição, em Dourados (MS). Conforme a instituição, o jovem teve uma parada cardiorrespiratória.

O estudante recebeu os primeiros socorros ainda em sala de aula e foi levado pelo Serviço de Atendimento Móvel de Urgência (Samu) ao Hospital da Vida, mas não resistiu.

A Universidade Federal da Grande Dourados declarou luto por três dias e informou que suspendeu todas as atividades acadêmicas desta sexta-feira (15), em sinal de luto e respeito. Felipe cursava Engenharia de Energia desde 2024.

Os primeiros atendimentos prestados a Felipe foram feitos pela equipe de enfermagem da Divisão de Saúde Comunitária e Estudantil (DISCE/PROAE/UFGD). Conforme a UFGD, eles foram acionados por volta das 9h, por um estudante que relatou um episódio de desmaio ocorrido em sala de aula.

No local, a equipe encontrou Felipe em estado grave. Diante do quadro, foram iniciados os procedimentos previstos nos protocolos de suporte básico à vida e atendimento pré-hospitalar, conforme as atribuições técnicas e assistenciais da unidade.

O atendimento seguiu até a chegada do Serviço de Atendimento Móvel de Urgência (SAMU), por volta das 9h15.

Segundo a assessoria, a instituição ainda apura se ele tinha comorbidades e como foi feito o atendimento. Veja a nota na íntegra abaixo:

""Prezada comunidade acadêmica,

É com profundo pesar que a UFGD comunica o falecimento de Felipe Gebra Pasquini, aluno do curso de Engenharia de Energia, ingresso 2024, ocorrido na data de hoje, 15/05/2026.

Em sinal de respeito e luto, informarmos que as atividades acadêmicas nesse dia, estão suspensas.

A UFGD, neste momento de dor, se soli",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/82994/estudante-de-engenharia-de-20-anos-tem-parada-cardiorrespiratoria-e-morre-dentro-da-sala-de-aula,jornaldacidade
CNJ barra desembargadora investigada após “ofensas” a Moraes,"O Conselho
Nacional de Justiça proibiu a desembargadora Marise Medeiros Cavalcanti
Chamberlain de disputar ou assumir cargos de chefia no Tribunal Regional do
Trabalho da 17ª Região, incluindo a presi...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O Conselho Nacional de Justiça proibiu a desembargadora Marise Medeiros Cavalcanti Chamberlain de disputar ou assumir cargos de chefia no Tribunal Regional do Trabalho da 17ª Região, incluindo a presidência e a corregedoria da Corte.

A decisão cautelar foi assinada pelo conselheiro Rodrigo Badaró no âmbito de um processo administrativo disciplinar instaurado em março de 2026.

Segundo o PAD, a magistrada teria utilizado grupo institucional de WhatsApp para atacar colegas e fazer manifestações político-ideológicas. Entre as mensagens atribuídas a ela, estão expressões como “esquerdistas de merda”, “gentalha” e “criatura abjeta”.

A desembargadora também é acusada de ter se referido ao ministro Alexandre de Moraes como “Xanderleia” em conversa no grupo de magistrados.

De acordo com o CNJ, a medida busca preservar a regularidade administrativa e institucional do tribunal enquanto o procedimento disciplinar segue em andamento.

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/82993/cnj-barra-desembargadora-investigada-apos-ofensas-a-moraes,jornaldacidade
A mensagem que aparece no final do filme Dark Horse,"O filme Dark
Horse, que conta a história de Jair Bolsonaro até a presidência, traz
personagens reais sendo retratados de forma ficcional.

Ao término
do longa deve constar a seguinte mensagem:

“Uma
i...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O filme Dark Horse, que conta a história de Jair Bolsonaro até a presidência, traz personagens reais sendo retratados de forma ficcional.

Ao término do longa deve constar a seguinte mensagem:

“Uma investigação conclui que o assassino agiu sozinho, mas o inquérito foi incompleto e a investigação ‘deixou de fora muitas questões’.

Em 2022, Bolsonaro perde a reeleição por um ponto e meio de diferença. Acusações de manipulação eleitoral e fraude se alastram. Manifestações ocorrem em todo o Brasil, em sua maioria pacíficas. Mas muitos são presos.

Em 2025, Bolsonaro é acusado de tentativa de golpe, condenado e sentenciado a 43 anos de prisão pelo Supremo Tribunal Federal.”

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/82992/a-mensagem-que-aparece-no-final-do-filme-dark-horse,jornaldacidade
Dono da Choquei dá sua 1ª declaração após sair da cadeia,"O dono da
página Choquei, Raphael Sousa Oliveira, se manifestou, nesta sexta-feira (15),
após passar 29 dias preso. Em uma publicação nas redes sociais, ele afirmou ter
vivido “os piores dias” de sua ...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

O dono da página Choquei, Raphael Sousa Oliveira, se manifestou, nesta sexta-feira (15), após passar 29 dias preso. Em uma publicação nas redes sociais, ele afirmou ter vivido “os piores dias” de sua vida.

“Acabou o pesadelo. Saí daquele lugar onde vivi os piores dias da minha vida, sem entender o porquê de tudo aquilo estar acontecendo comigo. Porém, tenho certeza de que, em breve, Deus irá me explicar tudo. Afinal, Ele escreve certo por linhas tortas. Nada é por acaso”, escreveu.

Raphael foi preso no dia 15 de abril, durante a Operação Narco Fluxo deflagrada pela Polícia Federal. A ação contou com a participação de mais de 200 policiais.

Segundo a PF, o grupo investigado pode ter movimentado mais de R$ 260 bilhões. Foram apreendidos dinheiro em espécie, veículos de luxo, armas, além de documentos e equipamentos eletrônicos.

Raphael Sousa Oliveira, aparece ligado diretamente ao núcleo financeiro do grupo, com recebimento de valores e atuação na blindagem de imagem. “Agente associado às PJs em suposto smurfing fiscal operando recebimentos de Tiago e Ryan para suposta blindagem moral corporativa e de influências nas apostas online.”

Entre os presos estavam MC Ryan SP, apontado como principal beneficiário do esquema, além de MC Poze do Rodo, o influenciador Chris Dias e sua esposa, Débora Paixão.

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/82991/dono-da-choquei-da-sua-1a-declaracao-apos-sair-da-cadeia,jornaldacidade
PGR toma decisão em caso de Zema e os fantoches de Gilmar,"A pressão
deve ter sido muito grande e a Procuradoria Geral da República, de maneira até
inacreditável, resolveu denunciar o ex-governador Romeu Zema pelo crime de
calúnia contra o ministro Gilmar Men...","Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr

A pressão deve ter sido muito grande e a Procuradoria Geral da República, de maneira até inacreditável, resolveu denunciar o ex-governador Romeu Zema pelo crime de calúnia contra o ministro Gilmar Mendes. Algo estarrecedor.

A PGR entendeu que cabe denúncia contra Zema pela prática do crime de calúnia, em sua modalidade majorada, praticado contra Gilmar.

Na mesma peça, a PGR também pediu a fixação de valor mínimo para reparação dos danos morais causados a Gilmar, em montante equivalente a 100 salários-mínimos:

“Parâmetro compatível com a gravidade da imputação caluniosa, a extensão da divulgação e a repercussão pública da ofensa, sem prejuízo de posterior liquidação complementar na esfera própria”, diz a denúncia.

Sem foro privilegiado, Zema será julgado pelo Supremo Tribunal Federal. Mais um absurdo. Certamente, será condenado. Alguém tem dúvida?

Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao

SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!",Data Indisponível,https://www.jornaldacidadeonline.com.br/noticias/82990/pgr-toma-decisao-em-caso-de-zema-e-os-fantoches-de-gilmar,jornaldacidade
