titulo,subtitulo,texto,data,url,portal
Missão Artemis 2 entra na influência gravitacional da Lua,"Nave Orion inicia fase final rumo à órbita lunar, antes de tripulação quebrar recorde de viagem mais distante da Terra","Os astronautas da missão Artemis 2 alcançaram a esfera gravitacional da Lua, fazendo com que a cápsula Orion seja mais fortemente afetada pela gravidade lunar do que pela da Terra, informou a Nasa nesta segunda-feira (06/04).

Ao entrar na influência gravitacional da Lua, a espaçonave estava a cerca de 63 mil quilômetros da Lua e a cerca de 373 mil quilômetros da Terra, disse um funcionário da agência espacial norte-americana.

Tudo que a grande mídia não mostra, do seu jeito. Newsletter Notícias internacionais, com análise crítica e independente. Sem filtros. Canal do WhatsApp O mundo em movimento direto no seu celular. Informação pronta para compartilhar OM no YouTube Opinião, contexto e coragem jornalística. Tudo no nosso canal. Sintonize em Opera Mundi

Nas horas seguintes, a espaçonave segue rota para se aproximar ao máximo da Lua, a cerca de 7.500 quilômetros além do lado oculto.

A trajetória de voo da Artemis 2 assemelha-se a um oito ao redor da Terra e da Lua.

Por que a missão Artemis 2 é histórica?

Quando a espaçonave se aproximar ao máximo da Lua, os astronautas poderão ver a Terra e a Lua simultaneamente — e até mesmo um eclipse solar, no qual o Sol desaparece atrás da Lua da perspectiva da Orion.

Os astronautas entraram no que a Nasa chama de esfera de influência lunar à 01h42 de segunda-feira (horário de Brasília), em rota para o primeiro sobrevoo lunar desde 1972, durante o qual a tripulação estará mais longe do nosso planeta do que qualquer ser humano jamais esteve.

Esta é a primeira vez em mais de 50 anos que uma tripulação – composta pelos astronautas estadunidenses Victor Glover, Christina Koch e Reid Wiseman e pelo astronauta canadense Jeremy Hansen – viaja à Lua.

O piloto Victor Glover, de 49 anos, se tornará a primeira pessoa negra a alcançar a órbita lunar. E Christina Koch, de 47 anos, se tornará a primeira mulher a orbitar a Lua.

O que os astronautas já observaram?

Os astronautas têm a missão de documentar a Lua durante o sobrevoo lun",2026-04-06 16:20:31+00:00,https://operamundi.uol.com.br/sociedade/missao-artemis-2-entra-na-influencia-gravitacional-da-lua/,OperaMundi
Conselho Eleitoral do Peru afirma que resultado do pleito será anunciado no próximo domingo (17),"Candidato de esquerda Roberto Sánchez garantiu que não foi intimado para julgamento, mas sim para 'outra audiência'","O Conselho Nacional Eleitoral do Peru (JNE) anunciará os resultados das eleições presidenciais no próximo domingo (17/05). O presidente do órgão, Roberto Burneo, afirmou que “os candidatos à presidência que avançarão para o segundo turno serão anunciados pela manhã”. A próxima votação está prevista para 7 de junho.

El Presidente del JNE, Roberto Burneo, anunció que este domingo 17 de mayo se proclamará las fórmulas presidenciales de las dos agrupaciones políticas que pasarán a la segunda elección presidencial con motivo de las #EG2026. pic.twitter.com/oF01m5bzHw — JNE Perú (@JNE_Peru) May 14, 2026

Tudo que a grande mídia não mostra, do seu jeito. Newsletter Notícias internacionais, com análise crítica e independente. Sem filtros. Canal do WhatsApp O mundo em movimento direto no seu celular. Informação pronta para compartilhar OM no YouTube Opinião, contexto e coragem jornalística. Tudo no nosso canal. Sintonize em Opera Mundi

Mais de um mês depois do primeiro turno em 12 de abril, Burneo afirmou que o processo eleitoral ainda está em andamento e reconheceu o esforço dos 60 Júris Eleitorais Especiais (JEE), visto que, “pela primeira vez, a recontagem de votos está sendo realizada” em um processo eleitoral no Peru, de forma “pública e transparente”.

“Compreendemos as expectativas e preocupações do público, razão pela qual estamos a agir com total transparência”, acrescentou, salientando que “o JNE está a trabalhar incansavelmente para cumprir cada etapa do pleito”.

Com 99,98% dos votos apurados, a candidata de extrema-direita Keiko Fujimori (Força Popular) obteve 17,18% dos votos válidos, seguida pelo esquerdista Roberto Sánchez (Juntos por el Perú) com 12,03%.

Em meio a supostas acusações contra Roberto Sánchez e à pressão por ser o candidato atualmente em segundo lugar, ele assegurou que a denúncia contra ele por suposto desvio de verbas do Juntos por el Perú foi arquivada pela justiça. O candidato enfatizou que não foi intimado para um julgamento, mas sim par",2026-05-15 12:46:25+00:00,https://operamundi.uol.com.br/america-latina/conselho-eleitoral-do-peru-afirma-que-resultado-do-pleito-sera-anunciado-no-proximo-domingo-17/,OperaMundi
Trump sinaliza reunião com Lula na Malásia,"Sem fornecer detalhes sobre exigências para negociação, presidente dos EUA pode se encontrar com brasileiro amanhã (26)","Atualizaçõa às 17h54

O presidente dos Estados Unidos, Donald Trump, afirmou neste sábado (25/10) que planeja se reunir com o líder brasileiro, Luiz Inácio Lula da Silva, neste fim de semana na Malásia.

Tudo que a grande mídia não mostra, do seu jeito. Newsletter Notícias internacionais, com análise crítica e independente. Sem filtros. Canal do WhatsApp O mundo em movimento direto no seu celular. Informação pronta para compartilhar OM no YouTube Opinião, contexto e coragem jornalística. Tudo no nosso canal. Sintonize em Opera Mundi

“Acho que nos encontraremos, sim”, disse o republicano a jornalistas presentes na aeronave AirForce 1, a caminho da Ásia.

Questionado sobre a possibilidade de reduzir as tarifas impostas ao Brasil, o líder norte-americano respondeu que apenas “sob as condições certas”, sem fornecer mais detalhes.

Segundo o secretário de Estado dos EUA, Marco Rubio, Trump explorará maneiras de ‘resolver questões bilaterais’, incluindo o comércio, na reunião Lula.

O representante norte-americano também afirmou que o governo do presidente Lula deve “escolher” entre EUA e China como o parceiro comercial preferencial do Brasil. “Achamos que, a longo prazo, é benéfico para o Brasil nos tornar seu parceiro de escolha e comércio, em vez da China”, disse.

Já Lula, em breve declaração a jornalistas, mostrou otimismo com o possível encontro e garantiu que não existem exigências de nenhum dos lados.

“Eu trabalho com otimismo que a gente possa encontrar uma solução. Não há exigência e não tem minha ainda. Vamos colocar na mesa os problemas e tentar achar uma solução”, afirmou.

Na última sexta-feira (24/10), o brasileiro indicou a intenção de debater o tarifaço dos EUA contra o Brasil, mas reconheceu que é difícil alcançar consensos imediatos sobre o tema. “Se eu não acreditasse que fosse possível um acordo, eu não participaria da reunião. Ainda que o acordo não seja fechado depois de amanhã, ele será construído pelos negociadores”.

Os dois presidentes estarão",2025-10-25 15:10:51+00:00,https://operamundi.uol.com.br/diplomacia/trump-sinaliza-reuniao-com-lula-e-condiciona-reducao-de-tarifas-as-circunstancias-corretas/,OperaMundi
"'Eleição brasileira será decidida por 3% dos eleitores independentes', diz economista",,"“Nunca houve um nível tão alto de intenção de voto estimulado entre os candidatos”, afirmou o economista Maurício Moura, fundador do Instituto de Pesquisa Ideia ao analisar o cenário eleitoral, observando que a onda de polarização é um fenômeno global. A Opera Mundi, a avaliação do especialista é de que o pleito será definido pelo grupo de eleitores independentes, que representa 3% dos eleitores que votaram em Jair Bolsonaro em 2018 e em Lula, em 2022.

Moura comenta ainda as eleições locais e parlamentares, apontando “um baixíssimo conhecimento” dos eleitores sobre as candidaturas para o Congresso brasileiro. A decisão, salienta, é praticamente realizada às vésperas do pleito.

Tudo que a grande mídia não mostra, do seu jeito. Newsletter Notícias internacionais, com análise crítica e independente. Sem filtros. Canal do WhatsApp O mundo em movimento direto no seu celular. Informação pronta para compartilhar OM no YouTube Opinião, contexto e coragem jornalística. Tudo no nosso canal. Sintonize em Opera Mundi

Autor de A Eleição Disruptiva: porque Bolsonaro venceu (Record, 2019), em parceria com Juliano Coberllini, o economista comentou o por que os números das pesquisas eleitorais, divulgados na reta final das eleições, tendem a se diferenciar do resultado das urnas.

Confira a entrevista:

Opera Mundi: como avalia o cenário eleitoral revelado pela pesquisa Idea? Estamos vivendo uma espécie de ‘terceiro turno’ das eleições de 2022?

Maurício Moura: dois candidatos, historicamente, nunca tiveram um nível tão alto de intenção de voto estimulada como tem Lula e Flávio Bolsonaro em maio do ano eleitoral. Em outras eleições presidenciais, a gente tinha um candidato que se destacava, podemos citar o [Fernando] Collor em 1989, Fernando Henrique em 1998. O próprio Lula em 2002 já abria distância nas pesquisas nesse momento, mas não tínhamos dois candidatos pontuando tão alto e tão equilibrados nas intenções de voto para o segundo turno.

Então, temos sim uma antecipação dess",2026-05-10 16:20:02+00:00,https://operamundi.uol.com.br/opera-entrevista/eleicao-brasileira-sera-decidida-por-3-dos-eleitores-independentes-diz-economista/,OperaMundi
"'Ninguém pode usar Deus para justificar guerra', diz papa Leão 14","Pontífice defende paz em sua primeira missa de Domingo de Ramos como líder católico, celebrada no Vaticano: 'Jesus nunca se armou""","O papa Leão 14 afirmou neste domingo (29/03), na missa do Domingo de Ramos no Vaticano, que “ninguém pode usar Deus para justificar a guerra”.

Em sua homilia na celebração que recorda a chegada de Jesus a Jerusalém, o líder da Igreja Católica disse que Cristo “não se armou, nem se defendeu, nem travou nenhuma guerra”.

Tudo que a grande mídia não mostra, do seu jeito. Newsletter Notícias internacionais, com análise crítica e independente. Sem filtros. Canal do WhatsApp O mundo em movimento direto no seu celular. Informação pronta para compartilhar OM no YouTube Opinião, contexto e coragem jornalística. Tudo no nosso canal. Sintonize em Opera Mundi

“Irmãos, irmãs, este é o nosso Deus: Jesus, rei da paz. Um Deus que rejeita a guerra; que ninguém pode usar para justificar a guerra; que não escuta, mas rejeita a oração de quem faz a guerra”, declarou o Papa.

Durante a missa, Leão 14 fez um apelo para que as partes em conflito no mundo “deponham as armas” e se lembrem de que todos são “irmãos”.

“Olhando para Ele, que foi crucificado por nós, vemos os crucificados da humanidade. Nas suas chagas, vemos as feridas de tantas mulheres e homens de hoje. No seu último grito dirigido ao Pai, ouvimos o gemido de dor de todos aqueles que são oprimidos pela violência e de todas as vítimas da guerra”, disse.

O Domingo de Ramos marca o início das celebrações da Semana Santa, a primeira do pontificado de Robert Prevost.

Na próxima quinta (02/04), Leão 14 presidirá as missas do Crisma e da Ceia do Senhor; na sexta (3), a Paixão do Senhor e a Via Sacra no Coliseu; no sábado (04/03), a Vigília Pascal; e no domingo (5), a missa de Páscoa e a bênção “Urbi et Orbi” (“À cidade e ao mundo”).",2026-03-29 16:55:21+00:00,https://operamundi.uol.com.br/sociedade/ninguem-pode-usar-deus-para-justificar-guerra-diz-papa-leao-14/,OperaMundi
Iván Cepeda reitera denúncia de interferência de grupos armados nas eleições colombianas,Candidato de esquerda enfatizou importância de garantir ambiente 'livre de coerção' e pediu que responsáveis sejam 'identificados e punidos',"O senador colombiano e candidato à presidência, Iván Cepeda Castro, reiterou na quinta-feira (14/05) suas acusações sobre a presença de grupos armados em território colombiano que buscam influenciar o voto dos cidadãos, exigindo uma investigação completa e sanções para os responsáveis.

Por meio de suas redes sociais, Cepeda reiterou sua denúncia da pressão exercida por esses grupos armados em diversas regiões do país. “Condeno categoricamente e veementemente qualquer tipo de pressão sobre os eleitores. Nem o Pacto Histórico, nem as forças da Aliança pela Vida, nem minha campanha, nem eu, na minha condição de candidato à presidência, aceitamos esse tipo de ação. Os responsáveis ​​devem ser investigados e punidos com todo o rigor da lei”, afirmou.

Tudo que a grande mídia não mostra, do seu jeito. Newsletter Notícias internacionais, com análise crítica e independente. Sem filtros. Canal do WhatsApp O mundo em movimento direto no seu celular. Informação pronta para compartilhar OM no YouTube Opinião, contexto e coragem jornalística. Tudo no nosso canal. Sintonize em Opera Mundi

Cepeda Castro condenou categoricamente essas ações, classificando-as como inaceitáveis ​​e enfatizando a importância de garantir um ambiente livre de coerção para todos os cidadãos no contexto das eleições.

Nesse contexto, o candidato à presidência apresentou a denúncia em 5 de maio, instando que os responsáveis ​​por essas pressões ilegais sobre o eleitorado sejam identificados e punidos com o máximo rigor estabelecido pela lei colombiana, buscando proteger a autonomia do voto e a legitimidade dos resultados eleitorais na Colômbia.

REITERO LA POSICIÓN QUE HICE PÚBLICA EN DÍAS PASADOS IVÁN CEPEDA CASTRO DENUNCIA PRESIONES DE GRUPOS ARMADOS PARA INFLUIR EN EL ELECTORADO Y EXIGE SANCIONES En los últimos días he recibido información proveniente de organizaciones sociales, autoridades locales y la Defensoría… — Iván Cepeda Castro (@IvanCepedaCast) May 14, 2026

As eleições presidenciais ocorrerã",2026-05-15 09:43:31+00:00,https://operamundi.uol.com.br/america-latina/ivan-cepeda-reitera-denuncia-de-interferencia-de-grupos-armados-nas-eleicoes-colombianas/,OperaMundi
"Candidato ao Parlamento de Israel, ex-espião dos EUA defende limpeza étnica e anexação de Gaza","Jonathan Pollard, que esteve preso por vender informações a Tel Aviv, concorrerá por partido que considera Netanyahu como direita ‘branda’","Conhecido como o espião dos Estados Unidos condenado por vender informações a Israel, Jonathan Pollard anunciou esta semana que pretende se candidatar a uma vaga no Knesset (Parlamento israelense), nas eleições que estão programadas para o próximo mês de outubro.

A informação veio à tona durante uma entrevista ao Canal 13 de Israel, na qual Pollard apresentou seu discurso alinhado com a ideologia sionista.

Tudo que a grande mídia não mostra, do seu jeito. Newsletter Notícias internacionais, com análise crítica e independente. Sem filtros. Canal do WhatsApp O mundo em movimento direto no seu celular. Informação pronta para compartilhar OM no YouTube Opinião, contexto e coragem jornalística. Tudo no nosso canal. Sintonize em Opera Mundi

No programa, o ex-espião defendeu a anexação dos territórios da Cisjordânia e da Faixa de Gaza, e que a população palestina de Gaza seja “removida” – termo que usou para sugerir a limpeza étnica da região.

“Pessoalmente, prefiro a remoção forçada de todos os atuais residentes de Gaza, a anexação de Gaza e seu repovoamento por judeus”, afirmou Pollard, durante o programa exibido nesta segunda-feira (04/05).

Quem é Jonathan Pollard

Nascido em família judia, Jonathan Pollard não é israelense. Ele nasceu no Texas e trabalhou durante seis anos como analista de inteligência da Marinha dos Estados Unidos, entre setembro de 1979 e novembro de 1985, até o dia em que foi preso, acusado de vender informações secretas do governo dos Estados Unidos a Israel.

Durante o processo que levou à sua condenação, o Departamento Federal de Investigação dos Estados Unidos (FBI, por sua sigla em inglês) apresentou provas de que Pollard integrava um esquema de envio de informação confidencial a Tel Aviv desde junho de 1984.

Na sentença, o Tribunal Federa do Distrito de Columbia impôs a ele pena de prisão perpétua. O ex-espião ficou preso até novembro de 2015, quando foi concedido o benefício da liberdade condicional de forma automática, após ter cumprid",2026-05-06 18:00:14+00:00,https://operamundi.uol.com.br/israel-x-palestina/candidato-ao-parlamento-de-israel-ex-espiao-dos-eua-defende-limpeza-etnica-e-anexacao-de-gaza/,OperaMundi
Privatização da Sabesp: crônica de uma tragédia anunciada,Venda de companhia estratégica para o desenvolvimento nacional está trazendo consequências graves para muitos e ganhos para poucos,"Um trabalhador morto, 49 casas destruídas e mais de 160 pessoas desalojadas. Esse foi o saldo deixado pela explosão causada por uma obra da Sabesp no bairro do Jaguaré, na Zona Oeste de São Paulo, em 11 de maio de 2026.

O acidente não é um evento isolado. A explosão no Jaguaré já é a quarta tragédia com mortes ocorrida desde a privatização da companhia. A queda na qualidade do serviço é inegável, como evidenciado pelo aumento de 70% no número de reclamações.

Tudo que a grande mídia não mostra, do seu jeito. Newsletter Notícias internacionais, com análise crítica e independente. Sem filtros. Canal do WhatsApp O mundo em movimento direto no seu celular. Informação pronta para compartilhar OM no YouTube Opinião, contexto e coragem jornalística. Tudo no nosso canal. Sintonize em Opera Mundi

Fundada em junho de 1973, a Sabesp respondia sozinha por 30% de todo o investimento em saneamento básico feito no país e foi apontada por diversas vezes como a melhor empresa de água e esgoto do Brasil. Privatizada por Tarcísio de Freitas, a Sabesp deixou de ser uma estatal reconhecida e premiada pela excelência de seu serviço para se tornar a líder do ranking de reclamações do Procon.

O governador prometia que a venda resultaria em tarifas mais baixas, serviços melhores e universalização do saneamento. Entregou o oposto: aumento das contas, acidentes, explosões, mortes e até esgoto sem tratamento sendo lançado no Rio Tietê.

A Companhia Cantareira e a primeira privatização

Até meados do século 19, o abastecimento de água em São Paulo era feito por meio da coleta manual nos rios e córregos e por chafarizes espalhados em alguns pontos da cidade. Também não havia sistema de esgotamento, com a população dependendo do uso de fossas e descartando dejetos em rios e córregos.

O acelerado crescimento demográfico na capital paulista na segunda metade do século 19 logo converteu a ausência de um sistema de saneamento em um grave problema, resultando na proliferação de doenças. Epidemias ",2026-05-14 19:40:50+00:00,https://operamundi.uol.com.br/pensar-a-historia/privatizacao-da-sabesp-cronica-de-uma-tragedia-anunciada/,OperaMundi
Delcy Rodríguez apresenta à CIJ documentos que provam região de Essequibo como território venezuelano,Presidente interina defendeu Acordo de Genebra e que audiências na Corte de Haia comprovaram 'clareza' dos direitos históricos da Venezuela,"A presidente interina da Venezuela, Delcy Rodríguez, ratificou a posição do governo na Corte Internacional de Justiça (CIJ), em Haia, sobre os direitos históricos do país sobre o Essequibo. De acordo com a autoridade, a delegação venezuelana não somente apresentou provas que sustentam a reivindicação da nação, como também reforçou não reconhecer a jurisdição do tribunal para resolver a disputa territorial.

A informação foi dada durante a inauguração da 4ª Expo Feira Nacional Bufalina, Cabras e Ovelhas 2026, realizada em Caracas na quarta-feira (13/05),

Tudo que a grande mídia não mostra, do seu jeito. Newsletter Notícias internacionais, com análise crítica e independente. Sem filtros. Canal do WhatsApp O mundo em movimento direto no seu celular. Informação pronta para compartilhar OM no YouTube Opinião, contexto e coragem jornalística. Tudo no nosso canal. Sintonize em Opera Mundi

“Os direitos históricos da Venezuela foram muito claros”, disse Rodríguez, ao relatar ter apresentado uma remessa de mais de três mil páginas que incluem documentos coloniais de 1777, mapas e correspondência diplomática. O conjunto de documentos certifica que a Decisão Arbitral de 1899 tem efeito nulo, destacando o Acordo de Genebra de 1966 como o único instrumento válido para alcançar uma solução para ambas as partes sobre a área disputada.

“A Venezuela está pronta para um processo de negociação com a República Cooperativa da Guiana”, também afirmou a mandatária, descrevendo o diálogo direto como a única forma possível. Rodríguez esclareceu que a Venezuela não reconhecerá qualquer decisão sobre a CIJ, considerando que este órgão não tem jurisdição sobre a disputa.

Em sua mensagem final ao tribunal, a chefe de Estado relatou ter denunciou que “a Guiana pretende legitimar um crime colonial tentando validar a sentença de 1899 perante o CIJ”.

As audiências orais na Corte em Haia convocadas pela Guiana iniciaram em 4 de maio e foram concluídas nesta semana. Rodríguez desembarcou na cidad",2026-05-14 15:50:20+00:00,https://operamundi.uol.com.br/america-latina/delcy-rodriguez-apresenta-a-cij-documentos-que-provam-regiao-de-essequibo-como-territorio-venezuelano/,OperaMundi
Coalizão de esquerda adota abstenção coletiva contra lei da pena de morte em Gaza,Projeto aprovado é criticado por não garantir devido processo legal a palestinos supostamente envolvidos com atos de 7 de outubro de 2023.,"A coalizão israelense de esquerda Hadash decidiu manifestar seu protesto no Knesset (Parlamento de Israel) durante a votação do projeto impulsionado pelo vice-premiê Yariv Levin – que também exerce o cargo de ministro da Justiça – que reinstala a Lei Marcial na Faixa de Gaza contra réus palestinos, permitindo, entre outras coisas, que seja aplicada a pena de morte contra pessoas ligadas à ofensiva do Hamas no dia 7 de outubro de 2023.

Esse tipo de punição estava abolido no território desde 2005, quando a Lei Marcial deixou de estar vigente em Gaza a partir do Plano de Desvinculação promovido pelo então premiê Ariel Sharon, pelo qual também foram desmantelados os assentamentos de colonos israelenses na região.

Tudo que a grande mídia não mostra, do seu jeito. Newsletter Notícias internacionais, com análise crítica e independente. Sem filtros. Canal do WhatsApp O mundo em movimento direto no seu celular. Informação pronta para compartilhar OM no YouTube Opinião, contexto e coragem jornalística. Tudo no nosso canal. Sintonize em Opera Mundi

O projeto foi avaliado na segunda-feira (11/05) pelo Parlamento, composto por 120 cadeiras, e aprovado por 93 votos a favor – grande parte dos 27 legisladores restantes se abstiveram, incluindo os membros da Hadash.

De acordo com apuração de Opera Mundi, na votação, os membros da coalizão decidiram não deixar o plenário, mas adotar uma postura de protesto, expressada através de uma abstenção em conjunto, razão pela qual o placar final foi de 93×0.

A coalizão defende “que os crimes de guerra cometidos em 7 de outubro, tanto do Hamas quanto do Exército israelense, sejam julgados em tribunais internacionais, evitando a espetacularização”.

Dos cerca de nove mil palestinos detidos atualmente em prisões israelenses, há entre 200 e 300 que são considerados suspeitos de participação na ofensiva de 7 de outubro, mas muitos não possuem acusação formal.

Vale explicar que o projeto aprovado esta semana é diferente do que tramitou em març",2026-05-14 11:00:15+00:00,https://operamundi.uol.com.br/israel-x-palestina/coalizao-de-esquerda-adota-abstencao-coletiva-contra-lei-da-pena-de-morte-em-gaza/,OperaMundi
