titulo,subtitulo,texto,data,url,portal
Mendonça percebeu que celular de Vorcaro traz mais verdade que delação,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","Na prática, ele ganhava uma mesada: a empresa da família Vorcaro enviava mensalmente entre R$ 300 mil e R$ 500 mil para a empresa da família de Ciro Nogueira. Em troca, o senador usaria seu mandato para defender os interesses do banco. Claro que nada disso estava na delação, como mostrou Malu Gaspar e Rafael Moraes Moura, em O Globo.

Ciro Nogueira atuou nos bastidores contra a criação de uma CPMI que investigaria o Banco Master. Ao mesmo tempo, empenhou forças pela aprovação de uma emenda constitucional que aumentaria a cobertura do Fundo Garantidor de Crédito de R$ 250 mil para R$ 1 milhão por CPF — o que beneficiaria diretamente uma instituição que estava escorando seus CDBs exatamente nesse fundo. Também apoiou a compra do Master pelo BRB, banco estatal do Distrito Federal, operação que foi chumbada pelo Banco Central — não sem antes um prejuízo multibilionário para a estatal.

A emenda que ampliaria a cobertura do FGC foi redigida pela assessoria do próprio banco e entregue em envelope no endereço residencial do senador. Depois, Vorcaro comentou a interlocutores que o texto ""saiu exatamente como mandei"".

Mas o trecho que resume com mais precisão a relação entre os dois é este, foi extraído de uma conversa dele com seu primo, em junho de 2025, quando o banqueiro cobrou o atraso de dois meses no pagamento da propina: ""Cara eu no meio dessa guerra atrasou dois meses ciro? (sic)"". Resposta: "" Vou ver se dou um jeito aqui. Vai continuar os 500k ou pode ser os 300k"". A informação está em reportagem de Fábio Serapião, no UOL.

Não é difícil entender a irritação de Mendonça. Quando um investigado propõe uma delação, a expectativa da Justiça é de que ele traga algo além do que já se sabe. Que preencha lacunas. Que ilumine zonas de sombra. Que entregue dinheiro para cobrir a lambança que fez. Que diga o nome de pessoas grandes que dobraram a República para atender à necessidade de uma pessoa.

O que Vorcaro aparentemente fez foi o oposto: entregou um pacote cuidadosamen",2026-05-07,https://noticias.uol.com.br/colunas/leonardo-sakamoto/2026/05/07/mendonca-percebeu-que-celular-de-vorcaro-traz-mais-verdades-que-a-delacao.htm,uol_politica
Caso Vorcaro-Flávio Bolsonaro: Michelle no céu e Tarcísio no inferno,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","Agora que o áudio de Flávio implorando grana a Vorcaro veio a público, a pergunta que circula no bolsonarismo é simples: se Flávio não conseguir explicar direito a intimidade financeira com um banqueiro encrencado e o real uso da bufunfa, como explicar ao eleitor que ele é o novo guardião da moralidade nacional? Há bolsonaristas que passaram a admitir o estrago e a falar em apoiar uma candidatura de Michelle. Também não por acaso, o senador disse à CNN que Jair Bolsonaro mandou ele ficar firme e que Michelle não é uma opção.

Muita gente apareceu para dizer que ela não é uma opção, o que leva a crer que eles estão com medo de que ela tenha virado opção demais.

Enquanto isso, Tarcísio de Freitas deve estar descendo aos círculos mais profundos do arrependimento.

O governador de São Paulo era o pré-candidato do bolsonarismo, apresentado como o nome civilizado do grupo (por mais que defenda anistia a quem tentou transformar a democracia em geleia) e, de lambuja, amigo da Faria Lima.

Só que Flávio arrancou do pai a bênção dinástica, e Tarcísio ficou na posição mais difícil da política: a de candidato sem candidatura. Como ainda depende dos votos de Jair, teve que sorrir, obedecer, acenar para o herdeiro e seguir governador para ajudar o clã a se perpetuar no poder. Pois Flávio eleito, fará de tudo para tornar o pai candidato em 2030, Eduardo em 2034... Tarcísio se tornará, dessa forma, eternamente um fiel escudeiro.

Diante do escândalo atual, parte da direita olha para os escombros e pensa ""e se colocar o Tarcísio no lugar do Flávio?"". Mas a resposta é dura e fria: poderia, mas não vai rolar. Como ele aceitou o papel que lhe foi dado e não se desincompatibilizou até 4 de abril, prazo de seis meses antes do primeiro turno, limite para participar das eleições como presidenciável, essa janela se fechou.",2026-05-14,https://noticias.uol.com.br/colunas/leonardo-sakamoto/2026/05/14/bomba-vorcaro-flavio-bolsonaro-poe-michelle-no-ceu-e-tarcisio-no-inferno.htm,uol_politica
"Dani Lima: Lula não sai com tudo que queria, mas foi longe de ser fiasco","Lula e Trump discutem tarifas e crime organizado; governo brasileiro obtém compromissos de médio prazo e nova rodada de negociações em 30 dias, diz Daniela Lima","Então, embora não tenha saído com a notícia de que todas as tarifas todas caíram, ele saiu com um plano de médio prazo, com reanálise das sanções em até 30 dias e com uma conversa muito maior da que foi prometida pela Casa Branca. Daniela Lima, colunista do UOL

Daniela comentou que, apesar de não resolver todos os impasses, os dois governos pactuaram uma nova rodada de negociações para daqui a 30 dias.

Lula não quer fazer só uma foto, mas sair de lá com um plano de trabalho. O presidente fez questão de dizer ficou pré-marcada uma nova discussão daqui a 30 dias sobre o que está relacionado às tarifas. Os dois governos analisarão os relatórios um do outro e fazer uma espécie de encontro de contas.

Os EUA são superavitários na relação com o Brasil. Ainda assim, Trump insiste com um residual de tarifas extras. Já houve uma decisão da Suprema Corte dos EUA acabando com uma tarifa de 40%, mas alguns produtos ainda estão penalizados. Lula quer entregar isso antes da eleição e conseguiu arrancar esse prazo de 30 dias. A ver se o governo americano cumpre.

Outra questão sinalizada pelo presidente e que era a meta número um é o combate ao crime organizado. De novo, o Lula está mirando esses mega sonegadores. Lula pediu uma política de colaboração e propôs um plano audacioso para ver se atrai Trump, que é de fazer uma política global de combate ao crime organizado. Daniela Lima, colunista do UOL",2026-05-07,https://noticias.uol.com.br/politica/ultimas-noticias/2026/05/07/o-governo-nao-saiu-com-tudo-o-que-queria-diz-daniela-lima-sobre-encontro-de-lula-e-trump.ghtm,uol_politica
MP Eleitoral entra com recurso pedindo que TSE confirme cassação de Castro,Ministério Público Eleitoral apresentou recurso ao TSE pedindo que a Corte confirme a cassação do diploma do ex-governador do Rio Cláudio Castro (PL).,"A diferença entre renúncia e cassação é importante porque afeta o modelo de eleição para mandato-tampão de governador, até dezembro. A legislação prevê que, em caso de vacância por motivação eleitoral, o que o MPE sustenta, a eleição deve ser direta, com voto popular. Caso a ausência tenha sido provocada por outros motivos, caberia à Alerj (Assembleia Legislativa do Rio de Janeiro) eleger o substituto. O tema está em debate no STF (Supremo Tribunal Federal).

No recurso, o MPE pede ajuste na redação do acórdão para que a cassação do diploma seja mencionada de forma expressa. Segundo Espinosa, a análise individual dos votos dos sete ministros do TSE demonstra que:

três deles votaram expressamente pela cassação dos diplomas da chapa vencedora da eleição (Isabel Gallotti, Estela Aranha e Floriano de Azevedo Marques);

dois consideraram que a perda de mandato não fazia mais sentido, dado que Castro renunciou, mas não afastaram a cassação do diploma (Cármen Lúcia e Antonio Carlos Ferreira);

dois foram contrários à cassação (Kássio Nunes Marques e André Mendonça).

Recurso diz que cassação de mandato e cassação de diploma são sanções distintas na legislação eleitoral. Embora a cassação do mandato não fosse mais possível, devido à renúncia, o MP Eleitoral sustenta que a ação apresentada contra Castro permite a cassação do diploma ou do registro de candidatura para invalidar o resultado eleitoral em caso de abuso de poder político e econômico, como aconteceu.

Renúncia ao cargo de governador não impediria a aplicação dessa sanção. Aceitar o entendimento de que sim, a renúncia impede a cassação, seria ""premiar a estratégia processual de esvaziamento das consequências jurídicas do ilícito eleitoral"" e criar uma ""blindagem"" contra a Justiça Eleitoral, diz Espinosa.

MPE indicou que pode levar caso ao STF. O recurso aponta que a contradição no acórdão afronta item da Constituição que ""protege a normalidade e a legitimidade das eleições"". Caso o TSE não acolha o pedido de ajus",2026-05-05,https://noticias.uol.com.br/politica/ultimas-noticias/2026/05/05/mp-eleitoral-pede-ao-tse-ajuste-em-resultado-sobre-claudio-castro.ghtm,uol_politica
Sobrinho-neto de Dilma se pronuncia após acusação de Nikolas torná-lo réu,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","Justiça Federal aceitou denúncia de Nikolas contra Pedro, afirmou o deputado em post no X. Ação por difamação foi aberta em resposta a vídeo divulgado pelo vereador em junho de 2025.

No vídeo, sobrinho-neto de Dilma relacionou envio de R$ 1,5 milhão de emendas parlamentares a Nova Serrana (MG) à candidatura de parente do deputado à prefeitura da cidade. Enéas Fernandes (PL-MG), tio de Nikolas, concorreu ao cargo, mas perdeu para o ex-deputado estadual Fábio Avelar (Avante-MG). Pedro também citou nas imagens um primo de Nikolas preso por tráfico de drogas em maio do ano passado.

Vereador voltou a levantar questionamentos sobre o deputado no vídeo divulgado ontem. ""Por eu simplesmente questionar aquilo que o povo quer ouvir: qual é a ligação de Nikolas Ferreira com suas emendas enviadas para o seu tio, em Nova Serrana, que foi candidato a prefeito. Qual é a ligação de Nikolas com seu primo que foi preso por tráfico internacional de drogas. Todas essas perguntas são válidas porque o povo quer saber a verdade sobre Nikolas"", disse.

Esse é mais um dos processos de Nikolas que tenta não só nos calar, nos silenciar, mas tenta agora até mesmo me prender.

Vereador de Belo Horizonte Pedro Rousseff, em vídeo

Deputado afirma que o vereador mentiu. ""Crítica política é legítima. Difamação não. Quem ultrapassa esse limite, responde por isso"", disse Nikolas, em nota.",2026-05-07,https://noticias.uol.com.br/politica/ultimas-noticias/2026/05/07/pedro-rousseff-reu-difamacao-nikolas-ferreira.ghtm,uol_politica
Flávio nega que valor dado por Vorcaro a filme foi para Eduardo: 'Ilação',"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","Flávio não soube responder se o dinheiro teria passado por aliados de Eduardo Bolsonaro. Parte do dinheiro teria sido transferida pela Entre Investimentos e Participações, que atuava em parceria com empresas de Vorcaro, para o fundo Havengate Development Fund LP, sediado no Texas (EUA) e controlado por aliados de Eduardo Bolsonaro.

Advogado que controla fundo é pessoa de confiança de Eduardo Bolsonaro, diz o senador. ""O advogado é gestor do fundo também. Minha participação nisso foi buscar investidores. Esse advogado é gestor desse fundo e de confiança de Eduardo Bolsonaro.""

Senador afirmou que teve papel de buscar investidores para o filme, sem usar dinheiro público. Flávio ainda citou que o presidente Lula (PT) foi o homenageado de um desfile de Carnaval com dinheiro da Embratur, em referência ao desfile deste ano da escola de samba Acadêmicos de Niterói.

Minha participação nisso foi buscar investidores para botar de pé um filme privado com recursos privados em homenagem ao presidente Jair Bolsonaro, o meu pai. É uma pessoa que está passando por uma grande perseguição, foi vítima de uma farsa por parte de alguns integrantes do STF. É alguém honesto, que jamais mereceria estar passando por isso. É um sonho meu que a história de vida dele, que é muito bonita e emocionante, mereça uma homenagem em forma de filme.

Flávio Bolsonaro (PL-RJ), pré-candidato à Presidência da República

Em relação ao dinheiro, Flávio disse que o montante foi todo usado para o filme. ""Todos os recursos que foram aportados nesse fundo, que é específico para esse filme, são integralmente utilizados para fazer o filme.""

Contatos com Vorcaro eram apenas para tratar sobre o filme, segundo Flávio. ""Conheci ele [Vorcaro] em dezembro de 2024 exclusivamente para tratar disso. Meus contatos com ele, sejam por telefone ou pessoalmente, foram exclusivamente para falar do filme. Uma conversa monotemática.""",2026-05-14,https://noticias.uol.com.br/politica/ultimas-noticias/2026/05/14/nao-tenho-detalhes-flavio-diz-nao-saber-para-onde-foi-doacao-de-vorcaro.ghtm,uol_politica
"Na rejeição a Messias pelo Senado, Lula derrotou Lula","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","Após tantos anos de convivência, Lula também não pode alegar que não conhecia o presidente do Senado, um ex-deputado do baixo clero que, primeiro, derrotou Renan Calheiros (MDB-AL) e, depois, se elegeu pela segunda vez, quase por unanimidade.

Desde o começo desta novela que durou cinco meses, foi Lula quem pavimentou a própria derrota, ao não articular, antes de lançar a indicação do seu preferido, com um Alcolumbre cada vez mais poderoso, que tinha outro candidato, o senador Rodrigo Pacheco (PSB-MG), e não admite ser derrotado em sua casa.

Viajando pelo mundo para participar de reuniões multilaterais sem fim, envolvido nos grandes temas mundiais, Lula deixou tudo por conta da sua articulação política no Congresso e, quando se deu conta do desastre, só na tarde de ontem, já era tarde demais.

Como poderia dar certo, se o seu líder no Senado, o velho amigo Jaques Wagner (PT-BA), estava rompido com o presidente Davi Alcolumbre, sem conseguir falar com ele desde o final do ano passado?

Nesse meio tempo, surgiu um fato novo: a candidatura presidencial de Flávio Bolsonaro, que disparava nas pesquisas enquanto Lula murchava. Preocupado com sua própria reeleição em 2027, Alcolumbre vislumbrou ali uma oportunidade de se vingar de Wagner e Lula ao mesmo tempo e se aliou ao principal adversário do presidente, apostando na expectativa de poder representada por Flávio.

De quebra, impôs uma derrota também à ala do STF que apoiava abertamente Messias, um combo que pode culminar hoje com a derrubada dos vetos de Lula ao projeto de dosimetria, algo que, na prática, invalida em grande parte todo o processo que levou à condenação dos golpistas do 8 de Janeiro.",2026-04-30,https://noticias.uol.com.br/politica/ultimas-noticias/2026/04/30/lula-derrotou-lula-kotscho-messias-stf.ghtm,uol_politica
Sakamoto: Governo não rompe com Alcolumbre porque precisa dele para 6x1,"Governo mantém pragmatismo com Davi Alcolumbre para aprovar pauta 6x1, afirma Leonardo Sakamoto; pressão popular e negociações políticas sustentam relação.","Apesar da rejeição de Jorge Messias ao STF, o governo Lula mantém uma relação pragmática com Davi Alcolumbre, presidente do Senado, por depender dele na aprovação do fim da escala 6x1, afirmou o colunista Leonardo Sakamoto no UOL News - 2ª edição, do Canal UOL.

Segundo Sakamoto, mesmo após abalos de confiança, o Executivo segue negociando apoio de lideranças do Senado para aprovar temas estratégicos, especialmente em projetos com ampla maioria popular, como a pauta do fim da 6x1.",2026-05-04,https://noticias.uol.com.br/politica/ultimas-noticias/2026/05/04/governo-nao-rompe-com-alcolumbre-porque-precisa-dele-para-6x1-diz-leonardo-sakamoto.ghtm,uol_politica
"Pesquisa Meio/Ideia: 46,3% avaliam governo Lula como ruim/péssimo",Levantamento Meio/Ideia mostra avaliação do governo Lula e opinião sobre ele continuar após 2026. Pesquisa ouviu 1.500 eleitores por telefone.,"Pesquisa Meio/Ideia aponta que 46,3% avaliam o governo do presidente Luiz Inácio Lula da Silva (PT) como ruim ou péssimo.

A pesquisa entrevistou 1.500 eleitores por telefone entre os dias 1 e 5 de maio. A margem de erro é de 2,5 pontos percentuais para mais ou para menos, com intervalo de confiança de 95%. O levantamento foi financiado com recursos próprios. O registro no Tribunal Superior Eleitoral (TSE) é BR-05356/2026.",2026-05-06,https://noticias.uol.com.br/politica/ultimas-noticias/2026/05/06/pesquisa-meioideia-463-avaliam-governo-lula-como-ruimpessimo.ghtm,uol_politica
PF: Grupo de Ricardo Magro é suspeito de corromper servidores da ANP,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.","""A Polícia Federal aponta fortes indícios de atuação do suposto grupo criminoso junto à ANP, notadamente com o objetivo de se obter ato administrativo favorável à sociedade empresária Pinecrest Distribuidora de Combustíveis, visando resolver pendências processuais que impactam diretamente nos interesses da empresa"", diz trecho da decisão.

Um dos indícios de corrupção na ANP elencados pela PF são conversas sobre uma empresa ligada ao grupo que possuía pendências com a ANP.

""Sobre a ANP, em conversa com Carlos, acerca da resolução dos empecilhos inerentes à regularização da Pinecrest, Diego informa que resolveria a questão em Brasília, em um jantar com uma suposta Vice-Diretora da ANP"", diz a PF.

Segundo a PF, os dois que conversam são Carlos França, fiscal de renda do governo do Rio de Janeiro, e Diego Gonçalves, apontado como intermediário da Refit, de Ricardo Magro.

No documento, a PF afirma que Carlos envia uma imagem sobre as pendências da empresa e diz ""os três primeiros dá pra enviar pra ANP"" e que ""os cinco últimos é que complicaram"".

Ainda segundo a investigação, um dia após a mensagem sobre o encontro com a diretora da ANP, Carlos informa que a conversa foi positiva e que conseguirão resolver as pendências.",2026-05-15,https://noticias.uol.com.br/colunas/fabio-serapiao/2026/05/15/grupo-de-ricardo-magro-e-suspeito-de-corromper-servidores-da-anp-diz-pf.htm,uol_politica
